id	fe6c451e-0747-4a02-9d35-59d0a9f4a468	7411d69d-b4ea-4099-9709-451756f03af1
1069	4506.0	2931.0
1068	0.0	0.0
85369	2702.0	1744.0
85366	3.0	15.0
85364	1262.0	1157.0
85365	3580.0	2334.0
85363	3201.0	919.0
85360	702.0	925.0
1080	51.0	9.0
85391	2.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	616.0	785.0
1087	63.0	35.0
1086	0.0	0.0
440279	19.0	14.0
1085	5.0	4.0
1084	2.0	7.0
440278	328.0	91.0
1082	0.0	0.0
403294	0.0	0.0
440275	7075.0	2967.0
1081	2.0	39.0
85397	4.0	19.0
85395	531.0	604.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	1.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	3.0
440270	1167.0	201.0
1089	1.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	3.0	0.0
285596	29.0	2.0
285598	736.0	275.0
126133	2148.0	1974.0
128790	1.0	0.0
126129	160.0	144.0
126123	1.0	1.0
442862	0.0	0.0
126119	682.0	1079.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	6.0	23.0
442897	0.0	0.0
442898	4.0	0.0
114134	1094.0	347.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	2.0
100128788	120.0	50.0
100128787	1.0	0.0
440225	0.0	0.0
440224	7.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	287.0	112.0
100128781	1.0	1.0
403230	1.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	3.0	0.0
403236	0.0	0.0
63982	109.0	23.0
102466616	0.0	0.0
126052	0.0	0.0
151009	50.0	26.0
403227	3.0	0.0
403228	5.0	0.0
138046	3.0	25.0
645558	0.0	0.0
403229	1.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	4.0	8.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	863.0	1161.0
107131122	1.0	0.0
138050	8952.0	6044.0
403219	1.0	0.0
151011	5866.0	1798.0
645587	4.0	0.0
165679	1936.0	370.0
126037	39.0	21.0
114049	4924.0	3777.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	609.0	705.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2906.0	2069.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	176.0	127.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	2.0
138065	332.0	9.0
645598	1.0	1.0
163007	4.0	1.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	111.0	27.0
106481496	0.0	0.0
114042	1.0	7.0
106481493	0.0	0.0
114043	9.0	14.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	222.0	117.0
126017	741.0	195.0
106481497	0.0	0.0
106481498	1.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	1747.0	599.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	4.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3386.0	2608.0
106481459	0.0	0.0
26994	13019.0	4372.0
106481457	3.0	4.0
26995	3463.0	2608.0
106481458	0.0	0.0
403271	0.0	0.0
26998	7.0	9.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1375.0	2585.0
403273	0.0	0.0
102466658	24.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	1.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2613.0	1651.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	1.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	181.0	85.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	52654.0	1358.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1147.0	619.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	4.0
106481437	0.0	0.0
26974	235.0	39.0
153657	59.0	17.0
106481438	7.0	2.0
106481435	0.0	0.0
26973	1857.0	975.0
165631	55.0	162.0
106481436	0.0	2.0
26978	18.0	20.0
126075	1260.0	527.0
106481439	0.0	0.0
403250	0.0	0.0
126074	456.0	199.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2112.0	1641.0
106481444	7.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1487.0	1983.0
85354	0.0	0.0
85352	260.0	82.0
403241	0.0	0.0
344462	3.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	636.0	278.0
153643	107.0	14.0
403247	0.0	0.0
403248	0.0	0.0
26985	6387.0	3191.0
106481448	0.0	0.0
26986	81952.0	62053.0
126069	174.0	73.0
106481449	0.0	0.0
126068	685.0	357.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1072.0	740.0
106481447	0.0	0.0
106481451	2.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	441.0	129.0
106481455	1.0	0.0
85349	220.0	14.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	1.0
85347	0.0	0.0
26980	6.0	4.0
106481454	1.0	0.0
403238	0.0	0.0
85344	15.0	11.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	12.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	2.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3142.0	1596.0
100873390	0.0	0.0
728556	217.0	37.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	184.0	62.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	592.0	309.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	1036.0	169.0
100873384	0.0	0.0
285601	17.0	13.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	2.0
63910	183.0	1574.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	1250.0	331.0
222008	309.0	143.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2865.0	2001.0
63904	0.0	0.0
106481430	0.0	0.0
163071	27.0	34.0
63906	1035.0	495.0
106481433	0.0	0.0
63908	958.0	439.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	99.0	34.0
63920	334.0	214.0
63923	1446.0	3723.0
63922	463.0	780.0
728577	203.0	31.0
63925	2020.0	1384.0
63924	251.0	667.0
63916	4415.0	2883.0
63917	4448.0	1982.0
106481400	2.0	0.0
106481401	0.0	0.0
728562	1.0	2.0
728564	2.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2027.0	1271.0
106481402	0.0	0.0
63931	2496.0	1463.0
106481403	0.0	0.0
63934	479.0	107.0
728567	1.0	2.0
106481408	0.0	0.0
163088	7.0	3.0
63933	3445.0	1886.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3229.0	2520.0
163087	749.0	401.0
728568	409.0	587.0
106481407	8.0	5.0
3704	2072.0	1681.0
3705	5042.0	4014.0
63926	1509.0	786.0
3706	16.0	236.0
63929	1935.0	1266.0
3707	3847.0	2666.0
63928	1.0	5.0
3708	13234.0	3223.0
106481411	0.0	0.0
3709	12019.0	3887.0
106481412	0.0	0.0
106481410	2.0	2.0
3700	20.0	10.0
3702	127.0	938.0
3703	16966.0	7562.0
645506	0.0	0.0
151050	1290.0	454.0
645520	0.0	0.0
63941	1594.0	1402.0
63940	566.0	2004.0
63943	464.0	378.0
728517	0.0	0.0
163033	382.0	689.0
258010	3581.0	1422.0
63947	0.0	0.0
63946	80.0	0.0
728513	2.0	1.0
100033803	0.0	0.0
3716	21262.0	15629.0
100033804	0.0	0.0
3717	3348.0	964.0
100033805	0.0	0.0
3718	382.0	1690.0
63939	1221.0	797.0
100033806	0.0	0.0
100190799	2.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	68.0	66.0
3710	10489.0	4011.0
3712	32859.0	4083.0
3713	18.0	43.0
3714	2536.0	2069.0
63950	1.0	5.0
728505	0.0	0.0
63951	133.0	29.0
100033807	0.0	0.0
728501	20.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	18624.0	11686.0
100033814	0.0	0.0
3727	20428.0	9729.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	5.0
3728	29660.0	16882.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2839.0	2815.0
151056	271.0	212.0
3725	61033.0	11714.0
645528	1.0	1.0
728532	37.0	32.0
163059	506.0	203.0
728538	0.0	2.0
728537	274.0	49.0
63967	172.0	369.0
3737	6.0	7.0
3738	56.0	190.0
3739	9.0	0.0
645538	0.0	0.0
3730	2063.0	906.0
3732	7390.0	2555.0
3734	0.0	2.0
3735	8432.0	6346.0
3736	205.0	44.0
63970	374.0	59.0
3750	275.0	217.0
63971	8810.0	2687.0
63974	0.0	0.0
163049	3015.0	1859.0
63973	99.0	4.0
63976	120.0	100.0
222068	9268.0	5548.0
63978	1.0	0.0
63977	938.0	452.0
63979	939.0	467.0
728524	0.0	0.0
3748	556.0	305.0
163051	29.0	29.0
3749	1848.0	550.0
163050	69.0	74.0
3741	33.0	63.0
645548	7.0	21.0
3743	7.0	3.0
3744	0.0	0.0
3745	476.0	119.0
3746	31.0	0.0
3747	185.0	0.0
285671	877.0	269.0
285672	1990.0	2194.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	412.0	153.0
285676	81.0	27.0
3761	0.0	2.0
100128657	0.0	0.0
285679	6.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	645.0	231.0
283008	12.0	4.0
3751	342.0	4472.0
100873435	0.0	0.0
3752	4963.0	527.0
100873434	0.0	0.0
3753	168.0	13.0
100873433	0.0	1.0
3754	305.0	1203.0
100873432	0.0	0.0
3755	148.0	25.0
100873439	0.0	0.0
3756	83.0	36.0
100873438	0.0	0.0
3757	103.0	179.0
100873437	0.0	0.0
3758	3.0	3.0
100873436	0.0	0.0
100873420	0.0	1.0
3770	124.0	71.0
3772	85.0	142.0
100861458	0.0	0.0
100861453	27.0	11.0
100861455	0.0	0.0
1107	17247.0	8153.0
1106	8587.0	3918.0
1105	4966.0	3189.0
1104	2773.0	1690.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1453.0	640.0
1101	2242.0	28447.0
3762	717.0	374.0
100873424	0.0	0.0
3763	7.0	20.0
100128640	146.0	51.0
100873423	0.0	0.0
3764	322.0	1225.0
100873422	0.0	0.0
3765	6.0	6.0
100873421	2.0	2.0
3766	11.0	118.0
100873428	0.0	0.0
3767	1592.0	345.0
100873427	0.0	0.0
3768	84.0	45.0
1109	6.0	0.0
100873426	0.0	3.0
1108	23382.0	15195.0
3769	32.0	5.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	22.0	37.0
100873453	0.0	0.0
3781	36.0	141.0
100873452	0.0	0.0
3782	408.0	560.0
100873451	0.0	0.0
3783	2502.0	517.0
100873450	0.0	0.0
1121	2374.0	1339.0
100861468	0.0	0.0
1120	168.0	118.0
100861469	0.0	0.0
1118	7923.0	169.0
1117	1920.0	366.0
1116	16768.0	3598.0
1114	120.0	56.0
1113	43.0	34.0
1112	4941.0	3865.0
1111	512.0	681.0
3773	635.0	16.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	1824.0	155.0
100873455	0.0	0.0
3776	627.0	73.0
100873454	0.0	0.0
3777	679.0	79.0
3778	8613.0	933.0
3779	3323.0	312.0
100873459	0.0	0.0
1119	2620.0	756.0
100128627	4.0	3.0
100128626	0.0	0.0
3790	2077.0	1390.0
100128628	11.0	3.0
3791	4661.0	8671.0
100873442	0.0	0.0
3792	73.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	8.0
1132	9.0	15.0
1131	187.0	97.0
1130	3771.0	1465.0
100861476	0.0	0.0
1129	0.0	0.0
1128	283.0	61.0
1124	251.0	301.0
1123	529.0	1118.0
1122	1863.0	1576.0
100861470	0.0	0.0
3784	583.0	656.0
100873446	1.0	0.0
3785	26.0	2.0
100873445	0.0	0.0
3786	342.0	247.0
100873444	0.0	0.0
3787	75.0	5.0
100873443	0.0	0.0
3788	11.0	9.0
100873449	3.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	126.0	36.0
100128618	1.0	3.0
728597	3.0	1.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	126.0	14.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	13.0	51.0
285634	15.0	0.0
1142	0.0	1.0
1141	398.0	38.0
285636	3429.0	1763.0
1140	656.0	231.0
728599	5.0	5.0
1139	54.0	23.0
1138	78.0	42.0
1137	0.0	0.0
100861485	0.0	0.0
1136	13.0	10.0
1135	663.0	1.0
1134	211.0	62.0
1133	109.0	18.0
3795	223.0	332.0
100873479	5.0	8.0
3796	2238.0	1771.0
100873478	1.0	0.0
3797	1636.0	2823.0
100873477	2.0	1.0
3798	275.0	58.0
100873476	0.0	0.0
3799	21482.0	9393.0
100873460	0.0	0.0
728586	26.0	13.0
285641	1.0	0.0
100873464	0.0	3.0
100873463	0.0	2.0
100873462	3.0	1.0
285643	3.0	3.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	5063.0	2183.0
1153	23221.0	12372.0
1152	1092.0	1771.0
285647	48.0	12.0
728589	144.0	16.0
728588	687.0	0.0
1149	77.0	181.0
1147	2935.0	958.0
1146	2.0	7.0
1145	67.0	29.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	696.0	1957.0
1163	929.0	1504.0
285659	0.0	0.0
1161	618.0	316.0
1160	174.0	91.0
1159	175.0	102.0
1158	6.0	6.0
1157	0.0	0.0
1155	2397.0	3884.0
550643	1646.0	2161.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2918.0	1354.0
1175	4537.0	3996.0
285668	19.0	9.0
1174	3601.0	3451.0
1173	16796.0	26480.0
550631	331.0	131.0
100873489	0.0	0.0
283014	7.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	26.0	8.0
1186	5113.0	2883.0
1185	1344.0	508.0
1184	675.0	404.0
1183	298.0	174.0
1182	12707.0	4420.0
1181	446.0	371.0
440375	69.0	31.0
1180	29.0	5.0
1179	49.0	0.0
1178	0.0	0.0
283089	14.0	5.0
85495	0.0	0.0
85480	222.0	27.0
283080	0.0	0.0
1198	3334.0	1897.0
1197	2.0	0.0
1196	2532.0	1534.0
1195	5567.0	2065.0
440366	1.0	0.0
1193	674.0	1226.0
1192	18284.0	24276.0
1191	293923.0	23534.0
1188	21.0	6.0
283078	51.0	39.0
85486	5.0	5.0
128615	0.0	0.0
85481	1.0	0.0
128611	33.0	309.0
440396	60.0	51.0
128609	0.0	0.0
128602	0.0	6.0
440387	2.0	0.0
128674	0.0	1.0
128676	1.0	0.0
114026	0.0	0.0
100861402	14.0	2.0
126014	164.0	194.0
440335	1497.0	2379.0
100128690	0.0	0.0
114034	1062.0	827.0
126006	144.0	34.0
114036	22.0	17.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	63.0	63.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	4.0	0.0
200728	201.0	137.0
440356	4.0	6.0
440354	135.0	66.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	9.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	188.0	124.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	168.0	82.0
200734	10990.0	3852.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5197.0	2749.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	1.0
165530	92.0	28.0
85409	299.0	678.0
106481385	0.0	0.0
106481386	0.0	2.0
85416	3.0	1.0
106481383	2.0	0.0
85417	94.0	19.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	304.0	278.0
106481389	0.0	0.0
85415	2693.0	881.0
106481387	0.0	0.0
85413	20.0	9.0
106481388	2.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	564.0	6.0
106481380	0.0	0.0
11	6.0	0.0
403341	1004.0	632.0
12	1287.0	161.0
13	123.0	43.0
14	8672.0	5845.0
15	3.0	5.0
16	10120.0	5018.0
645455	16.0	17.0
18	8248.0	2186.0
19	2999.0	1947.0
128580	9.0	2.0
85407	204.0	112.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2267.0	1738.0
106481395	1.0	1.0
85403	3090.0	2287.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	5150.0	2763.0
106481390	0.0	0.0
21	16644.0	1392.0
106481391	0.0	0.0
22	1973.0	861.0
153571	1026.0	293.0
153572	4000.0	627.0
23	6187.0	4521.0
24	1037.0	165.0
25	8891.0	5636.0
26	9.0	31.0
27	3576.0	3301.0
28	176.0	251.0
29	8241.0	3899.0
153579	1599.0	753.0
728615	0.0	1.0
728614	0.0	0.0
200765	309.0	363.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	14.0	4.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1083.0	884.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2881.0	3176.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	233.0	79.0
106481366	0.0	0.0
30	7180.0	1326.0
106481360	0.0	0.0
31	32398.0	2576.0
32	2559.0	1175.0
33	1053.0	20.0
34	16106.0	1896.0
35	1134.0	499.0
153562	3355.0	1691.0
36	11161.0	4097.0
37	23737.0	5311.0
38	3696.0	2264.0
440307	7.0	5.0
39	4429.0	1742.0
165545	9.0	106.0
106481369	0.0	0.0
728606	770.0	140.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	200.0	7.0
106481370	0.0	0.0
41	195.0	176.0
106481371	0.0	0.0
43	81.0	105.0
645486	0.0	0.0
47	31722.0	6914.0
48	5023.0	2135.0
49	9.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	7.0	4.0
106481340	0.0	0.0
85458	5670.0	1049.0
