id	00511204-3512-4a5e-b664-60271e968903	c633bd52-3f48-49b8-bb20-2aad7b910a47
285550	1623.0	852.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	4.0	18.0
3640	2.0	5.0
3638	7757.0	1836.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1384.0	2652.0
100873313	0.0	0.0
3632	2398.0	1428.0
100873312	3.0	6.0
100873311	0.0	0.0
3633	1553.0	2083.0
100873318	0.0	0.0
3635	747.0	1496.0
100873317	0.0	0.0
3636	4199.0	8772.0
100128771	40.0	45.0
100873316	7.0	23.0
100873315	0.0	0.0
100128766	2.0	3.0
3651	0.0	0.0
1	2.0	50.0
2	69112.0	34642.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	13.0
3641	1.0	2.0
100873303	0.0	0.0
9	220.0	24460.0
3642	1.0	344.0
100873302	0.0	2.0
3643	6922.0	7435.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	15.0
100873307	0.0	0.0
3646	16528.0	14090.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	53.0	72.0
100873304	0.0	0.0
100873332	6.0	5.0
3660	1926.0	3215.0
100873331	0.0	0.0
3661	1064.0	3283.0
100873330	0.0	0.0
285577	4.0	1.0
3662	165.0	151.0
100128756	0.0	0.0
1000	18.0	238.0
3652	1097.0	963.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	490.0	31.0
3654	4205.0	6782.0
100873334	0.0	0.0
3655	9720.0	6618.0
100873333	0.0	0.0
3656	985.0	367.0
100873339	0.0	0.0
3658	4596.0	4583.0
100873338	1.0	5.0
3659	996.0	7886.0
100873337	0.0	0.0
3670	2.0	0.0
100873321	0.0	0.0
3671	6935.0	11976.0
100873320	0.0	0.0
3672	8902.0	2733.0
285588	2.0	0.0
3673	171.0	13700.0
1011	0.0	0.0
1010	16.0	0.0
1008	1.0	0.0
1007	0.0	0.0
1006	4.0	11.0
1005	0.0	174.0
1004	628.0	306.0
1003	10192.0	2330.0
1002	11.0	29.0
1001	3.0	2389.0
3663	230.0	704.0
100873325	0.0	1.0
3664	290.0	12644.0
100873324	0.0	0.0
3665	240.0	1667.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6580.0	4375.0
100873329	0.0	0.0
285590	1825.0	10207.0
100873328	0.0	0.0
3669	181.0	398.0
100873327	0.0	0.0
1009	1518.0	13048.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	1.0
728477	0.0	4.0
3680	1815.0	1319.0
3681	15.0	124.0
100128733	1.0	1.0
100873354	0.0	0.0
3682	995.0	653.0
100873353	0.0	0.0
3683	232.0	1525.0
100873352	0.0	0.0
128710	341.0	1136.0
3684	633.0	3995.0
100873351	1.0	0.0
285512	105.0	173.0
1022	834.0	2085.0
285513	477.0	1044.0
1021	1363.0	1459.0
1020	317.0	1030.0
440299	0.0	0.0
1019	2410.0	5873.0
128709	1.0	0.0
1018	12.0	44.0
1017	611.0	4368.0
1016	23.0	0.0
1015	5.0	29.0
1014	1.0	0.0
1013	1.0	1.0
1012	3074.0	690.0
116730	88.0	30.0
3674	45.0	126.0
100873358	0.0	0.0
3675	1194.0	5371.0
100873357	0.0	2.0
3676	174.0	605.0
100128731	5194.0	5761.0
100873356	0.0	0.0
3678	4521.0	8505.0
3679	33479.0	851.0
100873359	0.0	0.0
728464	19.0	44.0
728463	2.0	173.0
100128725	0.0	0.0
3690	285.0	303.0
3691	1512.0	7095.0
100873343	0.0	0.0
3692	3457.0	5169.0
3693	17442.0	18825.0
285521	1322.0	690.0
100873342	0.0	0.0
3694	14.0	12379.0
100873341	0.0	0.0
3695	47.0	204.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	11.0	503.0
1032	358.0	820.0
285525	2.0	2.0
1031	17966.0	929.0
285527	3713.0	4770.0
1030	6773.0	1226.0
728468	0.0	0.0
440288	102.0	143.0
1029	17.0	233.0
440295	31.0	192.0
1028	3977.0	570.0
1027	4422.0	8432.0
1026	5351.0	4327.0
1025	2366.0	3087.0
1024	1171.0	538.0
3685	7018.0	17817.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	207.0	2295.0
100873345	1.0	0.0
3688	51347.0	33799.0
100873344	0.0	0.0
3689	1278.0	8664.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	1.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	47.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	44.0	42.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	30.0	51.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	32.0
1043	192.0	1415.0
1041	0.0	20.0
1040	86.0	3973.0
1039	1283.0	2710.0
1038	56.0	2.0
1036	7536.0	193.0
3696	47.0	2985.0
3697	6.0	11.0
100873379	0.0	0.0
3698	12.0	20.0
100873378	3.0	0.0
3699	93.0	71.0
100873377	0.0	0.0
728486	4.0	9.0
100873361	0.0	0.0
105373869	4.0	389.0
100873360	0.0	0.0
285540	111.0	162.0
100128705	1.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	4.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	4140.0	3016.0
285547	0.0	0.0
1053	1.0	7.0
285548	1.0	1.0
1052	2762.0	1592.0
1051	3860.0	1539.0
