id	cbb39a6a-61e7-4295-b712-daf6af43dc82	d5887901-f651-47bf-a6e3-6656e48588c9
285550	1031.0	762.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	13.0
3640	16.0	4.0
3638	2026.0	11444.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1567.0	1638.0
100873313	0.0	2.0
3632	1404.0	1315.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1387.0	1067.0
100873318	0.0	0.0
3635	1414.0	827.0
100873317	0.0	0.0
3636	5383.0	7677.0
100128771	52.0	51.0
100873316	12.0	3.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	20.0	21.0
2	56543.0	25043.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	6.0
3641	1.0	0.0
100873303	0.0	0.0
9	892.0	326340.0
3642	8.0	2420.0
100873302	1.0	0.0
3643	6260.0	5264.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	24.0	24.0
100873307	0.0	0.0
3646	18607.0	28553.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	217.0	60.0
100873304	0.0	0.0
100873332	6.0	0.0
3660	2005.0	2131.0
100873331	0.0	0.0
3661	1849.0	2130.0
100873330	0.0	0.0
285577	8.0	0.0
3662	245.0	296.0
100128756	0.0	0.0
1000	77.0	376.0
3652	976.0	1527.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	152.0	45.0
3654	5321.0	3169.0
100873334	0.0	0.0
3655	16647.0	1249.0
100873333	0.0	0.0
3656	323.0	326.0
100873339	0.0	0.0
3658	3433.0	4446.0
100873338	0.0	0.0
3659	2526.0	3139.0
100873337	0.0	0.0
3670	1.0	0.0
100873321	0.0	0.0
3671	7122.0	4749.0
100873320	0.0	0.0
3672	3450.0	3855.0
285588	3.0	1.0
3673	4897.0	2531.0
1011	0.0	0.0
1010	111.0	83.0
1008	13.0	1.0
1007	0.0	0.0
1006	81.0	63.0
1005	10.0	0.0
1004	221.0	308.0
1003	4052.0	1573.0
1002	175.0	51.0
1001	6477.0	826.0
3663	406.0	951.0
100873325	0.0	0.0
3664	12256.0	7226.0
100873324	0.0	0.0
3665	518.0	1288.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6624.0	2417.0
100873329	0.0	0.0
285590	4621.0	1623.0
100873328	0.0	0.0
3669	583.0	614.0
100873327	0.0	0.0
1009	2200.0	7839.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	1.0	5.0
3680	2525.0	1259.0
3681	7.0	39.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	473.0	841.0
100873353	0.0	0.0
3683	763.0	847.0
100873352	2.0	0.0
128710	508.0	2002.0
3684	502.0	1185.0
100873351	0.0	1.0
285512	162.0	18.0
1022	1006.0	2523.0
285513	848.0	600.0
1021	2979.0	762.0
1020	291.0	1007.0
440299	2.0	0.0
1019	2475.0	3708.0
128709	0.0	1.0
1018	31.0	23.0
1017	2089.0	3311.0
1016	1.0	20.0
1015	14.0	4.0
1014	0.0	0.0
1013	7.0	9.0
1012	2561.0	1082.0
116730	67.0	89.0
3674	38.0	120.0
100873358	0.0	0.0
3675	7581.0	4637.0
100873357	1.0	1.0
3676	498.0	504.0
100128731	3036.0	5421.0
100873356	0.0	0.0
3678	3763.0	6616.0
3679	2919.0	273.0
100873359	0.0	0.0
728464	48.0	38.0
728463	71.0	46.0
100128725	0.0	0.0
3690	358.0	103.0
3691	15241.0	919.0
100873343	0.0	0.0
3692	3664.0	9793.0
3693	8653.0	12824.0
285521	674.0	1434.0
100873342	0.0	0.0
3694	5535.0	19167.0
100873341	0.0	0.0
3695	140.0	219.0
100873340	0.0	0.0
100128723	0.0	20.0
1033	85.0	1273.0
1032	242.0	1159.0
285525	5.0	2.0
1031	1034.0	1076.0
285527	3968.0	2323.0
1030	1030.0	1675.0
728468	0.0	0.0
440288	121.0	224.0
1029	628.0	411.0
440295	164.0	102.0
1028	1061.0	167.0
1027	2859.0	5422.0
1026	8318.0	3137.0
1025	2456.0	2760.0
1024	462.0	816.0
3685	6597.0	9959.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	444.0	1394.0
100873345	0.0	0.0
3688	25130.0	23685.0
100873344	0.0	0.0
3689	2343.0	5984.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	1.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	14.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	34.0	50.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	100.0	28.0
100873374	1.0	0.0
