id	49c4c177-b1d5-42e3-acaa-bfa4f6982437	75965f7b-8ec7-481e-ae22-68ba7f7eafed
285550	1818.0	992.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	26.0	9.0
3640	56.0	8.0
3638	2377.0	4240.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2510.0	1616.0
100873313	0.0	0.0
3632	1838.0	1457.0
100873312	4.0	13.0
100873311	0.0	0.0
3633	1890.0	1584.0
100873318	0.0	0.0
3635	5186.0	2123.0
100873317	0.0	0.0
3636	5489.0	8636.0
100128771	79.0	31.0
100873316	15.0	9.0
100873315	0.0	0.0
100128766	3.0	0.0
3651	0.0	0.0
1	43.0	14.0
2	79507.0	43961.0
100873309	0.0	0.0
100873308	0.0	0.0
3	35.0	10.0
3641	1.0	0.0
100873303	1.0	1.0
9	576.0	3418.0
3642	2.0	3.0
100873302	1.0	3.0
3643	10495.0	8697.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	44.0	47.0
100873307	0.0	1.0
3646	40905.0	10572.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	373.0	46.0
100873304	2.0	0.0
100873332	11.0	0.0
3660	3843.0	2496.0
100873331	0.0	0.0
3661	1819.0	1509.0
100873330	1.0	0.0
285577	11.0	0.0
3662	694.0	401.0
100128756	0.0	1.0
1000	85.0	399.0
3652	1475.0	865.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	87.0	28.0
3654	4285.0	4045.0
100873334	0.0	0.0
3655	31116.0	6012.0
100873333	1.0	0.0
3656	353.0	200.0
100873339	0.0	0.0
3658	7388.0	3346.0
100873338	0.0	0.0
3659	2311.0	2835.0
100873337	1.0	0.0
3670	2.0	2.0
100873321	0.0	0.0
3671	8588.0	16462.0
100873320	0.0	0.0
3672	6944.0	5110.0
285588	0.0	1.0
3673	12584.0	4923.0
1011	0.0	0.0
1010	145.0	9.0
1008	1.0	2.0
1007	0.0	0.0
1006	11.0	49.0
1005	2.0	11.0
1004	458.0	459.0
1003	4748.0	4254.0
1002	341.0	91.0
1001	7926.0	1446.0
3663	527.0	787.0
100873325	0.0	1.0
3664	14413.0	9388.0
100873324	0.0	0.0
3665	437.0	2920.0
100873323	0.0	0.0
100873322	0.0	0.0
