id	d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c	acf02cd5-270d-40c0-864d-abebe048f309
440295	129.0	150.0
1028	4446.0	229.0
1027	4529.0	6930.0
1026	8109.0	2485.0
1025	3692.0	2941.0
1024	801.0	493.0
3685	9950.0	15267.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1663.0	577.0
100873345	0.0	0.0
3688	24159.0	16669.0
100873344	0.0	0.0
3689	11524.0	2841.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	2.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	24.0	31.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	117.0	58.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	20.0	8.0
1043	3027.0	210.0
1041	9.0	36.0
1040	1291.0	3693.0
1039	1611.0	3429.0
1038	1.0	3.0
1036	1999.0	57.0
3696	1710.0	8085.0
3697	6.0	0.0
100873379	0.0	0.0
3698	38.0	14.0
100873378	0.0	3.0
3699	82.0	29.0
100873377	0.0	0.0
728486	4.0	0.0
100873361	0.0	0.0
105373869	1.0	388.0
100873360	0.0	0.0
285540	143.0	175.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	2.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	3311.0	2237.0
285547	0.0	0.0
1053	12.0	2.0
285548	1.0	12.0
1052	6403.0	668.0
1051	5340.0	937.0
728489	19.0	8.0
1050	8835.0	502.0
100128707	0.0	3.0
1048	243.0	783.0
1047	276.0	1189.0
1046	0.0	0.0
1045	24.0	1.0
100873369	0.0	8.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	23747.0	167.0
1063	596.0	3807.0
1062	137.0	443.0
1061	2.0	1.0
1060	1021.0	1318.0
440253	168.0	53.0
1059	7102.0	4258.0
1058	53.0	76.0
1057	1.0	0.0
85379	5915.0	5401.0
114112	759.0	406.0
1056	87.0	25.0
85377	2457.0	1355.0
85378	2622.0	1578.0
128745	0.0	0.0
85376	8.0	13.0
440248	615.0	211.0
1075	8988.0	1223.0
1074	6.0	32.0
1073	3226.0	345.0
1072	43179.0	34460.0
1071	405.0	30.0
440243	0.0	0.0
1070	763.0	945.0
1069	3538.0	4229.0
1068	0.0	1.0
85369	2066.0	2037.0
85366	3.0	9.0
85364	1519.0	870.0
85365	2386.0	2227.0
85363	1179.0	1172.0
85360	1927.0	448.0
1080	56.0	33.0
85391	7.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	5.0	1.0
153733	421.0	621.0
1087	24.0	26.0
1086	0.0	0.0
440279	58.0	0.0
1085	10.0	0.0
1084	21.0	2.0
440278	204.0	121.0
1082	0.0	0.0
403294	0.0	0.0
440275	4250.0	4685.0
1081	1.0	0.0
85397	3.0	10.0
85395	582.0	274.0
403285	0.0	0.0
1091	0.0	0.0
1090	5.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	1.0	0.0
1092	0.0	0.0
440270	1118.0	732.0
1089	28.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	13.0	4.0
285598	566.0	504.0
126133	2723.0	1282.0
128790	1.0	0.0
126129	196.0	126.0
126123	2.0	1.0
442862	0.0	0.0
126119	1015.0	382.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	6.0	1.0
114131	0.0	1.0
442896	3.0	0.0
114132	155.0	26.0
442897	0.0	0.0
442898	3.0	0.0
114134	445.0	904.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	5.0
100128788	71.0	209.0
100128787	0.0	0.0
440225	0.0	0.0
440224	47.0	772.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	3.0
128756	0.0	0.0
100128782	126.0	101.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	63.0	1.0
102466616	0.0	0.0
126052	1.0	0.0
151009	28.0	11.0
403227	1.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	11.0	2.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	969.0	1154.0
107131122	0.0	0.0
138050	7456.0	6044.0
403219	0.0	0.0
151011	4088.0	4463.0
645587	0.0	3.0
165679	125.0	195.0
126037	71.0	79.0
114049	4176.0	3876.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	610.0	269.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1351.0	1518.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	189.0	160.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	88.0	16.0
645598	0.0	0.0
163007	5.0	0.0
114038	7.0	0.0
645591	1.0	0.0
106481495	1.0	0.0
114041	37.0	177.0
106481496	0.0	1.0
114042	5.0	1.0
106481493	0.0	3.0
114043	19.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	134.0	171.0
126017	356.0	810.0
106481497	0.0	2.0
106481498	0.0	1.0
85303	0.0	0.0
85300	1.0	1.0
85301	1013.0	1235.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1347.0	4369.0
106481459	0.0	0.0
26994	8444.0	7423.0
106481457	1.0	7.0
26995	2390.0	2527.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1585.0	3287.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	2.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2055.0	2117.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	2.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4268.0	4.0
106481472	0.0	0.0
106481477	0.0	3.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8563.0	2929.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	656.0	1763.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	2.0
106481437	0.0	0.0
26974	205.0	224.0
153657	43.0	124.0
106481438	11.0	54.0
106481435	0.0	0.0
26973	820.0	1536.0
165631	248.0	29.0
106481436	4.0	0.0
26978	21.0	8.0
126075	899.0	1028.0
106481439	0.0	0.0
403250	0.0	0.0
126074	247.0	270.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	4.0	0.0
85359	2322.0	1263.0
106481444	10.0	10.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4135.0	689.0
85354	0.0	0.0
85352	62.0	266.0
403241	0.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	370.0	261.0
153643	38.0	203.0
403247	0.0	0.0
403248	0.0	0.0
26985	3331.0	4701.0
106481448	0.0	0.0
26986	59140.0	44430.0
126069	126.0	264.0
106481449	0.0	0.0
126068	429.0	852.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1096.0	951.0
106481447	0.0	0.0
106481451	7.0	0.0
106481452	0.0	2.0
106481450	0.0	0.0
114088	301.0	55.0
106481455	0.0	0.0
85349	67.0	30.0
106481456	0.0	3.0
26982	0.0	0.0
106481453	0.0	4.0
85347	0.0	0.0
26980	4.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	37.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	10.0	19.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	3.0
100873392	5.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1803.0	3740.0
100873390	0.0	0.0
728556	53.0	30.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	65.0	110.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	294.0	498.0
106481423	0.0	0.0
106481420	2.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	198.0	348.0
100873384	0.0	0.0
285601	35.0	7.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	247.0	55.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	350.0	1147.0
222008	43.0	28.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4008.0	3071.0
63904	0.0	0.0
106481430	0.0	0.0
163071	34.0	24.0
63906	1084.0	771.0
106481433	0.0	0.0
63908	608.0	713.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	33.0	40.0
63920	383.0	596.0
63923	402.0	1239.0
63922	435.0	543.0
728577	55.0	5.0
63925	1374.0	1118.0
63924	21708.0	0.0
63916	2950.0	2324.0
63917	3605.0	2503.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	4.0	6.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1599.0	1271.0
106481402	0.0	0.0
63931	2093.0	3681.0
106481403	0.0	2.0
63934	365.0	246.0
728567	7.0	2.0
106481408	0.0	0.0
163088	15.0	3.0
63933	2402.0	2267.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3506.0	1989.0
163087	581.0	648.0
728568	405.0	256.0
106481407	24.0	2.0
3704	2037.0	1711.0
3705	14202.0	2564.0
63926	679.0	1425.0
3706	22.0	20.0
63929	1081.0	1713.0
3707	5526.0	4008.0
63928	4.0	0.0
3708	6498.0	13275.0
106481411	0.0	0.0
3709	3664.0	3027.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	32.0	9.0
3702	263.0	37.0
3703	10088.0	10367.0
645506	0.0	0.0
151050	725.0	493.0
645520	0.0	0.0
63941	1352.0	1407.0
63940	2142.0	448.0
63943	421.0	457.0
728517	0.0	0.0
163033	489.0	331.0
258010	1294.0	2673.0
63947	0.0	0.0
63946	18.0	42.0
728513	8.0	2.0
100033803	0.0	0.0
3716	16707.0	9661.0
100033804	0.0	0.0
3717	1077.0	1274.0
100033805	0.0	0.0
3718	604.0	167.0
63939	772.0	736.0
100033806	0.0	0.0
100190799	0.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	91.0	53.0
3710	2792.0	2907.0
3712	6713.0	6516.0
3713	12.0	0.0
3714	3414.0	840.0
63950	5.0	2.0
728505	0.0	1.0
63951	141.0	13.0
100033807	0.0	0.0
728501	40.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12537.0	4118.0
100033814	0.0	0.0
3727	16926.0	5608.0
63948	2.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	20101.0	18333.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1475.0	2029.0
151056	312.0	138.0
3725	28958.0	16371.0
645528	4.0	0.0
728532	20.0	25.0
163059	284.0	352.0
728538	0.0	0.0
728537	136.0	243.0
63967	44.0	182.0
3737	41.0	10.0
3738	46.0	9.0
3739	11.0	2.0
645538	0.0	0.0
3730	1186.0	5520.0
3732	4780.0	2896.0
3734	0.0	0.0
3735	7978.0	3419.0
3736	83.0	7.0
63970	174.0	37.0
3750	285.0	72.0
63971	5126.0	5429.0
63974	3.0	0.0
163049	1960.0	2207.0
63973	325.0	2956.0
63976	269.0	19.0
222068	5714.0	4990.0
63978	0.0	0.0
63977	431.0	501.0
63979	528.0	769.0
728524	0.0	0.0
3748	558.0	540.0
163051	42.0	51.0
3749	1489.0	267.0
163050	44.0	39.0
3741	50.0	11.0
645548	1.0	8.0
3743	2.0	6.0
3744	5.0	0.0
3745	2130.0	13.0
3746	6.0	6.0
3747	162.0	1914.0
285671	484.0	475.0
285672	1669.0	1681.0
100873431	0.0	0.0
100873430	0.0	2.0
3760	47.0	113.0
285676	39.0	48.0
3761	0.0	0.0
100128657	0.0	2.0
285679	3.0	10.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	682.0	234.0
283008	3.0	0.0
3751	605.0	1993.0
100873435	0.0	0.0
3752	1430.0	1781.0
100873434	0.0	0.0
3753	33.0	1.0
100873433	0.0	0.0
3754	39.0	12.0
100873432	0.0	0.0
3755	63.0	24.0
100873439	0.0	0.0
3756	43.0	419.0
100873438	0.0	0.0
3757	61.0	25.0
100873437	0.0	0.0
3758	5.0	0.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	135.0	69.0
3772	145.0	141.0
100861458	0.0	0.0
100861453	28.0	13.0
100861455	0.0	0.0
1107	9357.0	9694.0
1106	5718.0	6494.0
1105	1968.0	2839.0
1104	1365.0	1457.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1360.0	587.0
1101	935.0	1187.0
3762	583.0	254.0
100873424	0.0	0.0
3763	33.0	216.0
100128640	117.0	62.0
100873423	0.0	0.0
3764	1106.0	175.0
100873422	0.0	0.0
3765	2.0	3.0
100873421	0.0	0.0
3766	36.0	12.0
100873428	0.0	0.0
3767	785.0	1902.0
100873427	0.0	0.0
3768	266.0	30.0
1109	2.0	3.0
100873426	0.0	12.0
1108	13718.0	20223.0
3769	5.0	18.0
100873425	0.0	0.0
100128637	0.0	3.0
100128639	0.0	0.0
3780	15.0	12.0
100873453	0.0	0.0
3781	41.0	19.0
100873452	0.0	0.0
3782	357.0	186.0
100873451	0.0	0.0
3783	1105.0	333.0
100873450	0.0	0.0
1121	1090.0	1782.0
100861468	0.0	0.0
1120	198.0	76.0
100861469	0.0	1.0
1118	2985.0	194.0
1117	1445.0	2758.0
1116	7878.0	919.0
1114	71.0	6.0
1113	24.0	9.0
1112	7593.0	1915.0
1111	366.0	525.0
3773	550.0	6.0
100873457	0.0	2.0
100873456	0.0	1.0
3775	370.0	192.0
100873455	0.0	0.0
3776	689.0	159.0
100873454	0.0	0.0
3777	533.0	0.0
3778	2117.0	3168.0
3779	1530.0	100.0
100873459	0.0	0.0
1119	1766.0	1150.0
100128627	0.0	7.0
100128626	0.0	0.0
3790	1002.0	1663.0
100128628	5.0	5.0
3791	3832.0	1206.0
100873442	0.0	0.0
3792	110.0	185.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	26.0	11.0
1131	87.0	29.0
1130	2162.0	4225.0
100861476	0.0	2.0
1129	1.0	0.0
1128	218.0	34.0
1124	347.0	323.0
1123	914.0	729.0
1122	641.0	2535.0
100861470	0.0	0.0
3784	868.0	354.0
100873446	0.0	0.0
3785	3.0	1.0
100873445	0.0	0.0
3786	192.0	256.0
100873444	0.0	0.0
3787	60.0	9.0
100873443	0.0	0.0
3788	12.0	4.0
100873449	0.0	9.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	140.0	47.0
100128618	0.0	0.0
728597	0.0	0.0
100128617	5.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	69.0	122.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	1.0
285634	4.0	4.0
1142	0.0	1.0
1141	74.0	30.0
285636	1806.0	3023.0
1140	669.0	494.0
728599	1.0	3.0
1139	14.0	2.0
1138	21.0	7.0
1137	5.0	1.0
100861485	0.0	0.0
1136	26.0	18.0
1135	318.0	1.0
1134	86.0	106.0
1133	24.0	6.0
3795	559.0	149.0
100873479	3.0	6.0
3796	901.0	1280.0
100873478	0.0	0.0
3797	1307.0	727.0
100873477	2.0	0.0
3798	54.0	29.0
100873476	0.0	0.0
3799	12139.0	15620.0
100873460	0.0	0.0
728586	20.0	6.0
285641	0.0	0.0
100873464	0.0	3.0
100873463	1.0	3.0
100873462	0.0	0.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	964.0	3207.0
1153	24296.0	19248.0
1152	2943.0	1227.0
285647	5.0	29.0
728589	18.0	28.0
728588	102.0	3.0
1149	6335.0	4.0
1147	1429.0	1799.0
1146	0.0	0.0
1145	79.0	20.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	348.0	1079.0
1163	1104.0	1256.0
285659	0.0	0.0
1161	389.0	404.0
1160	613.0	22.0
1159	128.0	35.0
1158	5.0	6.0
1157	2.0	0.0
1155	3197.0	2328.0
550643	1203.0	1649.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3373.0	2221.0
1175	4977.0	3142.0
285668	62.0	3.0
1174	2003.0	2171.0
1173	19486.0	11693.0
550631	169.0	314.0
100873489	0.0	0.0
283014	13.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	1.0
283092	0.0	0.0
1187	101.0	16.0
1186	3856.0	2774.0
1185	1580.0	714.0
1184	460.0	334.0
1183	578.0	91.0
1182	4978.0	7343.0
1181	184.0	307.0
440375	50.0	22.0
1180	41.0	66.0
1179	0.0	0.0
1178	0.0	0.0
283089	14.0	4.0
85495	0.0	0.0
85480	140.0	4.0
283080	0.0	0.0
1198	2857.0	1851.0
1197	0.0	2.0
1196	1905.0	3179.0
1195	4295.0	4205.0
440366	0.0	2.0
1193	1895.0	271.0
1192	19379.0	12381.0
1191	179815.0	88758.0
1188	44.0	10.0
283078	219.0	1089.0
85486	4.0	2.0
128615	0.0	0.0
85481	1.0	2.0
128611	115.0	16.0
440396	35.0	68.0
128609	0.0	0.0
128602	4.0	7.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	8.0
126014	342.0	169.0
440335	1060.0	3238.0
100128690	0.0	0.0
114034	766.0	537.0
126006	101.0	130.0
114036	32.0	20.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	51.0	62.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	1.0
105180391	0.0	0.0
100128682	5.0	2.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	222.0	224.0
440356	3.0	43.0
440354	37.0	59.0
440352	2.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	11.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	2.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	7.0	1.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	92.0	159.0
200734	3401.0	5613.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	2.0
100873407	0.0	0.0
100861430	16.0	15.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3986.0	3357.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	3.0	1.0
645443	6.0	4.0
165530	129.0	7.0
85409	129.0	349.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	2.0	2.0
106481383	0.0	2.0
85417	75.0	64.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	339.0	137.0
106481389	0.0	0.0
85415	1018.0	1149.0
106481387	0.0	0.0
85413	18.0	5.0
106481388	0.0	4.0
645436	0.0	0.0
106481381	0.0	3.0
106481382	0.0	0.0
10	104.0	745.0
106481380	0.0	0.0
11	4.0	20.0
403341	812.0	775.0
12	318.0	105.0
13	299.0	0.0
14	7889.0	6227.0
15	12.0	1.0
16	9475.0	4336.0
645455	5.0	13.0
18	1838.0	7946.0
19	5069.0	1113.0
128580	6.0	4.0
85407	95.0	186.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1310.0	1790.0
106481395	0.0	0.0
85403	1667.0	3616.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4823.0	2786.0
106481390	0.0	0.0
21	5621.0	8364.0
106481391	0.0	0.0
22	1575.0	1610.0
153571	759.0	543.0
153572	2385.0	2402.0
23	5355.0	4788.0
24	208.0	147.0
25	7957.0	4783.0
26	23.0	12.0
27	2052.0	4232.0
28	426.0	134.0
29	6143.0	4743.0
153579	7311.0	69.0
728615	0.0	0.0
728614	0.0	0.0
200765	174.0	141.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	38.0	11.0
102466518	0.0	0.0
102466516	8.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	770.0	1651.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3067.0	2577.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	162.0	153.0
106481366	0.0	0.0
30	4943.0	3532.0
106481360	0.0	0.0
31	6437.0	8760.0
32	17518.0	493.0
33	751.0	3.0
34	4243.0	3596.0
35	4891.0	1132.0
153562	861.0	2372.0
36	4454.0	12053.0
37	25064.0	10895.0
38	6364.0	3449.0
440307	3.0	3.0
39	922.0	1213.0
165545	6.0	20.0
106481369	0.0	0.0
728606	386.0	969.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	15.0	1.0
106481370	0.0	0.0
41	229.0	135.0
106481371	0.0	0.0
43	172.0	43.0
645486	0.0	0.0
47	9883.0	21037.0
48	14114.0	2055.0
49	25.0	4.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	2.0	2.0
106481340	0.0	0.0
85458	4487.0	3238.0
106481345	0.0	0.0
