id	f5aa7410-7a2e-4267-ba3a-2a6a391f6b45	b40a318f-fc61-49e5-ab41-c2e41510a12c
285550	1417.0	940.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	22.0
3640	4.0	4.0
3638	4162.0	4226.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1978.0	2223.0
100873313	0.0	0.0
3632	2002.0	1021.0
100873312	5.0	4.0
100873311	0.0	0.0
3633	1336.0	903.0
100873318	1.0	1.0
3635	1361.0	712.0
100873317	0.0	0.0
3636	4423.0	8320.0
100128771	46.0	44.0
100873316	6.0	8.0
100873315	0.0	0.0
100128766	0.0	6.0
3651	0.0	0.0
1	4.0	44.0
2	96585.0	12431.0
100873309	0.0	0.0
100873308	0.0	0.0
3	22.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	522.0	29221.0
3642	61.0	4436.0
100873302	0.0	1.0
3643	6928.0	8331.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	13.0	8.0
100873307	0.0	0.0
3646	14145.0	20689.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	50.0	191.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2132.0	2112.0
100873331	0.0	0.0
3661	1415.0	2567.0
100873330	0.0	1.0
285577	1.0	0.0
3662	282.0	82.0
100128756	0.0	0.0
1000	21.0	183.0
3652	1142.0	1539.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	117.0	16.0
3654	4896.0	10036.0
100873334	0.0	0.0
3655	9601.0	12233.0
100873333	0.0	1.0
3656	778.0	172.0
100873339	0.0	0.0
3658	4096.0	5173.0
100873338	0.0	0.0
3659	2045.0	4044.0
100873337	0.0	0.0
3670	0.0	13.0
100873321	0.0	1.0
3671	9409.0	10970.0
100873320	0.0	0.0
3672	15193.0	2604.0
285588	1.0	2.0
3673	671.0	5180.0
1011	0.0	0.0
1010	16.0	5.0
1008	4.0	0.0
1007	0.0	1.0
1006	18.0	8.0
1005	2.0	1.0
1004	570.0	174.0
1003	16005.0	1189.0
1002	18.0	59.0
1001	19.0	987.0
3663	457.0	426.0
100873325	0.0	0.0
3664	378.0	10713.0
100873324	0.0	0.0
3665	453.0	4241.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3515.0	6598.0
100873329	0.0	0.0
285590	3263.0	3647.0
100873328	0.0	0.0
3669	176.0	670.0
100873327	0.0	0.0
1009	2357.0	6638.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	7.0
728477	5.0	18.0
3680	2648.0	1172.0
3681	14.0	17.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	856.0	576.0
100873353	0.0	0.0
3683	549.0	893.0
100873352	11.0	0.0
