id	9da11996-ba83-4163-bc96-c20a038ee77b	9683e884-734f-4487-97e6-5ada5e3d3ebc
285550	1688.0	1352.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	13.0	17.0
3640	17.0	10.0
3638	3791.0	2618.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2968.0	2943.0
100873313	0.0	0.0
3632	1830.0	2012.0
100873312	6.0	5.0
100873311	0.0	0.0
3633	1840.0	1670.0
100873318	0.0	0.0
3635	4136.0	3281.0
100873317	0.0	0.0
3636	7209.0	5122.0
100128771	192.0	147.0
100873316	11.0	15.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	45.0	26.0
2	143990.0	123394.0
100873309	0.0	0.0
100873308	0.0	0.0
3	31.0	33.0
3641	3.0	1.0
100873303	0.0	0.0
9	2138.0	866.0
3642	6.0	12.0
100873302	0.0	2.0
3643	9599.0	7841.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	167.0	15.0
100873307	0.0	0.0
3646	30107.0	27147.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	291.0	148.0
100873304	0.0	0.0
100873332	3.0	4.0
3660	3832.0	3797.0
100873331	0.0	0.0
3661	2486.0	1823.0
100873330	0.0	0.0
285577	5.0	2.0
3662	1220.0	1920.0
100128756	0.0	0.0
1000	309.0	308.0
3652	1384.0	1132.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	57.0	61.0
3654	7710.0	7863.0
100873334	0.0	0.0
3655	22539.0	11782.0
100873333	0.0	0.0
3656	586.0	548.0
100873339	0.0	0.0
3658	6256.0	7232.0
100873338	0.0	0.0
3659	3901.0	3454.0
100873337	0.0	0.0
3670	110.0	14.0
100873321	0.0	0.0
3671	16705.0	15614.0
100873320	0.0	0.0
3672	6709.0	7656.0
285588	1.0	0.0
3673	10941.0	3821.0
1011	0.0	0.0
1010	74.0	16.0
1008	4.0	34.0
1007	0.0	1.0
1006	310.0	58.0
1005	4.0	14.0
1004	434.0	1313.0
1003	7040.0	9706.0
1002	369.0	35.0
1001	13627.0	1794.0
3663	1168.0	774.0
100873325	0.0	0.0
3664	13707.0	4218.0
100873324	0.0	0.0
3665	794.0	987.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	8995.0	4751.0
100873329	0.0	0.0
285590	18939.0	11273.0
100873328	0.0	0.0
3669	1342.0	793.0
100873327	0.0	0.0
1009	12714.0	11608.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	2.0
728477	16.0	7.0
3680	5229.0	4259.0
3681	557.0	424.0
100128733	1.0	1.0
100873354	0.0	0.0
3682	960.0	699.0
100873353	0.0	0.0
3683	2396.0	2747.0
100873352	0.0	0.0
128710	1270.0	1317.0
3684	1677.0	1388.0
100873351	0.0	0.0
285512	154.0	124.0
1022	1536.0	1472.0
285513	1496.0	1824.0
1021	5422.0	3319.0
1020	1031.0	727.0
440299	0.0	1.0
1019	6155.0	4727.0
128709	0.0	0.0
1018	45.0	26.0
1017	2365.0	2074.0
1016	0.0	6.0
1015	47.0	46.0
1014	0.0	0.0
1013	16.0	14.0
1012	1890.0	1554.0
116730	130.0	137.0
3674	43.0	21.0
100873358	0.0	0.0
3675	15887.0	7515.0
100873357	2.0	2.0
3676	2521.0	1787.0
100128731	7971.0	6640.0
100873356	0.0	0.0
3678	7393.0	7714.0
3679	1628.0	3311.0
100873359	0.0	0.0
728464	202.0	82.0
728463	35.0	27.0
100128725	0.0	0.0
3690	514.0	347.0
3691	18787.0	6428.0
100873343	1.0	0.0
3692	7259.0	6168.0
3693	18254.0	30997.0
285521	1658.0	1878.0
100873342	0.0	0.0
3694	8879.0	1642.0
100873341	0.0	1.0
3695	341.0	412.0
100873340	3.0	0.0
100128723	2.0	2.0
1033	316.0	316.0
1032	300.0	365.0
285525	4.0	5.0
1031	1601.0	2419.0
285527	6159.0	7155.0
1030	624.0	2037.0
728468	0.0	1.0
440288	180.0	194.0
1029	159.0	215.0
440295	167.0	77.0
1028	2091.0	1383.0
1027	5355.0	7408.0
1026	4775.0	9379.0
1025	3549.0	3151.0
1024	1155.0	934.0
3685	14768.0	15781.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	2772.0	1429.0
100873345	0.0	0.0
3688	38282.0	34472.0
100873344	0.0	0.0
3689	9993.0	6168.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	5.0	3.0
100873370	0.0	0.0
728498	30.0	29.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	64.0	54.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	124.0	106.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	170.0	49.0
1043	1856.0	2266.0
1041	6.0	11.0
1040	3079.0	2691.0
1039	2468.0	1637.0
1038	6.0	11.0
1036	653.0	1091.0
3696	4834.0	1268.0
3697	8.0	6.0
100873379	0.0	0.0
3698	517.0	107.0
100873378	2.0	0.0
3699	229.0	413.0
100873377	0.0	0.0
728486	16.0	13.0
100873361	0.0	0.0
105373869	46.0	85.0
100873360	0.0	0.0
285540	149.0	152.0
100128705	0.0	3.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	3.0
100873362	0.0	0.0
100128701	5.0	2.0
1054	3379.0	2774.0
285547	0.0	0.0
1053	9.0	7.0
285548	14.0	2.0
1052	1105.0	935.0
1051	3058.0	1139.0
728489	11.0	6.0
1050	1213.0	1106.0
100128707	0.0	0.0
1048	47.0	14.0
1047	294.0	3142.0
1046	0.0	0.0
1045	0.0	0.0
100873369	9.0	9.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	1742.0	1269.0
1063	2922.0	3392.0
1062	564.0	663.0
1061	4.0	3.0
1060	2245.0	2305.0
440253	182.0	188.0
1059	6873.0	5182.0
1058	165.0	154.0
1057	0.0	2.0
85379	12672.0	8911.0
114112	1215.0	618.0
1056	78.0	23.0
85377	4856.0	2574.0
85378	3743.0	2084.0
128745	2.0	1.0
85376	30.0	20.0
440248	747.0	655.0
1075	8749.0	9343.0
1074	16.0	23.0
1073	1848.0	1920.0
1072	54294.0	42135.0
1071	83.0	130.0
440243	0.0	0.0
1070	1199.0	1007.0
1069	4166.0	3567.0
1068	0.0	0.0
85369	3541.0	2995.0
85366	11.0	10.0
85364	2505.0	1882.0
85365	3587.0	2227.0
85363	3072.0	1872.0
85360	1628.0	1260.0
1080	461.0	166.0
85391	9.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	736.0	801.0
1087	17.0	0.0
1086	0.0	0.0
440279	38.0	40.0
1085	2.0	2.0
1084	7.0	6.0
440278	129.0	102.0
1082	0.0	0.0
403294	0.0	0.0
440275	7799.0	6213.0
1081	0.0	0.0
85397	5.0	11.0
85395	560.0	361.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	11.0	6.0
440270	1978.0	988.0
1089	17.0	24.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	46.0	24.0
285598	1809.0	881.0
126133	2104.0	1667.0
128790	0.0	3.0
126129	412.0	363.0
126123	0.0	1.0
442862	0.0	0.0
126119	712.0	633.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	2.0
114131	1.0	0.0
442896	1.0	0.0
114132	31.0	32.0
442897	0.0	0.0
442898	5.0	0.0
114134	618.0	1000.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	1.0
100128788	102.0	98.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	3.0
442890	0.0	0.0
442891	3.0	0.0
442892	3.0	2.0
128756	1.0	1.0
100128782	281.0	155.0
100128781	1.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	50.0	89.0
102466616	0.0	0.0
126052	0.0	0.0
151009	68.0	57.0
403227	1.0	0.0
403228	1.0	0.0
138046	4.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	0.0
645572	0.0	0.0
645571	7.0	6.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1236.0	563.0
107131122	0.0	0.0
138050	12660.0	9449.0
403219	0.0	0.0
151011	6306.0	5237.0
645587	8.0	0.0
165679	839.0	358.0
126037	42.0	37.0
114049	5175.0	4726.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1903.0	1565.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2597.0	2360.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	458.0	389.0
100033820	0.0	0.0
106481480	2.0	1.0
106481481	0.0	0.0
138065	287.0	63.0
645598	0.0	0.0
163007	1.0	10.0
114038	0.0	2.0
645591	0.0	1.0
106481495	1.0	0.0
114041	256.0	34.0
106481496	0.0	0.0
114042	7.0	2.0
106481493	0.0	0.0
114043	29.0	21.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	451.0	292.0
126017	924.0	1001.0
106481497	6.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	4.0
85301	2744.0	692.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	1.0	0.0
102466656	0.0	2.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1950.0	2801.0
106481459	0.0	0.0
26994	9852.0	8932.0
106481457	10.0	1.0
26995	3825.0	2456.0
106481458	0.0	0.0
403271	0.0	0.0
26998	11.0	2.0
403272	1.0	0.0
102466659	0.0	0.0
26999	2898.0	2227.0
403273	0.0	0.0
102466658	5.0	1.0
106481462	0.0	0.0
