id	e84e835c-ce99-46bd-a50b-068cfb983143	512b0f65-4ee9-4d01-b453-075499fe9d83
1069	2098.0	3538.0
1068	0.0	0.0
85369	1368.0	2626.0
85366	9.0	2.0
85364	1023.0	4651.0
85365	1711.0	2863.0
85363	1311.0	1925.0
85360	925.0	1596.0
1080	46.0	152.0
85391	1.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	3.0
153733	419.0	637.0
1087	5.0	75.0
1086	0.0	4.0
440279	12.0	56.0
1085	2.0	15.0
1084	41.0	7.0
440278	91.0	95.0
1082	0.0	0.0
403294	0.0	0.0
440275	3509.0	5377.0
1081	0.0	21.0
85397	6.0	21.0
85395	261.0	444.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	9.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	557.0	557.0
1089	28.0	16.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	13.0	4.0
285598	425.0	1632.0
126133	850.0	1657.0
128790	1.0	3.0
126129	152.0	392.0
126123	0.0	0.0
442862	0.0	0.0
126119	368.0	796.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	57.0	37.0
442897	0.0	0.0
442898	1.0	0.0
114134	400.0	1564.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	11.0
100128788	41.0	52.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	1.0
442892	1.0	2.0
128756	0.0	0.0
100128782	147.0	197.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	68.0	64.0
102466616	0.0	0.0
126052	0.0	0.0
151009	43.0	62.0
403227	1.0	0.0
403228	0.0	0.0
138046	6.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	16.0	11.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	875.0	689.0
107131122	0.0	0.0
138050	4929.0	8831.0
403219	0.0	0.0
151011	4930.0	6521.0
645587	0.0	1.0
165679	309.0	1835.0
126037	16.0	114.0
114049	2218.0	3548.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	581.0	969.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1618.0	2776.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	148.0	287.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	96.0	60.0
645598	0.0	2.0
163007	1.0	1.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	65.0	93.0
106481496	0.0	0.0
114042	9.0	15.0
106481493	0.0	0.0
114043	6.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	111.0	235.0
126017	266.0	1089.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	7.0	6.0
85301	1002.0	2496.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	3.0
403275	0.0	0.0
102466656	3.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	619.0	2825.0
106481459	0.0	0.0
26994	7168.0	12872.0
106481457	1.0	1.0
26995	1468.0	2555.0
106481458	0.0	0.0
403271	0.0	0.0
26998	14.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	785.0	1798.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1032.0	2766.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	788.0	104.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	42.0	1391.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	595.0	1029.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	0.0
106481437	0.0	0.0
26974	91.0	177.0
153657	23.0	85.0
106481438	0.0	395.0
106481435	0.0	0.0
26973	763.0	1621.0
165631	54.0	88.0
106481436	0.0	0.0
26978	11.0	10.0
126075	461.0	775.0
106481439	0.0	0.0
403250	0.0	0.0
126074	153.0	315.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1013.0	2508.0
106481444	2.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2463.0	4062.0
85354	0.0	0.0
85352	55.0	398.0
403241	0.0	0.0
344462	2.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	371.0	649.0
153643	12.0	87.0
403247	0.0	0.0
403248	0.0	0.0
26985	2405.0	4826.0
106481448	0.0	0.0
26986	56377.0	53146.0
126069	83.0	155.0
106481449	0.0	0.0
126068	442.0	1067.0
106481446	0.0	0.0
26983	0.0	0.0
26984	691.0	1189.0
106481447	0.0	0.0
106481451	1.0	6.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	198.0	570.0
106481455	0.0	0.0
85349	110.0	73.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	3.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	41.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	4.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	1.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	4.0
63901	1460.0	2763.0
100873390	0.0	0.0
728556	33.0	59.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	96.0	146.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	326.0	647.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	6.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	157.0	416.0
100873384	0.0	0.0
285601	27.0	10.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	2.0
63910	109.0	247.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	422.0	882.0
222008	0.0	70.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2249.0	2749.0
63904	2.0	0.0
106481430	1.0	3.0
163071	20.0	42.0
63906	538.0	1003.0
106481433	0.0	0.0
63908	546.0	2038.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	35.0	85.0
63920	126.0	491.0
63923	245.0	1752.0
63922	208.0	380.0
728577	403.0	363.0
63925	1011.0	2064.0
63924	8001.0	490.0
63916	1850.0	4526.0
63917	3062.0	4961.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	2.0
728564	4.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1333.0	1428.0
106481402	0.0	0.0
63931	1362.0	2104.0
106481403	0.0	2.0
63934	334.0	597.0
728567	2.0	4.0
106481408	0.0	1.0
163088	3.0	11.0
63933	1718.0	4334.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2639.0	3759.0
163087	589.0	1165.0
728568	255.0	410.0
106481407	12.0	7.0
3704	1156.0	3802.0
3705	3887.0	3636.0
63926	437.0	1274.0
3706	5.0	23.0
63929	738.0	1790.0
3707	3556.0	5156.0
63928	0.0	216.0
3708	4174.0	9764.0
106481411	0.0	0.0
3709	5719.0	17426.0
106481412	0.0	0.0
106481410	3.0	1.0
3700	17.0	19.0
3702	197.0	324.0
3703	5248.0	14574.0
645506	0.0	0.0
151050	793.0	1461.0
645520	0.0	0.0
63941	580.0	1110.0
63940	1128.0	988.0
63943	205.0	390.0
728517	0.0	0.0
163033	257.0	381.0
258010	1282.0	5636.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	8.0
100033803	0.0	0.0
3716	11097.0	21525.0
100033804	0.0	0.0
3717	1099.0	2255.0
100033805	0.0	0.0
3718	407.0	1139.0
63939	667.0	1458.0
100033806	0.0	0.0
100190799	7.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	61.0	93.0
3710	2154.0	7596.0
3712	2940.0	4094.0
3713	2.0	8.0
3714	2946.0	3526.0
63950	0.0	32.0
728505	0.0	1.0
63951	49.0	269.0
100033807	0.0	0.0
728501	49.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17146.0	9474.0
100033814	0.0	0.0
3727	20855.0	7561.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	14420.0	15941.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1014.0	2654.0
151056	326.0	470.0
3725	18731.0	21863.0
645528	9.0	1.0
728532	20.0	32.0
163059	287.0	507.0
728538	0.0	0.0
728537	97.0	212.0
63967	45.0	197.0
3737	15.0	53.0
3738	57.0	148.0
3739	11.0	1.0
645538	0.0	0.0
3730	904.0	3416.0
3732	3034.0	3253.0
3734	0.0	0.0
3735	6191.0	7698.0
3736	185.0	972.0
63970	118.0	127.0
3750	209.0	608.0
63971	4459.0	7686.0
63974	0.0	0.0
163049	1992.0	3665.0
63973	36.0	37.0
63976	175.0	203.0
222068	3625.0	7223.0
63978	0.0	0.0
63977	339.0	1017.0
63979	661.0	1228.0
728524	0.0	0.0
3748	396.0	341.0
163051	20.0	42.0
3749	859.0	1959.0
163050	32.0	93.0
3741	32.0	16.0
645548	2.0	10.0
3743	3.0	4.0
3744	0.0	0.0
3745	430.0	712.0
3746	11.0	40.0
3747	126.0	377.0
285671	532.0	924.0
285672	1574.0	2111.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	32.0	138.0
285676	56.0	105.0
3761	0.0	0.0
100128657	0.0	0.0
285679	1.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	532.0	562.0
283008	7.0	21.0
3751	358.0	2266.0
100873435	0.0	0.0
3752	614.0	1520.0
100873434	0.0	0.0
3753	79.0	28.0
100873433	0.0	0.0
3754	28.0	12.0
100873432	0.0	0.0
3755	54.0	209.0
100873439	0.0	0.0
3756	10.0	39.0
100873438	0.0	0.0
3757	37.0	130.0
100873437	0.0	0.0
3758	20.0	7.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	120.0	140.0
3772	222.0	383.0
100861458	0.0	0.0
100861453	23.0	7.0
100861455	0.0	0.0
1107	7086.0	19645.0
1106	4429.0	11669.0
1105	4067.0	5129.0
1104	1127.0	1488.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1267.0	2188.0
1101	317.0	4065.0
3762	311.0	528.0
100873424	0.0	0.0
3763	3.0	53.0
100128640	136.0	146.0
100873423	0.0	0.0
3764	1029.0	1255.0
100873422	0.0	0.0
3765	1.0	4.0
100873421	0.0	1.0
3766	4.0	16.0
100873428	0.0	0.0
3767	54.0	383.0
100873427	0.0	0.0
3768	215.0	288.0
1109	2.0	2.0
100873426	0.0	0.0
1108	9761.0	28367.0
3769	7.0	29.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	19.0	83.0
100873453	0.0	0.0
3781	22.0	36.0
100873452	0.0	0.0
3782	485.0	463.0
100873451	0.0	0.0
3783	1383.0	1939.0
100873450	0.0	0.0
1121	1351.0	3012.0
100861468	0.0	0.0
1120	141.0	121.0
100861469	0.0	0.0
1118	92.0	42.0
1117	2151.0	1379.0
1116	3090.0	1252.0
1114	6.0	18.0
1113	5.0	162.0
1112	5110.0	8288.0
1111	281.0	627.0
3773	409.0	514.0
100873457	0.0	1.0
100873456	2.0	0.0
3775	561.0	1224.0
100873455	0.0	0.0
3776	1174.0	375.0
100873454	0.0	0.0
3777	129.0	189.0
3778	2193.0	3065.0
3779	1827.0	940.0
100873459	0.0	0.0
1119	1581.0	2525.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	1055.0	1511.0
100128628	3.0	1.0
3791	2650.0	6782.0
100873442	0.0	0.0
3792	6.0	18.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	12.0	13.0
1131	102.0	201.0
1130	2277.0	5033.0
100861476	0.0	0.0
1129	2.0	1.0
1128	195.0	896.0
1124	373.0	1084.0
1123	1583.0	1939.0
1122	846.0	1826.0
100861470	0.0	0.0
3784	882.0	705.0
100873446	0.0	0.0
3785	0.0	5.0
100873445	0.0	0.0
3786	91.0	285.0
100873444	0.0	0.0
3787	482.0	103.0
100873443	0.0	0.0
3788	21.0	227.0
100873449	0.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	119.0	86.0
100128618	0.0	3.0
728597	7.0	1.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	47.0	85.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	139.0
285634	0.0	4.0
1142	0.0	0.0
1141	69.0	159.0
285636	1602.0	4391.0
1140	378.0	645.0
728599	3.0	8.0
1139	29.0	40.0
1138	60.0	73.0
1137	0.0	92.0
100861485	0.0	0.0
1136	6.0	61.0
1135	2.0	8.0
1134	12.0	15.0
1133	13.0	36.0
3795	192.0	243.0
100873479	4.0	3.0
3796	1102.0	2384.0
100873478	0.0	0.0
3797	938.0	2563.0
100873477	1.0	3.0
3798	138.0	299.0
100873476	0.0	0.0
3799	12241.0	22952.0
100873460	0.0	0.0
728586	25.0	36.0
285641	0.0	1.0
100873464	0.0	2.0
100873463	0.0	0.0
100873462	4.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	989.0	1691.0
1153	15953.0	21709.0
1152	1323.0	2158.0
285647	11.0	36.0
728589	10.0	43.0
728588	0.0	5.0
1149	1094.0	98.0
1147	1366.0	1904.0
1146	1.0	3.0
1145	31.0	93.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	2.0
100873494	0.0	0.0
1164	232.0	402.0
1163	914.0	796.0
285659	0.0	0.0
1161	316.0	541.0
1160	158.0	110.0
1159	72.0	94.0
1158	9.0	4.0
1157	0.0	0.0
1155	1691.0	3203.0
550643	1122.0	1312.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2995.0	3130.0
1175	2017.0	3059.0
285668	19.0	19.0
1174	1081.0	2695.0
1173	12528.0	23410.0
550631	91.0	208.0
100873489	0.0	0.0
283014	2.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	33.0	43.0
1186	1875.0	5188.0
1185	1274.0	2239.0
1184	320.0	1243.0
1183	492.0	1056.0
1182	4877.0	15567.0
1181	191.0	494.0
440375	21.0	46.0
1180	24.0	85.0
1179	1.0	0.0
1178	10.0	6.0
283089	2.0	13.0
85495	0.0	0.0
85480	198.0	100.0
283080	0.0	0.0
1198	1702.0	3303.0
1197	0.0	1.0
1196	1003.0	1980.0
1195	3141.0	5207.0
440366	3.0	2.0
1193	2213.0	1948.0
1192	12925.0	15962.0
1191	41791.0	41052.0
1188	14.0	24.0
283078	126.0	127.0
85486	2.0	3.0
128615	0.0	1.0
85481	2.0	0.0
128611	89.0	79.0
440396	45.0	58.0
128609	0.0	1.0
128602	0.0	1.0
440387	0.0	0.0
128674	2.0	2.0
128676	2.0	2.0
114026	0.0	0.0
100861402	2.0	8.0
126014	178.0	172.0
440335	403.0	554.0
100128690	0.0	0.0
114034	863.0	857.0
126006	12.0	65.0
114036	25.0	23.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	20.0	61.0
100861412	0.0	2.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	4.0
100861429	0.0	0.0
128653	3.0	3.0
200728	181.0	213.0
440356	1.0	6.0
440354	64.0	111.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	6.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	1.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	6.0	2.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	33.0	102.0
200734	2486.0	6205.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	6.0
100873402	0.0	0.0
100873401	0.0	3.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2829.0	19270.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	4.0
165530	58.0	53.0
85409	160.0	1042.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	1.0	7.0
85417	17.0	43.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	402.0	473.0
106481389	0.0	0.0
85415	1806.0	2811.0
106481387	0.0	0.0
85413	5.0	11.0
106481388	1.0	7.0
645436	1.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	5.0	14.0
106481380	0.0	0.0
11	0.0	0.0
403341	524.0	1491.0
12	150.0	99.0
13	530.0	52.0
14	3744.0	6919.0
15	0.0	5.0
16	4104.0	11527.0
645455	0.0	4.0
18	665.0	2876.0
19	4214.0	5960.0
128580	9.0	11.0
85407	84.0	775.0
106481396	0.0	0.0
106481397	3.0	1.0
106481394	0.0	0.0
85406	962.0	2293.0
106481395	0.0	1.0
85403	1304.0	2212.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2167.0	4155.0
106481390	0.0	0.0
21	1747.0	5732.0
106481391	0.0	0.0
22	1129.0	1431.0
153571	299.0	389.0
153572	1584.0	2925.0
23	3116.0	6446.0
24	210.0	88.0
25	6388.0	13174.0
26	12.0	24.0
27	3084.0	7865.0
28	253.0	884.0
29	4070.0	8589.0
153579	2695.0	1843.0
728615	0.0	4.0
728614	0.0	0.0
200765	180.0	314.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	36.0	53.0
102466518	2.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	832.0	1368.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2599.0	3719.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	105.0	210.0
106481366	0.0	0.0
30	1469.0	2295.0
106481360	0.0	0.0
31	2461.0	5841.0
32	4703.0	3567.0
33	219.0	42.0
34	2538.0	4280.0
35	1092.0	1004.0
153562	741.0	2318.0
36	3035.0	6727.0
37	9949.0	8450.0
38	3432.0	3171.0
440307	3.0	14.0
39	739.0	1170.0
165545	3.0	8.0
106481369	0.0	0.0
728606	22.0	356.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	11.0	17.0
106481370	0.0	0.0
41	211.0	546.0
106481371	0.0	0.0
43	32.0	78.0
645486	1.0	0.0
47	4856.0	14760.0
48	4000.0	3686.0
49	48.0	21.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	4.0	7.0
106481340	0.0	1.0
85458	3064.0	5415.0
