id	f5d3e683-9177-45fc-93e3-357bf7366ac4	94bedc10-62c2-4bd2-bad9-0ec08c9bf5e9
285550	1980.0	1504.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	13.0
3640	1.0	12.0
3638	3598.0	3526.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2215.0	2186.0
100873313	0.0	0.0
3632	2194.0	1073.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	1663.0	1592.0
100873318	0.0	0.0
3635	1205.0	1471.0
100873317	0.0	0.0
3636	3134.0	9517.0
100128771	93.0	100.0
100873316	13.0	26.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	1.0
1	9.0	17.0
2	102415.0	26510.0
100873309	0.0	0.0
100873308	0.0	1.0
3	36.0	14.0
3641	3.0	0.0
100873303	0.0	0.0
9	241.0	4967.0
3642	25.0	0.0
100873302	0.0	1.0
3643	8548.0	5918.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	5.0	20.0
100873307	0.0	0.0
3646	20857.0	21007.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	75.0	38.0
100873304	0.0	0.0
100873332	3.0	7.0
3660	2588.0	2707.0
100873331	0.0	0.0
3661	731.0	8693.0
100873330	0.0	0.0
285577	0.0	0.0
3662	1140.0	265.0
100128756	0.0	0.0
1000	15.0	450.0
3652	1035.0	1025.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	273.0	25.0
3654	2550.0	6547.0
100873334	0.0	0.0
3655	13667.0	3665.0
100873333	0.0	0.0
3656	618.0	241.0
100873339	0.0	0.0
3658	5431.0	2902.0
100873338	0.0	0.0
3659	1501.0	5576.0
100873337	0.0	0.0
3670	7.0	11.0
100873321	0.0	0.0
3671	12457.0	16267.0
100873320	0.0	0.0
3672	18946.0	5139.0
285588	2.0	0.0
3673	490.0	2646.0
1011	0.0	1.0
1010	6.0	1.0
1008	0.0	1.0
1007	0.0	0.0
1006	18.0	51.0
1005	2.0	0.0
1004	517.0	326.0
1003	10540.0	2406.0
1002	14.0	67.0
1001	8.0	3170.0
3663	559.0	1416.0
100873325	0.0	0.0
3664	126.0	11862.0
100873324	0.0	0.0
3665	277.0	1828.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3286.0	4105.0
100873329	0.0	0.0
285590	4295.0	7760.0
100873328	1.0	0.0
3669	164.0	1079.0
100873327	0.0	0.0
1009	1574.0	10203.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	4.0	18.0
3680	4114.0	608.0
3681	15.0	39.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1092.0	771.0
100873353	0.0	0.0
3683	568.0	1909.0
100873352	23.0	0.0
128710	575.0	2201.0
3684	2692.0	1695.0
100873351	1.0	0.0
285512	288.0	133.0
1022	688.0	1474.0
285513	866.0	1142.0
1021	2993.0	1158.0
1020	239.0	975.0
440299	0.0	1.0
1019	2349.0	4536.0
128709	0.0	0.0
1018	23.0	34.0
1017	894.0	1981.0
1016	2.0	1.0
1015	8.0	21.0
1014	1.0	0.0
1013	1.0	34.0
1012	3344.0	1260.0
116730	31.0	93.0
3674	23.0	44.0
100873358	0.0	0.0
3675	1114.0	17032.0
100873357	2.0	3.0
3676	544.0	689.0
100128731	6406.0	16973.0
100873356	0.0	0.0
3678	7183.0	9712.0
3679	21719.0	245.0
100873359	0.0	0.0
728464	20.0	56.0
728463	2.0	56.0
100128725	0.0	0.0
3690	936.0	150.0
3691	2232.0	11289.0
100873343	8.0	1.0
3692	2489.0	12417.0
3693	23126.0	20289.0
285521	1209.0	1470.0
100873342	0.0	0.0
3694	130.0	6555.0
100873341	0.0	0.0
3695	71.0	174.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	35.0	754.0
1032	205.0	468.0
285525	3.0	5.0
1031	2375.0	732.0
285527	6751.0	4716.0
1030	8056.0	1520.0
728468	0.0	0.0
440288	103.0	115.0
1029	67.0	496.0
440295	34.0	241.0
1028	4622.0	509.0
1027	4075.0	3601.0
1026	5510.0	4678.0
1025	2115.0	4329.0
1024	974.0	965.0
3685	11836.0	11009.0
100873347	0.0	0.0
100873346	1.0	0.0
3687	579.0	1864.0
100873345	0.0	0.0
