id	6a508e94-c094-4c0f-85c3-5ea50b54a399	cc55afdc-78e2-48c5-b1ac-386033852bca
285550	1395.0	897.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	27.0	15.0
3640	12.0	3.0
3638	3516.0	1669.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1826.0	1579.0
100873313	0.0	1.0
3632	1706.0	1530.0
100873312	1.0	5.0
100873311	0.0	0.0
3633	1645.0	1327.0
100873318	0.0	0.0
3635	1116.0	1386.0
100873317	0.0	0.0
3636	5376.0	4409.0
100128771	55.0	50.0
100873316	6.0	16.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	1.0	0.0
1	36.0	28.0
2	82395.0	53196.0
100873309	0.0	0.0
100873308	0.0	0.0
3	34.0	17.0
3641	0.0	0.0
100873303	0.0	0.0
9	1799.0	43927.0
3642	1.0	6.0
100873302	1.0	0.0
3643	7887.0	9561.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	1.0
3645	23.0	10.0
100873307	0.0	0.0
3646	21859.0	20723.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	257.0	64.0
100873304	0.0	0.0
100873332	1.0	3.0
3660	2878.0	2866.0
100873331	0.0	0.0
3661	1887.0	1534.0
100873330	0.0	1.0
285577	11.0	1.0
3662	161.0	190.0
100128756	0.0	0.0
1000	73.0	377.0
3652	1248.0	1055.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	121.0	47.0
3654	5737.0	5193.0
100873334	0.0	0.0
3655	15422.0	4171.0
100873333	0.0	0.0
3656	303.0	484.0
100873339	0.0	0.0
3658	4613.0	3016.0
100873338	0.0	0.0
3659	1962.0	4912.0
100873337	0.0	0.0
3670	6.0	1.0
100873321	0.0	0.0
3671	8065.0	10470.0
100873320	0.0	0.0
3672	3994.0	5004.0
285588	1.0	0.0
3673	6672.0	8396.0
1011	0.0	0.0
1010	430.0	4.0
1008	5.0	0.0
1007	1.0	0.0
1006	19.0	54.0
1005	7.0	12.0
1004	361.0	481.0
1003	4741.0	3558.0
1002	332.0	38.0
1001	7366.0	4057.0
3663	256.0	486.0
100873325	0.0	0.0
3664	14863.0	11565.0
100873324	1.0	0.0
3665	504.0	1435.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	10727.0	4939.0
100873329	0.0	0.0
285590	7437.0	6205.0
100873328	0.0	0.0
3669	676.0	738.0
100873327	0.0	0.0
1009	2889.0	7955.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	2.0
728477	9.0	7.0
3680	2661.0	1786.0
3681	12.0	41.0
100128733	2.0	1.0
100873354	0.0	0.0
3682	567.0	622.0
100873353	0.0	0.0
3683	411.0	1967.0
100873352	0.0	0.0
128710	846.0	1146.0
3684	372.0	2338.0
100873351	0.0	0.0
285512	180.0	57.0
1022	1265.0	1582.0
285513	788.0	930.0
1021	2516.0	1503.0
1020	520.0	962.0
440299	3.0	0.0
1019	3349.0	3535.0
128709	1.0	0.0
1018	36.0	19.0
1017	1905.0	1858.0
1016	5.0	1.0
1015	44.0	17.0
1014	1.0	0.0
1013	7.0	2.0
1012	1808.0	1710.0
116730	60.0	62.0
3674	41.0	16.0
100873358	0.0	0.0
3675	8222.0	10041.0
100873357	4.0	1.0
3676	476.0	801.0
100128731	3954.0	5151.0
100873356	0.0	0.0
3678	4557.0	6690.0
3679	2957.0	677.0
100873359	0.0	0.0
728464	55.0	40.0
728463	9.0	23.0
100128725	0.0	0.0
3690	456.0	353.0
3691	18576.0	13618.0
100873343	0.0	0.0
3692	4411.0	4462.0
3693	10227.0	15287.0
285521	1218.0	1440.0
100873342	0.0	0.0
3694	7833.0	7700.0
100873341	0.0	0.0
3695	85.0	191.0
100873340	0.0	0.0
100128723	3.0	6.0
1033	80.0	276.0
1032	197.0	262.0
285525	4.0	1.0
1031	894.0	760.0
285527	5615.0	4260.0
1030	909.0	1231.0
728468	1.0	0.0
440288	181.0	140.0
1029	94.0	206.0
440295	192.0	123.0
1028	1317.0	525.0
1027	4540.0	6377.0
1026	4701.0	4870.0
1025	3026.0	3020.0
1024	673.0	819.0
3685	12098.0	12820.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	191.0	787.0
100873345	0.0	0.0
3688	28704.0	24532.0
100873344	0.0	0.0
3689	1546.0	3200.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	2.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	21.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	2.0	0.0
728492	79.0	52.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	155.0	47.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	43.0
1043	276.0	993.0
1041	5.0	33.0
1040	3042.0	3024.0
1039	2562.0	2029.0
1038	5.0	6.0
1036	1153.0	269.0
3696	6589.0	3961.0
3697	4.0	5.0
100873379	0.0	0.0
3698	542.0	34.0
100873378	3.0	2.0
3699	38.0	47.0
100873377	0.0	0.0
