id	f4bb4f4b-2e42-4098-9edf-042f1fffea0f	0404b823-fd3c-47dd-9861-0f9f01a02d2e
285550	1260.0	1517.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	22.0	23.0
3640	5.0	14.0
3638	2680.0	3261.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	1715.0	3406.0
100873313	0.0	2.0
3632	1322.0	1676.0
100873312	5.0	2.0
100873311	0.0	0.0
3633	1504.0	2036.0
100873318	0.0	0.0
3635	2058.0	4352.0
100873317	0.0	0.0
3636	4524.0	6268.0
100128771	79.0	134.0
100873316	9.0	16.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	1.0	0.0
1	45.0	37.0
2	49758.0	78455.0
100873309	0.0	0.0
100873308	0.0	0.0
3	17.0	28.0
3641	0.0	0.0
100873303	0.0	0.0
9	574.0	5501.0
3642	0.0	302.0
100873302	0.0	1.0
3643	5275.0	7367.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	36.0	40.0
100873307	0.0	0.0
3646	16275.0	26277.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	157.0	126.0
100873304	0.0	0.0
100873332	5.0	0.0
3660	2217.0	3782.0
100873331	0.0	0.0
3661	1657.0	1856.0
100873330	0.0	0.0
285577	4.0	1.0
3662	626.0	1270.0
100128756	0.0	0.0
1000	75.0	384.0
3652	1217.0	2029.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	86.0	45.0
3654	3473.0	7209.0
100873334	0.0	0.0
3655	9954.0	11232.0
100873333	0.0	4.0
3656	253.0	543.0
100873339	0.0	0.0
3658	3873.0	6552.0
100873338	0.0	0.0
3659	2398.0	7481.0
100873337	0.0	1.0
3670	5.0	34.0
100873321	0.0	0.0
3671	5952.0	13941.0
100873320	0.0	0.0
3672	3655.0	5081.0
285588	2.0	2.0
3673	4544.0	6074.0
1011	0.0	0.0
1010	72.0	58.0
1008	8.0	7.0
1007	0.0	0.0
1006	29.0	21.0
1005	6.0	6.0
1004	188.0	480.0
1003	2837.0	3753.0
1002	87.0	110.0
1001	5562.0	4820.0
3663	442.0	1007.0
100873325	0.0	3.0
3664	9693.0	8054.0
100873324	0.0	0.0
3665	505.0	1383.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	5610.0	9811.0
100873329	0.0	0.0
285590	3850.0	10152.0
100873328	0.0	0.0
3669	525.0	940.0
100873327	0.0	0.0
1009	2364.0	17857.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	0.0
728477	8.0	7.0
3680	2408.0	3145.0
3681	13.0	74.0
100128733	0.0	0.0
100873354	0.0	2.0
3682	656.0	983.0
100873353	0.0	0.0
3683	943.0	4395.0
100873352	0.0	0.0
128710	658.0	1554.0
3684	650.0	1910.0
100873351	0.0	0.0
285512	219.0	150.0
1022	886.0	1333.0
285513	975.0	3054.0
1021	1701.0	3178.0
1020	431.0	848.0
440299	1.0	1.0
1019	2518.0	4585.0
128709	0.0	0.0
1018	30.0	17.0
1017	1466.0	2605.0
1016	0.0	2.0
1015	19.0	37.0
1014	1.0	1.0
1013	9.0	10.0
1012	971.0	1012.0
116730	36.0	63.0
3674	32.0	79.0
100873358	0.0	0.0
3675	6935.0	8728.0
100873357	1.0	0.0
3676	607.0	2513.0
100128731	3326.0	6174.0
100873356	0.0	0.0
3678	2307.0	6756.0
3679	2384.0	738.0
100873359	0.0	0.0
728464	65.0	72.0
728463	20.0	17.0
100128725	0.0	0.0
3690	104.0	184.0
3691	12175.0	11726.0
100873343	0.0	4.0
3692	2955.0	5148.0
3693	6385.0	19458.0
285521	1044.0	2013.0
100873342	0.0	0.0
3694	7155.0	6685.0
100873341	0.0	0.0
3695	157.0	583.0
100873340	1.0	1.0
100128723	3.0	1.0
1033	30.0	250.0
1032	163.0	428.0
285525	1.0	3.0
1031	905.0	593.0
285527	3730.0	9911.0
1030	544.0	1256.0
728468	1.0	0.0
440288	120.0	201.0
1029	110.0	396.0
440295	206.0	185.0
1028	1664.0	1085.0
1027	3644.0	6102.0
1026	5690.0	10100.0
1025	2682.0	3627.0
1024	565.0	1111.0
3685	7494.0	19581.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	607.0	1936.0
100873345	0.0	0.0
3688	21174.0	37001.0
100873344	3.0	0.0
3689	1913.0	6769.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	2.0
100873371	5.0	6.0
100873370	0.0	0.0
728498	23.0	20.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	24.0	33.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	66.0	140.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	22.0
1043	488.0	3189.0
1041	10.0	157.0
1040	2321.0	4594.0
1039	1259.0	3422.0
1038	4.0	3.0
1036	1035.0	516.0
3696	4957.0	4620.0
3697	1.0	8.0
100873379	0.0	0.0
3698	149.0	122.0
100873378	3.0	1.0
3699	36.0	67.0
100873377	0.0	0.0
728486	9.0	13.0
100873361	0.0	0.0
105373869	1.0	549.0
100873360	0.0	1.0
285540	132.0	177.0
100128705	1.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	6.0
100873362	0.0	0.0
100128701	0.0	4.0
1054	3042.0	3883.0
285547	0.0	3.0
1053	4.0	5.0
285548	5.0	13.0
1052	1893.0	2911.0
1051	2283.0	2571.0
728489	9.0	8.0
1050	1008.0	772.0
100128707	0.0	0.0
1048	8.0	43.0
1047	333.0	157.0
1046	0.0	0.0
1045	0.0	0.0
100873369	5.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	1959.0	607.0
1063	300.0	2113.0
1062	103.0	578.0
1061	8.0	12.0
1060	1951.0	2688.0
440253	176.0	104.0
1059	3633.0	5370.0
1058	13.0	130.0
1057	0.0	1.0
85379	10142.0	12017.0
114112	687.0	1073.0
1056	31.0	86.0
85377	2948.0	3902.0
85378	3060.0	3175.0
128745	1.0	0.0
85376	25.0	24.0
440248	680.0	604.0
1075	2469.0	6754.0
1074	12.0	27.0
1073	1745.0	1470.0
1072	18662.0	42539.0
1071	28.0	115.0
440243	0.0	0.0
1070	772.0	1205.0
1069	1954.0	4957.0
1068	0.0	0.0
85369	1765.0	3034.0
85366	0.0	4.0
85364	1625.0	1689.0
85365	2187.0	3759.0
85363	1429.0	2781.0
85360	728.0	1032.0
1080	20.0	29.0
85391	11.0	25.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	517.0	994.0
1087	19.0	33.0
1086	0.0	0.0
440279	15.0	28.0
1085	6.0	4.0
1084	4.0	21.0
440278	97.0	174.0
1082	1.0	0.0
403294	0.0	0.0
440275	4131.0	8992.0
1081	0.0	56.0
85397	3.0	27.0
85395	263.0	342.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	2.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
