id	78847e00-15b8-45a5-8b5a-db379f48a1c1	20ff57b5-eeb2-4312-a5e0-11ac8c8d573a
1069	5321.0	5731.0
1068	0.0	0.0
85369	3248.0	1558.0
85366	1.0	9.0
85364	1971.0	1599.0
85365	4241.0	2482.0
85363	3565.0	790.0
85360	1278.0	733.0
1080	831.0	2.0
85391	14.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	1237.0	683.0
1087	9.0	114.0
1086	0.0	3.0
440279	49.0	2.0
1085	6.0	30.0
1084	7.0	5.0
440278	230.0	232.0
1082	0.0	1.0
403294	1.0	0.0
440275	8247.0	11975.0
1081	2.0	1.0
85397	7.0	16.0
85395	285.0	432.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	1.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	1.0
403281	0.0	0.0
403282	1.0	0.0
1094	0.0	2.0
1093	1.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	29.0
440270	3769.0	1591.0
1089	15.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	60.0	1.0
285598	1908.0	909.0
126133	1094.0	1843.0
128790	0.0	0.0
126129	235.0	166.0
126123	1.0	0.0
442862	0.0	0.0
126119	307.0	984.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	2.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	74.0	36.0
442897	0.0	0.0
442898	7.0	0.0
114134	1598.0	1318.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	1.0
100128788	103.0	186.0
100128787	0.0	0.0
440225	0.0	0.0
440224	13.0	61.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	4.0
128756	0.0	0.0
100128782	207.0	130.0
100128781	5.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	2.0	0.0
403235	4.0	0.0
403236	0.0	0.0
63982	458.0	14.0
102466616	0.0	0.0
126052	0.0	0.0
151009	134.0	20.0
403227	24.0	0.0
403228	0.0	0.0
138046	4.0	0.0
645558	0.0	0.0
403229	0.0	8.0
645573	1.0	1.0
645572	0.0	0.0
645571	6.0	7.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	927.0	41.0
107131122	0.0	0.0
138050	13429.0	9369.0
403219	2.0	0.0
151011	12385.0	3309.0
645587	9.0	24.0
165679	6127.0	663.0
126037	30.0	95.0
114049	3508.0	1920.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1599.0	340.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3543.0	2563.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	511.0	342.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	263.0	621.0
645598	0.0	0.0
163007	4.0	19.0
114038	0.0	2.0
645591	2.0	0.0
106481495	2.0	1.0
114041	104.0	90.0
106481496	0.0	0.0
114042	6.0	4.0
106481493	0.0	0.0
114043	30.0	17.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	510.0	350.0
126017	1089.0	1857.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	19.0	0.0
85301	4323.0	787.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	4.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3746.0	7820.0
106481459	0.0	0.0
26994	16254.0	4673.0
106481457	24.0	19.0
26995	2870.0	2836.0
106481458	0.0	0.0
403271	0.0	1.0
26998	8.0	0.0
403272	4.0	0.0
102466659	0.0	0.0
26999	2961.0	936.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	10.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1908.0	2186.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	1.0	7.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3467.0	227.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	1.0	0.0
106481475	1.0	0.0
106481476	0.0	0.0
85320	138.0	5300.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1494.0	1155.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	2.0
106481437	0.0	0.0
26974	380.0	507.0
153657	99.0	86.0
106481438	0.0	38.0
106481435	0.0	0.0
26973	2600.0	852.0
165631	183.0	56.0
106481436	0.0	0.0
26978	41.0	5.0
126075	791.0	946.0
106481439	1.0	0.0
403250	0.0	0.0
126074	224.0	324.0
403251	0.0	1.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1158.0	1921.0
106481444	16.0	6.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3207.0	882.0
85354	0.0	0.0
85352	164.0	289.0
403241	1.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	1.0	0.0
153642	885.0	492.0
153643	43.0	44.0
403247	0.0	0.0
403248	0.0	0.0
26985	7709.0	4991.0
106481448	0.0	0.0
26986	104066.0	77073.0
126069	262.0	127.0
106481449	0.0	0.0
126068	1761.0	406.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1827.0	1481.0
106481447	0.0	0.0
106481451	1.0	6.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	482.0	64.0
106481455	0.0	0.0
85349	394.0	126.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	4.0	2.0
85347	0.0	0.0
26980	8.0	7.0
106481454	0.0	7.0
403238	0.0	0.0
85344	5.0	18.0
403239	0.0	0.0
85345	0.0	1.0
85343	0.0	0.0
344454	10.0	12.0
85340	1.0	0.0
100873394	0.0	0.0
100873393	7.0	1.0
100873392	6.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	2.0	1.0
63901	5256.0	1826.0
100873390	0.0	1.0
728556	82.0	242.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	199.0	107.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	1083.0	519.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	5.0
285600	509.0	336.0
100873384	0.0	0.0
285601	16.0	3.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	3.0	1.0
63910	187.0	247.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1630.0	1266.0
222008	12.0	42.0
106481428	0.0	0.0
106481429	1.0	3.0
63905	3835.0	2033.0
63904	0.0	0.0
106481430	2.0	0.0
163071	78.0	18.0
63906	667.0	491.0
106481433	0.0	1.0
63908	1395.0	506.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	5.0	0.0
100873389	0.0	0.0
100873388	8.0	0.0
285613	45.0	24.0
63920	624.0	703.0
63923	704.0	153.0
63922	346.0	1246.0
728577	649.0	14.0
63925	1772.0	2091.0
63924	13593.0	6.0
63916	4643.0	4821.0
63917	6189.0	2351.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	3.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2155.0	1245.0
106481402	1.0	0.0
63931	3311.0	1505.0
106481403	2.0	0.0
63934	1221.0	524.0
728567	4.0	12.0
106481408	0.0	0.0
163088	9.0	2.0
63933	4454.0	1765.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3811.0	2441.0
163087	1621.0	986.0
728568	526.0	202.0
106481407	17.0	2.0
3704	1508.0	1571.0
3705	4329.0	3579.0
63926	1511.0	2356.0
3706	5.0	20.0
63929	2108.0	2678.0
3707	5561.0	1839.0
63928	16.0	7.0
3708	18434.0	13157.0
106481411	0.0	1.0
3709	18664.0	3897.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	41.0	18.0
3702	408.0	18.0
3703	17138.0	13947.0
645506	0.0	0.0
151050	2710.0	1275.0
645520	0.0	0.0
63941	1070.0	2645.0
63940	1118.0	1441.0
63943	362.0	665.0
728517	0.0	0.0
163033	274.0	325.0
258010	3581.0	1014.0
63947	0.0	0.0
63946	3.0	140.0
728513	0.0	0.0
100033803	0.0	0.0
3716	29364.0	7315.0
100033804	0.0	0.0
3717	3762.0	1374.0
100033805	0.0	0.0
3718	846.0	322.0
63939	2702.0	1486.0
100033806	0.0	0.0
100190799	27.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	151.0	37.0
3710	4248.0	3242.0
3712	6658.0	8275.0
3713	37.0	17.0
3714	2898.0	1362.0
63950	2.0	20.0
728505	1.0	1.0
63951	344.0	583.0
100033807	0.0	0.0
728501	75.0	59.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16133.0	3711.0
100033814	0.0	0.0
3727	17845.0	3117.0
63948	0.0	0.0
100033815	0.0	0.0
222052	3.0	0.0
3728	22686.0	21240.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3141.0	4389.0
151056	586.0	103.0
3725	32490.0	8846.0
645528	10.0	0.0
728532	47.0	30.0
163059	642.0	247.0
728538	1.0	0.0
728537	533.0	259.0
63967	350.0	1290.0
3737	46.0	1.0
3738	142.0	11.0
3739	71.0	1.0
645538	0.0	0.0
3730	3873.0	1941.0
3732	4323.0	2630.0
3734	0.0	0.0
3735	11460.0	4640.0
3736	404.0	1.0
63970	762.0	16.0
3750	348.0	204.0
63971	11917.0	2202.0
63974	0.0	0.0
163049	4747.0	1824.0
63973	60.0	10.0
63976	237.0	360.0
222068	8363.0	7142.0
63978	0.0	0.0
63977	1082.0	982.0
63979	2048.0	869.0
728524	0.0	0.0
3748	1985.0	2157.0
163051	59.0	22.0
3749	2672.0	494.0
163050	79.0	65.0
3741	32.0	6.0
645548	9.0	15.0
3743	4.0	2.0
3744	0.0	0.0
3745	1272.0	22.0
3746	47.0	15.0
3747	26.0	0.0
285671	1996.0	440.0
285672	3936.0	1892.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	20.0	2.0
285676	235.0	45.0
3761	2.0	8.0
100128657	0.0	1.0
285679	4.0	9.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1814.0	390.0
283008	1.0	2.0
3751	848.0	410.0
100873435	0.0	0.0
3752	2844.0	232.0
100873434	0.0	0.0
3753	245.0	1.0
100873433	0.0	0.0
3754	152.0	65.0
100873432	0.0	0.0
3755	60.0	27.0
100873439	0.0	0.0
3756	29.0	627.0
100873438	0.0	0.0
3757	153.0	59.0
100873437	0.0	0.0
3758	20.0	8.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	189.0	81.0
3772	232.0	326.0
100861458	0.0	0.0
100861453	39.0	7.0
100861455	0.0	0.0
1107	13897.0	9086.0
1106	12090.0	6894.0
1105	7680.0	2878.0
1104	2576.0	1400.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2722.0	524.0
1101	857.0	234.0
3762	553.0	452.0
100873424	0.0	0.0
3763	29.0	36.0
100128640	314.0	67.0
100873423	0.0	0.0
3764	1842.0	2316.0
100873422	0.0	0.0
3765	3.0	7.0
100873421	1.0	1.0
3766	32.0	39.0
100873428	0.0	0.0
3767	218.0	708.0
100873427	0.0	0.0
3768	253.0	1163.0
1109	3.0	0.0
100873426	1.0	2.0
1108	22962.0	27503.0
3769	35.0	13.0
100873425	1.0	0.0
100128637	2.0	1.0
100128639	0.0	0.0
3780	11.0	53.0
100873453	0.0	0.0
3781	65.0	56.0
100873452	0.0	3.0
3782	874.0	524.0
100873451	0.0	0.0
3783	1183.0	277.0
100873450	0.0	0.0
1121	4002.0	1373.0
100861468	1.0	0.0
1120	273.0	92.0
100861469	0.0	0.0
1118	55.0	104.0
1117	4621.0	1800.0
1116	7358.0	280.0
1114	11.0	2.0
1113	34.0	1.0
1112	11361.0	2075.0
1111	1084.0	1209.0
3773	391.0	1.0
100873457	2.0	4.0
100873456	0.0	0.0
3775	1187.0	3849.0
100873455	0.0	0.0
3776	2397.0	67.0
100873454	0.0	0.0
3777	692.0	22.0
3778	5476.0	1222.0
3779	2315.0	178.0
100873459	0.0	1.0
1119	2988.0	1029.0
100128627	3.0	2.0
100128626	0.0	0.0
3790	1719.0	2654.0
100128628	14.0	3.0
3791	9785.0	1844.0
100873442	0.0	0.0
3792	32.0	2.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	10.0	9.0
1131	331.0	87.0
1130	9597.0	2026.0
100861476	2.0	0.0
1129	8.0	0.0
1128	212.0	100.0
1124	655.0	810.0
1123	1622.0	697.0
1122	4051.0	1243.0
100861470	0.0	0.0
3784	1105.0	533.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	777.0	505.0
100873444	0.0	0.0
3787	341.0	13.0
100873443	0.0	0.0
3788	66.0	5.0
100873449	15.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	183.0	133.0
100128618	2.0	1.0
728597	3.0	1.0
100128617	3.0	0.0
100873475	0.0	0.0
100873474	1.0	0.0
728591	176.0	43.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	30.0	84.0
285634	12.0	1.0
1142	0.0	0.0
1141	140.0	45.0
285636	5934.0	4016.0
1140	717.0	592.0
728599	3.0	4.0
1139	78.0	6.0
1138	161.0	31.0
1137	3.0	6.0
100861485	0.0	0.0
1136	29.0	33.0
1135	3.0	0.0
1134	10.0	115.0
1133	39.0	5.0
3795	251.0	386.0
100873479	19.0	2.0
3796	3987.0	1563.0
100873478	0.0	0.0
3797	2125.0	947.0
100873477	5.0	2.0
3798	288.0	36.0
100873476	0.0	0.0
3799	35037.0	15460.0
100873460	0.0	0.0
728586	42.0	27.0
285641	4.0	0.0
100873464	1.0	1.0
100873463	2.0	0.0
100873462	4.0	1.0
285643	3.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2311.0	4363.0
1153	22915.0	17186.0
1152	2199.0	7906.0
285647	47.0	50.0
728589	21.0	78.0
728588	2.0	54.0
1149	2250.0	0.0
1147	3339.0	2506.0
1146	4.0	8.0
1145	80.0	39.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	717.0	905.0
1163	1833.0	1930.0
285659	0.0	0.0
1161	974.0	287.0
1160	599.0	69.0
1159	267.0	156.0
1158	8.0	31.0
1157	0.0	0.0
1155	2091.0	2197.0
550643	2036.0	1975.0
283025	3.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	2.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4572.0	3777.0
1175	2275.0	4183.0
285668	13.0	1.0
1174	2132.0	1145.0
1173	18374.0	24440.0
550631	219.0	280.0
100873489	0.0	0.0
283014	10.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	62.0	381.0
1186	3114.0	2215.0
1185	2818.0	642.0
1184	1084.0	1058.0
1183	1277.0	408.0
1182	14530.0	5623.0
1181	385.0	681.0
440375	47.0	48.0
1180	35.0	13.0
1179	1.0	0.0
1178	8.0	0.0
283089	6.0	6.0
85495	0.0	0.0
85480	478.0	5.0
283080	0.0	3.0
1198	3380.0	2367.0
1197	2.0	1.0
1196	2558.0	5400.0
1195	8624.0	3466.0
440366	3.0	1.0
1193	4204.0	337.0
1192	15639.0	15002.0
1191	76109.0	23979.0
1188	34.0	8.0
283078	670.0	57.0
85486	9.0	4.0
128615	0.0	0.0
85481	0.0	8.0
128611	248.0	4.0
440396	76.0	51.0
128609	0.0	0.0
128602	75.0	33.0
440387	1.0	3.0
128674	4.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	4.0	3.0
126014	157.0	375.0
440335	609.0	2720.0
100128690	0.0	0.0
114034	995.0	852.0
126006	26.0	111.0
114036	67.0	34.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	39.0	49.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	9.0
105180391	0.0	0.0
100128682	2.0	3.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	2.0	1.0
200728	386.0	154.0
440356	14.0	34.0
440354	120.0	60.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	4.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	42.0
100873410	0.0	0.0
100873417	2.0	1.0
100873416	1.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	227.0	24.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	207.0	47.0
200734	7076.0	5746.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	5.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	1.0	0.0
100128665	1.0	0.0
128637	6501.0	3823.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	9.0	6.0
165530	214.0	5.0
85409	104.0	264.0
106481385	3.0	0.0
106481386	1.0	0.0
85416	9.0	301.0
106481383	2.0	3.0
85417	80.0	137.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	488.0	637.0
106481389	0.0	0.0
85415	3466.0	2696.0
106481387	0.0	0.0
85413	25.0	5.0
106481388	13.0	3.0
645436	1.0	2.0
106481381	0.0	1.0
106481382	0.0	0.0
10	57.0	356.0
106481380	0.0	0.0
11	0.0	17.0
403341	1990.0	927.0
12	1855.0	44.0
13	49.0	12.0
14	5356.0	5191.0
15	12.0	0.0
16	9088.0	8078.0
645455	13.0	11.0
18	2865.0	4829.0
19	12846.0	2019.0
128580	4.0	2.0
85407	317.0	333.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	2191.0	2677.0
106481395	1.0	1.0
85403	3279.0	4041.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	5345.0	6808.0
106481390	0.0	0.0
21	3230.0	4566.0
106481391	0.0	0.0
22	2672.0	1431.0
153571	388.0	367.0
153572	6076.0	2852.0
23	4840.0	5436.0
24	798.0	270.0
25	9714.0	8392.0
26	48.0	17.0
27	5422.0	3228.0
28	1026.0	52.0
29	7866.0	3244.0
153579	4481.0	64.0
728615	0.0	0.0
728614	0.0	0.0
200765	399.0	266.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	39.0	17.0
102466518	0.0	1.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	3.0	0.0
106481361	0.0	0.0
85439	1741.0	175.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	4479.0	3586.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	291.0	178.0
106481366	0.0	0.0
30	2491.0	2067.0
106481360	0.0	0.0
31	16087.0	6035.0
32	18579.0	1204.0
33	792.0	147.0
34	7821.0	2392.0
35	1352.0	481.0
153562	2785.0	2534.0
36	14922.0	3690.0
37	14622.0	5764.0
38	6651.0	1937.0
440307	10.0	14.0
39	1658.0	686.0
165545	19.0	1610.0
106481369	0.0	0.0
728606	56.0	681.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	5.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	44.0	3.0
106481370	0.0	0.0
41	415.0	509.0
106481371	0.0	0.0
43	144.0	9.0
645486	0.0	0.0
47	14717.0	17848.0
48	11107.0	5373.0
49	40.0	3.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
