id	d8f60cfe-3faa-406f-8ed6-2bb201dc36f4	96833a09-14ce-4483-b17d-f4328e0b68f5
285550	1291.0	625.0
100873310	0.0	0.0
100128777	0.0	7.0
285555	3.0	46.0
3640	11.0	2.0
3638	5467.0	2228.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	1640.0	1434.0
100873313	0.0	0.0
3632	1789.0	588.0
100873312	1.0	17.0
100873311	0.0	0.0
3633	1234.0	1445.0
100873318	0.0	1.0
3635	1808.0	420.0
100873317	0.0	0.0
3636	3187.0	3520.0
100128771	44.0	87.0
100873316	7.0	7.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	1.0	0.0
1	7.0	23.0
2	113143.0	11970.0
100873309	0.0	0.0
100873308	0.0	4.0
3	12.0	20.0
3641	1.0	81.0
100873303	0.0	2.0
9	527.0	27.0
3642	4.0	26.0
100873302	0.0	0.0
3643	4399.0	7426.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	18.0	25.0
100873307	0.0	1.0
3646	11522.0	19352.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	41.0	21.0
100873304	0.0	1.0
100873332	0.0	2.0
3660	2089.0	1188.0
100873331	0.0	0.0
3661	845.0	867.0
100873330	0.0	0.0
285577	3.0	1.0
3662	260.0	89.0
100128756	0.0	0.0
1000	78.0	1525.0
3652	916.0	1265.0
100873336	0.0	8.0
100873335	0.0	0.0
100128750	98.0	2.0
3654	3267.0	6691.0
100873334	0.0	0.0
3655	9905.0	4928.0
100873333	1.0	0.0
3656	346.0	87.0
100873339	0.0	0.0
3658	3499.0	3237.0
100873338	0.0	1.0
3659	1699.0	858.0
100873337	0.0	1.0
3670	16.0	0.0
100873321	0.0	8.0
3671	11739.0	1830.0
100873320	0.0	0.0
3672	12283.0	2958.0
285588	1.0	0.0
3673	2303.0	793.0
1011	0.0	0.0
1010	73.0	2.0
1008	8.0	2.0
1007	0.0	0.0
1006	41.0	37.0
1005	1.0	3.0
1004	712.0	299.0
1003	15566.0	765.0
1002	100.0	38.0
1001	2070.0	5113.0
3663	467.0	521.0
100873325	0.0	10.0
3664	2596.0	11777.0
100873324	0.0	2.0
3665	309.0	823.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	4502.0	809.0
100873329	0.0	0.0
285590	4370.0	4648.0
100873328	0.0	7.0
3669	220.0	1183.0
100873327	0.0	1.0
1009	3291.0	5201.0
100873326	0.0	2.0
100873350	0.0	1.0
116729	0.0	25.0
728477	6.0	12.0
3680	2975.0	1840.0
3681	30.0	7.0
100128733	0.0	0.0
100873354	0.0	1.0
3682	725.0	429.0
100873353	1.0	1.0
3683	626.0	224.0
100873352	2.0	0.0
128710	568.0	1190.0
3684	1377.0	747.0
100873351	0.0	0.0
285512	59.0	141.0
1022	717.0	1109.0
285513	828.0	1928.0
1021	2034.0	12048.0
1020	377.0	904.0
440299	0.0	3.0
1019	2196.0	1816.0
128709	1.0	2.0
1018	15.0	20.0
1017	789.0	1180.0
1016	3.0	0.0
1015	8.0	7.0
1014	0.0	4.0
1013	0.0	8.0
1012	3947.0	613.0
116730	59.0	17.0
3674	30.0	31.0
100873358	0.0	0.0
3675	4469.0	858.0
100873357	0.0	5.0
3676	342.0	750.0
100128731	5576.0	5988.0
100873356	0.0	0.0
3678	6170.0	4650.0
3679	17106.0	317.0
100873359	0.0	0.0
728464	91.0	5.0
728463	7.0	137.0
100128725	0.0	0.0
3690	522.0	189.0
3691	6409.0	5763.0
100873343	0.0	0.0
3692	2695.0	3754.0
3693	15416.0	7229.0
285521	968.0	1111.0
100873342	0.0	0.0
3694	2033.0	166.0
100873341	0.0	0.0
3695	73.0	191.0
100873340	0.0	29.0
100128723	2.0	0.0
1033	56.0	294.0
1032	145.0	1312.0
285525	0.0	5.0
1031	3418.0	532.0
285527	4728.0	5008.0
1030	7536.0	520.0
728468	0.0	0.0
440288	78.0	89.0
1029	336.0	108.0
440295	53.0	118.0
1028	2223.0	160.0
1027	2803.0	6437.0
1026	4466.0	923.0
1025	1988.0	1389.0
1024	658.0	895.0
3685	11445.0	12149.0
100873347	1.0	1.0
100873346	0.0	1.0
3687	426.0	901.0
100873345	0.0	0.0
3688	48372.0	40225.0
100873344	0.0	0.0
3689	3262.0	2786.0
100873349	0.0	7.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	1.0
728498	18.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	13.0
100873375	0.0	1.0
100128710	0.0	12.0
285533	72.0	127.0
100873374	0.0	1.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	1.0
1043	483.0	80.0
1041	4.0	4.0
1040	769.0	2601.0
1039	1175.0	1935.0
1038	50.0	18.0
1036	8256.0	58.0
3696	1012.0	18340.0
3697	3.0	3.0
100873379	0.0	0.0
3698	65.0	55.0
100873378	1.0	4.0
3699	173.0	22.0
100873377	0.0	0.0
728486	15.0	7.0
100873361	1.0	0.0
105373869	2.0	462.0
100873360	0.0	0.0
285540	98.0	193.0
100128705	1.0	11.0
100873365	0.0	6.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	1.0	0.0
1054	2572.0	6815.0
285547	0.0	0.0
1053	2.0	2.0
285548	0.0	0.0
1052	2531.0	1877.0
1051	3250.0	3258.0
728489	1.0	69.0
1050	5589.0	951.0
100128707	0.0	2.0
1048	8.0	2.0
1047	77.0	36.0
1046	0.0	0.0
1045	3.0	1.0
100873369	2.0	15.0
100873368	0.0	2.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	2.0
1066	28902.0	145.0
1063	339.0	17913.0
1062	174.0	2044.0
1061	1.0	6.0
1060	1233.0	2174.0
440253	246.0	28.0
1059	3556.0	4019.0
1058	29.0	677.0
1057	1.0	10.0
85379	5759.0	2766.0
114112	691.0	919.0
1056	15.0	13.0
85377	1572.0	2973.0
85378	1497.0	1381.0
128745	1.0	3.0
85376	9.0	6.0
440248	664.0	221.0
1075	10680.0	2498.0
1074	4.0	23.0
1073	3505.0	935.0
1072	21773.0	12737.0
1071	1531.0	45.0
440243	0.0	0.0
1070	566.0	421.0
1069	2363.0	921.0
1068	0.0	0.0
85369	1727.0	1312.0
85366	5.0	33.0
85364	889.0	923.0
85365	1710.0	1389.0
85363	1047.0	713.0
85360	1488.0	553.0
1080	63.0	11.0
85391	7.0	16.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	8.0
153733	368.0	659.0
1087	8.0	1.0
1086	3.0	0.0
440279	37.0	3.0
1085	5.0	3.0
1084	14.0	1.0
440278	172.0	210.0
1082	0.0	0.0
403294	0.0	0.0
440275	3610.0	3692.0
1081	0.0	1.0
85397	9.0	8.0
85395	212.0	1786.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	4.0
403288	0.0	0.0
403289	0.0	0.0
1098	3.0	0.0
1097	0.0	0.0
1096	1.0	0.0
1095	0.0	0.0
403281	0.0	1.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	329.0	422.0
1089	14.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	8.0	2.0
285598	658.0	943.0
126133	710.0	584.0
128790	0.0	0.0
126129	158.0	331.0
126123	0.0	0.0
442862	0.0	0.0
126119	422.0	286.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	3.0
128774	0.0	0.0
442893	0.0	9.0
442894	0.0	0.0
442895	0.0	3.0
114131	0.0	0.0
442896	0.0	4.0
114132	89.0	5.0
442897	0.0	0.0
442898	0.0	2.0
114134	559.0	166.0
442899	0.0	0.0
100128790	0.0	0.0
128760	0.0	10.0
100128788	34.0	119.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	4.0
442890	0.0	0.0
442891	0.0	16.0
442892	0.0	4.0
128756	0.0	1.0
100128782	74.0	220.0
100128781	0.0	17.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	0.0	6.0
403236	0.0	0.0
63982	350.0	246.0
102466616	0.0	0.0
126052	0.0	0.0
151009	76.0	45.0
403227	10.0	0.0
403228	0.0	0.0
138046	1.0	7.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	7.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	202.0	2411.0
107131122	1.0	2.0
138050	6297.0	4056.0
403219	0.0	0.0
151011	4994.0	3810.0
645587	1.0	22.0
165679	203.0	18.0
126037	11.0	296.0
114049	1888.0	3551.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	8.0
106481483	0.0	0.0
85315	568.0	478.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1229.0	1503.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	159.0	114.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	3.0
138065	24.0	11.0
645598	0.0	1.0
163007	0.0	0.0
114038	0.0	4.0
645591	0.0	0.0
106481495	0.0	17.0
114041	4.0	52.0
106481496	0.0	1.0
114042	4.0	0.0
106481493	0.0	0.0
114043	39.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	134.0	672.0
126017	394.0	371.0
106481497	1.0	4.0
106481498	0.0	3.0
85303	0.0	1.0
85300	0.0	0.0
85301	494.0	1525.0
106481491	0.0	3.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	1.0
403275	0.0	0.0
102466656	6.0	0.0
403276	0.0	1.0
403277	0.0	0.0
403278	0.0	1.0
26996	615.0	759.0
106481459	0.0	0.0
26994	8595.0	4438.0
106481457	3.0	12.0
26995	1535.0	1625.0
106481458	0.0	0.0
403271	0.0	1.0
26998	1.0	4.0
403272	1.0	0.0
102466659	0.0	0.0
26999	600.0	100.0
403273	0.0	0.0
102466658	0.0	3.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	914.0	1647.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	6.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	1.0	0.0
138009	0.0	2.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	1.0
106481473	0.0	6.0
106481474	1.0	1.0
106481471	0.0	0.0
85329	5665.0	34.0
106481472	0.0	1.0
106481477	1.0	10.0
106481478	0.0	20.0
106481475	0.0	0.0
106481476	0.0	1.0
85320	595.0	46.0
106481470	0.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	548.0	5768.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	2.0
344471	3.0	1.0
106481437	0.0	0.0
26974	169.0	423.0
153657	18.0	45.0
106481438	4.0	1.0
106481435	0.0	1.0
26973	737.0	8000.0
165631	124.0	63.0
106481436	0.0	1.0
26978	3.0	29.0
126075	425.0	579.0
106481439	0.0	1.0
403250	0.0	0.0
126074	127.0	372.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	925.0	605.0
106481444	0.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3606.0	705.0
85354	0.0	0.0
85352	41.0	59.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	298.0	422.0
153643	17.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	4137.0	1729.0
106481448	0.0	0.0
26986	36248.0	38954.0
126069	108.0	172.0
106481449	1.0	0.0
126068	616.0	2389.0
106481446	0.0	0.0
26983	0.0	0.0
26984	725.0	814.0
106481447	0.0	1.0
106481451	0.0	9.0
106481452	0.0	3.0
106481450	0.0	1.0
114088	204.0	28.0
106481455	0.0	5.0
85349	27.0	242.0
106481456	0.0	7.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	21.0
106481454	0.0	2.0
403238	0.0	0.0
85344	1.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	2.0
85340	0.0	1.0
100873394	0.0	0.0
100873393	2.0	17.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	6.0
63901	1438.0	885.0
100873390	0.0	0.0
728556	46.0	103.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	70.0	210.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	2.0
163081	371.0	1018.0
106481423	0.0	1.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	12.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	2.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	1.0
285600	127.0	127.0
100873384	0.0	0.0
285601	22.0	30.0
106481426	0.0	0.0
106481427	0.0	7.0
222005	1.0	0.0
63910	60.0	86.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	562.0	289.0
222008	7.0	4.0
106481428	0.0	1.0
106481429	0.0	3.0
63905	2286.0	1635.0
63904	0.0	0.0
106481430	1.0	0.0
163071	33.0	2.0
63906	391.0	675.0
106481433	0.0	1.0
63908	533.0	953.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	1.0
100873388	0.0	5.0
285613	17.0	161.0
63920	297.0	389.0
63923	729.0	39.0
63922	97.0	1088.0
728577	178.0	4.0
63925	848.0	1414.0
63924	32441.0	83.0
63916	2685.0	1601.0
63917	3077.0	3512.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	2.0
728564	3.0	2.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1373.0	1019.0
106481402	0.0	7.0
63931	1745.0	1270.0
106481403	0.0	0.0
63934	385.0	1161.0
728567	4.0	1.0
106481408	0.0	11.0
163088	2.0	6.0
63933	2263.0	2222.0
106481409	0.0	1.0
106481406	0.0	0.0
63935	2195.0	1706.0
163087	619.0	786.0
728568	204.0	266.0
106481407	12.0	0.0
3704	811.0	501.0
3705	10838.0	795.0
63926	612.0	1413.0
3706	2.0	7.0
63929	1077.0	1420.0
3707	3749.0	2926.0
63928	0.0	0.0
3708	5651.0	1012.0
106481411	0.0	2.0
3709	7839.0	9706.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	13.0	19.0
3702	125.0	103.0
3703	7251.0	8647.0
645506	0.0	0.0
151050	850.0	1601.0
645520	0.0	0.0
63941	569.0	649.0
63940	1180.0	111.0
63943	168.0	523.0
728517	0.0	0.0
163033	180.0	239.0
258010	801.0	1220.0
63947	1.0	0.0
63946	0.0	0.0
728513	0.0	2.0
100033803	0.0	0.0
3716	19366.0	6727.0
100033804	0.0	0.0
3717	1572.0	1591.0
100033805	0.0	0.0
3718	566.0	329.0
63939	878.0	1878.0
100033806	0.0	0.0
100190799	7.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	50.0	102.0
3710	1725.0	7347.0
3712	4306.0	667.0
3713	0.0	0.0
3714	2201.0	1108.0
63950	0.0	8.0
728505	2.0	0.0
63951	223.0	7.0
100033807	0.0	1.0
728501	23.0	12.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6284.0	4494.0
100033814	0.0	0.0
3727	4835.0	2853.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	3.0
3728	8311.0	19758.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1035.0	2914.0
151056	470.0	166.0
3725	7991.0	5866.0
645528	6.0	0.0
728532	20.0	8.0
163059	165.0	2399.0
728538	0.0	0.0
728537	96.0	216.0
63967	28.0	446.0
3737	149.0	2.0
3738	66.0	28.0
3739	19.0	2.0
645538	0.0	0.0
3730	2245.0	296.0
3732	1619.0	2539.0
3734	0.0	1.0
3735	5628.0	7057.0
3736	102.0	2.0
63970	65.0	9.0
3750	309.0	29.0
63971	6112.0	4592.0
63974	0.0	0.0
163049	1780.0	9382.0
63973	12.0	5.0
63976	307.0	15.0
222068	3783.0	5908.0
63978	0.0	1.0
63977	392.0	1009.0
63979	476.0	1222.0
728524	0.0	0.0
3748	285.0	133.0
163051	10.0	84.0
3749	928.0	1187.0
163050	37.0	213.0
3741	76.0	3.0
645548	12.0	11.0
3743	0.0	2.0
3744	0.0	0.0
3745	5102.0	32.0
3746	33.0	4.0
3747	15.0	0.0
285671	617.0	376.0
285672	1526.0	1169.0
100873431	0.0	3.0
100873430	0.0	3.0
3760	28.0	2.0
285676	88.0	293.0
3761	0.0	20.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	0.0	2.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	584.0	271.0
283008	0.0	1.0
