id	8a987f43-454e-4b94-a2ec-6079c58eb99b	0a3fb653-84e8-426a-999a-8dc8127dfd6d
285550	1444.0	796.0
100873310	0.0	0.0
100128777	3.0	0.0
285555	1.0	10.0
3640	0.0	1.0
3638	3567.0	3921.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1481.0	1826.0
100873313	0.0	0.0
3632	2814.0	991.0
100873312	7.0	3.0
100873311	0.0	0.0
3633	1397.0	409.0
100873318	0.0	0.0
3635	1107.0	575.0
100873317	0.0	0.0
3636	4410.0	5062.0
100128771	166.0	94.0
100873316	10.0	3.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	13.0	34.0
2	72789.0	22518.0
100873309	0.0	1.0
100873308	0.0	0.0
3	33.0	3.0
3641	3.0	0.0
100873303	0.0	0.0
9	178.0	4886.0
3642	2.0	0.0
100873302	1.0	0.0
3643	8763.0	6515.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	26.0	4.0
100873307	0.0	0.0
3646	16963.0	20581.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	61.0	24.0
100873304	0.0	0.0
100873332	4.0	1.0
3660	1762.0	1449.0
100873331	0.0	0.0
3661	1257.0	1275.0
100873330	0.0	0.0
285577	2.0	0.0
3662	219.0	42.0
100128756	0.0	0.0
1000	56.0	149.0
3652	813.0	663.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	370.0	3.0
3654	3624.0	8133.0
100873334	0.0	0.0
3655	8810.0	2082.0
100873333	0.0	0.0
3656	780.0	123.0
100873339	0.0	0.0
3658	3749.0	1772.0
100873338	0.0	0.0
3659	2943.0	2011.0
100873337	0.0	0.0
3670	21.0	1.0
100873321	0.0	0.0
3671	6424.0	3876.0
100873320	0.0	0.0
3672	17199.0	2984.0
285588	1.0	0.0
3673	538.0	3424.0
1011	0.0	0.0
1010	7.0	1.0
1008	8.0	1.0
1007	5.0	0.0
1006	22.0	17.0
1005	1.0	2.0
1004	651.0	375.0
1003	15732.0	1733.0
1002	13.0	19.0
1001	248.0	665.0
3663	226.0	773.0
100873325	2.0	0.0
3664	611.0	6877.0
100873324	0.0	0.0
3665	338.0	1637.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5944.0	1845.0
100873329	0.0	0.0
285590	3064.0	3106.0
100873328	0.0	0.0
3669	181.0	585.0
100873327	0.0	0.0
1009	1092.0	16740.0
100873326	2.0	0.0
100873350	0.0	0.0
116729	4.0	0.0
728477	0.0	3.0
3680	3075.0	747.0
3681	18.0	14.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	807.0	497.0
100873353	1.0	0.0
3683	445.0	317.0
100873352	4.0	2.0
128710	389.0	1029.0
3684	1098.0	348.0
100873351	0.0	0.0
285512	144.0	26.0
1022	497.0	1697.0
285513	761.0	5239.0
1021	2182.0	391.0
1020	256.0	695.0
440299	0.0	2.0
1019	2080.0	4008.0
128709	0.0	0.0
1018	22.0	13.0
1017	657.0	1462.0
1016	2.0	2.0
1015	5.0	3.0
1014	11.0	15.0
1013	2.0	16.0
1012	3627.0	761.0
116730	47.0	54.0
3674	55.0	59.0
100873358	0.0	0.0
3675	2247.0	2795.0
100873357	0.0	0.0
3676	212.0	286.0
100128731	4072.0	5418.0
100873356	0.0	0.0
3678	5534.0	3153.0
3679	31679.0	557.0
100873359	0.0	0.0
728464	43.0	22.0
728463	4.0	10.0
100128725	0.0	0.0
3690	307.0	84.0
3691	3497.0	2637.0
100873343	0.0	0.0
3692	2332.0	5934.0
3693	12929.0	14723.0
285521	1065.0	539.0
100873342	0.0	0.0
3694	273.0	1317.0
100873341	1.0	0.0
3695	76.0	54.0
100873340	0.0	0.0
100128723	0.0	2.0
1033	29.0	399.0
1032	420.0	511.0
285525	1.0	0.0
1031	7564.0	639.0
285527	4791.0	2743.0
1030	6091.0	2580.0
728468	1.0	0.0
440288	77.0	54.0
1029	423.0	736.0
440295	48.0	26.0
1028	7829.0	403.0
1027	4398.0	984.0
1026	5616.0	2196.0
1025	2474.0	1690.0
1024	823.0	438.0
3685	9174.0	5042.0
100873347	0.0	0.0
100873346	1.0	0.0
3687	210.0	420.0
100873345	0.0	0.0
3688	68602.0	21044.0
100873344	2.0	0.0
3689	1844.0	1940.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	24.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	118.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	38.0	18.0
100873374	0.0	0.0
728495	6.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	5.0
1043	231.0	719.0
1041	0.0	1.0
1040	113.0	1979.0
1039	1255.0	1289.0
1038	78.0	2.0
1036	7773.0	76.0
3696	362.0	99.0
3697	8.0	3.0
100873379	0.0	0.0
3698	35.0	4.0
100873378	0.0	3.0
3699	410.0	92.0
100873377	0.0	0.0
728486	8.0	1.0
100873361	0.0	0.0
105373869	4.0	281.0
100873360	0.0	0.0
285540	91.0	97.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	4.0
100873362	0.0	0.0
100128701	1.0	4.0
1054	3571.0	3720.0
285547	0.0	0.0
1053	1.0	3.0
285548	1.0	5.0
1052	3567.0	901.0
1051	6499.0	963.0
728489	3.0	2.0
1050	16906.0	857.0
100128707	0.0	0.0
1048	63.0	2135.0
1047	24.0	17.0
1046	0.0	0.0
1045	1.0	1.0
100873369	6.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	22488.0	2761.0
1063	94.0	2449.0
1062	65.0	568.0
1061	1.0	3.0
1060	1019.0	675.0
440253	256.0	65.0
1059	5619.0	6119.0
1058	14.0	152.0
1057	1.0	2.0
85379	4244.0	5785.0
114112	624.0	1251.0
1056	15.0	15.0
85377	1356.0	1406.0
85378	1994.0	1873.0
128745	0.0	0.0
85376	10.0	51.0
440248	450.0	131.0
1075	4554.0	1725.0
1074	2.0	13.0
1073	6433.0	902.0
1072	21550.0	33052.0
1071	1288.0	41.0
440243	0.0	0.0
1070	591.0	954.0
1069	1965.0	2991.0
1068	1.0	0.0
85369	1599.0	954.0
85366	5.0	8.0
85364	1303.0	1343.0
85365	1469.0	1522.0
85363	850.0	197.0
85360	1727.0	371.0
1080	40.0	7.0
85391	7.0	1.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	7.0	0.0
153733	326.0	770.0
1087	1.0	29.0
1086	0.0	0.0
440279	23.0	0.0
1085	19.0	1.0
1084	1.0	4.0
440278	157.0	99.0
1082	0.0	0.0
403294	0.0	0.0
440275	4403.0	4303.0
1081	1.0	39.0
85397	16.0	31.0
85395	361.0	441.0
403285	1.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	2.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	1.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	571.0	149.0
1089	8.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	12.0	1.0
285598	662.0	163.0
126133	1357.0	2009.0
128790	0.0	0.0
126129	65.0	37.0
126123	3.0	0.0
442862	0.0	0.0
126119	520.0	635.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	2.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	70.0	10.0
442897	0.0	0.0
442898	3.0	0.0
114134	590.0	267.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	2.0
100128788	28.0	73.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	47.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	91.0	73.0
100128781	0.0	2.0
403230	0.0	0.0
403231	4.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	815.0	20.0
102466616	0.0	0.0
126052	0.0	0.0
151009	39.0	33.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	25.0	17.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	78.0	1992.0
107131122	0.0	0.0
138050	6710.0	9342.0
403219	1.0	0.0
151011	5215.0	1633.0
645587	1.0	4.0
165679	26.0	15.0
126037	32.0	9.0
114049	2161.0	3322.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	472.0	214.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1361.0	1064.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	217.0	334.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	34.0	1.0
645598	0.0	0.0
163007	4.0	0.0
114038	0.0	3.0
645591	1.0	0.0
106481495	4.0	0.0
114041	0.0	52.0
106481496	0.0	0.0
114042	0.0	1.0
106481493	0.0	0.0
114043	43.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	161.0	451.0
126017	257.0	832.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	33.0
85301	333.0	256.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	8.0	0.0
403276	0.0	0.0
403277	2.0	0.0
403278	0.0	0.0
26996	445.0	3216.0
106481459	0.0	0.0
26994	11480.0	2381.0
106481457	5.0	2.0
26995	1237.0	1656.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	15.0
403272	3.0	0.0
102466659	0.0	0.0
26999	572.0	10350.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1482.0	2582.0
106481467	0.0	0.0
106481464	0.0	2.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	3.0	0.0
106481471	0.0	0.0
85329	11813.0	111.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	54.0	246.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	399.0	690.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	2.0
106481437	0.0	0.0
26974	233.0	654.0
153657	3.0	79.0
106481438	0.0	2.0
106481435	0.0	0.0
26973	969.0	990.0
165631	65.0	33.0
106481436	0.0	1.0
26978	4.0	8.0
126075	302.0	647.0
106481439	0.0	0.0
403250	0.0	0.0
126074	60.0	226.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	927.0	1776.0
106481444	7.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	7680.0	1368.0
