id	7f92fd47-9938-4069-bc1d-ce6d7d6c1dc4	eaee0d82-cd7e-47a5-859f-59b7bf5ad6a0
105373869	2.0	278.0
100873360	0.0	0.0
285540	86.0	200.0
100128705	0.0	30.0
100873365	2.0	3.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	0.0
100873362	0.0	0.0
100128701	4.0	4.0
1054	4296.0	979.0
285547	0.0	0.0
1053	2.0	2.0
285548	0.0	1.0
1052	2623.0	90.0
1051	6913.0	514.0
728489	7.0	34.0
1050	12951.0	515.0
100128707	0.0	1.0
1048	4.0	410.0
1047	36.0	885.0
1046	0.0	1.0
1045	0.0	2.0
100873369	5.0	105.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	9.0	7.0
1066	13055.0	111.0
1063	144.0	2717.0
1062	127.0	407.0
1061	10.0	31.0
1060	2146.0	2713.0
440253	589.0	251.0
1059	4005.0	1439.0
1058	19.0	55.0
1057	0.0	20.0
85379	4793.0	11164.0
114112	874.0	226.0
1056	19.0	50.0
85377	1254.0	1210.0
85378	2270.0	3132.0
128745	0.0	0.0
85376	6.0	10.0
440248	1249.0	933.0
1075	11157.0	1256.0
1074	5.0	147.0
1073	7877.0	398.0
1072	15057.0	8739.0
1071	2594.0	24.0
440243	0.0	0.0
1070	850.0	136.0
1069	2098.0	861.0
1068	0.0	0.0
85369	1795.0	1987.0
85366	3.0	12.0
85364	1395.0	643.0
85365	1766.0	1303.0
85363	1458.0	953.0
85360	1583.0	459.0
1080	38.0	33.0
85391	1.0	24.0
403296	0.0	0.0
403297	1.0	1.0
85390	0.0	0.0
403299	0.0	2.0
1088	8.0	13.0
153733	523.0	247.0
1087	2.0	33.0
1086	1.0	1.0
440279	8.0	17.0
1085	21.0	48.0
1084	8.0	1.0
440278	188.0	554.0
1082	0.0	0.0
403294	0.0	0.0
440275	5751.0	4350.0
1081	0.0	0.0
85397	0.0	10.0
85395	135.0	116.0
403285	0.0	0.0
1091	0.0	12.0
1090	8.0	8.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	15.0
1097	0.0	9.0
1096	0.0	4.0
1095	1.0	2.0
403281	0.0	1.0
403282	0.0	0.0
1094	0.0	21.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	8.0	2.0
440270	757.0	558.0
1089	19.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	14.0	36.0
285598	900.0	791.0
126133	737.0	398.0
128790	0.0	0.0
126129	136.0	144.0
126123	0.0	1.0
442862	0.0	0.0
126119	432.0	111.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	36.0
128774	0.0	0.0
442893	0.0	44.0
442894	1.0	0.0
442895	1.0	8.0
114131	0.0	29.0
442896	0.0	17.0
114132	64.0	7.0
442897	0.0	0.0
442898	2.0	4.0
114134	965.0	411.0
442899	0.0	1.0
100128790	0.0	0.0
128760	6.0	19.0
100128788	64.0	952.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1647.0
442890	0.0	0.0
442891	0.0	1.0
442892	6.0	30.0
128756	1.0	0.0
100128782	207.0	367.0
100128781	4.0	34.0
403230	0.0	1.0
403231	0.0	1.0
403232	0.0	0.0
645560	3.0	0.0
403234	0.0	0.0
403235	0.0	10.0
403236	0.0	0.0
63982	1989.0	27.0
102466616	0.0	0.0
126052	0.0	32.0
151009	18.0	13.0
403227	0.0	1.0
403228	0.0	3.0
138046	2.0	6.0
645558	0.0	0.0
403229	0.0	2.0
645573	0.0	5.0
645572	0.0	0.0
645571	10.0	19.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	26.0	456.0
107131122	1.0	2.0
138050	9272.0	5672.0
403219	0.0	0.0
151011	7289.0	2064.0
645587	6.0	51.0
165679	18.0	36.0
126037	22.0	47.0
114049	1991.0	3032.0
106481479	0.0	0.0
100033818	0.0	4.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	6.0
106481483	0.0	0.0
85315	602.0	433.0
100033821	0.0	32.0
106481488	0.0	0.0
100033822	0.0	5.0
106481489	0.0	0.0
85313	1828.0	1458.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	512.0	76.0
100033820	0.0	0.0
106481480	0.0	6.0
106481481	0.0	5.0
138065	1.0	56.0
645598	0.0	1.0
163007	0.0	19.0
114038	2.0	5.0
645591	2.0	4.0
106481495	0.0	23.0
114041	0.0	76.0
106481496	0.0	12.0
114042	3.0	1.0
106481493	0.0	0.0
114043	28.0	14.0
106481494	0.0	0.0
106481499	0.0	1.0
114044	211.0	1418.0
126017	359.0	462.0
106481497	0.0	8.0
106481498	0.0	20.0
85303	0.0	0.0
85300	1.0	4.0
85301	541.0	1756.0
106481491	0.0	7.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	4.0
403275	0.0	0.0
102466656	3.0	3.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	765.0	2025.0
106481459	0.0	0.0
26994	13123.0	2410.0
106481457	27.0	24.0
26995	1877.0	1280.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	0.0	1.0
102466659	0.0	0.0
26999	402.0	966.0
403273	0.0	0.0
102466658	0.0	10.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	9.0	15.0
106481461	1.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1225.0	2753.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	11.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	1.0
403260	0.0	3.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	6.0
85329	25449.0	83.0
106481472	0.0	0.0
106481477	0.0	64.0
106481478	0.0	46.0
106481475	0.0	1.0
106481476	0.0	2.0
85320	83.0	1150.0
106481470	1.0	14.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	618.0	1157.0
403255	0.0	6.0
403256	0.0	0.0
403257	0.0	16.0
344471	7.0	2.0
106481437	0.0	0.0
26974	167.0	380.0
153657	13.0	492.0
106481438	2.0	456.0
106481435	0.0	1.0
26973	1079.0	1667.0
165631	103.0	204.0
106481436	0.0	82.0
26978	26.0	142.0
126075	319.0	1183.0
106481439	0.0	2.0
403250	0.0	0.0
126074	99.0	104.0
403251	0.0	0.0
106481440	0.0	3.0
106481441	0.0	2.0
85359	845.0	325.0
106481444	14.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6935.0	1676.0
85354	0.0	0.0
85352	7.0	76.0
403241	0.0	1.0
344462	2.0	8.0
403244	0.0	1.0
403245	0.0	0.0
153642	421.0	80.0
153643	4.0	164.0
403247	0.0	0.0
403248	0.0	0.0
26985	5095.0	4152.0
106481448	0.0	0.0
26986	77416.0	30345.0
126069	181.0	652.0
106481449	0.0	0.0
126068	1069.0	603.0
106481446	0.0	0.0
26983	0.0	1.0
26984	942.0	617.0
106481447	0.0	0.0
106481451	3.0	29.0
106481452	0.0	60.0
106481450	1.0	0.0
114088	35.0	75.0
106481455	0.0	10.0
85349	1.0	259.0
106481456	0.0	15.0
26982	0.0	0.0
106481453	0.0	3.0
85347	0.0	0.0
26980	5.0	106.0
106481454	1.0	2.0
403238	0.0	0.0
85344	0.0	25.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	52.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	114.0
100873392	0.0	10.0
100873391	0.0	0.0
100873398	0.0	3.0
100873397	0.0	3.0
100873396	0.0	1.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	6.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	2344.0	6856.0
100873390	0.0	0.0
728556	60.0	124.0
106481419	1.0	1.0
100128817	0.0	4.0
728558	112.0	654.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	16.0
163081	373.0	651.0
106481423	0.0	6.0
106481420	0.0	2.0
106481421	0.0	0.0
100873399	0.0	7.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	165.0	1705.0
100873384	0.0	0.0
285601	19.0	3.0
106481426	0.0	0.0
106481427	0.0	10.0
222005	4.0	3.0
63910	65.0	293.0
106481424	0.0	12.0
106481425	0.0	0.0
285605	621.0	498.0
222008	0.0	2.0
106481428	0.0	2.0
106481429	0.0	31.0
63905	2325.0	1167.0
63904	0.0	0.0
106481430	1.0	3.0
163071	55.0	47.0
63906	450.0	230.0
106481433	0.0	0.0
63908	775.0	966.0
106481434	0.0	0.0
106481431	3.0	4.0
106481432	0.0	0.0
100873389	0.0	108.0
100873388	2.0	0.0
285613	3.0	40.0
63920	333.0	132.0
63923	2000.0	511.0
63922	113.0	397.0
728577	207.0	31.0
63925	932.0	2013.0
63924	81315.0	297.0
63916	2504.0	2340.0
63917	3989.0	2340.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	2.0
728564	2.0	0.0
285622	0.0	40.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1429.0	528.0
106481402	0.0	3.0
63931	2521.0	1724.0
106481403	0.0	3.0
63934	364.0	764.0
728567	0.0	0.0
106481408	0.0	0.0
163088	4.0	30.0
63933	2714.0	1810.0
106481409	0.0	5.0
106481406	0.0	0.0
63935	2555.0	1074.0
163087	870.0	718.0
728568	331.0	203.0
106481407	17.0	0.0
3704	763.0	696.0
3705	10023.0	1070.0
63926	1798.0	2345.0
3706	2.0	23.0
63929	2386.0	3586.0
3707	5914.0	2763.0
63928	1.0	3.0
3708	3653.0	15532.0
106481411	2.0	13.0
3709	8389.0	4350.0
106481412	0.0	1.0
106481410	0.0	14.0
3700	14.0	267.0
3702	102.0	159.0
3703	7550.0	7098.0
645506	1.0	0.0
151050	1863.0	878.0
645520	0.0	0.0
63941	1056.0	1912.0
63940	679.0	446.0
63943	143.0	154.0
728517	1.0	0.0
163033	300.0	84.0
258010	567.0	926.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	33580.0	7549.0
100033804	0.0	0.0
3717	3460.0	1316.0
100033805	0.0	5.0
3718	492.0	475.0
63939	1232.0	755.0
100033806	0.0	5.0
100190799	18.0	137.0
100033800	0.0	0.0
100033801	0.0	4.0
100033802	0.0	0.0
344405	114.0	311.0
3710	1240.0	3733.0
3712	8564.0	2965.0
3713	1.0	0.0
3714	1649.0	400.0
63950	2.0	1.0
728505	0.0	2.0
63951	626.0	55.0
100033807	0.0	1.0
728501	30.0	10.0
100033808	0.0	1.0
100033809	0.0	1.0
3726	10933.0	1093.0
100033814	0.0	5.0
3727	9021.0	944.0
63948	1.0	1.0
100033815	0.0	2.0
222052	0.0	4.0
3728	5204.0	7423.0
100033816	0.0	1.0
100033817	0.0	3.0
100033810	0.0	3.0
100033811	0.0	4.0
100033812	0.0	7.0
100033813	0.0	2.0
3720	1177.0	2734.0
151056	204.0	492.0
3725	13155.0	5156.0
645528	14.0	14.0
728532	38.0	15.0
163059	277.0	699.0
728538	0.0	32.0
728537	267.0	1312.0
63967	35.0	175.0
3737	103.0	16.0
3738	43.0	61.0
3739	79.0	0.0
645538	0.0	1.0
3730	2713.0	5699.0
3732	1120.0	377.0
3734	2.0	0.0
3735	8831.0	1679.0
3736	31.0	14.0
63970	3.0	101.0
3750	332.0	98.0
63971	9186.0	7044.0
63974	0.0	0.0
163049	2813.0	2195.0
63973	0.0	0.0
63976	246.0	100.0
222068	5084.0	5038.0
63978	0.0	0.0
63977	427.0	1791.0
63979	529.0	1441.0
728524	0.0	0.0
3748	52.0	1094.0
163051	28.0	52.0
3749	1270.0	1682.0
163050	44.0	178.0
3741	84.0	11.0
645548	28.0	12.0
3743	1.0	22.0
3744	0.0	0.0
3745	6280.0	79.0
3746	1.0	37.0
3747	0.0	1.0
285671	1140.0	444.0
285672	2235.0	1154.0
100873431	0.0	0.0
100873430	0.0	2.0
3760	13.0	5284.0
285676	87.0	127.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	12.0
100861449	0.0	15.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	425.0	205.0
283008	0.0	8.0
3751	562.0	420.0
100873435	0.0	1.0
3752	2092.0	3790.0
100873434	0.0	0.0
3753	20.0	18.0
100873433	0.0	8.0
3754	9.0	3.0
100873432	0.0	0.0
3755	7.0	13.0
100873439	0.0	0.0
3756	33.0	437.0
100873438	0.0	0.0
3757	11.0	27.0
100873437	0.0	0.0
3758	9.0	28.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	53.0	157.0
3772	159.0	79.0
100861458	0.0	6.0
100861453	28.0	109.0
100861455	0.0	22.0
1107	4489.0	13879.0
1106	5684.0	17666.0
1105	3331.0	8326.0
1104	454.0	891.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2532.0	553.0
1101	101.0	1750.0
3762	373.0	467.0
100873424	0.0	0.0
3763	20.0	67.0
100128640	155.0	199.0
100873423	0.0	0.0
3764	2226.0	209.0
100873422	0.0	4.0
3765	4.0	150.0
100873421	1.0	5.0
3766	5.0	163.0
100873428	0.0	0.0
3767	55.0	379.0
100873427	0.0	0.0
3768	118.0	23.0
1109	6.0	77.0
100873426	1.0	61.0
1108	11274.0	15070.0
3769	0.0	604.0
100873425	0.0	53.0
100128637	4.0	0.0
100128639	0.0	0.0
3780	2.0	8.0
100873453	0.0	0.0
3781	15.0	17.0
100873452	0.0	0.0
3782	464.0	337.0
100873451	0.0	0.0
3783	44.0	118.0
100873450	0.0	0.0
1121	2481.0	1584.0
100861468	0.0	0.0
1120	289.0	374.0
100861469	0.0	38.0
1118	40.0	112.0
1117	1361.0	1225.0
1116	179.0	297.0
1114	7.0	0.0
1113	3.0	35.0
1112	15722.0	3028.0
1111	191.0	282.0
3773	49.0	15.0
100873457	4.0	5.0
100873456	0.0	28.0
3775	56.0	59.0
100873455	0.0	0.0
3776	63.0	55.0
100873454	0.0	1.0
3777	1025.0	29.0
3778	669.0	7094.0
3779	162.0	362.0
100873459	0.0	4.0
1119	2150.0	1253.0
100128627	2.0	10.0
100128626	0.0	0.0
3790	329.0	779.0
100128628	5.0	99.0
3791	11210.0	3054.0
100873442	0.0	0.0
3792	11.0	38.0
100873441	0.0	12.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	6.0
1131	98.0	62.0
1130	5106.0	7997.0
100861476	0.0	102.0
1129	6.0	0.0
1128	0.0	12.0
1124	750.0	697.0
1123	597.0	426.0
1122	1085.0	875.0
100861470	0.0	1.0
3784	393.0	356.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	135.0	1214.0
100873444	0.0	0.0
3787	1.0	80.0
100873443	0.0	0.0
3788	39.0	98.0
100873449	14.0	93.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	22.0
283050	50.0	309.0
100128618	0.0	188.0
728597	5.0	2.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	40.0	150.0
100873473	0.0	0.0
100873472	0.0	6.0
1143	1.0	0.0
285634	43.0	2.0
1142	0.0	0.0
1141	2.0	544.0
285636	3516.0	1441.0
1140	429.0	375.0
728599	2.0	214.0
1139	24.0	10.0
1138	16.0	9.0
1137	0.0	2.0
100861485	0.0	0.0
1136	11.0	6.0
1135	1.0	9.0
1134	0.0	20.0
1133	6.0	216.0
3795	221.0	37.0
100873479	4.0	26.0
3796	2130.0	1736.0
100873478	0.0	2.0
3797	601.0	535.0
100873477	6.0	7.0
3798	4.0	41.0
100873476	0.0	0.0
3799	16493.0	14711.0
100873460	1.0	4.0
728586	30.0	40.0
285641	0.0	9.0
100873464	10.0	10.0
100873463	0.0	0.0
100873462	1.0	14.0
285643	0.0	7.0
100128603	1.0	4.0
100873461	0.0	0.0
1154	994.0	3086.0
1153	17881.0	9561.0
1152	7177.0	426.0
285647	13.0	72.0
728589	25.0	77.0
728588	0.0	0.0
1149	26446.0	133.0
1147	1902.0	1225.0
1146	2.0	252.0
1145	266.0	148.0
1144	1.0	53.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	1.0
100873469	0.0	21.0
100873493	0.0	5.0
100873492	0.0	0.0
100873491	0.0	23.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	8.0
100873494	0.0	0.0
1164	18.0	164.0
1163	1382.0	542.0
285659	0.0	0.0
1161	795.0	299.0
1160	1470.0	844.0
1159	3.0	13.0
1158	0.0	36.0
1157	0.0	0.0
1155	1221.0	796.0
550643	870.0	470.0
283025	0.0	0.0
100873499	0.0	3.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	46.0
100873484	0.0	0.0
100873483	0.0	3.0
1176	3532.0	401.0
1175	2577.0	674.0
285668	7.0	8.0
1174	779.0	444.0
1173	12449.0	4297.0
550631	47.0	305.0
100873489	0.0	0.0
283014	5.0	22.0
100873488	0.0	1.0
100873487	0.0	0.0
283093	1.0	7.0
283092	0.0	7.0
1187	40.0	49.0
1186	2262.0	2290.0
1185	3124.0	1951.0
1184	663.0	1288.0
1183	1061.0	145.0
1182	7456.0	5472.0
1181	170.0	231.0
440375	19.0	12.0
1180	20.0	7.0
1179	0.0	3.0
1178	0.0	0.0
283089	9.0	85.0
85495	0.0	0.0
85480	489.0	4.0
283080	0.0	0.0
1198	2537.0	4287.0
1197	0.0	5.0
1196	1663.0	4274.0
1195	6487.0	3356.0
440366	2.0	9.0
1193	2215.0	253.0
1192	8995.0	5829.0
1191	76287.0	9019.0
1188	10.0	6.0
283078	1231.0	35.0
85486	3.0	4.0
128615	0.0	0.0
85481	0.0	4.0
128611	89.0	57.0
440396	26.0	86.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	10.0
114026	0.0	0.0
100861402	5.0	61.0
126014	51.0	140.0
440335	1.0	867.0
100128690	0.0	0.0
114034	504.0	421.0
126006	2.0	253.0
114036	174.0	168.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	28.0	88.0
100861412	0.0	7.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	2.0	1.0
105180391	0.0	0.0
100128682	2.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	1.0
200728	218.0	99.0
440356	5.0	15.0
440354	75.0	58.0
440352	4.0	65.0
100873419	0.0	0.0
100873418	0.0	9.0
100873413	0.0	1.0
128646	3.0	18.0
100873412	0.0	0.0
100873411	0.0	3.0
100128675	3.0	91.0
100873410	0.0	0.0
100873417	2.0	9.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	87.0	277.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	169.0	711.0
200734	3713.0	4358.0
100861431	0.0	90.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	6.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	20.0	6.0
100873402	0.0	0.0
100873401	4.0	12.0
100873400	0.0	6.0
100128665	0.0	1.0
128637	6803.0	3321.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	7.0	3.0
165530	63.0	139.0
85409	22.0	58.0
106481385	1.0	32.0
106481386	0.0	12.0
85416	3.0	0.0
106481383	6.0	65.0
85417	91.0	230.0
106481384	0.0	0.0
103106903	0.0	6.0
85414	138.0	298.0
106481389	0.0	0.0
85415	60.0	1012.0
106481387	0.0	0.0
85413	13.0	11.0
106481388	2.0	9.0
645436	1.0	0.0
106481381	0.0	33.0
106481382	0.0	2.0
10	0.0	56.0
106481380	0.0	0.0
11	0.0	534.0
403341	1352.0	1192.0
12	8.0	888.0
13	1169.0	54.0
14	4618.0	1262.0
15	1.0	26.0
16	7429.0	1867.0
645455	17.0	91.0
18	1342.0	7544.0
19	20303.0	3482.0
128580	14.0	2.0
85407	259.0	249.0
106481396	0.0	0.0
106481397	0.0	11.0
106481394	0.0	0.0
85406	982.0	1217.0
106481395	0.0	5.0
85403	1623.0	1673.0
106481398	0.0	1.0
106481399	0.0	5.0
403339	0.0	0.0
106481392	0.0	2.0
106481393	0.0	0.0
20	5741.0	2633.0
106481390	0.0	4.0
21	3345.0	4065.0
106481391	0.0	0.0
22	2430.0	983.0
153571	136.0	30.0
153572	210.0	105.0
23	3564.0	2382.0
24	123.0	126.0
25	6507.0	4092.0
26	1.0	26.0
27	3165.0	7888.0
28	294.0	181.0
29	5817.0	5448.0
153579	28764.0	907.0
728615	0.0	0.0
728614	0.0	0.0
200765	91.0	306.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	139.0	90.0
102466518	0.0	16.0
102466516	2.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	20.0
85438	0.0	0.0
106481361	0.0	20.0
85439	649.0	4888.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3064.0	1554.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	167.0	353.0
106481366	0.0	0.0
30	2763.0	1105.0
106481360	2.0	2.0
31	20115.0	10960.0
32	126241.0	3906.0
33	2491.0	27.0
34	12310.0	260.0
35	4706.0	394.0
153562	56.0	2084.0
36	7843.0	10982.0
37	21735.0	6071.0
38	16675.0	1602.0
440307	19.0	54.0
39	1123.0	399.0
165545	4.0	47.0
106481369	0.0	0.0
728606	4.0	1850.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	12.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	2.0
40	4.0	5.0
106481370	0.0	0.0
41	290.0	212.0
106481371	0.0	2.0
43	20.0	20.0
645486	0.0	0.0
47	8872.0	8570.0
48	35443.0	2034.0
49	36.0	23.0
106481338	0.0	0.0
106481339	0.0	3.0
106481336	0.0	0.0
106481337	2.0	7.0
106481341	0.0	0.0
106481342	3.0	9.0
106481340	0.0	14.0
85458	6586.0	3616.0
106481345	0.0	0.0
85459	879.0	2247.0
106481346	0.0	0.0
