id	17ceeaa5-3ce3-4b34-8a52-fadcd8c8e893	130c9498-fa87-4c5b-82b7-60fa417c56d2
285550	2141.0	1720.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	15.0	23.0
3640	21.0	18.0
3638	5451.0	3153.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2620.0	1756.0
100873313	0.0	0.0
3632	2290.0	3193.0
100873312	3.0	14.0
100873311	0.0	0.0
3633	1843.0	1954.0
100873318	0.0	2.0
3635	2921.0	724.0
100873317	0.0	3.0
3636	5053.0	9747.0
100128771	144.0	154.0
100873316	7.0	6.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	19.0	33.0
2	110436.0	60865.0
100873309	0.0	0.0
100873308	0.0	0.0
3	54.0	5.0
3641	0.0	0.0
100873303	1.0	0.0
9	1662.0	9929.0
3642	163.0	714.0
100873302	0.0	1.0
3643	12067.0	9020.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	43.0	29.0
100873307	0.0	0.0
3646	37468.0	39939.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	188.0	98.0
100873304	0.0	0.0
100873332	6.0	1.0
3660	3678.0	2587.0
100873331	0.0	0.0
3661	1451.0	2501.0
100873330	0.0	0.0
285577	2.0	0.0
3662	1297.0	48.0
100128756	0.0	0.0
1000	125.0	965.0
3652	1534.0	2002.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	276.0	125.0
3654	4364.0	15554.0
100873334	0.0	0.0
3655	16906.0	2379.0
100873333	1.0	0.0
3656	815.0	1032.0
100873339	0.0	0.0
3658	7098.0	4010.0
100873338	0.0	0.0
3659	2677.0	3560.0
100873337	0.0	0.0
3670	0.0	7.0
100873321	0.0	0.0
3671	14703.0	6816.0
100873320	0.0	0.0
3672	11664.0	4231.0
285588	1.0	0.0
3673	5746.0	4735.0
1011	0.0	0.0
1010	68.0	4.0
1008	15.0	83.0
1007	0.0	0.0
1006	62.0	7.0
1005	0.0	13.0
1004	590.0	283.0
1003	9683.0	1586.0
1002	138.0	23.0
1001	3835.0	3738.0
3663	526.0	672.0
100873325	0.0	2.0
3664	8356.0	16968.0
100873324	0.0	0.0
3665	673.0	3203.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9406.0	7385.0
100873329	0.0	0.0
285590	5653.0	5408.0
100873328	1.0	0.0
3669	636.0	526.0
100873327	0.0	0.0
1009	3484.0	7797.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	11.0	6.0
728477	5.0	3.0
3680	3887.0	2212.0
3681	22.0	25.0
100128733	2.0	0.0
100873354	0.0	1.0
3682	878.0	1213.0
100873353	0.0	0.0
3683	1674.0	1840.0
100873352	2.0	0.0
