id	3e19bb94-c3f1-4d42-868e-0bbc5defd999	f12fbfdf-efd4-462a-a34c-8c01947bfb78
1069	2432.0	9683.0
1068	0.0	0.0
85369	2011.0	4983.0
85366	5.0	19.0
85364	1468.0	2038.0
85365	2132.0	5103.0
85363	1478.0	442.0
85360	1871.0	496.0
1080	96.0	29.0
85391	3.0	29.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	5.0	0.0
153733	447.0	2431.0
1087	5.0	177.0
1086	1.0	0.0
440279	16.0	0.0
1085	10.0	5.0
1084	4.0	7.0
440278	129.0	276.0
1082	0.0	0.0
403294	0.0	0.0
440275	6133.0	8382.0
1081	26.0	3073.0
85397	10.0	117.0
85395	229.0	150.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	1.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	199.0	17.0
1089	6.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	11.0	7.0
285598	723.0	713.0
126133	1064.0	1250.0
128790	0.0	0.0
126129	205.0	63.0
126123	2.0	2.0
442862	0.0	0.0
126119	536.0	204.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	0.0	0.0
114131	0.0	2.0
442896	0.0	0.0
114132	29.0	11.0
442897	0.0	0.0
442898	6.0	0.0
114134	839.0	829.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	7.0
100128788	36.0	248.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	179.0	265.0
100128781	2.0	7.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	5.0
403234	0.0	0.0
403235	2.0	1.0
403236	0.0	0.0
63982	465.0	409.0
102466616	0.0	0.0
126052	0.0	0.0
151009	49.0	265.0
403227	1.0	0.0
403228	0.0	0.0
138046	3.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	151.0	16.0
107131122	1.0	1.0
138050	9379.0	57744.0
403219	0.0	0.0
151011	7911.0	7947.0
645587	0.0	1.0
165679	92.0	2661.0
126037	17.0	38.0
114049	2692.0	6977.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	27.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	862.0	888.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2288.0	5195.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	304.0	573.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	14.0	43.0
645598	0.0	1.0
163007	0.0	0.0
114038	1.0	2.0
645591	1.0	0.0
106481495	0.0	1.0
114041	26.0	31.0
106481496	0.0	0.0
114042	10.0	7.0
106481493	0.0	0.0
114043	53.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	134.0	539.0
126017	386.0	1797.0
106481497	2.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	4.0
85301	894.0	321.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	3.0	0.0
403276	0.0	0.0
403277	1.0	0.0
403278	0.0	0.0
26996	752.0	7154.0
106481459	0.0	0.0
26994	10646.0	7304.0
106481457	4.0	10.0
26995	1623.0	6291.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	1.0	0.0
102466659	0.0	0.0
26999	537.0	12883.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1351.0	2850.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	2.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	0.0
106481471	0.0	0.0
85329	7372.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	165.0	74.0
106481470	3.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	541.0	1232.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	4.0
106481437	0.0	0.0
26974	113.0	360.0
153657	18.0	160.0
106481438	4.0	212.0
106481435	0.0	0.0
26973	921.0	4478.0
165631	75.0	82.0
106481436	0.0	0.0
26978	28.0	32.0
126075	432.0	770.0
106481439	0.0	0.0
403250	0.0	0.0
126074	111.0	239.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	992.0	996.0
106481444	3.0	8.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	7208.0	1104.0
85354	0.0	0.0
85352	120.0	105.0
403241	0.0	0.0
344462	0.0	6.0
403244	0.0	0.0
403245	0.0	0.0
153642	421.0	406.0
153643	4.0	33.0
403247	0.0	0.0
403248	0.0	0.0
26985	4492.0	17555.0
106481448	0.0	0.0
26986	55893.0	257278.0
126069	92.0	344.0
106481449	0.0	0.0
126068	622.0	1290.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1062.0	1374.0
106481447	0.0	0.0
106481451	1.0	6.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	142.0	2252.0
106481455	0.0	3.0
85349	37.0	2.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	28.0
106481454	0.0	2.0
403238	0.0	0.0
85344	1.0	10.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	25.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	2.0	4.0
100873392	1.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	4.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1790.0	7229.0
100873390	0.0	0.0
728556	30.0	72.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	111.0	332.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	351.0	688.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	10.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	199.0	794.0
100873384	0.0	0.0
285601	27.0	7.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	6.0
63910	91.0	58.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	509.0	1122.0
222008	1.0	395.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3054.0	4407.0
63904	0.0	0.0
106481430	0.0	0.0
163071	17.0	19.0
63906	637.0	324.0
106481433	0.0	0.0
63908	704.0	21259.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	11.0	320.0
63920	305.0	2078.0
63923	1127.0	62.0
63922	143.0	918.0
728577	140.0	6.0
63925	1076.0	1192.0
63924	50698.0	11.0
63916	2660.0	7103.0
63917	3962.0	11691.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	11.0
728564	5.0	6.0
285622	0.0	12.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1713.0	2821.0
106481402	1.0	0.0
63931	2489.0	6691.0
106481403	1.0	3.0
63934	261.0	559.0
728567	3.0	5.0
106481408	0.0	0.0
163088	5.0	7.0
63933	2468.0	17163.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3146.0	4664.0
163087	670.0	927.0
728568	266.0	1381.0
106481407	16.0	10.0
3704	906.0	2146.0
3705	10588.0	8067.0
63926	705.0	4290.0
3706	10.0	23.0
63929	1558.0	2499.0
3707	6745.0	2338.0
63928	0.0	0.0
3708	6322.0	6593.0
106481411	0.0	1.0
3709	5576.0	147930.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	23.0	15.0
3702	142.0	26.0
3703	8286.0	19922.0
645506	0.0	3.0
151050	1335.0	2482.0
645520	0.0	0.0
63941	872.0	3207.0
63940	580.0	458.0
63943	241.0	526.0
728517	0.0	0.0
163033	263.0	313.0
258010	853.0	6689.0
63947	0.0	0.0
63946	2.0	2.0
728513	0.0	0.0
100033803	0.0	0.0
3716	25337.0	15534.0
100033804	0.0	0.0
3717	2904.0	1993.0
100033805	0.0	0.0
3718	220.0	293.0
63939	857.0	4253.0
100033806	0.0	0.0
100190799	22.0	17.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	176.0	274.0
3710	2188.0	12470.0
3712	4336.0	7043.0
3713	0.0	0.0
3714	2189.0	1497.0
63950	0.0	0.0
728505	0.0	3.0
63951	109.0	9.0
100033807	0.0	0.0
728501	38.0	43.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	39313.0	2771.0
100033814	0.0	0.0
3727	30716.0	7087.0
63948	0.0	101.0
100033815	0.0	0.0
222052	6.0	0.0
3728	7475.0	33767.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1358.0	2756.0
151056	190.0	102.0
3725	44514.0	5564.0
645528	6.0	0.0
728532	24.0	73.0
163059	218.0	436.0
728538	0.0	1.0
728537	143.0	95.0
63967	64.0	1616.0
3737	124.0	0.0
3738	45.0	30.0
3739	14.0	3.0
645538	1.0	0.0
3730	2425.0	9196.0
3732	2307.0	285.0
3734	1.0	0.0
3735	8344.0	9303.0
3736	77.0	2.0
63970	75.0	3.0
3750	378.0	90.0
63971	7996.0	4364.0
63974	0.0	0.0
163049	2308.0	3427.0
63973	1.0	4.0
63976	332.0	37.0
222068	5537.0	25800.0
63978	1.0	0.0
63977	432.0	992.0
63979	486.0	1960.0
728524	0.0	0.0
3748	147.0	207.0
163051	25.0	53.0
3749	1077.0	765.0
163050	38.0	63.0
3741	115.0	25.0
645548	13.0	24.0
3743	2.0	3.0
3744	0.0	1.0
3745	3164.0	2466.0
3746	11.0	1626.0
3747	22.0	810.0
285671	886.0	264.0
285672	2219.0	3936.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	21.0	1857.0
285676	71.0	145.0
3761	2.0	0.0
100128657	0.0	0.0
285679	1.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	801.0	616.0
283008	3.0	0.0
3751	647.0	213.0
100873435	0.0	0.0
3752	1580.0	4926.0
100873434	0.0	0.0
3753	29.0	2.0
100873433	0.0	0.0
3754	11.0	68.0
100873432	0.0	0.0
3755	14.0	38.0
100873439	0.0	0.0
3756	21.0	280.0
100873438	0.0	0.0
3757	24.0	3485.0
100873437	0.0	0.0
3758	17.0	2.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	75.0	45.0
3772	188.0	183.0
100861458	0.0	0.0
100861453	20.0	8.0
100861455	0.0	0.0
1107	7801.0	29695.0
1106	6328.0	8311.0
1105	4561.0	16126.0
1104	678.0	2693.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1727.0	1162.0
1101	331.0	1.0
3762	339.0	688.0
100873424	0.0	0.0
3763	5.0	3221.0
100128640	151.0	268.0
100873423	0.0	0.0
3764	2193.0	790.0
100873422	0.0	0.0
3765	7.0	3.0
100873421	0.0	3.0
3766	10.0	9.0
100873428	0.0	0.0
3767	109.0	1556.0
100873427	0.0	0.0
3768	441.0	50.0
1109	7.0	4.0
100873426	1.0	1.0
1108	11612.0	28497.0
3769	2.0	13.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	1.0	2.0
100873453	0.0	0.0
3781	30.0	388.0
100873452	0.0	0.0
3782	793.0	766.0
100873451	0.0	0.0
3783	244.0	118.0
100873450	0.0	0.0
1121	2158.0	6077.0
100861468	0.0	0.0
1120	160.0	116.0
100861469	0.0	0.0
1118	156.0	14.0
1117	826.0	23.0
1116	1513.0	70.0
1114	34.0	5.0
1113	4.0	6.0
1112	15397.0	3154.0
1111	285.0	2406.0
3773	99.0	4.0
100873457	3.0	1.0
100873456	0.0	0.0
3775	215.0	333.0
100873455	0.0	0.0
3776	476.0	120.0
100873454	0.0	0.0
3777	254.0	24489.0
3778	1903.0	2416.0
3779	708.0	249.0
100873459	0.0	0.0
1119	1335.0	3389.0
100128627	0.0	3.0
100128626	0.0	0.0
3790	544.0	1135.0
100128628	1.0	45.0
3791	11003.0	7116.0
100873442	0.0	0.0
3792	18.0	77.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	10.0	26.0
1131	151.0	432.0
1130	5541.0	5219.0
100861476	0.0	0.0
1129	10.0	1.0
1128	52.0	421.0
1124	407.0	945.0
1123	821.0	1058.0
1122	955.0	4089.0
100861470	0.0	0.0
3784	434.0	157.0
100873446	0.0	0.0
3785	1.0	4.0
100873445	0.0	0.0
3786	149.0	1935.0
100873444	0.0	0.0
3787	63.0	4.0
100873443	0.0	0.0
3788	29.0	7.0
100873449	4.0	11.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	59.0	402.0
100128618	0.0	2.0
728597	1.0	1.0
100128617	3.0	5.0
100873475	0.0	1.0
100873474	0.0	0.0
728591	28.0	58.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	79.0
285634	11.0	2.0
1142	0.0	0.0
1141	20.0	4772.0
285636	2849.0	8465.0
1140	425.0	598.0
728599	1.0	3.0
1139	14.0	15.0
1138	20.0	134.0
1137	1.0	0.0
100861485	0.0	0.0
1136	9.0	13.0
1135	7.0	0.0
1134	5.0	175.0
1133	19.0	6.0
3795	159.0	443.0
100873479	2.0	4.0
3796	1680.0	6711.0
100873478	0.0	0.0
3797	823.0	2775.0
100873477	0.0	1.0
3798	27.0	16.0
100873476	0.0	0.0
3799	16261.0	50351.0
100873460	0.0	0.0
728586	26.0	28.0
285641	2.0	1.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	5.0	2.0
285643	0.0	10.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1564.0	5262.0
1153	18382.0	11856.0
1152	2931.0	69.0
285647	15.0	113.0
728589	23.0	341.0
728588	3.0	6.0
1149	10108.0	1.0
1147	1950.0	7525.0
1146	1.0	5.0
1145	54.0	27.0
1144	0.0	19.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	155.0	4788.0
1163	1140.0	4086.0
285659	0.0	0.0
1161	540.0	1306.0
1160	755.0	62.0
1159	12.0	1340.0
1158	1.0	85.0
1157	1.0	0.0
1155	1915.0	3024.0
550643	1116.0	7036.0
283025	0.0	0.0
100873499	0.0	1.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4128.0	4802.0
1175	2643.0	3315.0
285668	16.0	4.0
1174	1023.0	5324.0
1173	17012.0	23926.0
550631	68.0	252.0
100873489	0.0	0.0
283014	3.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	52.0	46.0
1186	2517.0	4618.0
1185	2584.0	1105.0
1184	630.0	832.0
1183	1249.0	76.0
1182	6388.0	27318.0
1181	179.0	748.0
440375	29.0	7.0
1180	19.0	1.0
1179	0.0	0.0
1178	2.0	1.0
283089	13.0	2.0
85495	0.0	0.0
85480	235.0	9.0
283080	0.0	0.0
1198	2484.0	4358.0
1197	0.0	0.0
1196	1270.0	1684.0
1195	5464.0	8326.0
440366	2.0	1.0
1193	3017.0	848.0
1192	13020.0	20414.0
1191	73962.0	19414.0
1188	13.0	1.0
283078	343.0	16.0
85486	3.0	3.0
128615	0.0	0.0
85481	0.0	5.0
128611	62.0	9.0
440396	32.0	204.0
128609	0.0	0.0
128602	0.0	0.0
440387	3.0	0.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	1.0	12.0
126014	49.0	121.0
440335	94.0	4065.0
100128690	0.0	0.0
114034	693.0	480.0
126006	6.0	68.0
114036	85.0	43.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	23.0	71.0
100861412	0.0	0.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	255.0	626.0
440356	3.0	70.0
440354	77.0	137.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	1.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	7.0
100873410	0.0	0.0
100873417	3.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	7.0	3.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	160.0	187.0
200734	4556.0	7866.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	17.0	31.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5468.0	7121.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	1.0
645443	3.0	2.0
165530	134.0	3.0
85409	40.0	157.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	3.0	1.0
106481383	1.0	0.0
85417	81.0	701.0
106481384	0.0	0.0
103106903	1.0	2.0
85414	200.0	73.0
106481389	0.0	0.0
85415	514.0	1879.0
106481387	0.0	0.0
85413	3.0	1.0
106481388	1.0	6.0
645436	0.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	13.0	74.0
106481380	0.0	2.0
11	0.0	168.0
403341	1280.0	2119.0
12	286.0	28.0
13	1270.0	1.0
14	5156.0	8937.0
15	6.0	0.0
16	7373.0	13878.0
645455	27.0	44.0
18	1058.0	3815.0
19	10463.0	1698.0
128580	13.0	32.0
85407	256.0	19.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1225.0	3392.0
106481395	0.0	1.0
85403	2085.0	12834.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3477.0	7564.0
106481390	0.0	0.0
21	2684.0	21388.0
106481391	0.0	0.0
22	1749.0	4140.0
153571	211.0	1108.0
153572	671.0	924.0
23	4411.0	9287.0
24	149.0	228.0
25	12283.0	8580.0
26	8.0	27.0
27	4757.0	5668.0
28	1167.0	526.0
29	6000.0	7593.0
153579	15444.0	259.0
728615	0.0	1.0
728614	0.0	0.0
200765	146.0	624.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	43.0	45.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	1.0	0.0
106481361	1.0	0.0
85439	792.0	1497.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2673.0	7777.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	143.0	165.0
106481366	0.0	0.0
30	2626.0	2219.0
106481360	0.0	0.0
31	9599.0	16736.0
32	59692.0	385.0
33	1555.0	6.0
34	5147.0	5245.0
35	3638.0	208.0
153562	310.0	6935.0
36	4233.0	101413.0
37	17534.0	7150.0
38	9834.0	7421.0
440307	9.0	13.0
39	776.0	2638.0
165545	3.0	278.0
106481369	0.0	0.0
728606	31.0	67.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	47.0	21.0
106481370	0.0	0.0
41	300.0	2594.0
106481371	0.0	0.0
43	39.0	200.0
645486	0.0	0.0
47	10249.0	27548.0
48	21609.0	1812.0
49	56.0	11.0
106481338	0.0	0.0
106481339	3.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	5.0	13.0
106481340	1.0	0.0
85458	5909.0	2844.0
