id	2d3e6de2-dc7c-4078-8d1c-aecac52b4a44	3fb92a97-b53b-4f00-88b2-958b0ad2b46d
1009	3394.0	14062.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	4.0	19.0
3680	3576.0	885.0
3681	24.0	25.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	886.0	524.0
100873353	0.0	0.0
3683	732.0	3378.0
100873352	1.0	0.0
128710	667.0	1944.0
3684	2581.0	190.0
100873351	0.0	0.0
285512	177.0	22.0
1022	945.0	2102.0
285513	1065.0	430.0
1021	2877.0	584.0
1020	288.0	1227.0
440299	0.0	0.0
1019	2264.0	2741.0
128709	0.0	0.0
1018	28.0	15.0
1017	1017.0	2233.0
1016	0.0	2.0
1015	28.0	7.0
1014	1.0	0.0
1013	3.0	20.0
1012	3693.0	614.0
116730	52.0	45.0
3674	59.0	26.0
100873358	0.0	0.0
3675	3854.0	4535.0
100873357	0.0	2.0
3676	801.0	556.0
100128731	3864.0	5229.0
100873356	0.0	0.0
3678	6479.0	4927.0
3679	15385.0	368.0
100873359	0.0	0.0
728464	76.0	10.0
728463	35.0	2.0
100128725	0.0	0.0
3690	643.0	93.0
3691	7407.0	6156.0
100873343	4.0	0.0
3692	2368.0	4439.0
3693	30448.0	9312.0
285521	1121.0	1764.0
100873342	0.0	0.0
3694	1377.0	200.0
100873341	0.0	0.0
3695	95.0	54.0
100873340	0.0	0.0
100128723	1.0	11.0
1033	42.0	459.0
1032	314.0	686.0
285525	2.0	1.0
1031	2125.0	1009.0
285527	6950.0	5243.0
1030	6945.0	1551.0
728468	0.0	0.0
440288	108.0	188.0
1029	152.0	166.0
440295	61.0	123.0
1028	4169.0	312.0
1027	5246.0	8952.0
1026	2297.0	2007.0
1025	2396.0	2833.0
1024	992.0	1289.0
3685	16926.0	23632.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	560.0	168.0
100873345	0.0	1.0
3688	90805.0	25969.0
100873344	0.0	0.0
3689	3916.0	963.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	7.0	1.0
100873370	0.0	0.0
728498	43.0	0.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	34.0	78.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	50.0	13.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	23.0
1043	636.0	163.0
1041	5.0	1.0
1040	680.0	8110.0
1039	1634.0	3202.0
1038	44.0	2.0
1036	5936.0	114.0
3696	1994.0	243.0
3697	4.0	0.0
100873379	0.0	0.0
3698	197.0	28.0
100873378	4.0	4.0
3699	139.0	37.0
100873377	0.0	7.0
728486	12.0	3.0
100873361	0.0	2.0
105373869	5.0	201.0
100873360	0.0	1.0
285540	168.0	51.0
100128705	4.0	1.0
100873365	1.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	4149.0	2249.0
285547	0.0	0.0
1053	4.0	0.0
285548	0.0	0.0
1052	1725.0	713.0
1051	2898.0	2052.0
728489	8.0	2.0
1050	7418.0	494.0
100128707	0.0	0.0
1048	0.0	103.0
1047	79.0	12642.0
1046	0.0	0.0
1045	2.0	0.0
100873369	6.0	11.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	8.0	0.0
1066	28835.0	973.0
1063	356.0	23102.0
1062	224.0	2634.0
1061	6.0	1.0
1060	1844.0	913.0
440253	328.0	26.0
1059	4131.0	5998.0
1058	16.0	410.0
1057	0.0	3.0
85379	7336.0	10140.0
114112	891.0	508.0
1056	17.0	36.0
85377	1679.0	2510.0
85378	1873.0	1747.0
128745	2.0	4.0
85376	8.0	78.0
440248	856.0	315.0
1075	11019.0	1050.0
1074	8.0	6.0
1073	6307.0	686.0
1072	19496.0	37147.0
1071	81.0	23.0
440243	0.0	0.0
1070	766.0	1579.0
1069	2852.0	3898.0
1068	0.0	0.0
85369	1963.0	1435.0
85366	0.0	6.0
85364	1330.0	711.0
85365	1926.0	3625.0
85363	1418.0	2212.0
85360	1331.0	292.0
1080	40.0	13.0
85391	40.0	8.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	6.0	1.0
153733	667.0	1181.0
1087	2.0	64.0
1086	0.0	0.0
440279	85.0	2.0
1085	12.0	2.0
1084	34.0	2.0
440278	80.0	113.0
1082	0.0	0.0
403294	0.0	0.0
440275	5375.0	3794.0
1081	0.0	1.0
85397	2.0	71.0
85395	244.0	462.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	573.0	211.0
1089	9.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	18.0	6.0
285598	1228.0	277.0
126133	1154.0	998.0
128790	0.0	0.0
126129	136.0	41.0
126123	0.0	0.0
442862	0.0	0.0
126119	390.0	448.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	1.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	80.0	2.0
442897	0.0	0.0
442898	1.0	1.0
114134	940.0	1167.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	6.0
100128788	28.0	278.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	2.0
128756	0.0	1.0
100128782	173.0	221.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	4.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	949.0	15.0
102466616	0.0	0.0
126052	0.0	2.0
151009	78.0	32.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	0.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	133.0	2332.0
107131122	0.0	0.0
138050	9329.0	5340.0
403219	0.0	0.0
151011	8224.0	2106.0
645587	2.0	3.0
165679	203.0	497.0
126037	35.0	68.0
114049	2497.0	3011.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	3.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	748.0	190.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1909.0	5533.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	382.0	412.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	21.0	9.0
645598	0.0	0.0
163007	1.0	10.0
114038	0.0	1.0
645591	2.0	0.0
106481495	0.0	0.0
114041	33.0	4.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	29.0	40.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	248.0	282.0
126017	690.0	806.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	4.0	3.0
85301	629.0	492.0
106481491	2.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	623.0	5653.0
106481459	0.0	0.0
26994	12584.0	17716.0
106481457	8.0	4.0
26995	1454.0	3244.0
106481458	0.0	0.0
403271	0.0	2.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	778.0	176.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	5.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1431.0	2603.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	2737.0	29.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	119.0	767.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	751.0	5116.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	2.0
106481437	0.0	0.0
26974	245.0	117.0
153657	21.0	91.0
106481438	2.0	313.0
106481435	0.0	0.0
26973	1323.0	2014.0
165631	226.0	29.0
106481436	0.0	0.0
26978	12.0	9.0
126075	456.0	1384.0
106481439	0.0	0.0
403250	0.0	0.0
126074	88.0	319.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	900.0	1217.0
106481444	4.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	70.0
85358	4826.0	1006.0
85354	0.0	0.0
85352	98.0	40.0
403241	1.0	1.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	655.0	1171.0
153643	6.0	142.0
403247	0.0	0.0
403248	0.0	0.0
26985	4980.0	14685.0
106481448	0.0	0.0
26986	57272.0	122546.0
126069	170.0	192.0
106481449	0.0	0.0
126068	1203.0	998.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1024.0	1165.0
106481447	0.0	0.0
106481451	5.0	3.0
106481452	0.0	1.0
106481450	1.0	0.0
114088	216.0	276.0
106481455	0.0	2.0
85349	8.0	7.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	10.0	15.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	1.0	0.0
344454	3.0	18.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	0.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2254.0	1792.0
100873390	0.0	0.0
728556	51.0	62.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	90.0	96.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	480.0	435.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	205.0	370.0
100873384	0.0	0.0
285601	53.0	4.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	2.0	1.0
63910	123.0	269.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	561.0	1426.0
222008	7.0	6.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	2445.0	1952.0
63904	0.0	0.0
106481430	1.0	0.0
163071	40.0	14.0
63906	632.0	379.0
106481433	0.0	0.0
63908	771.0	884.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	0.0
285613	13.0	168.0
63920	607.0	306.0
63923	2435.0	457.0
63922	134.0	570.0
728577	300.0	13.0
63925	909.0	1279.0
63924	26497.0	117.0
63916	2807.0	2753.0
63917	3584.0	3283.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	3.0
728564	4.0	6.0
285622	1.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1663.0	2148.0
106481402	0.0	0.0
63931	1958.0	3594.0
106481403	3.0	0.0
63934	572.0	370.0
728567	8.0	9.0
106481408	0.0	0.0
163088	1.0	1.0
63933	3364.0	7546.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2293.0	2157.0
163087	1120.0	519.0
728568	286.0	751.0
106481407	15.0	2.0
3704	809.0	1407.0
3705	9717.0	1581.0
63926	668.0	10097.0
3706	6.0	29.0
63929	1315.0	3084.0
3707	4511.0	6149.0
63928	2.0	0.0
3708	8218.0	12190.0
106481411	0.0	0.0
3709	10830.0	5918.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	18.0	6.0
3702	235.0	97.0
3703	8610.0	8577.0
645506	0.0	1.0
151050	1663.0	1257.0
645520	0.0	0.0
63941	622.0	3768.0
63940	961.0	493.0
63943	236.0	364.0
728517	0.0	1.0
163033	194.0	196.0
258010	861.0	3194.0
63947	0.0	1.0
63946	0.0	109.0
728513	7.0	1.0
100033803	0.0	0.0
3716	26825.0	10553.0
100033804	0.0	0.0
3717	3489.0	864.0
100033805	0.0	0.0
3718	310.0	144.0
63939	1567.0	4215.0
100033806	0.0	0.0
100190799	13.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	75.0	32.0
3710	2453.0	8700.0
3712	3990.0	8780.0
3713	0.0	60.0
3714	2186.0	1967.0
63950	0.0	0.0
728505	4.0	1.0
63951	184.0	22.0
100033807	0.0	0.0
728501	38.0	27.0
100033808	0.0	0.0
100033809	0.0	1.0
3726	4415.0	4440.0
100033814	0.0	0.0
3727	4945.0	4769.0
63948	2.0	0.0
100033815	0.0	0.0
222052	12.0	1.0
3728	7681.0	43533.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	1.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1327.0	3369.0
151056	266.0	48.0
3725	9729.0	2132.0
645528	6.0	0.0
728532	66.0	42.0
163059	214.0	571.0
728538	0.0	0.0
728537	151.0	89.0
63967	37.0	500.0
3737	244.0	6.0
3738	78.0	25.0
3739	104.0	0.0
645538	0.0	0.0
3730	2061.0	2789.0
3732	1952.0	403.0
3734	0.0	0.0
3735	7155.0	4562.0
3736	67.0	17.0
63970	101.0	5.0
3750	247.0	140.0
63971	8805.0	5252.0
63974	0.0	0.0
163049	2610.0	4798.0
63973	13.0	1.0
63976	346.0	267.0
222068	4143.0	10466.0
63978	0.0	0.0
63977	552.0	1171.0
63979	614.0	1267.0
728524	0.0	0.0
3748	162.0	17.0
163051	27.0	37.0
3749	1372.0	246.0
163050	59.0	109.0
3741	51.0	16.0
645548	8.0	19.0
3743	0.0	0.0
3744	0.0	0.0
3745	5067.0	54.0
3746	2.0	13.0
3747	10.0	36.0
285671	1167.0	459.0
285672	2421.0	2192.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	188.0	72636.0
285676	96.0	82.0
3761	1.0	42.0
100128657	0.0	0.0
285679	1.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1258.0	107.0
283008	0.0	1.0
3751	866.0	87.0
100873435	0.0	0.0
3752	2235.0	2659.0
100873434	0.0	0.0
3753	89.0	7.0
100873433	0.0	0.0
3754	27.0	32.0
100873432	0.0	0.0
3755	15.0	28.0
100873439	0.0	0.0
3756	18.0	88.0
100873438	0.0	0.0
3757	35.0	152.0
100873437	0.0	0.0
3758	12.0	1.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	60.0	33.0
3772	88.0	18.0
100861458	0.0	0.0
100861453	11.0	12.0
100861455	0.0	0.0
1107	8838.0	14093.0
1106	6898.0	8402.0
1105	3522.0	7324.0
1104	819.0	2386.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2254.0	609.0
1101	158.0	5059.0
3762	1034.0	105.0
100873424	0.0	0.0
3763	15.0	2.0
100128640	79.0	29.0
100873423	0.0	0.0
3764	2264.0	198.0
100873422	0.0	0.0
3765	3.0	0.0
100873421	0.0	0.0
3766	10.0	465.0
100873428	0.0	0.0
3767	117.0	174.0
100873427	0.0	0.0
3768	318.0	33.0
1109	8.0	4.0
100873426	1.0	1.0
1108	11931.0	28241.0
3769	1.0	23.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	9.0	22.0
100873453	0.0	0.0
3781	29.0	65.0
100873452	0.0	2.0
3782	658.0	370.0
100873451	0.0	0.0
3783	562.0	46.0
100873450	0.0	0.0
1121	2343.0	3638.0
100861468	0.0	0.0
1120	124.0	69.0
100861469	0.0	0.0
1118	237.0	37.0
1117	1676.0	649.0
1116	2097.0	170.0
1114	14.0	5.0
1113	8.0	2.0
1112	18979.0	2717.0
1111	247.0	480.0
3773	242.0	3.0
100873457	1.0	2.0
100873456	1.0	0.0
3775	215.0	7749.0
100873455	0.0	0.0
3776	700.0	18.0
100873454	0.0	0.0
3777	304.0	14.0
3778	4260.0	472.0
3779	1236.0	63.0
100873459	0.0	0.0
1119	974.0	660.0
100128627	1.0	0.0
100128626	0.0	1.0
3790	622.0	2296.0
100128628	4.0	16.0
3791	7933.0	3116.0
100873442	0.0	0.0
3792	21.0	2.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	47.0	16.0
1131	286.0	231.0
1130	6759.0	6065.0
100861476	0.0	0.0
1129	1.0	0.0
1128	100.0	22.0
1124	548.0	281.0
1123	773.0	639.0
1122	1024.0	1499.0
100861470	0.0	0.0
3784	678.0	1738.0
100873446	0.0	0.0
3785	1.0	89.0
100873445	0.0	0.0
3786	370.0	266.0
100873444	0.0	0.0
3787	29.0	6.0
100873443	0.0	0.0
3788	42.0	1.0
100873449	5.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	67.0	99.0
100128618	0.0	2.0
728597	0.0	1.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	55.0	128.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	3.0	63.0
285634	9.0	21.0
1142	0.0	0.0
1141	16.0	56.0
285636	2951.0	3099.0
1140	603.0	277.0
728599	1.0	1.0
1139	25.0	2.0
1138	40.0	377.0
1137	1.0	156.0
100861485	0.0	0.0
1136	31.0	113.0
1135	3.0	0.0
1134	1.0	122.0
1133	10.0	7.0
3795	243.0	34.0
100873479	6.0	4.0
3796	1860.0	3001.0
100873478	0.0	0.0
3797	1163.0	1491.0
100873477	4.0	3.0
3798	107.0	31.0
100873476	0.0	0.0
3799	25063.0	52604.0
100873460	0.0	0.0
728586	16.0	25.0
285641	0.0	0.0
100873464	2.0	1.0
100873463	1.0	0.0
100873462	0.0	1.0
285643	1.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1262.0	1931.0
1153	12224.0	17160.0
1152	1902.0	2862.0
285647	12.0	65.0
728589	21.0	6.0
728588	2.0	0.0
1149	9284.0	60.0
1147	2191.0	2175.0
1146	1.0	3.0
1145	21.0	13.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	167.0	1219.0
1163	818.0	1198.0
285659	0.0	0.0
1161	560.0	894.0
1160	555.0	25.0
1159	22.0	201.0
1158	0.0	2.0
1157	0.0	0.0
1155	1578.0	1539.0
550643	861.0	2136.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4314.0	1733.0
1175	2057.0	1859.0
285668	28.0	1.0
1174	826.0	3570.0
1173	15494.0	17840.0
550631	45.0	160.0
100873489	0.0	0.0
283014	10.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	20.0	20.0
1186	2275.0	3789.0
1185	2287.0	1022.0
1184	907.0	916.0
1183	1162.0	177.0
1182	7551.0	18535.0
1181	112.0	188.0
440375	29.0	28.0
1180	11.0	30.0
1179	0.0	0.0
1178	1.0	0.0
283089	5.0	2.0
85495	0.0	0.0
85480	314.0	11.0
283080	0.0	0.0
1198	2103.0	2014.0
1197	0.0	2.0
1196	1466.0	2464.0
1195	8245.0	4523.0
440366	4.0	1.0
1193	3493.0	605.0
1192	13187.0	13469.0
1191	86655.0	7678.0
1188	18.0	1.0
283078	452.0	29.0
85486	12.0	2.0
128615	1.0	0.0
85481	1.0	8.0
128611	137.0	31.0
440396	41.0	17.0
128609	0.0	1.0
128602	1.0	1.0
440387	1.0	0.0
128674	2.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	5.0
126014	102.0	37.0
440335	76.0	3808.0
100128690	0.0	0.0
114034	403.0	436.0
126006	8.0	73.0
114036	89.0	23.0
100128696	0.0	0.0
100128688	0.0	1.0
126003	51.0	101.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	10.0
105180391	0.0	0.0
100128682	7.0	4.0
100128678	1.0	1.0
100861429	0.0	0.0
128653	1.0	0.0
200728	286.0	261.0
440356	0.0	24.0
440354	38.0	49.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	0.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	11.0	1.0
100861435	1.0	1.0
100861436	0.0	0.0
440345	203.0	226.0
200734	3501.0	4875.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	4072.0	2559.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	12.0	4.0
165530	202.0	56.0
85409	42.0	802.0
106481385	0.0	1.0
106481386	0.0	1.0
85416	12.0	37.0
106481383	4.0	1.0
85417	69.0	167.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	199.0	338.0
106481389	0.0	0.0
85415	554.0	757.0
106481387	0.0	0.0
85413	25.0	4.0
106481388	2.0	3.0
645436	0.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	7.0	9.0
106481380	0.0	0.0
11	0.0	24.0
403341	1761.0	1066.0
12	34.0	902.0
13	154.0	7.0
14	4552.0	6333.0
15	3.0	9.0
16	8054.0	6243.0
645455	31.0	84.0
18	782.0	13712.0
19	15206.0	2671.0
128580	15.0	10.0
85407	261.0	144.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1269.0	2952.0
106481395	0.0	0.0
85403	1671.0	6920.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	3.0
106481393	0.0	0.0
20	3733.0	6189.0
106481390	0.0	0.0
21	2512.0	4331.0
106481391	0.0	0.0
22	1488.0	2348.0
153571	217.0	224.0
153572	1114.0	812.0
23	3720.0	6379.0
24	105.0	11.0
25	8702.0	5411.0
26	18.0	10.0
27	3053.0	4526.0
28	459.0	23.0
29	5514.0	4946.0
153579	10130.0	498.0
728615	0.0	0.0
728614	0.0	0.0
200765	117.0	63.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	43.0	21.0
102466518	0.0	0.0
102466516	15.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1038.0	880.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2870.0	3674.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	140.0	258.0
106481366	0.0	0.0
30	2555.0	1005.0
106481360	0.0	0.0
31	5882.0	15850.0
32	36985.0	725.0
33	989.0	8.0
34	4521.0	1960.0
35	2726.0	450.0
153562	379.0	5203.0
36	4242.0	23568.0
37	19120.0	5033.0
38	9938.0	1250.0
440307	5.0	14.0
39	723.0	2129.0
165545	3.0	563.0
106481369	0.0	0.0
728606	4.0	245.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	24.0	15.0
106481370	0.0	0.0
41	278.0	821.0
106481371	0.0	0.0
43	40.0	10.0
645486	0.0	1.0
47	8221.0	33441.0
48	23375.0	2221.0
49	20.0	15.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	6.0	2.0
106481340	0.0	1.0
85458	9098.0	1450.0
106481345	0.0	1.0
85459	935.0	998.0
