id	a0c9781b-0c1e-4dc0-a3f6-84e938b07641	4a775326-e623-47d4-b105-d32fc21afb8a
85369	2058.0	488.0
85366	0.0	6.0
85364	1420.0	572.0
85365	1892.0	4217.0
85363	1112.0	1142.0
85360	1456.0	224.0
1080	46.0	82.0
85391	24.0	4.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	5.0	0.0
153733	585.0	448.0
1087	1.0	3.0
1086	0.0	0.0
440279	20.0	4.0
1085	15.0	1.0
1084	8.0	1.0
440278	153.0	67.0
1082	0.0	0.0
403294	0.0	0.0
440275	5919.0	5351.0
1081	0.0	12.0
85397	5.0	1.0
85395	299.0	295.0
403285	0.0	0.0
1091	0.0	0.0
1090	6.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	686.0	3045.0
1089	5.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	3.0	1.0
285598	769.0	319.0
126133	940.0	442.0
128790	0.0	0.0
126129	136.0	28.0
126123	0.0	0.0
442862	0.0	0.0
126119	476.0	176.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	16.0	0.0
442897	0.0	0.0
442898	1.0	1.0
114134	796.0	455.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	2.0
100128788	28.0	28.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	4.0
128756	0.0	0.0
100128782	116.0	197.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	5.0
403234	0.0	0.0
403235	0.0	5.0
403236	0.0	0.0
63982	1571.0	104.0
102466616	0.0	0.0
126052	0.0	1.0
151009	29.0	100.0
403227	0.0	0.0
403228	0.0	0.0
138046	6.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	126.0	3961.0
107131122	0.0	1.0
138050	8766.0	11202.0
403219	0.0	0.0
151011	6070.0	3113.0
645587	3.0	2.0
165679	41.0	2111.0
126037	19.0	31.0
114049	2896.0	7890.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	2.0
106481483	0.0	0.0
85315	598.0	1269.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2332.0	2080.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	372.0	168.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	3.0	2.0
645598	1.0	2.0
163007	3.0	0.0
114038	1.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	0.0	6.0
106481496	0.0	0.0
114042	2.0	10.0
106481493	0.0	0.0
114043	19.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	119.0	344.0
126017	480.0	484.0
106481497	0.0	4.0
106481498	0.0	3.0
85303	0.0	0.0
85300	2.0	1.0
85301	834.0	1542.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	10.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	507.0	300.0
106481459	0.0	0.0
26994	13887.0	3855.0
106481457	6.0	25.0
26995	2002.0	1482.0
106481458	0.0	0.0
403271	0.0	1.0
26998	2.0	8.0
403272	1.0	1.0
102466659	0.0	0.0
26999	511.0	305.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	7.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1648.0	1190.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	16.0
106481471	0.0	0.0
85329	20677.0	3.0
106481472	0.0	0.0
106481477	0.0	7.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	77.0	39.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	551.0	557.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	3.0
106481437	0.0	0.0
26974	210.0	417.0
153657	6.0	7.0
106481438	0.0	0.0
106481435	0.0	1.0
26973	1911.0	785.0
165631	62.0	19.0
106481436	1.0	1.0
26978	13.0	21.0
126075	344.0	97.0
106481439	0.0	0.0
403250	0.0	0.0
126074	71.0	100.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	1.0
85359	1131.0	708.0
106481444	4.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6529.0	1323.0
85354	0.0	0.0
85352	120.0	77.0
403241	1.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	496.0	232.0
153643	2.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	5950.0	140.0
106481448	0.0	0.0
26986	61040.0	117484.0
126069	152.0	127.0
106481449	0.0	0.0
126068	563.0	729.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1181.0	1028.0
106481447	1.0	0.0
106481451	5.0	2.0
106481452	0.0	0.0
106481450	0.0	2.0
114088	59.0	488.0
106481455	0.0	0.0
85349	1.0	22.0
106481456	0.0	2.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	15.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	0.0	3.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1579.0	1634.0
100873390	0.0	0.0
728556	57.0	42.0
106481419	0.0	4.0
100128817	0.0	0.0
728558	120.0	40.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	384.0	788.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	5.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	185.0	87.0
100873384	0.0	0.0
285601	15.0	3.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	1.0
63910	37.0	13.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	720.0	235.0
222008	1.0	0.0
106481428	0.0	1.0
106481429	0.0	1.0
63905	3201.0	5421.0
63904	0.0	0.0
106481430	0.0	1.0
163071	38.0	6.0
63906	777.0	393.0
106481433	0.0	0.0
63908	556.0	673.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	1.0
285613	7.0	14.0
63920	500.0	321.0
63923	1750.0	44.0
63922	119.0	219.0
728577	91.0	47.0
63925	939.0	1265.0
63924	70340.0	87.0
63916	2541.0	2711.0
63917	3806.0	7927.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	3.0
728564	2.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2057.0	1595.0
106481402	1.0	0.0
63931	2929.0	2144.0
106481403	0.0	0.0
63934	241.0	705.0
728567	9.0	3.0
106481408	0.0	0.0
163088	2.0	18.0
63933	3109.0	5004.0
106481409	0.0	1.0
106481406	0.0	0.0
63935	2667.0	1933.0
163087	847.0	716.0
728568	282.0	672.0
106481407	14.0	11.0
3704	1185.0	1595.0
3705	13750.0	1157.0
63926	1064.0	1358.0
3706	2.0	5.0
63929	1935.0	2509.0
3707	6756.0	3876.0
63928	0.0	5.0
3708	4515.0	265.0
106481411	0.0	0.0
3709	5990.0	2150.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	16.0	10.0
3702	97.0	56.0
3703	7332.0	10060.0
645506	0.0	0.0
151050	2029.0	1802.0
645520	0.0	0.0
63941	972.0	328.0
63940	344.0	339.0
63943	282.0	322.0
728517	0.0	0.0
163033	250.0	471.0
258010	748.0	2576.0
63947	0.0	0.0
63946	0.0	0.0
728513	4.0	0.0
100033803	0.0	0.0
3716	30422.0	5016.0
100033804	0.0	0.0
3717	2143.0	428.0
100033805	0.0	0.0
3718	234.0	171.0
63939	1267.0	2174.0
100033806	0.0	0.0
100190799	8.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	73.0	77.0
3710	1070.0	2376.0
3712	5443.0	1803.0
3713	0.0	1.0
3714	1646.0	564.0
63950	2.0	0.0
728505	0.0	1.0
63951	470.0	5.0
100033807	0.0	0.0
728501	37.0	64.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	30501.0	3877.0
100033814	0.0	0.0
3727	25374.0	15317.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	6152.0	17233.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1111.0	3427.0
151056	43.0	104.0
3725	62039.0	8636.0
645528	9.0	1.0
728532	43.0	15.0
163059	240.0	360.0
728538	1.0	0.0
728537	137.0	360.0
63967	53.0	38.0
3737	53.0	0.0
3738	22.0	9.0
3739	43.0	1.0
645538	0.0	0.0
3730	2220.0	107.0
3732	2067.0	1430.0
3734	0.0	0.0
3735	9866.0	19349.0
3736	31.0	15.0
63970	0.0	1.0
3750	198.0	28.0
63971	11505.0	2808.0
63974	1.0	0.0
163049	2581.0	2555.0
63973	2.0	0.0
63976	347.0	15.0
222068	4877.0	11690.0
63978	0.0	0.0
63977	461.0	447.0
63979	634.0	1031.0
728524	0.0	0.0
3748	44.0	160.0
163051	12.0	46.0
3749	557.0	866.0
163050	46.0	16.0
3741	114.0	10.0
645548	14.0	14.0
3743	0.0	0.0
3744	0.0	0.0
3745	3488.0	22.0
3746	2.0	2.0
3747	0.0	8.0
285671	1186.0	490.0
285672	2419.0	1858.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	47.0	5.0
285676	73.0	47.0
3761	0.0	1.0
100128657	0.0	5.0
285679	2.0	0.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	616.0	111.0
283008	1.0	0.0
3751	500.0	8.0
100873435	0.0	0.0
3752	2909.0	23.0
100873434	0.0	0.0
3753	38.0	2.0
100873433	0.0	0.0
3754	10.0	299.0
100873432	0.0	0.0
3755	11.0	169.0
100873439	0.0	0.0
3756	43.0	33.0
100873438	0.0	0.0
3757	49.0	111.0
100873437	0.0	0.0
3758	13.0	1.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	35.0	52.0
3772	155.0	10.0
100861458	0.0	0.0
100861453	18.0	38.0
100861455	0.0	0.0
1107	7083.0	4311.0
1106	5590.0	5295.0
1105	3462.0	1883.0
1104	647.0	953.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2257.0	1069.0
1101	25.0	104.0
3762	68.0	49.0
100873424	0.0	0.0
3763	1.0	7.0
100128640	78.0	320.0
100873423	0.0	0.0
3764	2575.0	138.0
100873422	0.0	0.0
3765	1.0	2.0
100873421	2.0	0.0
3766	14.0	18.0
100873428	0.0	0.0
3767	33.0	30.0
100873427	0.0	0.0
3768	182.0	10.0
1109	13.0	0.0
100873426	1.0	0.0
1108	11853.0	8083.0
3769	0.0	9.0
100873425	1.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	1.0	3.0
100873453	0.0	0.0
3781	15.0	37.0
100873452	0.0	0.0
3782	503.0	236.0
100873451	0.0	0.0
3783	70.0	1425.0
100873450	0.0	0.0
1121	2467.0	1105.0
100861468	0.0	0.0
1120	176.0	154.0
100861469	2.0	0.0
1118	12.0	17.0
1117	403.0	11931.0
1116	3597.0	146908.0
1114	8.0	9.0
1113	2.0	1.0
1112	19800.0	1835.0
1111	231.0	400.0
3773	220.0	5962.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	130.0	4506.0
100873455	0.0	0.0
3776	324.0	4614.0
100873454	0.0	0.0
3777	122.0	2.0
3778	769.0	331.0
3779	301.0	3902.0
100873459	0.0	0.0
1119	1209.0	3113.0
100128627	0.0	2.0
100128626	1.0	0.0
3790	502.0	1325.0
100128628	5.0	4.0
3791	13601.0	2371.0
100873442	0.0	0.0
3792	4.0	77.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	0.0
1131	362.0	10474.0
1130	3598.0	944.0
100861476	0.0	0.0
1129	5.0	0.0
1128	64.0	3015.0
1124	540.0	25.0
1123	459.0	174.0
1122	820.0	3350.0
100861470	0.0	0.0
3784	255.0	828.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	73.0	139.0
100873444	0.0	0.0
3787	8.0	241.0
100873443	0.0	0.0
3788	38.0	0.0
100873449	0.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	2.0
283050	46.0	100.0
100128618	2.0	0.0
728597	3.0	0.0
100128617	14.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	51.0	327.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	1.0
285634	41.0	3.0
1142	0.0	2.0
1141	13.0	152.0
285636	3040.0	1936.0
1140	510.0	278.0
728599	2.0	0.0
1139	31.0	25.0
1138	24.0	162.0
1137	6.0	0.0
100861485	0.0	0.0
1136	10.0	5.0
1135	0.0	0.0
1134	1.0	1.0
1133	13.0	15.0
3795	239.0	122.0
100873479	8.0	0.0
3796	2384.0	383.0
100873478	0.0	0.0
3797	520.0	1660.0
100873477	5.0	3.0
3798	8.0	3.0
100873476	0.0	0.0
3799	20421.0	10939.0
100873460	0.0	0.0
728586	28.0	699.0
285641	0.0	0.0
100873464	3.0	0.0
100873463	1.0	0.0
100873462	2.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1404.0	147.0
1153	16018.0	4015.0
1152	7628.0	31.0
285647	12.0	8.0
728589	29.0	297.0
728588	1.0	0.0
1149	17206.0	0.0
1147	2145.0	485.0
1146	0.0	4.0
1145	29.0	32.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	205.0	1822.0
1163	1649.0	1394.0
285659	0.0	0.0
1161	965.0	195.0
1160	2241.0	41.0
1159	16.0	836.0
1158	3.0	0.0
1157	0.0	0.0
1155	1542.0	3593.0
550643	920.0	3021.0
283025	1.0	0.0
100873499	1.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	1.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3728.0	2239.0
1175	2522.0	3604.0
285668	95.0	1.0
1174	1139.0	3388.0
1173	15392.0	11817.0
550631	48.0	270.0
100873489	0.0	0.0
283014	12.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	59.0	4.0
1186	2426.0	1106.0
1185	2534.0	620.0
1184	605.0	597.0
1183	1465.0	1037.0
1182	7540.0	22516.0
1181	170.0	123.0
440375	41.0	11.0
1180	21.0	5.0
1179	0.0	0.0
1178	5.0	0.0
283089	11.0	7.0
85495	0.0	0.0
85480	334.0	442.0
283080	0.0	1.0
1198	2633.0	2008.0
1197	0.0	0.0
1196	1334.0	1372.0
1195	7136.0	2791.0
440366	2.0	0.0
1193	1892.0	452.0
1192	10625.0	18204.0
1191	55969.0	44665.0
1188	9.0	6.0
283078	877.0	19.0
85486	2.0	8.0
128615	0.0	0.0
85481	0.0	0.0
128611	50.0	25.0
440396	32.0	24.0
128609	0.0	0.0
128602	0.0	0.0
440387	3.0	0.0
128674	0.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	1.0
126014	31.0	108.0
440335	23.0	1530.0
100128690	0.0	0.0
114034	617.0	275.0
126006	2.0	8.0
114036	195.0	87.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	38.0	5.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	318.0	313.0
440356	5.0	3.0
440354	90.0	116.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	2.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	24.0
100873410	0.0	0.0
100873417	2.0	4.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	166.0	572.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	160.0	247.0
200734	3085.0	5030.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	15.0	1.0
100873402	0.0	0.0
100873401	0.0	3.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5990.0	2466.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	6.0	7.0
165530	34.0	24.0
85409	18.0	11.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	3.0	5.0
106481383	3.0	0.0
85417	93.0	41.0
106481384	1.0	0.0
103106903	8.0	218.0
85414	107.0	273.0
106481389	0.0	0.0
85415	196.0	3422.0
106481387	0.0	0.0
85413	3.0	14.0
106481388	0.0	1.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	7.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1580.0	843.0
12	7.0	66.0
13	468.0	13.0
14	5986.0	2762.0
15	1.0	3.0
16	9934.0	4858.0
645455	13.0	22.0
18	809.0	534.0
19	13406.0	1196.0
128580	8.0	5.0
85407	170.0	9.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1254.0	701.0
106481395	0.0	0.0
85403	2050.0	1827.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	5053.0	1781.0
106481390	0.0	0.0
21	3227.0	1173.0
106481391	0.0	0.0
22	1992.0	822.0
153571	219.0	120.0
153572	388.0	2213.0
23	5133.0	3056.0
24	90.0	17.0
25	8757.0	3656.0
26	4.0	3.0
27	2770.0	3269.0
28	812.0	101.0
29	4394.0	553.0
153579	18510.0	295.0
728615	0.0	0.0
728614	0.0	0.0
200765	115.0	400.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	102.0	151.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	406.0	38.0
106481362	0.0	0.0
106481367	0.0	4.0
85437	3079.0	3242.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	321.0	49.0
106481366	0.0	0.0
30	3743.0	1712.0
106481360	0.0	0.0
31	25358.0	2603.0
32	98910.0	232.0
33	2516.0	1.0
34	9738.0	1319.0
35	5661.0	305.0
153562	62.0	989.0
36	5681.0	824.0
37	28648.0	2822.0
38	16050.0	1466.0
440307	6.0	5.0
39	1205.0	1398.0
165545	6.0	6.0
106481369	0.0	0.0
728606	0.0	20.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	2.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	2.0
40	0.0	0.0
106481370	0.0	0.0
41	428.0	1359.0
106481371	0.0	0.0
43	99.0	4.0
645486	0.0	1.0
47	29216.0	3490.0
48	42323.0	2633.0
49	39.0	26.0
106481338	0.0	1.0
106481339	1.0	1.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	1.0	1.0
106481340	0.0	0.0
85458	7662.0	276.0
106481345	0.0	0.0
85459	913.0	522.0
106481346	0.0	0.0
85456	17577.0	45438.0
442910	0.0	0.0
