id	95c0cf0b-7077-4a93-9590-3948e55c6e31	f02c6de4-67f9-465e-bbc1-3d48ae377313
1036	1797.0	248.0
3696	3793.0	1507.0
3697	1.0	2.0
100873379	0.0	0.0
3698	27.0	7.0
100873378	0.0	1.0
3699	33.0	37.0
100873377	0.0	1.0
728486	9.0	4.0
100873361	0.0	0.0
105373869	0.0	165.0
100873360	0.0	0.0
285540	13.0	7.0
100128705	9.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	0.0	4.0
1054	2827.0	4720.0
285547	0.0	0.0
1053	1.0	1.0
285548	0.0	3.0
1052	2931.0	522.0
1051	2026.0	804.0
728489	11.0	19.0
1050	3827.0	699.0
100128707	1.0	0.0
1048	8.0	14.0
1047	115.0	56.0
1046	0.0	0.0
1045	0.0	0.0
100873369	28.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	7558.0	130.0
1063	513.0	13132.0
1062	172.0	2669.0
1061	15.0	14.0
1060	2068.0	1392.0
440253	249.0	48.0
1059	4958.0	3291.0
1058	34.0	574.0
1057	3.0	1.0
85379	12002.0	4810.0
114112	926.0	807.0
1056	36.0	20.0
85377	3143.0	1269.0
85378	4665.0	1187.0
128745	0.0	0.0
85376	10.0	3.0
440248	1029.0	195.0
1075	4578.0	3696.0
1074	29.0	11.0
1073	2210.0	590.0
1072	23642.0	30526.0
1071	55.0	52.0
440243	0.0	0.0
1070	716.0	635.0
1069	2108.0	4127.0
1068	1.0	0.0
85369	2506.0	1260.0
85366	10.0	62.0
85364	1056.0	4742.0
85365	2194.0	1395.0
85363	1848.0	640.0
85360	1172.0	496.0
1080	70.0	14.0
85391	2.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	4.0
153733	432.0	974.0
1087	97.0	128.0
1086	0.0	0.0
440279	85.0	3.0
1085	8.0	1.0
1084	6.0	5.0
440278	130.0	48.0
1082	0.0	0.0
403294	0.0	0.0
440275	4722.0	2547.0
1081	1.0	3.0
85397	2.0	2.0
85395	410.0	406.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	8.0	0.0
440270	838.0	73.0
1089	5.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	47.0	5.0
285598	888.0	861.0
126133	2016.0	2224.0
128790	1.0	0.0
126129	151.0	114.0
126123	0.0	0.0
442862	0.0	0.0
126119	501.0	278.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	1.0	0.0
114132	28.0	4.0
442897	0.0	0.0
442898	7.0	0.0
114134	1347.0	559.0
442899	0.0	1.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	105.0	48.0
100128787	0.0	0.0
440225	0.0	0.0
440224	6.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	3.0	0.0
128756	0.0	0.0
100128782	143.0	60.0
100128781	1.0	3.0
403230	2.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	2.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	218.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	70.0	23.0
403227	0.0	0.0
403228	8.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	2.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	4.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	649.0	335.0
107131122	1.0	0.0
138050	8052.0	3663.0
403219	0.0	3.0
151011	5163.0	2711.0
645587	2.0	0.0
165679	175.0	152.0
126037	47.0	138.0
114049	3447.0	12231.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	551.0	580.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1934.0	1536.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	252.0	106.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	150.0	317.0
645598	1.0	1.0
163007	2.0	27.0
114038	4.0	0.0
645591	0.0	8.0
106481495	2.0	0.0
114041	46.0	52.0
106481496	0.0	0.0
114042	6.0	0.0
106481493	0.0	0.0
114043	30.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	284.0	368.0
126017	614.0	4202.0
106481497	2.0	1.0
106481498	0.0	2.0
85303	0.0	0.0
85300	2.0	2.0
85301	2053.0	1630.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1832.0	2119.0
106481459	0.0	0.0
26994	10301.0	6844.0
106481457	16.0	2.0
26995	2449.0	2984.0
106481458	0.0	0.0
403271	0.0	0.0
26998	4.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	733.0	2145.0
403273	0.0	0.0
102466658	11.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2493.0	2878.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	1.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	1.0
85329	1629.0	184.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	69482.0	172.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	899.0	1937.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	3.0
106481437	0.0	0.0
26974	222.0	348.0
153657	55.0	43.0
106481438	0.0	4.0
106481435	1.0	0.0
26973	1640.0	1431.0
165631	107.0	68.0
106481436	0.0	0.0
26978	11.0	8.0
126075	846.0	283.0
106481439	0.0	0.0
403250	0.0	0.0
126074	275.0	473.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1433.0	1179.0
106481444	9.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6881.0	1139.0
85354	1.0	0.0
85352	43.0	105.0
403241	1.0	1.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	454.0	415.0
153643	4.0	45.0
403247	0.0	0.0
403248	0.0	0.0
26985	4441.0	4458.0
106481448	0.0	0.0
26986	61613.0	126674.0
126069	166.0	109.0
106481449	0.0	0.0
126068	692.0	453.0
106481446	0.0	0.0
26983	0.0	0.0
26984	786.0	717.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	3.0	0.0
106481450	1.0	1.0
114088	300.0	94.0
106481455	2.0	0.0
85349	146.0	52.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	6.0	0.0
85347	0.0	0.0
26980	8.0	7.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	97.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	13.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2729.0	1775.0
100873390	0.0	0.0
728556	164.0	86.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	177.0	132.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	463.0	609.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	6.0
285600	904.0	130.0
100873384	0.0	0.0
285601	12.0	7.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	2.0	3.0
63910	177.0	62.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	706.0	544.0
222008	47.0	0.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	2472.0	1835.0
63904	0.0	0.0
106481430	0.0	0.0
163071	40.0	36.0
63906	869.0	463.0
106481433	1.0	0.0
63908	897.0	666.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	0.0
285613	58.0	56.0
63920	361.0	825.0
63923	1442.0	920.0
63922	594.0	712.0
728577	361.0	50.0
63925	2213.0	1266.0
63924	12302.0	8.0
63916	3285.0	2801.0
63917	3221.0	3596.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	6.0
728564	2.0	3.0
285622	0.0	4.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1506.0	1227.0
106481402	0.0	0.0
63931	1507.0	1067.0
106481403	0.0	0.0
63934	689.0	347.0
728567	7.0	4.0
106481408	0.0	0.0
163088	4.0	3.0
63933	3068.0	4356.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3039.0	2248.0
163087	775.0	907.0
728568	237.0	314.0
106481407	7.0	5.0
3704	1534.0	1333.0
3705	5569.0	4760.0
63926	834.0	625.0
3706	4.0	42.0
63929	1710.0	898.0
3707	4097.0	2436.0
63928	0.0	0.0
3708	10304.0	4639.0
106481411	2.0	0.0
3709	8711.0	5436.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	39.0	14.0
3702	169.0	284.0
3703	8941.0	11679.0
645506	1.0	1.0
151050	1563.0	737.0
645520	0.0	0.0
63941	894.0	1193.0
63940	576.0	534.0
63943	310.0	468.0
728517	0.0	0.0
163033	294.0	720.0
258010	1590.0	1673.0
63947	0.0	0.0
63946	77.0	41.0
728513	3.0	15.0
100033803	0.0	0.0
3716	15302.0	14874.0
100033804	0.0	0.0
3717	1617.0	779.0
100033805	0.0	0.0
3718	429.0	451.0
63939	869.0	1328.0
100033806	0.0	0.0
100190799	18.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	84.0	13.0
3710	10930.0	6496.0
3712	18173.0	1330.0
3713	4.0	3.0
3714	3496.0	1330.0
63950	1.0	34.0
728505	0.0	0.0
63951	67.0	14.0
100033807	0.0	0.0
728501	18.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	5893.0	3159.0
100033814	0.0	0.0
3727	15073.0	9253.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	21296.0	14118.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2073.0	4051.0
151056	306.0	69.0
3725	45028.0	9972.0
645528	1.0	0.0
728532	18.0	52.0
163059	493.0	337.0
728538	0.0	0.0
728537	383.0	212.0
63967	245.0	963.0
3737	175.0	2.0
3738	87.0	53.0
3739	3.0	2.0
645538	1.0	0.0
3730	999.0	2276.0
3732	4733.0	1557.0
3734	0.0	0.0
3735	6634.0	7022.0
3736	113.0	51.0
63970	206.0	32.0
3750	183.0	345.0
63971	6768.0	4750.0
63974	0.0	0.0
163049	2786.0	3390.0
63973	30.0	1.0
63976	117.0	61.0
222068	5433.0	3896.0
63978	0.0	0.0
63977	837.0	918.0
63979	746.0	1364.0
728524	0.0	0.0
3748	762.0	97.0
163051	16.0	102.0
3749	2728.0	348.0
163050	69.0	88.0
3741	22.0	24.0
645548	9.0	20.0
3743	8.0	55.0
3744	0.0	0.0
3745	1325.0	121.0
3746	30.0	9.0
3747	8.0	2.0
285671	849.0	883.0
285672	1249.0	1439.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	163.0	307.0
285676	127.0	347.0
3761	1.0	0.0
100128657	0.0	0.0
285679	6.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	470.0	234.0
283008	6.0	17.0
3751	252.0	147.0
100873435	0.0	0.0
3752	1600.0	334.0
100873434	0.0	0.0
3753	35.0	9.0
100873433	0.0	0.0
3754	13.0	20.0
100873432	0.0	0.0
3755	47.0	525.0
100873439	0.0	0.0
3756	13.0	25.0
100873438	0.0	0.0
3757	45.0	9.0
100873437	0.0	0.0
3758	6.0	1.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	143.0	107.0
3772	68.0	51.0
100861458	1.0	0.0
100861453	20.0	5.0
100861455	0.0	0.0
1107	12120.0	15237.0
1106	9041.0	5016.0
1105	4357.0	3730.0
1104	2106.0	3347.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1506.0	928.0
1101	511.0	318.0
3762	244.0	168.0
100873424	0.0	0.0
3763	9.0	7.0
100128640	184.0	118.0
100873423	0.0	0.0
3764	923.0	439.0
100873422	0.0	0.0
3765	4.0	1.0
100873421	3.0	0.0
3766	8.0	20.0
100873428	0.0	0.0
3767	473.0	982.0
100873427	0.0	0.0
3768	126.0	112.0
1109	1.0	6.0
100873426	0.0	0.0
1108	14515.0	22689.0
3769	9.0	6.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	27.0	9.0
100873453	0.0	0.0
3781	41.0	52.0
100873452	0.0	0.0
3782	411.0	352.0
100873451	0.0	0.0
3783	1880.0	272.0
100873450	0.0	0.0
1121	1789.0	780.0
100861468	0.0	0.0
1120	228.0	64.0
100861469	0.0	0.0
1118	461.0	131.0
1117	649.0	121.0
1116	7801.0	701.0
1114	10.0	5.0
1113	22.0	233.0
1112	8783.0	3933.0
1111	347.0	1684.0
3773	417.0	13.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1054.0	925.0
100873455	0.0	0.0
3776	1240.0	151.0
100873454	0.0	0.0
3777	133.0	41.0
3778	5267.0	5334.0
3779	1654.0	191.0
100873459	0.0	0.0
1119	2985.0	1354.0
100128627	3.0	1.0
100128626	0.0	0.0
3790	1210.0	1042.0
100128628	9.0	3.0
3791	5236.0	3837.0
100873442	0.0	0.0
3792	109.0	24.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	13.0
1131	131.0	58.0
1130	4410.0	3197.0
100861476	0.0	0.0
1129	3.0	0.0
1128	373.0	75.0
1124	284.0	243.0
1123	1060.0	24054.0
1122	1062.0	2910.0
100861470	0.0	0.0
3784	690.0	770.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	179.0	190.0
100873444	0.0	0.0
3787	130.0	421.0
100873443	0.0	0.0
3788	13.0	12.0
100873449	9.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	144.0	142.0
100128618	0.0	0.0
728597	5.0	0.0
100128617	1.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	63.0	18.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	3.0	4.0
285634	2.0	4.0
1142	0.0	1.0
1141	105.0	59.0
285636	2490.0	3013.0
1140	416.0	445.0
728599	4.0	0.0
1139	41.0	10.0
1138	72.0	418.0
1137	1.0	2.0
100861485	0.0	0.0
1136	15.0	38.0
1135	1225.0	2.0
1134	13.0	66.0
1133	34.0	7.0
3795	301.0	360.0
100873479	5.0	1.0
3796	1734.0	2591.0
100873478	0.0	0.0
3797	1115.0	1989.0
100873477	1.0	0.0
3798	248.0	193.0
100873476	0.0	0.0
3799	14769.0	14757.0
100873460	0.0	0.0
728586	15.0	21.0
285641	0.0	0.0
100873464	5.0	3.0
100873463	0.0	0.0
100873462	7.0	0.0
285643	1.0	8.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	936.0	677.0
1153	20074.0	7302.0
1152	1826.0	3478.0
285647	21.0	10.0
728589	110.0	37.0
728588	808.0	13.0
1149	3203.0	7.0
1147	2231.0	2217.0
1146	0.0	2.0
1145	56.0	45.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	1.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	267.0	3587.0
1163	859.0	3027.0
285659	0.0	0.0
1161	423.0	529.0
1160	235.0	67.0
1159	100.0	16.0
1158	1.0	5.0
1157	0.0	0.0
1155	1479.0	3441.0
550643	699.0	844.0
283025	1.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2165.0	3374.0
1175	3166.0	2344.0
285668	13.0	1.0
1174	1808.0	2099.0
1173	13446.0	12917.0
550631	152.0	269.0
100873489	0.0	0.0
283014	7.0	3.0
100873488	0.0	0.0
100873487	2.0	0.0
283093	1.0	0.0
283092	0.0	0.0
1187	55.0	72.0
1186	3950.0	1677.0
1185	2513.0	764.0
1184	731.0	828.0
1183	407.0	93.0
1182	8731.0	9729.0
1181	302.0	510.0
440375	38.0	25.0
1180	38.0	25.0
1179	5.0	0.0
1178	0.0	0.0
283089	10.0	7.0
85495	0.0	0.0
85480	155.0	16.0
283080	0.0	4.0
1198	3612.0	1415.0
1197	0.0	2.0
1196	2361.0	1500.0
1195	9056.0	2917.0
440366	5.0	15.0
1193	1308.0	756.0
1192	11448.0	14800.0
1191	274248.0	7359.0
1188	26.0	1.0
283078	76.0	39.0
85486	9.0	16.0
128615	0.0	0.0
85481	0.0	6.0
128611	85.0	118.0
440396	84.0	67.0
128609	0.0	0.0
128602	1.0	0.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	7.0	5.0
126014	84.0	122.0
440335	581.0	243.0
100128690	0.0	0.0
114034	905.0	678.0
126006	73.0	16.0
114036	57.0	30.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	42.0	41.0
100861412	1.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	160.0	254.0
440356	1.0	2.0
440354	86.0	65.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	5.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	197.0	63.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	162.0	48.0
200734	7051.0	5577.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	2.0
100873408	1.0	0.0
100873407	0.0	0.0
100861430	11.0	1.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4336.0	10314.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	4.0	4.0
165530	68.0	28.0
85409	177.0	484.0
106481385	3.0	1.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	4.0	1.0
85417	37.0	132.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	220.0	102.0
106481389	0.0	0.0
85415	2461.0	2385.0
106481387	0.0	0.0
85413	10.0	8.0
106481388	7.0	4.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	1.0
10	343.0	10.0
106481380	0.0	0.0
11	1.0	0.0
403341	828.0	1284.0
12	183.0	23.0
13	1178.0	0.0
14	7026.0	4834.0
15	4.0	5.0
16	7968.0	7065.0
645455	12.0	23.0
18	2034.0	393.0
19	3757.0	2673.0
128580	15.0	10.0
85407	198.0	157.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1418.0	914.0
106481395	0.0	0.0
85403	1664.0	2089.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	0.0	0.0
20	4382.0	974.0
106481390	0.0	0.0
21	13804.0	1351.0
106481391	0.0	0.0
22	1548.0	1230.0
153571	685.0	253.0
153572	3711.0	1237.0
23	5477.0	4822.0
24	140.0	44.0
25	8637.0	8443.0
26	11.0	10.0
27	2587.0	3278.0
28	326.0	36.0
29	5884.0	4080.0
153579	9841.0	365.0
728615	0.0	0.0
728614	1.0	0.0
200765	226.0	307.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	18.0	12.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	540.0	610.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1584.0	3255.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	275.0	103.0
106481366	0.0	0.0
30	6085.0	1459.0
106481360	0.0	0.0
31	31718.0	14898.0
32	16164.0	1001.0
33	1392.0	5.0
34	14671.0	1496.0
35	1905.0	301.0
153562	1667.0	2561.0
36	6389.0	5803.0
37	21827.0	4579.0
38	3945.0	1476.0
440307	5.0	4.0
39	2208.0	2160.0
165545	12.0	51.0
106481369	0.0	0.0
728606	510.0	14.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	2.0	6.0
106481370	0.0	0.0
41	262.0	222.0
106481371	0.0	0.0
43	134.0	83.0
645486	0.0	0.0
47	17412.0	18629.0
48	7235.0	1059.0
49	25.0	17.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	8.0	13.0
106481340	0.0	0.0
85458	5073.0	1778.0
106481345	0.0	0.0
85459	1499.0	928.0
106481346	0.0	0.0
