id	a33fd703-0e9d-4b9a-9650-7b8fcb86aeb2	b5086d62-fa3b-41ad-b0dc-e7c45b726bf7
645591	0.0	1.0
106481495	2.0	0.0
114041	305.0	144.0
106481496	0.0	0.0
114042	6.0	0.0
106481493	0.0	0.0
114043	32.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	780.0	329.0
126017	1202.0	385.0
106481497	2.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	3.0
85301	3837.0	828.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	5.0	0.0
403275	1.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	7022.0	4435.0
106481459	0.0	0.0
26994	19621.0	7415.0
106481457	40.0	6.0
26995	4441.0	2856.0
106481458	0.0	0.0
403271	0.0	0.0
26998	3.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3835.0	2702.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	7.0	5.0
106481460	5.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4150.0	1939.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	2.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	0.0	0.0
138009	2.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	9.0	1.0
106481471	0.0	0.0
85329	1288.0	55.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2481.0	2239.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	4551.0	1718.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	1.0
106481437	0.0	0.0
26974	725.0	220.0
153657	266.0	52.0
106481438	25.0	14.0
106481435	0.0	0.0
26973	3037.0	1563.0
165631	341.0	158.0
106481436	0.0	0.0
26978	17.0	7.0
126075	2044.0	640.0
106481439	0.0	0.0
403250	0.0	0.0
126074	448.0	157.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1074.0	1363.0
106481444	23.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4128.0	1585.0
85354	0.0	0.0
85352	129.0	214.0
403241	2.0	2.0
344462	5.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	995.0	654.0
153643	58.0	16.0
403247	0.0	0.0
403248	0.0	0.0
26985	9130.0	5085.0
106481448	0.0	0.0
26986	117047.0	80628.0
126069	791.0	120.0
106481449	0.0	0.0
126068	3034.0	724.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1562.0	476.0
106481447	0.0	0.0
106481451	6.0	2.0
106481452	1.0	0.0
106481450	2.0	0.0
114088	633.0	68.0
106481455	0.0	0.0
85349	201.0	63.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	7.0	0.0
85347	0.0	0.0
26980	12.0	1.0
106481454	3.0	0.0
403238	0.0	0.0
85344	32.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	31.0	3.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	3.0	5.0
100873392	6.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	1.0	0.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	3.0	0.0
63901	5768.0	2017.0
100873390	0.0	0.0
728556	95.0	33.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	285.0	97.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	1550.0	475.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	897.0	254.0
100873384	0.0	0.0
285601	11.0	7.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	4.0	0.0
63910	927.0	2153.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	2311.0	529.0
222008	20.0	79.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	4047.0	2937.0
63904	0.0	0.0
106481430	1.0	0.0
163071	37.0	8.0
63906	1058.0	789.0
106481433	0.0	0.0
63908	2049.0	840.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	78.0	65.0
63920	1115.0	333.0
63923	864.0	339.0
63922	758.0	610.0
728577	316.0	27.0
63925	2779.0	1846.0
63924	7072.0	231.0
63916	6418.0	7503.0
63917	6991.0	3176.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	2.0
728564	11.0	21.0
285622	2.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	3410.0	1833.0
106481402	2.0	0.0
63931	3893.0	1981.0
106481403	6.0	0.0
63934	1156.0	98.0
728567	8.0	2.0
106481408	0.0	0.0
163088	14.0	4.0
63933	5930.0	3019.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3905.0	2189.0
163087	2179.0	725.0
728568	805.0	370.0
106481407	15.0	7.0
3704	2032.0	1698.0
3705	6193.0	6583.0
63926	2574.0	1444.0
3706	30.0	77.0
63929	2607.0	2480.0
3707	5227.0	3310.0
63928	52.0	23.0
3708	13714.0	6305.0
106481411	3.0	1.0
3709	27073.0	4536.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	68.0	6.0
3702	897.0	1128.0
3703	15093.0	10861.0
645506	0.0	0.0
151050	2361.0	665.0
645520	0.0	0.0
63941	3172.0	2074.0
63940	1598.0	1147.0
63943	609.0	531.0
728517	0.0	0.0
163033	495.0	356.0
258010	5050.0	1703.0
63947	1.0	0.0
63946	20.0	29.0
728513	0.0	0.0
100033803	0.0	0.0
3716	29434.0	14227.0
100033804	0.0	0.0
3717	7006.0	1885.0
100033805	0.0	0.0
3718	993.0	1246.0
63939	3178.0	2034.0
100033806	0.0	0.0
100190799	17.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	165.0	29.0
3710	6621.0	5567.0
3712	9724.0	4949.0
3713	4.0	6.0
3714	2736.0	1160.0
63950	2.0	1.0
728505	1.0	1.0
63951	63.0	11.0
100033807	0.0	0.0
728501	49.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17663.0	3930.0
100033814	0.0	0.0
3727	15707.0	6477.0
63948	2.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	29839.0	31617.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	4083.0	3655.0
151056	431.0	165.0
3725	49750.0	6496.0
645528	4.0	2.0
728532	45.0	20.0
163059	1312.0	305.0
728538	2.0	0.0
728537	1127.0	158.0
63967	361.0	607.0
3737	80.0	9.0
3738	432.0	135.0
3739	12.0	0.0
645538	0.0	0.0
3730	3850.0	974.0
3732	4980.0	3464.0
3734	1.0	1.0
3735	10366.0	5161.0
3736	314.0	19.0
63970	324.0	13.0
3750	527.0	336.0
63971	13647.0	4649.0
63974	0.0	0.0
163049	7751.0	2591.0
63973	88.0	1.0
63976	129.0	70.0
222068	11107.0	6090.0
63978	0.0	0.0
63977	1500.0	753.0
63979	2347.0	1138.0
728524	0.0	0.0
3748	1958.0	1262.0
163051	124.0	24.0
3749	3469.0	305.0
163050	196.0	71.0
3741	17.0	50.0
645548	21.0	4.0
3743	8.0	0.0
3744	0.0	1.0
3745	1786.0	82.0
3746	54.0	4.0
3747	313.0	18.0
285671	2221.0	520.0
285672	5232.0	2564.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	16.0	4.0
285676	188.0	36.0
3761	0.0	3.0
100128657	1.0	0.0
285679	5.0	2.0
100861449	2.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1688.0	534.0
283008	0.0	2.0
3751	880.0	157.0
100873435	0.0	0.0
3752	6372.0	1463.0
100873434	0.0	0.0
3753	228.0	8.0
100873433	0.0	0.0
3754	99.0	277.0
100873432	0.0	0.0
3755	69.0	30.0
100873439	0.0	0.0
3756	187.0	888.0
100873438	0.0	0.0
3757	133.0	735.0
100873437	0.0	0.0
3758	13.0	4.0
100873436	0.0	0.0
100873420	4.0	1.0
3770	258.0	56.0
3772	155.0	195.0
100861458	0.0	0.0
100861453	28.0	9.0
100861455	0.0	0.0
1107	19922.0	13344.0
1106	18724.0	8631.0
1105	13616.0	6593.0
1104	3362.0	2861.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2464.0	472.0
1101	4241.0	1394.0
3762	541.0	131.0
100873424	0.0	0.0
3763	3.0	4.0
100128640	336.0	21.0
100873423	0.0	0.0
3764	877.0	310.0
100873422	0.0	0.0
3765	18.0	1.0
100873421	7.0	0.0
3766	117.0	20.0
100873428	0.0	0.0
3767	599.0	468.0
100873427	0.0	0.0
3768	122.0	43.0
1109	3.0	1.0
100873426	0.0	1.0
1108	36048.0	22100.0
3769	17.0	1.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	40.0	22.0
100873453	0.0	0.0
3781	70.0	23.0
100873452	3.0	0.0
3782	602.0	369.0
100873451	0.0	0.0
3783	2114.0	283.0
100873450	0.0	0.0
1121	4321.0	1642.0
100861468	0.0	0.0
1120	411.0	112.0
100861469	0.0	0.0
1118	747.0	970.0
1117	1179.0	409.0
1116	3063.0	3266.0
1114	52.0	18.0
1113	24.0	1.0
1112	12563.0	3335.0
1111	788.0	777.0
3773	174.0	8.0
100873457	5.0	4.0
100873456	2.0	0.0
3775	1904.0	5575.0
100873455	0.0	0.0
3776	653.0	367.0
100873454	0.0	0.0
3777	533.0	80.0
3778	5267.0	1209.0
3779	1392.0	95.0
100873459	0.0	0.0
1119	4208.0	1612.0
100128627	8.0	2.0
100128626	0.0	0.0
3790	1219.0	2068.0
100128628	13.0	6.0
3791	6753.0	4258.0
100873442	0.0	0.0
3792	44.0	18.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	11.0	3.0
1131	308.0	36.0
1130	7797.0	13513.0
100861476	3.0	0.0
1129	0.0	1.0
1128	387.0	4.0
1124	706.0	344.0
1123	864.0	834.0
1122	4111.0	3701.0
100861470	0.0	0.0
3784	750.0	484.0
100873446	0.0	0.0
3785	5.0	0.0
100873445	0.0	0.0
3786	427.0	116.0
100873444	0.0	0.0
3787	202.0	11.0
100873443	0.0	0.0
3788	37.0	19.0
100873449	40.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	283.0	81.0
100128618	0.0	1.0
728597	4.0	2.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	325.0	135.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	10.0	19.0
285634	5.0	2.0
1142	0.0	0.0
1141	248.0	83.0
285636	8010.0	6539.0
1140	1077.0	710.0
728599	7.0	0.0
1139	23.0	10.0
1138	178.0	205.0
1137	1.0	2.0
100861485	0.0	0.0
1136	28.0	11.0
1135	4.0	1.0
1134	27.0	44.0
1133	59.0	5.0
3795	332.0	281.0
100873479	9.0	2.0
3796	4920.0	3682.0
100873478	0.0	0.0
3797	1760.0	1947.0
100873477	18.0	2.0
3798	411.0	75.0
100873476	0.0	0.0
3799	48063.0	22453.0
100873460	0.0	0.0
728586	58.0	17.0
285641	3.0	1.0
100873464	5.0	1.0
100873463	1.0	0.0
100873462	5.0	2.0
285643	4.0	3.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	2600.0	1230.0
1153	29205.0	7696.0
1152	800.0	485.0
285647	48.0	21.0
728589	52.0	14.0
728588	24.0	3.0
1149	1011.0	47.0
1147	5583.0	3083.0
1146	6.0	3.0
1145	90.0	83.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	2.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1327.0	1080.0
1163	1847.0	1873.0
285659	0.0	0.0
1161	1297.0	711.0
1160	451.0	46.0
1159	139.0	32.0
1158	9.0	17.0
1157	0.0	0.0
1155	2553.0	2313.0
550643	2389.0	1770.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4912.0	5206.0
1175	3986.0	3670.0
285668	39.0	5.0
1174	2321.0	2109.0
1173	19690.0	21607.0
550631	231.0	255.0
100873489	0.0	0.0
283014	14.0	11.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	156.0	41.0
1186	4955.0	4495.0
1185	3355.0	896.0
1184	1126.0	1237.0
1183	481.0	162.0
1182	16830.0	10389.0
1181	832.0	1484.0
440375	41.0	25.0
1180	66.0	22.0
1179	0.0	0.0
1178	8.0	6.0
283089	25.0	1.0
85495	0.0	0.0
85480	306.0	31.0
283080	1.0	0.0
1198	4452.0	1723.0
1197	0.0	1.0
1196	3993.0	2688.0
1195	19856.0	4200.0
440366	0.0	1.0
1193	2384.0	942.0
1192	18644.0	13663.0
1191	44180.0	12647.0
1188	36.0	4.0
283078	136.0	25.0
85486	11.0	6.0
128615	0.0	0.0
85481	8.0	8.0
128611	216.0	268.0
440396	178.0	89.0
128609	0.0	0.0
128602	1.0	6.0
440387	0.0	2.0
128674	2.0	0.0
128676	4.0	1.0
114026	0.0	0.0
100861402	6.0	5.0
126014	122.0	159.0
440335	1269.0	1761.0
100128690	0.0	0.0
114034	1449.0	824.0
126006	89.0	35.0
114036	34.0	6.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	39.0	30.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	3.0	0.0
105180391	0.0	0.0
100128682	9.0	0.0
100128678	10.0	4.0
100861429	0.0	0.0
128653	1.0	2.0
200728	427.0	150.0
440356	10.0	24.0
440354	211.0	67.0
440352	5.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	4.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	39.0	4.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	408.0	114.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	410.0	129.0
200734	7556.0	3285.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	3.0	0.0
128637	7313.0	3874.0
100873406	2.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	2.0
165530	261.0	30.0
85409	252.0	235.0
106481385	4.0	0.0
106481386	0.0	1.0
85416	15.0	1.0
106481383	24.0	4.0
85417	162.0	76.0
106481384	1.0	0.0
103106903	7.0	0.0
85414	715.0	276.0
106481389	0.0	0.0
85415	8316.0	4418.0
106481387	0.0	0.0
85413	13.0	8.0
106481388	24.0	3.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	50.0	13.0
106481380	0.0	0.0
11	0.0	0.0
403341	2877.0	1181.0
12	805.0	956.0
13	61.0	15.0
14	7030.0	6034.0
15	5.0	8.0
16	9282.0	7949.0
645455	0.0	4.0
18	8630.0	5339.0
19	8471.0	4647.0
128580	16.0	4.0
85407	220.0	109.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	3022.0	2738.0
106481395	0.0	0.0
85403	4674.0	6363.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	2.0
106481393	0.0	0.0
20	5826.0	4910.0
106481390	0.0	0.0
21	7221.0	3980.0
106481391	1.0	0.0
22	2890.0	1096.0
153571	542.0	431.0
153572	5991.0	3136.0
23	7220.0	5374.0
24	505.0	220.0
25	11701.0	9708.0
26	32.0	140.0
27	8252.0	8083.0
28	571.0	259.0
29	8743.0	4653.0
153579	5373.0	240.0
728615	2.0	1.0
728614	0.0	0.0
200765	768.0	215.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	87.0	16.0
102466518	1.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	1.0
85439	2001.0	390.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	5943.0	3155.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	632.0	333.0
106481366	0.0	0.0
30	2604.0	1355.0
106481360	0.0	0.0
31	14220.0	9542.0
32	9848.0	986.0
33	361.0	11.0
34	7239.0	2925.0
35	1178.0	480.0
153562	4813.0	3031.0
36	24569.0	8252.0
37	27812.0	12793.0
38	4963.0	1718.0
440307	40.0	6.0
39	2017.0	1849.0
165545	329.0	467.0
106481369	0.0	0.0
728606	289.0	43.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	9.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	548.0	2252.0
106481370	0.0	0.0
41	764.0	133.0
106481371	0.0	0.0
43	44.0	85.0
645486	1.0	0.0
47	22907.0	17049.0
48	8876.0	2882.0
49	56.0	6.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
