id	9075b4ab-16ef-4cdd-bfe5-855d18b15e11	f828b2e0-2ad4-4669-9f1e-2ef2dd74706d
285550	2889.0	534.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	12.0
3640	7.0	4.0
3638	9055.0	2054.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2832.0	1431.0
100873313	0.0	0.0
3632	3450.0	584.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	2204.0	854.0
100873318	0.0	0.0
3635	3208.0	1149.0
100873317	0.0	0.0
3636	5838.0	3076.0
100128771	73.0	10.0
100873316	5.0	2.0
100873315	0.0	0.0
100128766	6.0	2.0
3651	0.0	0.0
1	3.0	8.0
2	208704.0	31933.0
100873309	0.0	0.0
100873308	0.0	0.0
3	44.0	7.0
3641	0.0	1.0
100873303	0.0	0.0
9	533.0	3366.0
3642	13.0	173.0
100873302	2.0	0.0
3643	6560.0	4405.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	42.0	36.0
100873307	0.0	0.0
3646	39487.0	7059.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	77.0	45.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3749.0	1524.0
100873331	0.0	0.0
3661	2861.0	730.0
100873330	0.0	0.0
285577	0.0	0.0
3662	862.0	91.0
100128756	0.0	0.0
1000	61.0	257.0
3652	1127.0	1091.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	265.0	20.0
3654	9856.0	3123.0
100873334	1.0	0.0
3655	14307.0	11309.0
100873333	1.0	0.0
3656	942.0	276.0
100873339	0.0	0.0
3658	5512.0	2297.0
100873338	0.0	0.0
3659	4624.0	1699.0
100873337	0.0	0.0
3670	10.0	1.0
100873321	0.0	0.0
3671	36427.0	11802.0
100873320	0.0	0.0
3672	16482.0	3323.0
285588	0.0	0.0
3673	922.0	1065.0
1011	0.0	0.0
1010	8.0	0.0
1008	1.0	0.0
1007	0.0	0.0
1006	43.0	22.0
1005	0.0	1.0
1004	1590.0	412.0
1003	25115.0	2505.0
1002	22.0	32.0
1001	14.0	1903.0
3663	1542.0	523.0
100873325	0.0	1.0
3664	535.0	3874.0
100873324	0.0	0.0
3665	1036.0	814.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5156.0	2486.0
100873329	0.0	0.0
285590	7803.0	7277.0
100873328	0.0	0.0
3669	353.0	200.0
100873327	0.0	0.0
1009	6521.0	17852.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	0.0	0.0
3680	5318.0	904.0
3681	87.0	13.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	2515.0	360.0
100873353	0.0	0.0
3683	1098.0	921.0
100873352	0.0	0.0
128710	589.0	1087.0
3684	4478.0	1405.0
100873351	0.0	0.0
285512	52.0	9.0
1022	1520.0	1143.0
285513	1125.0	1652.0
1021	3039.0	4172.0
1020	824.0	530.0
440299	0.0	0.0
1019	6181.0	1277.0
128709	0.0	0.0
1018	11.0	4.0
1017	1980.0	1004.0
1016	0.0	0.0
1015	23.0	13.0
1014	0.0	1.0
1013	3.0	7.0
1012	5607.0	1222.0
116730	170.0	27.0
3674	66.0	12.0
