id	f1afa28b-fac9-4e2e-b447-36097ef45a0b	ec592b67-6ffb-417e-be69-f5da01020675
285512	199.0	37.0
1022	1705.0	2234.0
285513	653.0	1170.0
1021	6233.0	868.0
1020	661.0	1497.0
440299	0.0	0.0
1019	3728.0	3507.0
128709	1.0	0.0
1018	33.0	9.0
1017	2171.0	1736.0
1016	14.0	0.0
1015	35.0	5.0
1014	1.0	0.0
1013	10.0	6.0
1012	2142.0	1357.0
116730	94.0	20.0
3674	49.0	15.0
100873358	0.0	0.0
3675	12294.0	2973.0
100873357	0.0	0.0
3676	1050.0	1384.0
100128731	4848.0	4637.0
100873356	0.0	0.0
3678	6860.0	6083.0
3679	4980.0	487.0
100873359	0.0	0.0
728464	107.0	26.0
728463	20.0	21.0
100128725	0.0	1.0
3690	283.0	240.0
3691	22752.0	9988.0
100873343	2.0	0.0
3692	4460.0	4652.0
3693	18551.0	13221.0
285521	1343.0	953.0
100873342	0.0	0.0
3694	12296.0	1257.0
100873341	0.0	0.0
3695	66.0	137.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	115.0	429.0
1032	330.0	500.0
285525	4.0	3.0
1031	1382.0	430.0
285527	6183.0	5682.0
1030	1492.0	1177.0
728468	0.0	0.0
440288	219.0	92.0
1029	154.0	397.0
440295	249.0	66.0
1028	3122.0	300.0
1027	6513.0	6638.0
1026	11681.0	5666.0
1025	3688.0	2769.0
1024	852.0	455.0
3685	11690.0	8242.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	407.0	1665.0
100873345	0.0	0.0
3688	44115.0	24939.0
100873344	0.0	0.0
3689	1781.0	6934.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	5.0
100873371	2.0	2.0
100873370	0.0	0.0
728498	34.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	29.0	58.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	72.0	41.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	115.0	17.0
1043	160.0	920.0
1041	21.0	0.0
1040	3577.0	2688.0
1039	2409.0	2606.0
1038	6.0	4.0
1036	1844.0	66.0
3696	6808.0	7032.0
3697	1.0	5.0
100873379	0.0	0.0
3698	2795.0	208.0
100873378	0.0	5.0
3699	188.0	22.0
100873377	0.0	0.0
728486	6.0	20.0
100873361	0.0	2.0
105373869	26.0	494.0
100873360	0.0	1.0
285540	190.0	85.0
100128705	4.0	0.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	0.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	3800.0	2551.0
285547	0.0	0.0
1053	1.0	7.0
285548	1.0	4.0
1052	6614.0	388.0
1051	4985.0	2043.0
728489	8.0	5.0
1050	2409.0	1212.0
100128707	0.0	0.0
1048	70.0	16019.0
1047	382.0	91.0
1046	0.0	0.0
1045	2.0	1.0
100873369	19.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	6994.0	385.0
1063	1804.0	5441.0
1062	443.0	867.0
1061	3.0	4.0
1060	2563.0	936.0
440253	138.0	36.0
1059	6201.0	5318.0
1058	111.0	121.0
1057	8.0	0.0
85379	23009.0	3047.0
114112	1214.0	594.0
1056	51.0	17.0
85377	5348.0	743.0
85378	4448.0	1410.0
128745	1.0	2.0
85376	19.0	24.0
440248	806.0	318.0
1075	3004.0	2878.0
1074	22.0	25.0
1073	2326.0	713.0
1072	28717.0	44341.0
1071	85.0	36.0
440243	0.0	0.0
1070	1230.0	890.0
1069	3495.0	7508.0
1068	0.0	0.0
85369	2813.0	1738.0
85366	10.0	72.0
85364	1857.0	1198.0
85365	2997.0	1655.0
85363	2626.0	1124.0
85360	1340.0	654.0
1080	136.0	3.0
85391	2.0	3.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	798.0	813.0
1087	8.0	76.0
1086	0.0	0.0
440279	17.0	3.0
1085	3.0	12.0
1084	5.0	1.0
440278	206.0	122.0
1082	0.0	0.0
403294	0.0	0.0
440275	6440.0	6138.0
1081	5.0	131.0
85397	10.0	5.0
85395	785.0	464.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1876.0	448.0
1089	8.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	3.0	2.0
285598	1874.0	500.0
126133	1817.0	2092.0
128790	0.0	0.0
126129	193.0	138.0
126123	3.0	0.0
442862	0.0	0.0
126119	664.0	980.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	3.0	0.0
114132	20.0	14.0
442897	0.0	0.0
442898	2.0	0.0
114134	526.0	251.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	0.0
100128788	120.0	57.0
100128787	1.0	0.0
440225	1.0	0.0
440224	4.0	1179.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	333.0	96.0
100128781	2.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	168.0	6.0
102466616	0.0	0.0
126052	0.0	1.0
151009	100.0	32.0
403227	66.0	2.0
403228	0.0	0.0
138046	5.0	14.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	36.0	16.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	1519.0	637.0
107131122	0.0	0.0
138050	9768.0	66654.0
403219	3.0	0.0
151011	7835.0	1530.0
645587	1.0	6.0
165679	1414.0	102.0
126037	73.0	32.0
114049	3382.0	4178.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	677.0	516.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2828.0	2237.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	85.0	23.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	311.0	93.0
645598	1.0	0.0
163007	4.0	1.0
114038	2.0	4.0
645591	0.0	0.0
106481495	0.0	0.0
114041	704.0	1069.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	24.0	8.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	389.0	236.0
126017	859.0	613.0
106481497	4.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	3028.0	1115.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	2.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1582.0	2700.0
106481459	0.0	0.0
26994	10148.0	4915.0
106481457	15.0	3.0
26995	2874.0	1957.0
106481458	0.0	0.0
403271	0.0	0.0
26998	24.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1434.0	7421.0
403273	0.0	0.0
102466658	32.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2854.0	2216.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	3.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	3.0	0.0
106481468	1.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	1056.0	7.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1074.0	2395.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1185.0	1213.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	2.0
106481437	0.0	0.0
26974	589.0	501.0
153657	95.0	19.0
106481438	1.0	81.0
106481435	0.0	0.0
26973	2219.0	1037.0
165631	39.0	92.0
106481436	1.0	0.0
26978	18.0	2.0
126075	755.0	733.0
106481439	0.0	0.0
403250	0.0	0.0
126074	279.0	191.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1795.0	1425.0
106481444	19.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3977.0	1225.0
85354	0.0	0.0
85352	85.0	142.0
403241	0.0	2.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	686.0	334.0
153643	56.0	24.0
403247	0.0	0.0
403248	0.0	0.0
26985	5119.0	3693.0
106481448	0.0	0.0
26986	122485.0	53936.0
126069	206.0	222.0
106481449	0.0	0.0
126068	880.0	592.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1145.0	1052.0
106481447	0.0	0.0
106481451	5.0	5.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	616.0	55.0
106481455	1.0	0.0
85349	339.0	4.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	0.0
85347	0.0	0.0
26980	16.0	2.0
106481454	1.0	0.0
403238	0.0	0.0
85344	8.0	25.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	17.0	13.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	2.0
100873392	5.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	1.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3695.0	1985.0
100873390	0.0	0.0
728556	56.0	48.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	140.0	103.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	812.0	445.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	1.0
100873382	0.0	0.0
100873381	7.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	485.0	301.0
100873384	0.0	0.0
285601	6.0	6.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	1.0	1.0
63910	147.0	517.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	936.0	377.0
222008	9.0	119.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3609.0	2476.0
63904	0.0	0.0
106481430	0.0	3.0
163071	36.0	10.0
63906	1009.0	764.0
106481433	1.0	0.0
63908	1519.0	454.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	0.0
100873389	0.0	0.0
100873388	5.0	0.0
285613	48.0	48.0
63920	565.0	510.0
63923	5135.0	727.0
63922	710.0	564.0
728577	339.0	10.0
63925	2179.0	1604.0
63924	5559.0	17.0
63916	3951.0	4154.0
63917	5191.0	2416.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	7.0	8.0
285622	0.0	6.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1945.0	1883.0
106481402	0.0	0.0
63931	2220.0	2037.0
106481403	5.0	0.0
63934	1399.0	82.0
728567	6.0	5.0
106481408	0.0	0.0
163088	10.0	0.0
63933	3245.0	2083.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3517.0	2207.0
163087	1018.0	491.0
728568	426.0	433.0
106481407	17.0	14.0
3704	1589.0	1459.0
3705	4685.0	10958.0
63926	1274.0	1902.0
3706	10.0	345.0
63929	1426.0	801.0
3707	5303.0	3374.0
63928	9.0	1.0
3708	16349.0	4044.0
106481411	0.0	1.0
3709	22179.0	13071.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	24.0	20.0
3702	60.0	292.0
3703	12919.0	8674.0
645506	0.0	2.0
151050	1364.0	313.0
645520	1.0	0.0
63941	1778.0	2433.0
63940	755.0	1196.0
63943	493.0	380.0
728517	0.0	0.0
163033	789.0	523.0
258010	2483.0	2892.0
63947	0.0	0.0
63946	1.0	1.0
728513	5.0	3.0
100033803	0.0	0.0
3716	22061.0	16217.0
100033804	0.0	0.0
3717	2423.0	1270.0
100033805	0.0	0.0
3718	670.0	581.0
63939	1381.0	962.0
100033806	0.0	0.0
100190799	6.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	87.0	12.0
3710	5443.0	6110.0
3712	7865.0	5900.0
3713	11.0	0.0
3714	4566.0	1339.0
63950	2.0	0.0
728505	0.0	0.0
63951	48.0	8.0
100033807	0.0	0.0
728501	34.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	22476.0	14942.0
100033814	0.0	0.0
3727	24764.0	11526.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	29899.0	21179.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3385.0	2129.0
151056	498.0	136.0
3725	82466.0	19362.0
645528	0.0	0.0
728532	47.0	45.0
163059	481.0	417.0
728538	0.0	1.0
728537	455.0	101.0
63967	116.0	310.0
3737	63.0	6.0
3738	61.0	71.0
3739	6.0	0.0
645538	0.0	0.0
3730	3931.0	1152.0
3732	6524.0	3339.0
3734	0.0	0.0
3735	9023.0	9214.0
3736	1106.0	21.0
63970	477.0	2.0
3750	440.0	145.0
63971	8998.0	4746.0
63974	0.0	0.0
163049	3548.0	1754.0
63973	157.0	0.0
63976	176.0	47.0
222068	7314.0	8228.0
63978	0.0	0.0
63977	1137.0	578.0
63979	1172.0	584.0
728524	0.0	0.0
3748	932.0	151.0
163051	49.0	38.0
3749	4041.0	187.0
163050	71.0	78.0
3741	36.0	13.0
645548	12.0	12.0
3743	9.0	3.0
3744	0.0	0.0
3745	1362.0	50.0
3746	26.0	3.0
3747	2980.0	5844.0
285671	1071.0	410.0
285672	2286.0	1683.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	434.0	16.0
285676	208.0	38.0
3761	6.0	0.0
100128657	0.0	0.0
285679	6.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	578.0	278.0
283008	3.0	3.0
3751	334.0	359.0
100873435	0.0	0.0
3752	2046.0	2204.0
100873434	0.0	0.0
3753	24.0	2.0
100873433	0.0	0.0
3754	139.0	865.0
100873432	0.0	0.0
3755	184.0	14.0
100873439	0.0	0.0
3756	16.0	126.0
100873438	0.0	0.0
3757	80.0	51.0
100873437	0.0	0.0
3758	13.0	5.0
100873436	0.0	0.0
100873420	11.0	0.0
3770	276.0	101.0
3772	91.0	155.0
100861458	0.0	1.0
100861453	18.0	4.0
100861455	0.0	0.0
1107	20020.0	12658.0
1106	11690.0	5731.0
1105	5960.0	10261.0
1104	2957.0	2170.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2105.0	659.0
1101	1040.0	12631.0
3762	422.0	460.0
100873424	0.0	0.0
3763	8.0	25.0
100128640	298.0	171.0
100873423	0.0	0.0
3764	1075.0	501.0
100873422	0.0	0.0
3765	7.0	3.0
100873421	0.0	0.0
3766	15.0	26.0
100873428	0.0	0.0
3767	512.0	1723.0
100873427	0.0	0.0
3768	115.0	53.0
1109	3.0	1.0
100873426	2.0	0.0
1108	25320.0	23552.0
3769	38.0	1.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	64.0	8.0
100873453	0.0	0.0
3781	85.0	61.0
100873452	0.0	0.0
3782	308.0	355.0
100873451	0.0	0.0
3783	6670.0	277.0
100873450	0.0	0.0
1121	2158.0	2318.0
100861468	0.0	0.0
1120	160.0	81.0
100861469	0.0	0.0
1118	90.0	34.0
1117	1563.0	290.0
1116	5216.0	355.0
1114	594.0	6.0
1113	96.0	4.0
1112	8143.0	2047.0
1111	694.0	473.0
3773	411.0	1.0
100873457	5.0	0.0
100873456	0.0	0.0
3775	555.0	173.0
100873455	0.0	0.0
3776	1180.0	56.0
100873454	0.0	0.0
3777	1484.0	19.0
3778	3156.0	581.0
3779	3907.0	199.0
100873459	0.0	0.0
1119	4180.0	5341.0
100128627	8.0	3.0
100128626	0.0	0.0
3790	1530.0	1351.0
100128628	7.0	8.0
3791	6560.0	4035.0
100873442	0.0	0.0
3792	89.0	11.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	16.0
1132	35.0	27.0
1131	680.0	146.0
1130	3900.0	4472.0
100861476	1.0	0.0
1129	0.0	0.0
1128	1208.0	8.0
1124	398.0	904.0
1123	1537.0	758.0
1122	1675.0	1452.0
100861470	0.0	0.0
3784	938.0	843.0
100873446	0.0	0.0
3785	32.0	0.0
100873445	0.0	0.0
3786	344.0	633.0
100873444	0.0	0.0
3787	229.0	11.0
100873443	0.0	0.0
3788	23.0	24.0
100873449	6.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	155.0	28.0
100128618	1.0	1.0
728597	1.0	2.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	303.0	27.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	1.0
285634	11.0	5.0
1142	0.0	2.0
1141	254.0	7.0
285636	3430.0	2795.0
1140	711.0	487.0
728599	6.0	1.0
1139	13.0	5.0
1138	82.0	176.0
1137	2.0	0.0
100861485	0.0	0.0
1136	17.0	21.0
1135	6.0	0.0
1134	48.0	50.0
1133	29.0	5.0
3795	370.0	261.0
100873479	7.0	1.0
3796	2341.0	2281.0
100873478	0.0	0.0
3797	2095.0	1193.0
100873477	4.0	2.0
3798	212.0	29.0
100873476	0.0	0.0
3799	19951.0	10229.0
100873460	0.0	0.0
728586	52.0	11.0
285641	2.0	0.0
100873464	1.0	0.0
100873463	0.0	0.0
100873462	3.0	1.0
285643	0.0	4.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	2556.0	6168.0
1153	22195.0	12413.0
1152	1278.0	752.0
285647	43.0	25.0
728589	40.0	16.0
728588	12.0	17.0
1149	1252.0	7.0
1147	2014.0	1800.0
1146	8.0	1.0
1145	85.0	35.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	632.0	870.0
1163	930.0	981.0
285659	2.0	0.0
1161	646.0	413.0
1160	361.0	31.0
1159	181.0	28.0
1158	7.0	5.0
1157	0.0	0.0
1155	2490.0	3310.0
550643	1394.0	2723.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2761.0	1698.0
1175	2938.0	3712.0
285668	21.0	3.0
1174	2129.0	2969.0
1173	17801.0	16701.0
550631	233.0	131.0
100873489	0.0	0.0
283014	11.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	27.0	34.0
1186	3954.0	4380.0
1185	1689.0	719.0
1184	684.0	627.0
1183	486.0	108.0
1182	12042.0	5425.0
1181	357.0	895.0
440375	62.0	30.0
1180	68.0	2.0
1179	1.0	0.0
1178	0.0	0.0
283089	8.0	1.0
85495	0.0	0.0
85480	336.0	3.0
283080	0.0	0.0
1198	4003.0	2324.0
1197	2.0	1.0
1196	2907.0	2839.0
1195	7498.0	3232.0
440366	5.0	2.0
1193	1192.0	513.0
1192	13113.0	15782.0
1191	56390.0	4069.0
1188	28.0	1.0
283078	145.0	9.0
85486	14.0	1.0
128615	0.0	0.0
85481	0.0	0.0
128611	43.0	84.0
440396	53.0	105.0
128609	0.0	0.0
128602	3.0	0.0
440387	1.0	1.0
128674	2.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	3.0	1.0
126014	86.0	317.0
440335	806.0	2360.0
100128690	0.0	0.0
114034	1037.0	501.0
126006	93.0	270.0
114036	23.0	16.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	239.0	84.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	237.0	70.0
440356	16.0	10.0
440354	140.0	56.0
440352	0.0	5.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	16.0	10.0
100873410	0.0	0.0
100873417	4.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	123.0	111.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	200.0	166.0
200734	6293.0	2396.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	3.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	0.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5069.0	3422.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	7.0	1.0
165530	171.0	18.0
85409	575.0	236.0
106481385	2.0	0.0
106481386	0.0	3.0
85416	3.0	0.0
106481383	4.0	1.0
85417	82.0	16.0
106481384	3.0	0.0
103106903	2.0	0.0
85414	502.0	277.0
106481389	0.0	0.0
85415	5675.0	184.0
106481387	0.0	0.0
85413	39.0	3.0
106481388	7.0	1.0
645436	1.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	17.0	5.0
106481380	0.0	0.0
11	0.0	4.0
403341	1333.0	692.0
12	662.0	644.0
13	169.0	0.0
14	7136.0	5250.0
15	7.0	2.0
16	9087.0	12078.0
645455	29.0	16.0
18	2883.0	4911.0
19	3903.0	1841.0
128580	20.0	4.0
85407	190.0	150.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	2101.0	2590.0
106481395	2.0	0.0
85403	2396.0	3065.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	6432.0	2780.0
106481390	0.0	0.0
21	4837.0	7690.0
106481391	0.0	0.0
22	2177.0	2191.0
153571	779.0	393.0
153572	5825.0	1736.0
23	5979.0	5540.0
24	197.0	12.0
25	10872.0	5623.0
26	24.0	11.0
27	4021.0	3448.0
28	969.0	63.0
29	6273.0	5986.0
153579	5427.0	194.0
728615	1.0	0.0
728614	0.0	0.0
200765	349.0	295.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	113.0	23.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	1.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1391.0	257.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2939.0	4657.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	314.0	145.0
106481366	0.0	0.0
30	3187.0	2940.0
106481360	0.0	0.0
31	8312.0	6928.0
32	10066.0	650.0
33	291.0	2.0
34	4691.0	2419.0
35	2457.0	675.0
153562	2557.0	3245.0
36	8389.0	4601.0
37	23347.0	8328.0
38	3825.0	2482.0
440307	20.0	7.0
39	1019.0	1033.0
165545	4.0	15.0
106481369	0.0	0.0
728606	52.0	548.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	41.0	765.0
106481370	0.0	0.0
41	1276.0	95.0
106481371	0.0	0.0
43	57.0	16.0
645486	0.0	0.0
47	11458.0	23888.0
48	6133.0	2907.0
49	23.0	7.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	6.0	4.0
106481340	0.0	0.0
