id	25b57a17-29ab-41f6-8809-45cf5b58a329	99aa28e6-25ae-4137-adbd-339cd07b1bba
285550	2731.0	1841.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	80.0	8.0
3640	4.0	36.0
3638	1686.0	1284.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2008.0	1913.0
100873313	0.0	0.0
3632	2639.0	927.0
100873312	4.0	0.0
100873311	0.0	0.0
3633	1403.0	903.0
100873318	0.0	0.0
3635	489.0	931.0
100873317	0.0	0.0
3636	10030.0	4201.0
100128771	74.0	51.0
100873316	8.0	0.0
100873315	0.0	0.0
100128766	4.0	2.0
3651	4.0	0.0
1	18.0	11.0
2	26723.0	8920.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	264.0	44.0
3642	0.0	8.0
100873302	1.0	0.0
3643	5042.0	5663.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	1.0
100873307	2.0	0.0
3646	19994.0	19934.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	159.0	41.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3234.0	1630.0
100873331	0.0	0.0
3661	4725.0	6053.0
100873330	0.0	0.0
285577	0.0	0.0
3662	40.0	207.0
100128756	1.0	0.0
1000	362.0	173.0
3652	1525.0	844.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	314.0	158.0
3654	3676.0	1898.0
100873334	0.0	0.0
3655	3667.0	2033.0
100873333	1.0	0.0
3656	395.0	685.0
100873339	0.0	0.0
3658	6732.0	2080.0
100873338	0.0	0.0
3659	2210.0	2604.0
100873337	0.0	0.0
3670	25.0	0.0
100873321	0.0	0.0
3671	17909.0	8587.0
100873320	0.0	0.0
3672	5980.0	537.0
285588	3.0	0.0
3673	576.0	5975.0
1011	0.0	0.0
1010	1.0	1.0
1008	0.0	0.0
1007	0.0	1.0
1006	0.0	1.0
1005	0.0	0.0
1004	310.0	2146.0
1003	5528.0	1019.0
1002	31.0	449.0
1001	236.0	5827.0
3663	172.0	722.0
100873325	0.0	0.0
3664	6844.0	5301.0
100873324	0.0	0.0
3665	1365.0	1055.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	13521.0	594.0
100873329	0.0	0.0
285590	1346.0	1047.0
100873328	0.0	0.0
3669	2679.0	1937.0
100873327	0.0	0.0
1009	432.0	1047.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	7.0	3.0
728477	20.0	0.0
3680	10142.0	7036.0
3681	10.0	2.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	949.0	642.0
100873353	0.0	0.0
3683	386.0	251.0
100873352	0.0	0.0
128710	678.0	407.0
3684	241.0	704.0
100873351	0.0	0.0
285512	189.0	58.0
1022	1707.0	2405.0
285513	213.0	149.0
1021	789.0	308.0
1020	826.0	1023.0
440299	1.0	0.0
1019	5744.0	4883.0
128709	0.0	0.0
1018	53.0	23.0
1017	1337.0	996.0
1016	1.0	0.0
1015	8.0	70.0
1014	14267.0	58.0
1013	4.0	64.0
1012	383.0	318.0
116730	9.0	24.0
3674	641.0	83.0
100873358	0.0	0.0
3675	21112.0	74033.0
100873357	1.0	0.0
3676	190.0	33.0
100128731	8711.0	11846.0
100873356	0.0	0.0
3678	2731.0	1043.0
3679	1106.0	980.0
100873359	0.0	0.0
728464	61.0	0.0
728463	14.0	2.0
100128725	0.0	0.0
3690	4676.0	953.0
3691	2019.0	4166.0
100873343	0.0	0.0
3692	7696.0	12231.0
3693	4719.0	4328.0
285521	1077.0	766.0
100873342	0.0	0.0
3694	1178.0	2105.0
100873341	0.0	0.0
3695	243.0	323.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	37.0	39.0
1032	253.0	358.0
285525	17.0	6.0
1031	493.0	330.0
285527	3728.0	1272.0
1030	66.0	513.0
728468	0.0	0.0
440288	123.0	49.0
1029	22.0	190.0
440295	203.0	79.0
1028	1050.0	735.0
1027	8357.0	3946.0
1026	3522.0	26117.0
1025	4011.0	5060.0
1024	891.0	439.0
3685	16433.0	12167.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	215.0	898.0
100873345	0.0	0.0
3688	13747.0	4248.0
100873344	0.0	0.0
3689	927.0	4054.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	77.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	79.0	16.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	21.0	59.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
