id	6a12fc1f-9ef6-48fb-8706-f7d82b86407b	73a8acb0-feba-4c0d-b67a-a1f26d046b0b
285550	1855.0	1586.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	37.0	27.0
3640	6.0	6.0
3638	1602.0	1912.0
100873319	1.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	1866.0	2470.0
100873313	0.0	0.0
3632	1780.0	2240.0
100873312	4.0	0.0
100873311	0.0	0.0
3633	1546.0	1640.0
100873318	0.0	0.0
3635	1823.0	1419.0
100873317	0.0	0.0
3636	7290.0	6074.0
100128771	33.0	77.0
100873316	5.0	6.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	1.0	0.0
1	30.0	38.0
2	30518.0	63167.0
100873309	0.0	0.0
100873308	0.0	0.0
3	26.0	16.0
3641	0.0	0.0
100873303	0.0	0.0
9	179.0	124.0
3642	9.0	12.0
100873302	0.0	0.0
3643	5500.0	17240.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	5.0
100873307	0.0	0.0
3646	14758.0	13697.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	77.0	58.0
100873304	1.0	0.0
100873332	2.0	1.0
3660	2277.0	2356.0
100873331	0.0	0.0
3661	3290.0	4681.0
100873330	0.0	0.0
285577	0.0	1.0
3662	408.0	111.0
100128756	0.0	0.0
1000	388.0	5507.0
3652	1393.0	1268.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	385.0	288.0
3654	4115.0	2809.0
100873334	0.0	0.0
3655	4504.0	8602.0
100873333	0.0	0.0
3656	681.0	1126.0
100873339	0.0	0.0
3658	5406.0	3536.0
100873338	0.0	0.0
3659	2020.0	2422.0
100873337	0.0	1.0
3670	5.0	6.0
100873321	0.0	0.0
3671	9518.0	11304.0
100873320	0.0	0.0
3672	4458.0	6701.0
285588	0.0	0.0
3673	576.0	2897.0
1011	0.0	0.0
1010	2.0	2.0
1008	3.0	0.0
1007	0.0	0.0
1006	20.0	19.0
1005	1.0	1.0
1004	425.0	1542.0
1003	5329.0	9570.0
1002	31.0	57.0
1001	410.0	6928.0
3663	519.0	654.0
100873325	0.0	0.0
3664	5151.0	5827.0
100873324	0.0	0.0
3665	805.0	1214.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	12828.0	6453.0
100873329	0.0	0.0
285590	2540.0	2643.0
100873328	0.0	0.0
3669	2159.0	1517.0
100873327	0.0	0.0
1009	878.0	1490.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	2.0
728477	19.0	6.0
3680	7785.0	10030.0
3681	25.0	21.0
100128733	0.0	1.0
100873354	1.0	0.0
3682	654.0	587.0
100873353	0.0	0.0
3683	1544.0	576.0
100873352	2.0	0.0
128710	569.0	553.0
3684	766.0	632.0
100873351	0.0	0.0
285512	138.0	118.0
1022	1088.0	1420.0
285513	1398.0	816.0
1021	1083.0	1110.0
1020	647.0	614.0
440299	0.0	0.0
1019	3708.0	3300.0
128709	0.0	0.0
1018	35.0	38.0
1017	1113.0	1325.0
1016	1.0	0.0
1015	18.0	16.0
1014	6120.0	1538.0
1013	2.0	171.0
1012	800.0	2111.0
116730	8.0	12.0
3674	200.0	158.0
100873358	1.0	0.0
3675	14436.0	42558.0
100873357	0.0	1.0
3676	854.0	308.0
100128731	6358.0	8546.0
100873356	0.0	0.0
3678	3795.0	8904.0
3679	1312.0	3748.0
100873359	0.0	0.0
728464	53.0	53.0
728463	11.0	35.0
100128725	0.0	0.0
3690	4052.0	4533.0
3691	3383.0	5870.0
100873343	0.0	0.0
3692	4829.0	5239.0
3693	4659.0	9519.0
285521	1092.0	920.0
100873342	0.0	0.0
3694	1313.0	3874.0
100873341	0.0	0.0
3695	285.0	104.0
100873340	1.0	1.0
100128723	1.0	1.0
1033	59.0	28.0
1032	286.0	367.0
285525	8.0	9.0
1031	428.0	872.0
285527	3593.0	3472.0
1030	67.0	383.0
728468	2.0	1.0
440288	116.0	90.0
1029	15.0	103.0
440295	144.0	60.0
1028	507.0	880.0
1027	5304.0	4778.0
1026	4258.0	29287.0
1025	3151.0	4766.0
1024	748.0	408.0
3685	16846.0	15962.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	758.0	1130.0
100873345	1.0	0.0
3688	14742.0	16689.0
100873344	0.0	3.0
3689	3658.0	3006.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	78.0	37.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	59.0	49.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	50.0	39.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	17.0	2.0
1043	1788.0	1265.0
1041	2.0	5.0
1040	4540.0	4731.0
1039	5469.0	3993.0
1038	3.0	2.0
1036	321.0	141.0
3696	903.0	1402.0
3697	4.0	4.0
100873379	0.0	0.0
3698	10.0	13.0
100873378	1.0	2.0
3699	76.0	220.0
100873377	0.0	0.0
728486	11.0	5.0
100873361	0.0	0.0
105373869	0.0	3.0
100873360	0.0	0.0
285540	119.0	131.0
100128705	7.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	4.0
100873362	1.0	0.0
100128701	4.0	2.0
1054	2309.0	2409.0
285547	1.0	0.0
1053	2.0	4.0
285548	4.0	0.0
1052	2011.0	19647.0
1051	2603.0	4681.0
728489	11.0	17.0
1050	585.0	561.0
100128707	0.0	0.0
1048	1.0	15.0
1047	26.0	10.0
1046	0.0	0.0
1045	0.0	1.0
100873369	8.0	4.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	5.0	0.0
1066	318.0	527.0
1063	237.0	122.0
1062	142.0	65.0
1061	4.0	0.0
1060	2137.0	1918.0
440253	413.0	257.0
1059	5364.0	7609.0
1058	38.0	11.0
1057	2.0	2.0
85379	9830.0	8044.0
114112	506.0	431.0
1056	17.0	17.0
85377	2486.0	2640.0
85378	4227.0	4410.0
128745	1.0	0.0
85376	22.0	48.0
440248	655.0	444.0
1075	5468.0	17366.0
1074	9.0	5.0
1073	2343.0	2411.0
1072	26663.0	38360.0
1071	183.0	314.0
440243	0.0	0.0
1070	889.0	1035.0
1069	5032.0	5718.0
1068	0.0	0.0
85369	1972.0	2061.0
85366	51.0	29.0
85364	2269.0	2210.0
85365	4270.0	3571.0
85363	2593.0	2197.0
85360	660.0	1430.0
1080	22.0	15.0
85391	9.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	446.0	337.0
1087	2.0	0.0
1086	0.0	0.0
440279	51.0	60.0
1085	0.0	1.0
1084	7.0	5.0
440278	261.0	329.0
1082	0.0	0.0
403294	0.0	0.0
440275	4325.0	4025.0
1081	3.0	1.0
85397	2099.0	1074.0
85395	334.0	601.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	1.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	4370.0	6655.0
1089	12.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	27.0	26.0
285598	424.0	445.0
126133	1567.0	2410.0
128790	0.0	0.0
126129	149.0	203.0
126123	8.0	2.0
442862	0.0	0.0
126119	773.0	1097.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	1.0	0.0
114132	41.0	20.0
442897	0.0	0.0
442898	2.0	3.0
114134	349.0	946.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	4.0
100128788	49.0	32.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	2.0	4.0
442892	0.0	0.0
128756	0.0	0.0
100128782	369.0	323.0
100128781	3.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	2.0	3.0
403236	0.0	0.0
63982	72.0	161.0
102466616	0.0	0.0
126052	0.0	0.0
151009	99.0	77.0
403227	0.0	2.0
403228	0.0	0.0
138046	5.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	5.0	8.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	608.0	1049.0
107131122	0.0	1.0
138050	9401.0	10736.0
403219	1.0	0.0
151011	3990.0	4010.0
645587	1.0	2.0
165679	8.0	17.0
126037	20.0	26.0
114049	5006.0	5911.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	4.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	488.0	402.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2744.0	3259.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	262.0	181.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	9.0	5.0
645598	0.0	0.0
163007	1.0	0.0
114038	3.0	5.0
645591	0.0	0.0
106481495	0.0	0.0
114041	61.0	22.0
106481496	0.0	0.0
114042	8.0	7.0
106481493	0.0	0.0
114043	27.0	79.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	190.0	176.0
126017	464.0	337.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	1.0
85301	2564.0	1569.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	495.0	435.0
106481459	0.0	0.0
