id	c2e12b8b-e04b-4805-b157-b6148efb9f9d	b34c9e55-0455-46fd-8dad-3994e2c06fb2
1069	6454.0	5748.0
1068	0.0	0.0
85369	1662.0	2071.0
85366	26.0	8.0
85364	2200.0	1815.0
85365	3197.0	1711.0
85363	1931.0	1463.0
85360	916.0	900.0
1080	25.0	123.0
85391	20.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	29.0
153733	429.0	495.0
1087	4.0	1.0
1086	0.0	7.0
440279	112.0	14.0
1085	4.0	62.0
1084	3.0	11.0
440278	398.0	183.0
1082	0.0	0.0
403294	2.0	0.0
440275	4042.0	2823.0
1081	0.0	6.0
85397	979.0	18.0
85395	376.0	846.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	2.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	2.0
440270	5974.0	4496.0
1089	9.0	67.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	53.0	3.0
285598	378.0	472.0
126133	1668.0	2785.0
128790	1.0	0.0
126129	151.0	159.0
126123	8.0	1.0
442862	0.0	0.0
126119	1296.0	2958.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	3.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	38.0	38.0
442897	0.0	0.0
442898	4.0	0.0
114134	329.0	863.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	11.0
100128788	93.0	45.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	0.0
442890	0.0	0.0
442891	8.0	2.0
442892	0.0	0.0
128756	0.0	0.0
100128782	433.0	175.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	93.0	25.0
102466616	0.0	0.0
126052	0.0	2.0
151009	98.0	40.0
403227	1.0	1.0
403228	0.0	0.0
138046	4.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	23.0	19.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	810.0	1551.0
107131122	2.0	0.0
138050	6845.0	16494.0
403219	0.0	0.0
151011	4995.0	2688.0
645587	4.0	0.0
165679	13.0	73.0
126037	19.0	35.0
114049	5420.0	7622.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	1.0
106481484	0.0	0.0
106481485	29.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	548.0	580.0
100033821	4.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	4530.0	2051.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	156.0	121.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	16.0	2.0
645598	0.0	1.0
163007	2.0	10.0
114038	3.0	19.0
645591	0.0	0.0
106481495	0.0	0.0
114041	220.0	105.0
106481496	0.0	0.0
114042	12.0	11.0
106481493	0.0	0.0
114043	33.0	14.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	180.0	94.0
126017	423.0	302.0
106481497	4.0	0.0
106481498	1.0	0.0
85303	0.0	0.0
85300	11.0	2.0
85301	3562.0	435.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	298.0	432.0
106481459	0.0	0.0
26994	12266.0	7066.0
106481457	8.0	5.0
26995	1752.0	1611.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	10.0
403272	0.0	1.0
102466659	0.0	0.0
26999	2375.0	4901.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3357.0	3132.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	2.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	1.0	0.0
85329	4.0	25.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	2.0	1.0
106481475	0.0	0.0
106481476	1.0	0.0
85320	11.0	5.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	459.0	260.0
403255	0.0	0.0
403256	2.0	0.0
403257	0.0	0.0
344471	5.0	8.0
106481437	0.0	0.0
26974	210.0	186.0
153657	124.0	44.0
106481438	2.0	0.0
106481435	1.0	0.0
26973	2730.0	1154.0
165631	123.0	363.0
106481436	1.0	0.0
26978	6.0	6.0
126075	1287.0	1774.0
106481439	0.0	0.0
403250	0.0	0.0
126074	216.0	344.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2688.0	4610.0
106481444	25.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3272.0	2081.0
85354	0.0	0.0
85352	94.0	115.0
403241	7.0	0.0
344462	8.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	733.0	432.0
153643	260.0	49.0
403247	0.0	0.0
403248	0.0	0.0
26985	3230.0	1990.0
106481448	0.0	0.0
26986	26299.0	40760.0
126069	90.0	46.0
106481449	0.0	0.0
126068	549.0	416.0
106481446	0.0	0.0
26983	0.0	0.0
26984	989.0	985.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	171.0	54.0
106481455	0.0	0.0
85349	521.0	45.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	0.0
106481454	0.0	1.0
403238	0.0	0.0
85344	85.0	14.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2459.0	2434.0
100873390	0.0	0.0
728556	53.0	55.0
106481419	2.0	0.0
100128817	1.0	0.0
728558	178.0	63.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	589.0	394.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	359.0	115.0
100873384	0.0	0.0
285601	7.0	20.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	140.0	461.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	840.0	250.0
222008	15.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4500.0	4836.0
63904	0.0	0.0
106481430	0.0	0.0
163071	323.0	2313.0
63906	611.0	1288.0
106481433	0.0	0.0
63908	1044.0	710.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	7.0	4.0
285613	97.0	184.0
63920	525.0	421.0
63923	200.0	75.0
63922	503.0	939.0
728577	32.0	3.0
63925	2191.0	1925.0
63924	4.0	3.0
63916	2406.0	3660.0
63917	4953.0	4937.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	1.0
728564	3.0	14.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1500.0	1486.0
106481402	0.0	0.0
63931	2339.0	1974.0
106481403	1.0	0.0
63934	920.0	966.0
728567	3.0	4.0
106481408	0.0	1.0
163088	10.0	3.0
63933	3000.0	2780.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4143.0	5115.0
163087	704.0	420.0
728568	689.0	724.0
106481407	12.0	16.0
3704	3502.0	4867.0
3705	3502.0	10056.0
63926	1279.0	775.0
3706	14.0	284.0
63929	1168.0	876.0
3707	1299.0	2885.0
63928	0.0	0.0
3708	16676.0	1252.0
106481411	0.0	0.0
3709	1749.0	1991.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	28.0	17.0
3702	376.0	406.0
3703	9591.0	11749.0
645506	0.0	0.0
151050	2459.0	974.0
645520	0.0	0.0
63941	1813.0	1844.0
63940	372.0	1811.0
63943	615.0	727.0
728517	0.0	1.0
163033	990.0	2254.0
258010	5473.0	5545.0
63947	0.0	0.0
63946	3.0	0.0
728513	17.0	10.0
100033803	0.0	0.0
3716	9046.0	10371.0
100033804	0.0	0.0
3717	972.0	617.0
100033805	0.0	0.0
3718	217.0	1606.0
63939	636.0	1126.0
100033806	0.0	0.0
100190799	11.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	134.0	133.0
3710	12001.0	17346.0
3712	20343.0	8796.0
3713	6.0	12838.0
3714	1222.0	1773.0
63950	1.0	2.0
728505	0.0	0.0
63951	284.0	269.0
100033807	0.0	0.0
728501	45.0	44.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	33504.0	32652.0
100033814	0.0	0.0
3727	52064.0	26970.0
63948	10.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	19739.0	34528.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	980.0	892.0
151056	318.0	311.0
3725	66252.0	18735.0
645528	4.0	1.0
728532	29.0	28.0
163059	402.0	226.0
728538	1.0	0.0
728537	497.0	156.0
63967	10.0	57.0
3737	88.0	5.0
3738	41.0	49.0
3739	5.0	0.0
645538	0.0	0.0
3730	1717.0	2915.0
3732	2146.0	3951.0
3734	0.0	0.0
3735	5677.0	9423.0
3736	508.0	4.0
63970	10.0	2.0
3750	208.0	309.0
63971	5690.0	3599.0
63974	0.0	0.0
163049	2979.0	1967.0
63973	2.0	1.0
63976	3393.0	586.0
222068	14748.0	12551.0
63978	0.0	0.0
63977	409.0	592.0
63979	408.0	610.0
728524	0.0	0.0
3748	4106.0	2582.0
163051	27.0	44.0
3749	563.0	483.0
163050	50.0	35.0
3741	234.0	348.0
645548	8.0	11.0
3743	3.0	0.0
3744	0.0	0.0
3745	61.0	85.0
3746	21.0	3.0
3747	0.0	0.0
285671	1947.0	776.0
285672	1503.0	1974.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	8.0	2.0
285676	83.0	37.0
3761	1.0	6.0
100128657	1.0	0.0
285679	4.0	2.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	76.0	2355.0
283008	13.0	6.0
3751	58.0	23.0
100873435	0.0	0.0
3752	161.0	39.0
100873434	0.0	0.0
3753	9.0	17.0
100873433	0.0	0.0
3754	27.0	2.0
100873432	0.0	0.0
3755	11.0	26.0
100873439	0.0	0.0
3756	6.0	19.0
100873438	0.0	0.0
3757	40.0	28.0
100873437	0.0	0.0
3758	6.0	1.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	191.0	88.0
3772	5839.0	19431.0
100861458	1.0	0.0
100861453	11.0	9.0
100861455	0.0	0.0
1107	12541.0	8519.0
1106	12249.0	5046.0
1105	2732.0	1885.0
1104	960.0	2118.0
100873429	0.0	0.0
1103	1.0	175.0
1102	3365.0	1604.0
1101	123.0	629.0
3762	76.0	84.0
100873424	0.0	0.0
3763	9.0	98.0
100128640	176.0	104.0
100873423	0.0	0.0
3764	461.0	337.0
100873422	0.0	0.0
3765	10.0	3.0
100873421	2.0	1.0
3766	51.0	69.0
100873428	0.0	0.0
3767	318.0	532.0
100873427	0.0	0.0
3768	409.0	1138.0
1109	2.0	0.0
100873426	1.0	1.0
1108	15654.0	30877.0
3769	359.0	0.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	1.0	0.0
3780	7.0	47.0
100873453	0.0	0.0
3781	18.0	35.0
100873452	0.0	0.0
3782	683.0	233.0
100873451	0.0	0.0
3783	110.0	17296.0
100873450	0.0	0.0
1121	2127.0	1120.0
100861468	0.0	0.0
1120	297.0	488.0
100861469	0.0	0.0
1118	734.0	368.0
1117	932.0	13360.0
1116	513.0	61462.0
1114	642.0	8151.0
1113	236.0	0.0
1112	2572.0	1413.0
1111	317.0	533.0
3773	18799.0	11245.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	750.0	2924.0
100873455	0.0	0.0
3776	1087.0	47.0
100873454	0.0	0.0
3777	767.0	784.0
3778	518.0	385.0
3779	228.0	908.0
100873459	1.0	0.0
1119	5530.0	1596.0
100128627	0.0	0.0
100128626	4.0	0.0
3790	248.0	2435.0
100128628	12.0	2.0
3791	4693.0	1591.0
100873442	0.0	0.0
3792	30.0	19.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	15.0
1131	236.0	207.0
1130	2580.0	4758.0
100861476	3.0	0.0
1129	1.0	0.0
1128	15.0	0.0
1124	918.0	611.0
1123	595.0	1024.0
1122	1175.0	896.0
100861470	0.0	0.0
3784	11621.0	6037.0
100873446	0.0	0.0
3785	11.0	7.0
100873445	0.0	0.0
3786	66.0	3598.0
100873444	0.0	0.0
3787	14.0	53.0
100873443	0.0	0.0
3788	12.0	2.0
100873449	27.0	1.0
100873448	1.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	289.0	266.0
100128618	0.0	1.0
728597	11.0	0.0
100128617	3.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	33.0	48.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	16.0	12.0
285634	9.0	2.0
1142	0.0	1.0
1141	6.0	11.0
285636	2258.0	3535.0
1140	1356.0	1891.0
728599	1.0	3.0
1139	96.0	25.0
1138	11.0	25.0
1137	97.0	3.0
100861485	0.0	0.0
1136	19.0	7.0
1135	1.0	1.0
1134	2.0	43.0
1133	14.0	8.0
3795	100.0	132.0
100873479	3.0	2.0
3796	939.0	860.0
100873478	0.0	0.0
3797	988.0	728.0
100873477	4.0	0.0
3798	278.0	256.0
100873476	0.0	0.0
3799	10565.0	9057.0
100873460	0.0	0.0
728586	22.0	26.0
285641	1.0	1.0
100873464	6.0	3.0
100873463	0.0	0.0
100873462	7.0	0.0
285643	1.0	0.0
100128603	0.0	2.0
100873461	0.0	0.0
1154	2485.0	6829.0
1153	29433.0	28919.0
1152	15107.0	10862.0
285647	79.0	15.0
728589	3.0	5.0
728588	0.0	0.0
1149	10.0	6.0
1147	1934.0	1294.0
1146	2.0	0.0
1145	27.0	114.0
1144	1.0	19.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	2.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	1.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	438.0	641.0
1163	527.0	1082.0
285659	0.0	0.0
1161	514.0	305.0
1160	319.0	281.0
1159	121.0	315.0
1158	6.0	11.0
1157	1.0	0.0
1155	2929.0	8231.0
550643	2375.0	4270.0
283025	2.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	2.0	0.0
100873481	0.0	0.0
100873480	1.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3262.0	5734.0
1175	1962.0	4568.0
285668	10.0	3.0
1174	1492.0	5582.0
1173	15041.0	32089.0
550631	489.0	348.0
100873489	0.0	0.0
283014	12.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	586.0	7.0
1186	3749.0	5857.0
1185	1669.0	1116.0
1184	673.0	372.0
1183	1636.0	683.0
1182	5385.0	4101.0
1181	575.0	509.0
440375	55.0	32.0
1180	9.0	6.0
1179	1.0	0.0
1178	0.0	1.0
283089	34.0	9.0
85495	0.0	0.0
85480	112.0	49.0
283080	1.0	0.0
1198	4305.0	3850.0
1197	1.0	3.0
1196	2382.0	4653.0
1195	12453.0	4284.0
440366	3.0	0.0
1193	4269.0	5120.0
1192	12993.0	34718.0
1191	187021.0	707611.0
1188	2381.0	22.0
283078	49.0	69.0
85486	4.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	112.0	120.0
440396	63.0	46.0
128609	0.0	0.0
128602	0.0	0.0
440387	5.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	1.0	1.0
126014	49.0	688.0
440335	13.0	32.0
100128690	0.0	0.0
114034	1356.0	1163.0
126006	57.0	99.0
114036	146.0	34.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	267.0	131.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	524.0	549.0
440356	6.0	12.0
440354	99.0	70.0
440352	2.0	0.0
100873419	1.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	14.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	9.0	1.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	103.0	32.0
200734	3447.0	2905.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	5.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	3748.0	3289.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	1.0
165530	15.0	349.0
85409	24.0	521.0
106481385	2.0	0.0
106481386	1.0	1.0
85416	0.0	0.0
106481383	3.0	0.0
85417	75.0	25.0
106481384	0.0	0.0
103106903	0.0	2.0
85414	136.0	359.0
106481389	0.0	0.0
85415	1192.0	254.0
106481387	0.0	0.0
85413	0.0	6.0
106481388	4.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	852.0	371.0
12	50.0	28.0
13	49.0	0.0
14	7611.0	9373.0
15	9.0	4.0
16	10288.0	9978.0
645455	14.0	5.0
18	13191.0	3050.0
19	1722.0	1085.0
128580	2.0	4.0
85407	174.0	51.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1297.0	1151.0
106481395	0.0	1.0
85403	1443.0	1484.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	2.0	0.0
20	7358.0	4721.0
106481390	0.0	0.0
21	6340.0	6524.0
106481391	0.0	0.0
22	992.0	970.0
153571	639.0	4085.0
153572	497.0	3591.0
23	4299.0	4866.0
24	131.0	331.0
25	10935.0	3795.0
26	35.0	2012.0
27	1413.0	2019.0
28	4158.0	1698.0
29	2933.0	10017.0
153579	1921.0	191.0
728615	2.0	0.0
728614	0.0	0.0
200765	246.0	254.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	47.0	136.0
102466518	1.0	0.0
102466516	28.0	7.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1326.0	746.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3477.0	4463.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	349.0	497.0
106481366	0.0	0.0
30	3881.0	5733.0
106481360	2.0	0.0
31	2617.0	1673.0
32	5394.0	766.0
33	3143.0	462.0
34	4621.0	2308.0
35	2317.0	1831.0
153562	3018.0	1904.0
36	2965.0	1149.0
37	25269.0	41141.0
38	5393.0	4091.0
440307	21.0	8.0
39	752.0	1175.0
165545	6.0	1.0
106481369	0.0	0.0
728606	160.0	124.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	2.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	2.0	6.0
106481370	0.0	0.0
41	72.0	104.0
106481371	0.0	0.0
43	113.0	136.0
645486	0.0	0.0
47	5873.0	6459.0
48	3789.0	2867.0
49	7.0	35.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	6.0	1.0
106481340	0.0	0.0
85458	3126.0	850.0
106481345	0.0	0.0
