id	d0b25a83-b0a8-4466-b928-18b68e33dd17	59d90fcf-e519-4e32-87cd-eb920cf3b588
285550	1765.0	1873.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	8.0
3640	14.0	19.0
3638	1112.0	1748.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1135.0	3325.0
100873313	0.0	0.0
3632	1551.0	1791.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	1180.0	1600.0
100873318	0.0	0.0
3635	2180.0	4652.0
100873317	0.0	0.0
3636	4659.0	5169.0
100128771	24.0	35.0
100873316	1.0	6.0
100873315	0.0	0.0
100128766	3.0	2.0
3651	1.0	0.0
1	11.0	33.0
2	25849.0	29821.0
100873309	0.0	0.0
100873308	0.0	0.0
3	8.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	156.0	138.0
3642	23.0	17.0
100873302	0.0	0.0
3643	3941.0	11310.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	5.0
100873307	0.0	0.0
3646	13672.0	20545.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	91.0	99.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2107.0	2563.0
100873331	0.0	0.0
3661	2256.0	4419.0
100873330	0.0	0.0
285577	0.0	0.0
3662	647.0	440.0
100128756	0.0	0.0
1000	292.0	3812.0
3652	899.0	1910.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	328.0	193.0
3654	2921.0	2730.0
100873334	0.0	1.0
3655	2582.0	6663.0
100873333	0.0	0.0
3656	218.0	1194.0
100873339	0.0	0.0
3658	3536.0	4195.0
100873338	0.0	0.0
3659	3089.0	2794.0
100873337	0.0	0.0
3670	53.0	1.0
100873321	0.0	0.0
3671	12454.0	8720.0
100873320	0.0	0.0
3672	3128.0	2669.0
285588	1.0	0.0
3673	415.0	14928.0
1011	0.0	0.0
1010	0.0	0.0
1008	1.0	1.0
1007	0.0	1.0
1006	14.0	37.0
1005	0.0	0.0
1004	344.0	7449.0
1003	3499.0	3905.0
1002	58.0	628.0
1001	482.0	10477.0
3663	342.0	1061.0
100873325	0.0	0.0
3664	3816.0	6948.0
100873324	0.0	0.0
3665	805.0	1400.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7106.0	2600.0
