id	15e2962d-44df-4c43-85d4-a58ca3299da2	702f5f23-47cb-49bd-ac6c-eb9eca14f028
285550	2868.0	2693.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	39.0	27.0
3640	2.0	240.0
3638	1808.0	714.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1877.0	1675.0
100873313	0.0	0.0
3632	3293.0	1281.0
100873312	5.0	0.0
100873311	0.0	0.0
3633	1721.0	2597.0
100873318	0.0	0.0
3635	628.0	3817.0
100873317	0.0	0.0
3636	11556.0	10295.0
100128771	176.0	195.0
100873316	6.0	10.0
100873315	0.0	0.0
100128766	4.0	2.0
3651	2.0	0.0
1	22.0	81.0
2	42082.0	7063.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	1.0
3641	0.0	0.0
100873303	0.0	0.0
9	337.0	78.0
3642	1.0	5.0
100873302	1.0	0.0
3643	7891.0	8832.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	12.0	15.0
100873307	3.0	0.0
3646	18744.0	36056.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	122.0	303.0
100873304	0.0	0.0
100873332	0.0	4.0
3660	3345.0	1730.0
100873331	0.0	0.0
3661	4061.0	11094.0
100873330	0.0	0.0
285577	3.0	0.0
3662	73.0	29.0
100128756	0.0	0.0
1000	732.0	1005.0
3652	2027.0	717.0
100873336	0.0	1.0
100873335	2.0	1.0
100128750	421.0	154.0
3654	4790.0	1541.0
100873334	0.0	0.0
3655	4094.0	1907.0
100873333	3.0	0.0
3656	581.0	281.0
100873339	0.0	0.0
3658	4990.0	2926.0
100873338	1.0	0.0
3659	1937.0	1068.0
100873337	0.0	4.0
3670	40.0	3.0
100873321	0.0	0.0
3671	27566.0	12204.0
100873320	0.0	0.0
3672	5299.0	902.0
285588	1.0	0.0
3673	974.0	10180.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	8.0
1007	0.0	0.0
1006	11.0	10.0
1005	0.0	15.0
1004	694.0	4720.0
1003	6643.0	1276.0
1002	128.0	29524.0
1001	345.0	13484.0
3663	209.0	928.0
100873325	0.0	0.0
3664	6853.0	3604.0
100873324	0.0	0.0
3665	1363.0	3474.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	17304.0	7339.0
100873329	0.0	0.0
285590	2291.0	2343.0
100873328	0.0	0.0
3669	1555.0	2363.0
100873327	0.0	0.0
1009	878.0	5135.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	13.0	2.0
728477	29.0	5.0
3680	17331.0	6093.0
3681	4.0	28.0
100128733	1.0	3.0
100873354	0.0	0.0
3682	728.0	874.0
100873353	0.0	0.0
3683	386.0	192.0
100873352	0.0	0.0
128710	1003.0	1563.0
3684	205.0	188.0
100873351	0.0	0.0
285512	122.0	95.0
1022	1639.0	3435.0
285513	349.0	173.0
1021	1138.0	175.0
1020	1033.0	1243.0
440299	0.0	0.0
1019	5285.0	1750.0
128709	0.0	2.0
1018	33.0	80.0
1017	1152.0	1735.0
1016	1.0	2.0
1015	8.0	22.0
1014	11512.0	244.0
1013	10.0	98.0
1012	749.0	406.0
116730	12.0	71.0
3674	429.0	544.0
100873358	0.0	0.0
3675	29676.0	60362.0
100873357	1.0	1.0
3676	155.0	339.0
100128731	9195.0	13461.0
100873356	0.0	0.0
3678	3345.0	1160.0
3679	2715.0	3852.0
100873359	0.0	0.0
728464	68.0	30.0
728463	25.0	32.0
100128725	0.0	0.0
3690	4080.0	233.0
3691	3465.0	19127.0
100873343	0.0	0.0
3692	5911.0	5909.0
3693	8725.0	5897.0
285521	1122.0	1271.0
100873342	0.0	0.0
3694	1672.0	958.0
100873341	0.0	0.0
3695	196.0	212.0
100873340	2.0	0.0
100128723	0.0	0.0
1033	15.0	30.0
1032	378.0	283.0
285525	16.0	12.0
1031	588.0	246.0
285527	3038.0	1885.0
1030	67.0	197.0
728468	0.0	0.0
440288	139.0	34.0
1029	34.0	5074.0
440295	136.0	267.0
1028	1181.0	2299.0
1027	6104.0	2887.0
1026	6240.0	12874.0
1025	4593.0	8406.0
1024	895.0	512.0
3685	13139.0	5824.0
100873347	1.0	1.0
100873346	0.0	0.0
3687	192.0	6640.0
100873345	1.0	0.0
3688	13183.0	3012.0
100873344	0.0	2.0
3689	1006.0	659.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	80.0	61.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	67.0	22.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	15.0	246.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	14.0
1043	241.0	598.0
1041	3.0	44.0
1040	6758.0	2279.0
1039	8528.0	1982.0
1038	1.0	1.0
1036	1008.0	1507.0
3696	850.0	2276.0
3697	4.0	8.0
100873379	0.0	0.0
3698	12.0	33.0
100873378	0.0	11.0
3699	166.0	37.0
100873377	0.0	0.0
728486	11.0	2.0
100873361	0.0	0.0
105373869	1.0	4.0
100873360	0.0	1.0
285540	294.0	196.0
100128705	2.0	1.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	1.0
100128701	2.0	2.0
1054	3982.0	1566.0
285547	0.0	0.0
1053	0.0	11.0
285548	1.0	1.0
1052	5196.0	3873.0
1051	5439.0	5182.0
728489	22.0	44.0
1050	1871.0	282.0
100128707	0.0	0.0
1048	1.0	0.0
1047	13.0	1.0
1046	0.0	11.0
1045	3.0	0.0
100873369	9.0	10.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	4423.0	514.0
1063	103.0	734.0
1062	69.0	141.0
1061	2.0	4.0
1060	2765.0	1078.0
440253	429.0	36.0
1059	10052.0	6897.0
1058	7.0	77.0
1057	0.0	3.0
85379	14899.0	5034.0
114112	944.0	529.0
1056	47.0	182.0
85377	4002.0	1274.0
85378	4861.0	7632.0
128745	2.0	0.0
85376	63.0	6.0
440248	626.0	827.0
1075	3249.0	12242.0
1074	19.0	22.0
1073	3153.0	1029.0
1072	30640.0	29151.0
1071	405.0	96.0
440243	0.0	0.0
1070	1126.0	866.0
1069	7107.0	5444.0
1068	0.0	0.0
85369	2797.0	1892.0
85366	89.0	13.0
85364	3718.0	2748.0
85365	4472.0	2893.0
85363	2252.0	1295.0
85360	1696.0	732.0
1080	42.0	46.0
85391	6.0	22.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	2.0	6.0
153733	522.0	347.0
1087	2.0	0.0
1086	0.0	1.0
440279	327.0	43.0
1085	2.0	5.0
1084	6.0	3.0
440278	481.0	154.0
1082	0.0	18.0
403294	2.0	4.0
440275	6189.0	2174.0
1081	0.0	14.0
85397	2968.0	17.0
85395	656.0	673.0
403285	0.0	0.0
1091	1.0	1.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	3301.0	26765.0
1089	1.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	26.0	79.0
285598	511.0	1069.0
126133	2701.0	1665.0
128790	1.0	0.0
126129	138.0	2352.0
126123	37.0	7.0
442862	0.0	0.0
126119	2383.0	1781.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	24.0	11.0
442897	1.0	0.0
442898	6.0	20.0
114134	274.0	239.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	20.0
100128788	77.0	263.0
100128787	0.0	0.0
440225	0.0	0.0
