id	6c4588e2-ce36-4ac6-b8b1-35f8dad9d4c9	e8f96d88-a746-4253-ac41-9e91f2c33c31
285550	2782.0	2285.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	65.0	45.0
3640	7.0	1.0
3638	2579.0	1367.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2262.0	1440.0
100873313	0.0	0.0
3632	2189.0	3002.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1373.0	1424.0
100873318	0.0	0.0
3635	1213.0	1694.0
100873317	0.0	0.0
3636	9228.0	10373.0
100128771	168.0	106.0
100873316	1.0	5.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	30.0	9.0
2	21056.0	33973.0
100873309	0.0	0.0
100873308	0.0	0.0
3	20.0	15.0
3641	0.0	2.0
100873303	0.0	0.0
9	314.0	223.0
3642	2.0	1.0
100873302	0.0	0.0
3643	6165.0	13213.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	0.0
100873307	1.0	1.0
3646	15569.0	14227.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	115.0	110.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2703.0	2948.0
100873331	0.0	0.0
3661	3987.0	4405.0
100873330	0.0	0.0
285577	0.0	0.0
3662	745.0	53.0
100128756	0.0	0.0
1000	768.0	2062.0
3652	1625.0	1433.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	615.0	394.0
3654	4353.0	2793.0
100873334	0.0	0.0
3655	4189.0	9322.0
100873333	0.0	1.0
3656	487.0	470.0
100873339	0.0	1.0
3658	6640.0	5035.0
100873338	0.0	0.0
3659	3464.0	1341.0
100873337	0.0	0.0
3670	39.0	2.0
100873321	0.0	0.0
3671	15329.0	1129.0
100873320	0.0	0.0
3672	4422.0	7831.0
285588	0.0	0.0
3673	831.0	3073.0
1011	0.0	0.0
1010	3.0	1.0
1008	3.0	22.0
1007	0.0	0.0
1006	10.0	17.0
1005	1.0	0.0
1004	464.0	889.0
1003	4342.0	9933.0
1002	162.0	576.0
1001	260.0	809.0
3663	383.0	347.0
100873325	0.0	0.0
3664	8125.0	6518.0
100873324	0.0	0.0
3665	846.0	886.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	17446.0	13998.0
100873329	0.0	0.0
285590	1863.0	1300.0
100873328	0.0	0.0
3669	1975.0	2608.0
100873327	0.0	0.0
1009	653.0	86.0
100873326	1.0	0.0
100873350	1.0	0.0
116729	7.0	4.0
728477	27.0	35.0
3680	7825.0	9290.0
3681	6.0	42.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1029.0	1054.0
100873353	0.0	0.0
3683	1942.0	269.0
100873352	0.0	0.0
128710	833.0	888.0
3684	538.0	168.0
100873351	0.0	0.0
285512	77.0	140.0
1022	1478.0	1407.0
285513	1300.0	284.0
1021	1382.0	1641.0
1020	932.0	1063.0
440299	0.0	0.0
1019	3654.0	4699.0
128709	0.0	0.0
1018	22.0	23.0
1017	1188.0	1752.0
1016	0.0	0.0
1015	12.0	1.0
1014	9815.0	3894.0
1013	9.0	6.0
1012	189.0	2315.0
116730	3.0	9.0
3674	203.0	193.0
100873358	0.0	0.0
3675	19151.0	24457.0
100873357	3.0	0.0
3676	1033.0	189.0
100128731	7199.0	7697.0
100873356	0.0	0.0
3678	2944.0	5912.0
3679	907.0	1077.0
100873359	0.0	0.0
728464	70.0	15.0
728463	27.0	24.0
100128725	0.0	0.0
3690	3419.0	2109.0
3691	1847.0	1639.0
100873343	0.0	0.0
3692	4861.0	5423.0
3693	4764.0	5735.0
285521	1594.0	1425.0
100873342	0.0	0.0
3694	2116.0	1829.0
100873341	1.0	0.0
3695	371.0	36.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	21.0	47.0
1032	337.0	233.0
285525	2.0	11.0
1031	973.0	1520.0
285527	3383.0	2649.0
1030	113.0	447.0
728468	0.0	0.0
440288	106.0	107.0
1029	35.0	229.0
440295	78.0	70.0
1028	933.0	663.0
1027	6707.0	4439.0
1026	12077.0	38570.0
1025	3700.0	4872.0
1024	839.0	923.0
3685	19225.0	25287.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	613.0	497.0
100873345	21.0	5.0
3688	15462.0	14333.0
100873344	0.0	0.0
3689	3220.0	1335.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	55.0	47.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	41.0	50.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	30.0	19.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	0.0
1043	1022.0	304.0
1041	4.0	1.0
1040	9123.0	3876.0
1039	7292.0	5352.0
1038	3.0	1.0
1036	397.0	18.0
3696	1451.0	107.0
3697	1.0	1.0
100873379	0.0	0.0
3698	8.0	11.0
100873378	0.0	0.0
3699	30.0	42.0
100873377	0.0	0.0
728486	11.0	0.0
100873361	0.0	0.0
105373869	0.0	5.0
100873360	0.0	0.0
285540	105.0	60.0
100128705	1.0	5.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	4132.0	3206.0
285547	1.0	0.0
1053	4.0	1.0
285548	0.0	0.0
1052	4572.0	4169.0
1051	5065.0	6899.0
728489	9.0	8.0
1050	1011.0	1310.0
100128707	0.0	0.0
1048	1.0	1.0
1047	324.0	19.0
1046	1.0	0.0
1045	0.0	0.0
100873369	9.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	1788.0	2307.0
1063	156.0	390.0
1062	81.0	82.0
1061	11.0	3.0
1060	2474.0	1906.0
440253	296.0	279.0
1059	6707.0	8267.0
1058	13.0	37.0
1057	1.0	0.0
85379	15202.0	13306.0
114112	837.0	836.0
1056	11.0	57.0
85377	3542.0	6096.0
85378	3582.0	4002.0
128745	0.0	0.0
85376	34.0	49.0
440248	371.0	330.0
1075	6327.0	7463.0
1074	6.0	4.0
1073	4302.0	3341.0
1072	30165.0	33533.0
1071	227.0	845.0
440243	0.0	0.0
1070	1240.0	877.0
1069	6576.0	5996.0
1068	0.0	0.0
85369	2069.0	2309.0
85366	27.0	20.0
85364	2250.0	3943.0
85365	4129.0	2917.0
85363	2360.0	2698.0
85360	795.0	863.0
1080	28.0	14.0
85391	6.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	587.0	352.0
1087	0.0	0.0
1086	0.0	0.0
440279	164.0	399.0
1085	0.0	2.0
1084	3.0	2.0
440278	235.0	200.0
1082	0.0	0.0
403294	2.0	2.0
440275	5417.0	4291.0
1081	0.0	0.0
85397	955.0	2441.0
85395	509.0	446.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	8.0	3.0
440270	3703.0	5736.0
1089	6.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	41.0	26.0
285598	464.0	637.0
126133	2160.0	2086.0
128790	1.0	0.0
126129	78.0	100.0
126123	17.0	0.0
442862	0.0	0.0
126119	1838.0	1317.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	1.0
128774	1.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	46.0	10.0
442897	0.0	0.0
442898	5.0	0.0
114134	537.0	393.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	2.0
100128788	75.0	150.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	3.0
442890	0.0	0.0
442891	1.0	1.0
442892	0.0	0.0
128756	0.0	1.0
100128782	686.0	536.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	2.0
403234	0.0	2.0
403235	1.0	0.0
403236	0.0	0.0
63982	120.0	54.0
102466616	0.0	0.0
126052	0.0	0.0
151009	122.0	115.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	28.0	29.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	768.0	764.0
107131122	0.0	1.0
138050	8447.0	11573.0
403219	0.0	0.0
151011	5171.0	2863.0
645587	1.0	3.0
165679	9.0	6.0
126037	40.0	31.0
114049	5501.0	5177.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	969.0	828.0
100033821	3.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3497.0	3377.0
106481486	0.0	1.0
106481487	0.0	0.0
645579	188.0	121.0
100033820	0.0	0.0
106481480	4.0	0.0
106481481	0.0	0.0
138065	9.0	10.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	273.0	9.0
106481496	0.0	0.0
114042	26.0	6.0
106481493	0.0	0.0
114043	29.0	39.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	208.0	175.0
126017	619.0	557.0
106481497	3.0	1.0
106481498	1.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	1782.0	1693.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	616.0	1321.0
106481459	0.0	0.0
26994	15234.0	14196.0
106481457	7.0	6.0
26995	2671.0	2827.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	8.0
403272	0.0	1.0
102466659	0.0	0.0
26999	3524.0	4411.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	8.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2736.0	4170.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
