id	c643bb69-8c28-42bb-b7b8-1e27f0a46cfb	39113e53-0d26-4616-b23e-fb4c70dec853
285550	618.0	2022.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	35.0
3640	46.0	36.0
3638	1781.0	1438.0
100873319	2.0	0.0
100873314	0.0	0.0
3630	0.0	3.0
3631	847.0	3000.0
100873313	0.0	0.0
3632	442.0	1496.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	672.0	1503.0
100873318	0.0	0.0
3635	4099.0	4226.0
100873317	1.0	0.0
3636	1458.0	6976.0
100128771	35.0	41.0
100873316	0.0	10.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	15.0	38.0
2	10838.0	38881.0
100873309	1.0	0.0
100873308	0.0	0.0
3	13.0	18.0
3641	0.0	0.0
100873303	5.0	0.0
9	116.0	231.0
3642	21.0	6.0
100873302	0.0	0.0
3643	643.0	5809.0
100128764	1.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	5.0
100873307	0.0	0.0
3646	9049.0	15147.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	25.0	147.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	1112.0	2591.0
100873331	0.0	0.0
3661	3926.0	6115.0
100873330	0.0	0.0
285577	0.0	0.0
3662	2944.0	499.0
100128756	0.0	0.0
1000	290.0	7303.0
3652	174.0	978.0
100873336	2.0	1.0
100873335	0.0	0.0
100128750	91.0	141.0
3654	2319.0	2378.0
100873334	0.0	0.0
3655	993.0	5371.0
100873333	0.0	0.0
3656	190.0	636.0
100873339	0.0	0.0
3658	904.0	3427.0
100873338	0.0	0.0
3659	3172.0	3578.0
100873337	0.0	2.0
3670	1.0	0.0
100873321	0.0	0.0
3671	2768.0	12019.0
100873320	2.0	0.0
3672	575.0	3546.0
285588	1.0	0.0
3673	114.0	2626.0
1011	0.0	0.0
1010	3.0	0.0
1008	1.0	2.0
1007	3.0	0.0
1006	3.0	29.0
1005	1.0	0.0
1004	124.0	4068.0
1003	546.0	5391.0
1002	17.0	137.0
1001	274.0	6754.0
3663	709.0	1401.0
100873325	2.0	0.0
3664	851.0	6052.0
100873324	0.0	0.0
3665	5330.0	2993.0
100873323	0.0	0.0
100873322	4.0	0.0
3667	927.0	4110.0
100873329	0.0	0.0
285590	213.0	1740.0
100873328	0.0	0.0
3669	10927.0	2714.0
100873327	0.0	0.0
1009	326.0	1364.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	3.0
728477	1.0	9.0
3680	637.0	13915.0
3681	81.0	45.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	1218.0	838.0
100873353	0.0	0.0
3683	3205.0	2190.0
100873352	0.0	0.0
128710	198.0	619.0
3684	585.0	1300.0
100873351	0.0	0.0
285512	76.0	186.0
1022	483.0	1650.0
285513	891.0	1374.0
1021	641.0	1040.0
1020	392.0	726.0
440299	0.0	1.0
1019	1081.0	3424.0
128709	0.0	0.0
1018	8.0	68.0
1017	578.0	1478.0
1016	6.0	0.0
1015	18.0	13.0
1014	560.0	1130.0
1013	11.0	75.0
1012	69.0	875.0
116730	49.0	14.0
3674	38.0	141.0
100873358	0.0	0.0
3675	1882.0	38980.0
100873357	0.0	1.0
3676	404.0	1097.0
100128731	5778.0	8097.0
100873356	0.0	0.0
3678	871.0	4515.0
3679	372.0	2176.0
100873359	0.0	0.0
728464	3.0	18.0
728463	0.0	15.0
100128725	0.0	0.0
3690	107.0	3447.0
3691	530.0	8165.0
100873343	0.0	0.0
3692	3720.0	5354.0
3693	566.0	5342.0
285521	351.0	889.0
100873342	0.0	0.0
3694	196.0	3739.0
100873341	0.0	0.0
3695	233.0	1070.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	378.0	102.0
1032	718.0	421.0
285525	2.0	8.0
1031	612.0	605.0
285527	1057.0	2792.0
1030	84.0	706.0
728468	0.0	0.0
440288	51.0	102.0
1029	99.0	593.0
440295	28.0	193.0
1028	300.0	607.0
1027	2922.0	4471.0
1026	6104.0	17635.0
1025	2060.0	4429.0
1024	246.0	725.0
3685	1538.0	19634.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1810.0	2566.0
100873345	0.0	1.0
3688	870.0	14266.0
100873344	3.0	0.0
3689	8806.0	8481.0
100873349	2.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	11.0	34.0
100873376	0.0	1.0
728493	0.0	0.0
100128711	2.0	0.0
728492	11.0	45.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	72.0	149.0
100873374	0.0	2.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	1.0	0.0
1044	68.0	7.0
1043	16658.0	2722.0
1041	1.0	57.0
1040	401.0	4517.0
1039	807.0	3317.0
1038	0.0	1.0
1036	163.0	3349.0
3696	213.0	3131.0
3697	30.0	7.0
100873379	0.0	0.0
3698	2.0	31.0
100873378	0.0	4.0
3699	56.0	78.0
100873377	0.0	0.0
728486	6.0	13.0
100873361	0.0	0.0
105373869	2.0	16.0
100873360	0.0	0.0
285540	86.0	189.0
100128705	1.0	1.0
100873365	0.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	3.0	0.0
100128701	2.0	1.0
1054	995.0	1987.0
285547	0.0	0.0
1053	17.0	14.0
285548	0.0	2.0
1052	8049.0	12522.0
1051	3470.0	4370.0
728489	13.0	32.0
1050	285.0	563.0
100128707	5.0	1.0
1048	2.0	2.0
1047	37.0	41.0
1046	0.0	0.0
1045	6.0	3.0
100873369	0.0	4.0
100873368	0.0	0.0
100873367	4.0	0.0
100873366	0.0	0.0
105373877	0.0	6.0
1066	24.0	99.0
1063	403.0	450.0
1062	232.0	170.0
1061	2.0	9.0
1060	633.0	2333.0
440253	91.0	277.0
1059	1984.0	4707.0
1058	202.0	54.0
1057	4.0	0.0
85379	752.0	13061.0
114112	105.0	458.0
1056	6.0	34.0
85377	551.0	1667.0
85378	1199.0	5476.0
128745	0.0	0.0
85376	2.0	18.0
440248	148.0	713.0
1075	3885.0	13283.0
1074	9.0	15.0
1073	713.0	1505.0
1072	32952.0	38408.0
1071	1190.0	196.0
440243	0.0	0.0
1070	504.0	1049.0
1069	1697.0	4729.0
1068	0.0	0.0
85369	692.0	2310.0
85366	14.0	46.0
85364	772.0	1709.0
85365	654.0	2498.0
85363	575.0	2974.0
85360	155.0	664.0
1080	5.0	31.0
85391	18.0	12.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	147.0	431.0
1087	0.0	1.0
1086	0.0	0.0
440279	4.0	141.0
1085	0.0	2.0
1084	20.0	12.0
440278	37.0	204.0
1082	0.0	2.0
403294	0.0	0.0
440275	931.0	3946.0
1081	8.0	1.0
85397	67.0	72.0
85395	705.0	443.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	2.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	1.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	33.0	15.0
440270	1318.0	8154.0
1089	49.0	43.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	44.0	25.0
285598	124.0	558.0
126133	1627.0	1979.0
128790	0.0	0.0
126129	72.0	186.0
126123	12.0	8.0
442862	0.0	0.0
126119	992.0	1049.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	2.0	0.0
442896	0.0	0.0
114132	10.0	22.0
442897	0.0	0.0
442898	1.0	3.0
114134	61.0	511.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	18.0
100128788	32.0	61.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	15.0
442890	0.0	0.0
442891	0.0	6.0
442892	0.0	0.0
128756	0.0	0.0
100128782	201.0	327.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	4.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	15.0	74.0
102466616	0.0	0.0
126052	0.0	0.0
151009	14.0	107.0
403227	0.0	0.0
403228	0.0	0.0
138046	4.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	2.0	14.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	234.0	1020.0
107131122	0.0	0.0
138050	694.0	8861.0
403219	0.0	0.0
151011	443.0	3789.0
645587	0.0	1.0
165679	15.0	46.0
126037	42.0	25.0
114049	3094.0	5257.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	3.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	486.0	1100.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	627.0	3513.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	34.0	84.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	3.0	243.0
645598	0.0	0.0
163007	5.0	3.0
114038	0.0	1.0
645591	5.0	1.0
106481495	1.0	1.0
114041	13.0	101.0
106481496	0.0	0.0
114042	10.0	7.0
106481493	0.0	0.0
114043	8.0	46.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	30.0	215.0
126017	102.0	319.0
106481497	0.0	2.0
106481498	3.0	0.0
85303	0.0	0.0
85300	3.0	1.0
85301	437.0	2030.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	659.0	386.0
106481459	3.0	0.0
26994	1746.0	8336.0
106481457	0.0	8.0
26995	865.0	1761.0
106481458	0.0	0.0
403271	1.0	1.0
26998	0.0	5.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3372.0	4700.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	1.0	1.0
106481463	0.0	0.0
104310353	1.0	3.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1732.0	3765.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	1.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	3.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8.0	7.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	11.0	50.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	89.0	400.0
403255	0.0	0.0
403256	5.0	0.0
403257	0.0	0.0
344471	8.0	16.0
106481437	0.0	0.0
26974	50.0	217.0
153657	13.0	78.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	610.0	2200.0
165631	534.0	829.0
106481436	0.0	2.0
26978	21.0	9.0
126075	824.0	1384.0
106481439	0.0	0.0
403250	0.0	0.0
126074	158.0	194.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1354.0	2377.0
106481444	5.0	12.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	471.0	3463.0
85354	0.0	0.0
85352	39.0	95.0
403241	0.0	1.0
344462	6.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	108.0	523.0
153643	65.0	50.0
403247	0.0	0.0
403248	0.0	0.0
26985	665.0	3108.0
106481448	0.0	0.0
26986	29263.0	39975.0
126069	10.0	81.0
106481449	0.0	0.0
126068	128.0	938.0
106481446	0.0	0.0
26983	0.0	0.0
26984	403.0	821.0
106481447	0.0	0.0
106481451	0.0	8.0
106481452	0.0	2.0
106481450	0.0	2.0
114088	28.0	49.0
106481455	0.0	0.0
85349	58.0	150.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	5.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	11.0	34.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	0.0
85340	0.0	1.0
100873394	0.0	1.0
100873393	0.0	2.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	1.0	0.0
100128811	4.0	5.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	2.0	1.0
63901	1199.0	5589.0
100873390	0.0	0.0
728556	6.0	53.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	30.0	163.0
106481417	2.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	78.0	638.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	1.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	32.0	224.0
100873384	0.0	0.0
285601	14.0	15.0
106481426	1.0	0.0
106481427	0.0	0.0
222005	2.0	0.0
63910	425.0	1162.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	109.0	558.0
222008	2.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	1303.0	3648.0
63904	0.0	0.0
106481430	1.0	1.0
163071	65.0	358.0
63906	471.0	733.0
106481433	0.0	0.0
63908	276.0	951.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	14.0
285613	90.0	188.0
63920	63.0	489.0
63923	12.0	119.0
63922	557.0	889.0
728577	26.0	51.0
63925	745.0	2119.0
63924	25.0	1.0
63916	641.0	3665.0
63917	663.0	3835.0
106481400	0.0	0.0
106481401	9.0	0.0
728562	3.0	2.0
728564	11.0	3.0
285622	0.0	0.0
106481404	0.0	0.0
