id	c13bf3e3-3287-485b-a5d2-5371af7897fb	e57f046b-b3b6-4774-9659-3c88cd589c19
440295	134.0	158.0
1028	460.0	916.0
1027	4501.0	4978.0
1026	8180.0	65538.0
1025	3059.0	3704.0
1024	616.0	684.0
3685	14698.0	33969.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	3230.0	1873.0
100873345	0.0	0.0
3688	11367.0	21671.0
100873344	0.0	0.0
3689	8371.0	5038.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	1.0	0.0
728498	61.0	25.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	36.0	48.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	28.0	130.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	13.0
1043	2628.0	792.0
1041	3.0	6.0
1040	4593.0	5967.0
1039	4153.0	2748.0
1038	1.0	0.0
1036	342.0	379.0
3696	628.0	3136.0
3697	4.0	3.0
100873379	0.0	0.0
3698	8.0	2.0
100873378	0.0	0.0
3699	39.0	21.0
100873377	0.0	0.0
728486	13.0	13.0
100873361	0.0	0.0
105373869	3.0	18.0
100873360	0.0	0.0
285540	73.0	69.0
100128705	0.0	4.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	2232.0	2143.0
285547	0.0	0.0
1053	4.0	13.0
285548	0.0	1.0
1052	3086.0	17482.0
1051	2556.0	9585.0
728489	18.0	18.0
1050	1637.0	571.0
100128707	0.0	1.0
1048	0.0	12.0
1047	12.0	202.0
1046	0.0	0.0
1045	1.0	8.0
100873369	8.0	13.0
100873368	0.0	0.0
100873367	0.0	1.0
100873366	0.0	0.0
105373877	6.0	0.0
1066	681.0	345.0
1063	532.0	207.0
1062	202.0	88.0
1061	7.0	9.0
1060	2274.0	1607.0
440253	321.0	278.0
1059	4496.0	6759.0
1058	44.0	17.0
1057	3.0	2.0
85379	6464.0	4543.0
114112	501.0	571.0
1056	29.0	59.0
85377	2448.0	3457.0
85378	5179.0	5858.0
128745	0.0	0.0
85376	23.0	16.0
440248	399.0	453.0
1075	6666.0	12644.0
1074	17.0	12.0
1073	2572.0	2305.0
1072	28784.0	31109.0
1071	212.0	58.0
440243	1.0	0.0
1070	886.0	914.0
1069	3892.0	3339.0
1068	0.0	0.0
85369	1887.0	2201.0
85366	69.0	9.0
85364	1508.0	1783.0
85365	3130.0	2675.0
85363	2199.0	2213.0
85360	653.0	355.0
1080	58.0	136.0
85391	18.0	9.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	455.0	355.0
1087	0.0	0.0
1086	0.0	0.0
440279	82.0	106.0
1085	0.0	2.0
1084	10.0	6.0
440278	250.0	173.0
1082	0.0	0.0
403294	0.0	0.0
440275	3306.0	3678.0
1081	2.0	0.0
85397	924.0	7.0
85395	368.0	593.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	0.0
440270	5244.0	8017.0
1089	8.0	44.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	70.0	52.0
285598	314.0	518.0
126133	2114.0	1614.0
128790	0.0	1.0
126129	71.0	87.0
126123	8.0	8.0
442862	0.0	0.0
126119	1290.0	950.0
442863	0.0	0.0
442864	0.0	1.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	2.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	79.0	30.0
442897	0.0	0.0
442898	2.0	7.0
114134	276.0	847.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	11.0
100128788	72.0	49.0
100128787	1.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	3.0	1.0
442892	1.0	0.0
128756	0.0	1.0
100128782	550.0	299.0
100128781	5.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	0.0	0.0
403235	3.0	0.0
403236	0.0	0.0
63982	74.0	71.0
102466616	0.0	0.0
126052	0.0	1.0
151009	78.0	118.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	33.0	21.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	680.0	1556.0
107131122	0.0	1.0
138050	7185.0	7406.0
403219	0.0	0.0
151011	3435.0	2905.0
645587	2.0	1.0
165679	6.0	13.0
126037	22.0	25.0
114049	4194.0	4175.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	6.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	464.0	328.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2651.0	2625.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	211.0	218.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	11.0	201.0
645598	0.0	0.0
163007	0.0	3.0
114038	0.0	13.0
645591	0.0	0.0
106481495	1.0	0.0
114041	105.0	105.0
106481496	0.0	0.0
114042	1.0	1.0
106481493	0.0	0.0
114043	51.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	211.0	134.0
126017	488.0	356.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	2976.0	1363.0
106481491	1.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	812.0	698.0
106481459	0.0	0.0
26994	7857.0	8533.0
106481457	18.0	15.0
26995	2042.0	1828.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3303.0	5234.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	7.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3075.0	3955.0
106481467	0.0	0.0
106481464	1.0	1.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	12.0	13.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	7.0	60.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	14.0
403254	0.0	0.0
126070	417.0	332.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	6.0
106481437	0.0	0.0
26974	257.0	181.0
153657	68.0	23.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1753.0	1561.0
165631	566.0	277.0
106481436	2.0	0.0
26978	6.0	11.0
126075	1219.0	1425.0
106481439	0.0	0.0
403250	0.0	0.0
126074	267.0	224.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	2153.0	2776.0
106481444	22.0	17.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3018.0	3035.0
85354	0.0	0.0
85352	49.0	37.0
403241	5.0	1.0
344462	6.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	564.0	541.0
153643	130.0	24.0
403247	0.0	0.0
403248	0.0	0.0
26985	3248.0	2868.0
106481448	0.0	0.0
26986	27308.0	38704.0
126069	88.0	42.0
106481449	0.0	0.0
126068	881.0	952.0
106481446	0.0	0.0
26983	0.0	0.0
26984	758.0	848.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	47.0	16.0
106481455	0.0	0.0
85349	552.0	201.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	0.0
85347	0.0	0.0
26980	2.0	0.0
106481454	0.0	1.0
403238	0.0	0.0
85344	108.0	21.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	1.0
100873394	3.0	0.0
100873393	1.0	1.0
100873392	1.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3172.0	4027.0
100873390	0.0	0.0
728556	36.0	65.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	139.0	251.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	454.0	556.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	262.0	264.0
100873384	0.0	0.0
285601	24.0	82.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	442.0	524.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1036.0	718.0
222008	15.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	3702.0	3126.0
63904	0.0	0.0
106481430	1.0	3.0
163071	395.0	497.0
63906	720.0	834.0
106481433	0.0	0.0
63908	1022.0	893.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	10.0
285613	201.0	171.0
63920	465.0	312.0
63923	148.0	4.0
63922	592.0	935.0
728577	22.0	66.0
63925	2073.0	1671.0
63924	2.0	0.0
63916	2750.0	3878.0
63917	4104.0	4739.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	3.0
728564	0.0	2.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1573.0	1668.0
106481402	0.0	0.0
63931	1993.0	1614.0
106481403	0.0	0.0
63934	816.0	1064.0
728567	9.0	4.0
106481408	0.0	0.0
163088	5.0	8.0
63933	3743.0	3486.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3976.0	3889.0
163087	713.0	501.0
728568	490.0	417.0
106481407	8.0	3.0
3704	2501.0	2629.0
3705	3869.0	5231.0
63926	1181.0	1186.0
3706	21.0	30.0
63929	1034.0	816.0
3707	2507.0	1826.0
63928	0.0	12.0
3708	15317.0	1238.0
106481411	0.0	0.0
3709	2509.0	4195.0
106481412	0.0	0.0
106481410	1.0	1.0
3700	43.0	15.0
3702	842.0	163.0
3703	11131.0	8028.0
645506	0.0	0.0
151050	1762.0	2325.0
645520	0.0	0.0
63941	1872.0	2042.0
63940	1490.0	634.0
63943	534.0	311.0
728517	0.0	0.0
163033	638.0	1471.0
258010	4014.0	6248.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	10078.0	13955.0
100033804	0.0	0.0
3717	1204.0	811.0
100033805	0.0	0.0
3718	1513.0	1279.0
63939	952.0	964.0
100033806	0.0	0.0
100190799	9.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	122.0	155.0
3710	15938.0	29397.0
3712	12301.0	9880.0
3713	10.0	573.0
3714	1088.0	2128.0
63950	5.0	1.0
728505	0.0	1.0
63951	328.0	407.0
100033807	0.0	0.0
728501	29.0	36.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	32831.0	51720.0
100033814	0.0	0.0
3727	35266.0	20993.0
63948	30.0	0.0
100033815	0.0	0.0
222052	6.0	1.0
3728	19114.0	19160.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1224.0	1043.0
151056	226.0	130.0
3725	160350.0	45835.0
645528	4.0	4.0
728532	32.0	31.0
163059	482.0	390.0
728538	0.0	1.0
728537	287.0	273.0
63967	119.0	209.0
3737	80.0	40.0
3738	119.0	48.0
3739	2.0	0.0
645538	0.0	0.0
3730	2150.0	5419.0
3732	4284.0	3012.0
3734	0.0	0.0
3735	5591.0	5852.0
3736	63.0	1.0
63970	10.0	29.0
3750	187.0	195.0
63971	5141.0	4582.0
63974	0.0	0.0
163049	2737.0	2544.0
63973	1.0	8.0
63976	3501.0	674.0
222068	14710.0	15465.0
63978	0.0	0.0
63977	655.0	582.0
63979	460.0	619.0
728524	0.0	0.0
3748	1909.0	1919.0
163051	38.0	18.0
3749	565.0	550.0
163050	70.0	51.0
3741	64.0	6.0
645548	3.0	3.0
3743	0.0	0.0
3744	5.0	1.0
3745	61.0	3.0
3746	17.0	5.0
3747	0.0	0.0
285671	1768.0	908.0
285672	1532.0	1439.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	0.0	1.0
285676	127.0	239.0
3761	1.0	6.0
100128657	1.0	0.0
285679	2.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	208.0	1270.0
283008	12.0	5.0
3751	22.0	3.0
100873435	0.0	0.0
3752	198.0	44.0
100873434	0.0	0.0
3753	30.0	30.0
100873433	0.0	0.0
3754	16.0	33.0
100873432	0.0	0.0
3755	9.0	35.0
100873439	0.0	0.0
3756	7.0	11.0
100873438	0.0	0.0
3757	25.0	11.0
100873437	0.0	0.0
3758	514.0	70.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	133.0	60.0
3772	12877.0	20680.0
100861458	0.0	0.0
100861453	37.0	26.0
100861455	0.0	0.0
1107	13212.0	7015.0
1106	9666.0	10488.0
1105	2110.0	2651.0
1104	926.0	1824.0
100873429	0.0	0.0
1103	0.0	275.0
1102	2927.0	2243.0
1101	176.0	96.0
3762	1620.0	452.0
100873424	0.0	1.0
3763	4.0	2.0
100128640	148.0	103.0
100873423	0.0	0.0
3764	478.0	124.0
100873422	0.0	0.0
3765	7.0	1.0
100873421	2.0	0.0
3766	118.0	106.0
100873428	0.0	0.0
3767	542.0	301.0
100873427	0.0	0.0
3768	444.0	840.0
1109	0.0	0.0
100873426	1.0	0.0
1108	19679.0	23544.0
3769	163.0	11.0
100873425	0.0	1.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	15.0	5.0
100873453	0.0	0.0
3781	28.0	41.0
100873452	0.0	0.0
3782	615.0	275.0
100873451	0.0	0.0
3783	382.0	3268.0
100873450	0.0	0.0
1121	1974.0	2403.0
100861468	0.0	0.0
1120	394.0	549.0
100861469	0.0	0.0
1118	3247.0	1286.0
1117	1261.0	3336.0
1116	6394.0	22622.0
1114	155.0	10351.0
1113	1.0	2.0
1112	2468.0	3454.0
1111	287.0	544.0
3773	25460.0	59591.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	831.0	1630.0
100873455	0.0	0.0
3776	2625.0	717.0
100873454	0.0	0.0
3777	1076.0	2255.0
3778	250.0	195.0
3779	129.0	822.0
100873459	0.0	0.0
1119	2756.0	2297.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	83.0	559.0
100128628	10.0	4.0
3791	6786.0	1796.0
100873442	0.0	0.0
3792	98.0	16.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	14.0	2.0
1131	204.0	138.0
1130	2243.0	4011.0
100861476	1.0	0.0
1129	0.0	2.0
1128	13.0	1.0
1124	568.0	1296.0
1123	517.0	277.0
1122	921.0	820.0
100861470	0.0	0.0
3784	19508.0	6029.0
100873446	0.0	0.0
3785	9.0	2.0
100873445	0.0	0.0
3786	171.0	5005.0
100873444	0.0	0.0
3787	125.0	7.0
100873443	0.0	0.0
3788	7.0	1.0
100873449	11.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	209.0	185.0
100128618	3.0	2.0
728597	3.0	0.0
100128617	21.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	66.0	84.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	16.0	18.0
285634	2.0	1.0
1142	1.0	0.0
1141	8.0	6.0
285636	2184.0	2091.0
1140	1336.0	1352.0
728599	3.0	1.0
1139	52.0	25.0
1138	14.0	15.0
1137	475.0	5.0
100861485	0.0	0.0
1136	13.0	8.0
1135	3.0	1.0
1134	48.0	30.0
1133	15.0	2.0
3795	179.0	82.0
100873479	3.0	6.0
3796	1328.0	1268.0
100873478	0.0	0.0
3797	784.0	359.0
100873477	3.0	4.0
3798	78.0	18.0
100873476	0.0	0.0
3799	9844.0	13107.0
100873460	0.0	0.0
728586	7.0	12.0
285641	4.0	1.0
100873464	4.0	5.0
100873463	1.0	0.0
100873462	5.0	3.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2567.0	8607.0
1153	24962.0	23184.0
1152	26404.0	9525.0
285647	72.0	55.0
728589	21.0	24.0
728588	0.0	0.0
1149	6.0	2.0
1147	1730.0	1622.0
1146	2.0	1.0
1145	90.0	81.0
1144	1.0	5.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	1.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	577.0	882.0
1163	448.0	525.0
285659	0.0	0.0
1161	466.0	482.0
1160	403.0	336.0
1159	162.0	150.0
1158	10.0	9.0
1157	0.0	0.0
1155	2447.0	3346.0
550643	1950.0	2936.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2225.0	2839.0
1175	2209.0	2136.0
285668	11.0	3.0
1174	1588.0	3598.0
1173	13260.0	17174.0
550631	389.0	187.0
100873489	0.0	0.0
283014	22.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1419.0	15.0
1186	4825.0	5711.0
1185	1709.0	1942.0
1184	484.0	564.0
1183	1329.0	1450.0
1182	4903.0	4840.0
1181	441.0	424.0
440375	65.0	73.0
1180	4.0	9.0
1179	0.0	0.0
1178	0.0	1.0
283089	24.0	6.0
85495	0.0	0.0
85480	90.0	87.0
283080	1.0	0.0
1198	3680.0	3904.0
1197	2.0	0.0
1196	2589.0	3571.0
1195	9551.0	11933.0
440366	2.0	0.0
1193	3596.0	5867.0
1192	11480.0	17512.0
1191	155721.0	469380.0
1188	1407.0	72.0
283078	46.0	174.0
85486	3.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	307.0	39.0
440396	50.0	37.0
128609	0.0	0.0
128602	0.0	1.0
440387	2.0	0.0
128674	5.0	0.0
128676	0.0	1.0
114026	1.0	0.0
100861402	3.0	3.0
126014	429.0	461.0
440335	48.0	464.0
100128690	0.0	0.0
114034	1233.0	1144.0
126006	73.0	47.0
114036	279.0	45.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	59.0	286.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	2.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	1.0
100128678	2.0	2.0
100861429	0.0	0.0
128653	4.0	1.0
200728	242.0	542.0
440356	4.0	11.0
440354	70.0	80.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	6.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	55.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	127.0	165.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	159.0	95.0
200734	2805.0	3594.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	1.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	3672.0	3501.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	3.0
165530	28.0	56.0
85409	81.0	77.0
106481385	1.0	2.0
106481386	0.0	1.0
85416	1.0	2.0
106481383	4.0	3.0
85417	35.0	25.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	158.0	107.0
106481389	0.0	0.0
85415	851.0	1359.0
106481387	0.0	0.0
85413	8.0	5.0
106481388	4.0	8.0
645436	3.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	726.0	828.0
12	3.0	11.0
13	0.0	0.0
14	7466.0	6830.0
15	16.0	8.0
16	12223.0	12950.0
645455	21.0	19.0
18	6796.0	5480.0
19	2248.0	5254.0
128580	6.0	8.0
85407	111.0	32.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1631.0	1349.0
106481395	0.0	0.0
85403	1717.0	1594.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	12707.0	6910.0
106481390	0.0	0.0
21	8066.0	6444.0
106481391	0.0	0.0
22	1086.0	1569.0
153571	297.0	301.0
153572	205.0	333.0
23	4637.0	4239.0
24	53.0	146.0
25	9267.0	6590.0
26	56.0	122.0
27	1446.0	2169.0
28	12324.0	5655.0
29	3809.0	8191.0
153579	558.0	282.0
728615	1.0	0.0
728614	0.0	0.0
200765	327.0	222.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	14.0
102466518	2.0	1.0
102466516	17.0	15.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	3.0
106481361	0.0	0.0
85439	1134.0	1126.0
106481362	0.0	0.0
106481367	2.0	0.0
85437	2903.0	2730.0
106481368	0.0	0.0
106481365	1.0	0.0
728609	307.0	338.0
106481366	0.0	0.0
30	3200.0	4624.0
106481360	0.0	0.0
31	2838.0	3288.0
32	4719.0	1752.0
33	1664.0	4226.0
34	4147.0	2402.0
35	1779.0	1919.0
153562	4128.0	2839.0
36	2924.0	2126.0
37	18158.0	26148.0
38	5257.0	4017.0
440307	15.0	5.0
39	866.0	604.0
165545	10.0	12.0
106481369	0.0	0.0
728606	99.0	294.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	0.0	4.0
106481370	0.0	0.0
41	69.0	37.0
106481371	0.0	0.0
43	377.0	139.0
645486	1.0	0.0
47	7178.0	7195.0
48	4612.0	18372.0
49	9.0	23.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	5.0	3.0
106481340	0.0	0.0
85458	2002.0	1591.0
