id	def39b2b-d0f6-4f6d-a3d2-610d8b121d96	92e4e583-3efe-4144-9247-eaad758b0944
100873360	0.0	0.0
285540	327.0	288.0
100128705	3.0	4.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	0.0	3.0
1054	2744.0	1484.0
285547	0.0	0.0
1053	2.0	2.0
285548	0.0	0.0
1052	12324.0	23167.0
1051	6742.0	6576.0
728489	25.0	11.0
1050	857.0	423.0
100128707	0.0	0.0
1048	0.0	0.0
1047	11.0	3.0
1046	1.0	0.0
1045	0.0	0.0
100873369	8.0	9.0
100873368	0.0	0.0
100873367	1.0	2.0
100873366	0.0	0.0
105373877	4.0	2.0
1066	1182.0	85.0
1063	49.0	105.0
1062	80.0	53.0
1061	12.0	6.0
1060	2409.0	2246.0
440253	478.0	458.0
1059	4965.0	4215.0
1058	12.0	9.0
1057	0.0	1.0
85379	9933.0	15870.0
114112	752.0	755.0
1056	43.0	22.0
85377	3212.0	3498.0
85378	5140.0	6087.0
128745	0.0	2.0
85376	13.0	19.0
440248	791.0	588.0
1075	3356.0	3728.0
1074	13.0	33.0
1073	4248.0	2219.0
1072	34118.0	29094.0
1071	289.0	496.0
440243	0.0	0.0
1070	1700.0	857.0
1069	7710.0	6326.0
1068	0.0	0.0
85369	2466.0	2400.0
85366	28.0	33.0
85364	2377.0	1707.0
85365	4566.0	3704.0
85363	2956.0	3358.0
85360	903.0	664.0
1080	48.0	14.0
85391	27.0	0.0
403296	0.0	0.0
403297	1.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	471.0	229.0
1087	0.0	0.0
1086	0.0	0.0
440279	339.0	268.0
1085	0.0	0.0
1084	3.0	3.0
440278	400.0	512.0
1082	0.0	0.0
403294	1.0	1.0
440275	5289.0	4734.0
1081	0.0	1.0
85397	3650.0	86.0
85395	477.0	462.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	1.0
1092	1.0	0.0
440270	7052.0	13815.0
1089	11.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	12.0	11.0
285598	302.0	112.0
126133	2026.0	2248.0
128790	1.0	0.0
126129	50.0	66.0
126123	15.0	1.0
442862	0.0	0.0
126119	1606.0	2171.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	1.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	149.0	15.0
442897	0.0	0.0
442898	5.0	3.0
114134	215.0	317.0
442899	0.0	0.0
100128790	0.0	0.0
128760	12.0	8.0
100128788	89.0	123.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	5.0
442890	0.0	0.0
442891	3.0	5.0
442892	0.0	1.0
128756	0.0	1.0
100128782	652.0	441.0
100128781	0.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	2.0
403234	0.0	1.0
403235	0.0	2.0
403236	0.0	0.0
63982	84.0	93.0
102466616	0.0	0.0
126052	1.0	0.0
151009	85.0	119.0
403227	0.0	5.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	34.0	26.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	799.0	1169.0
107131122	2.0	1.0
138050	8041.0	8377.0
403219	0.0	0.0
151011	4929.0	3235.0
645587	2.0	11.0
165679	6.0	10.0
126037	21.0	19.0
114049	6194.0	5613.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	7.0	3.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	510.0	652.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	4906.0	3615.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	19.0	26.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	11.0	5.0
645598	0.0	0.0
163007	0.0	0.0
114038	1.0	2.0
645591	2.0	0.0
106481495	0.0	0.0
114041	83.0	58.0
106481496	0.0	0.0
114042	12.0	5.0
106481493	0.0	0.0
114043	47.0	120.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	204.0	153.0
126017	466.0	360.0
106481497	2.0	0.0
106481498	1.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	3767.0	2216.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	331.0	684.0
106481459	0.0	0.0
26994	12464.0	9372.0
106481457	4.0	7.0
26995	2643.0	2742.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	7.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1941.0	5543.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	1.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4268.0	3596.0
106481467	0.0	0.0
106481464	1.0	3.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	1.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	1.0
106481471	0.0	0.0
85329	4.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	21.0	14.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	583.0	530.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	5.0
106481437	0.0	0.0
26974	310.0	214.0
153657	149.0	203.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2953.0	2124.0
165631	57.0	74.0
106481436	0.0	1.0
26978	8.0	12.0
126075	1643.0	1762.0
106481439	0.0	0.0
403250	0.0	0.0
126074	348.0	353.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	3539.0	3142.0
106481444	18.0	52.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1374.0	3971.0
85354	0.0	0.0
85352	41.0	8.0
403241	4.0	8.0
344462	3.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	941.0	780.0
153643	214.0	130.0
403247	0.0	0.0
403248	0.0	0.0
26985	4313.0	3080.0
106481448	0.0	0.0
26986	22796.0	21611.0
126069	84.0	140.0
106481449	0.0	0.0
126068	829.0	1172.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1276.0	1096.0
106481447	0.0	0.0
106481451	4.0	3.0
106481452	1.0	1.0
106481450	1.0	1.0
114088	69.0	28.0
106481455	0.0	1.0
85349	853.0	85.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	1.0
85347	0.0	0.0
26980	0.0	2.0
106481454	0.0	2.0
403238	1.0	0.0
85344	105.0	28.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	1.0	0.0
100873394	0.0	0.0
100873393	0.0	4.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	1.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2727.0	3041.0
100873390	0.0	0.0
728556	42.0	54.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	253.0	576.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	624.0	460.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	14.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	440.0	405.0
100873384	0.0	0.0
285601	8.0	11.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	1.0	3.0
63910	129.0	323.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1268.0	1137.0
222008	10.0	0.0
106481428	1.0	0.0
106481429	1.0	4.0
63905	5150.0	4404.0
63904	0.0	0.0
106481430	0.0	1.0
163071	352.0	240.0
63906	801.0	982.0
106481433	0.0	0.0
63908	1417.0	1188.0
106481434	0.0	0.0
106481431	0.0	2.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	13.0
285613	173.0	165.0
63920	694.0	613.0
63923	44.0	37.0
63922	569.0	464.0
728577	32.0	8.0
63925	2405.0	2861.0
63924	3.0	3.0
63916	3422.0	3543.0
63917	5764.0	5812.0
106481400	0.0	0.0
106481401	0.0	1.0
728562	4.0	1.0
728564	4.0	7.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1996.0	1773.0
106481402	2.0	0.0
63931	3329.0	2715.0
106481403	0.0	0.0
63934	1263.0	782.0
728567	1.0	0.0
106481408	0.0	0.0
163088	7.0	3.0
63933	3187.0	3006.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5283.0	5347.0
163087	914.0	809.0
728568	1523.0	1132.0
106481407	4.0	11.0
3704	4879.0	4326.0
3705	3464.0	2838.0
63926	1691.0	2790.0
3706	7.0	22.0
63929	1287.0	1367.0
3707	1018.0	2125.0
63928	1.0	1.0
3708	24172.0	21062.0
106481411	0.0	0.0
3709	1714.0	4083.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	49.0	43.0
3702	128.0	90.0
3703	15285.0	18569.0
645506	0.0	0.0
151050	2838.0	3252.0
645520	0.0	0.0
63941	2033.0	2090.0
63940	327.0	383.0
63943	1017.0	561.0
728517	0.0	0.0
163033	1337.0	1258.0
258010	5682.0	4282.0
63947	0.0	1.0
63946	0.0	0.0
728513	5.0	0.0
100033803	0.0	0.0
3716	8162.0	8994.0
100033804	0.0	0.0
3717	918.0	736.0
100033805	0.0	0.0
3718	88.0	113.0
63939	953.0	929.0
100033806	0.0	0.0
100190799	4.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	166.0	352.0
3710	15310.0	21596.0
3712	26939.0	38532.0
3713	10.0	8.0
3714	461.0	1206.0
63950	3.0	3.0
728505	1.0	2.0
63951	444.0	306.0
100033807	0.0	0.0
728501	22.0	19.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	67306.0	29919.0
100033814	0.0	0.0
3727	72015.0	22737.0
63948	30.0	1.0
100033815	0.0	0.0
222052	0.0	0.0
3728	22042.0	25700.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	918.0	708.0
151056	750.0	377.0
3725	282483.0	52833.0
645528	1.0	0.0
728532	20.0	26.0
163059	548.0	716.0
728538	0.0	1.0
728537	343.0	387.0
63967	22.0	68.0
3737	46.0	1.0
3738	23.0	7.0
3739	1.0	0.0
645538	0.0	0.0
3730	2410.0	1807.0
3732	2971.0	2664.0
3734	0.0	0.0
3735	6915.0	5731.0
3736	114.0	0.0
63970	19.0	1.0
3750	185.0	196.0
63971	6744.0	9408.0
63974	0.0	0.0
163049	3539.0	2728.0
63973	0.0	0.0
63976	4137.0	3193.0
222068	19788.0	16800.0
63978	0.0	0.0
63977	623.0	740.0
63979	603.0	271.0
728524	0.0	0.0
3748	4053.0	6589.0
163051	36.0	51.0
3749	394.0	466.0
163050	85.0	91.0
3741	105.0	38.0
645548	5.0	14.0
3743	3.0	5.0
3744	1.0	0.0
3745	34.0	12.0
3746	8.0	18.0
3747	0.0	0.0
285671	2591.0	1216.0
285672	1812.0	1423.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3.0	2.0
285676	136.0	41.0
3761	7.0	1.0
100128657	1.0	0.0
285679	3.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	118.0	200.0
283008	9.0	8.0
3751	15.0	1.0
100873435	0.0	0.0
3752	112.0	17.0
100873434	0.0	0.0
3753	17.0	49.0
100873433	0.0	0.0
3754	12.0	9.0
100873432	0.0	0.0
3755	4.0	8.0
100873439	0.0	0.0
3756	13.0	9.0
100873438	0.0	0.0
3757	6.0	2.0
100873437	0.0	0.0
3758	65.0	24.0
100873436	0.0	0.0
100873420	2.0	2.0
3770	143.0	84.0
3772	7655.0	11979.0
100861458	0.0	0.0
100861453	14.0	55.0
100861455	0.0	0.0
1107	13103.0	19145.0
1106	10970.0	10900.0
1105	2650.0	2123.0
1104	916.0	1103.0
100873429	0.0	0.0
1103	1.0	0.0
1102	4383.0	3516.0
1101	182.0	274.0
3762	184.0	96.0
100873424	0.0	0.0
3763	4.0	7.0
100128640	172.0	178.0
100873423	0.0	0.0
3764	188.0	387.0
100873422	0.0	0.0
3765	1.0	6.0
100873421	0.0	5.0
3766	61.0	53.0
100873428	0.0	0.0
3767	245.0	1229.0
100873427	0.0	0.0
3768	98.0	47.0
1109	0.0	0.0
100873426	0.0	2.0
1108	19502.0	18001.0
3769	842.0	350.0
100873425	1.0	0.0
100128637	1.0	3.0
100128639	0.0	0.0
3780	5.0	3.0
100873453	0.0	0.0
3781	7.0	6.0
100873452	0.0	0.0
3782	232.0	497.0
100873451	0.0	0.0
3783	102.0	37.0
100873450	0.0	0.0
1121	2494.0	3092.0
100861468	0.0	0.0
1120	344.0	465.0
100861469	0.0	1.0
1118	1416.0	697.0
1117	935.0	936.0
1116	996.0	214.0
1114	169.0	35.0
1113	2.0	0.0
1112	1834.0	1597.0
1111	316.0	430.0
3773	30669.0	64544.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	916.0	1015.0
100873455	0.0	0.0
3776	1341.0	1561.0
100873454	0.0	0.0
3777	1463.0	2011.0
3778	157.0	74.0
3779	69.0	47.0
100873459	0.0	0.0
1119	5000.0	4117.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	102.0	88.0
100128628	14.0	7.0
3791	3349.0	4330.0
100873442	0.0	0.0
3792	44.0	39.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	8.0
1131	95.0	245.0
1130	2693.0	2570.0
100861476	0.0	0.0
1129	0.0	0.0
1128	6.0	1.0
1124	1162.0	1366.0
1123	742.0	527.0
1122	1388.0	611.0
100861470	0.0	0.0
3784	18862.0	15365.0
100873446	0.0	0.0
3785	2.0	0.0
100873445	0.0	0.0
3786	78.0	234.0
100873444	0.0	0.0
3787	21.0	13.0
100873443	0.0	0.0
3788	1.0	3.0
100873449	14.0	45.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	387.0	282.0
100128618	1.0	0.0
728597	5.0	0.0
100128617	12.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	46.0	18.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	18.0	22.0
285634	5.0	3.0
1142	0.0	0.0
1141	12.0	4.0
285636	2860.0	2608.0
1140	2000.0	2258.0
728599	2.0	4.0
1139	153.0	197.0
1138	15.0	10.0
1137	226.0	10.0
100861485	0.0	0.0
1136	3.0	0.0
1135	2.0	1.0
1134	8.0	5.0
1133	10.0	12.0
3795	92.0	55.0
100873479	6.0	16.0
3796	1492.0	1214.0
100873478	1.0	1.0
3797	967.0	417.0
100873477	1.0	5.0
3798	467.0	479.0
100873476	0.0	0.0
3799	13983.0	10987.0
100873460	0.0	0.0
728586	16.0	27.0
285641	0.0	0.0
100873464	2.0	13.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2776.0	19226.0
1153	38447.0	35037.0
1152	20965.0	20771.0
285647	99.0	47.0
728589	13.0	11.0
728588	0.0	0.0
1149	10.0	0.0
1147	2292.0	1642.0
1146	4.0	0.0
1145	25.0	37.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	1.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	411.0	554.0
1163	503.0	468.0
285659	0.0	0.0
1161	612.0	631.0
1160	299.0	255.0
1159	209.0	173.0
1158	3.0	1.0
1157	0.0	0.0
1155	3126.0	3222.0
550643	3112.0	3421.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	1.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	4.0
100873483	0.0	0.0
1176	3163.0	3075.0
1175	2618.0	2478.0
285668	4.0	1.0
1174	2079.0	2664.0
1173	18394.0	14930.0
550631	693.0	551.0
100873489	0.0	0.0
283014	14.0	20.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1243.0	905.0
1186	5146.0	5275.0
1185	1931.0	1791.0
1184	740.0	801.0
1183	2190.0	1390.0
1182	7164.0	6391.0
1181	765.0	599.0
440375	61.0	68.0
1180	7.0	6.0
1179	0.0	0.0
1178	1.0	0.0
283089	45.0	39.0
85495	0.0	0.0
85480	98.0	12.0
283080	0.0	0.0
1198	4921.0	6035.0
1197	0.0	2.0
1196	3275.0	3965.0
1195	14443.0	11764.0
440366	0.0	4.0
1193	3771.0	4891.0
1192	12935.0	12794.0
1191	134343.0	95311.0
1188	3251.0	1446.0
283078	22.0	14.0
85486	2.0	6.0
128615	0.0	0.0
85481	1.0	0.0
128611	51.0	23.0
440396	47.0	118.0
128609	0.0	0.0
128602	0.0	0.0
440387	6.0	2.0
128674	0.0	0.0
128676	0.0	2.0
114026	0.0	0.0
100861402	5.0	3.0
126014	133.0	176.0
440335	5.0	44.0
100128690	0.0	0.0
114034	1827.0	1417.0
126006	82.0	88.0
114036	227.0	161.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	313.0	252.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	543.0	525.0
440356	4.0	2.0
440354	82.0	72.0
440352	0.0	1.0
100873419	1.0	0.0
100873418	0.0	1.0
100873413	1.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	33.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	186.0	191.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	118.0	103.0
200734	3100.0	4278.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	10.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	2.0
100128665	0.0	0.0
128637	4624.0	3833.0
100873406	0.0	0.0
100873405	3.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	2.0	8.0
165530	5.0	23.0
85409	28.0	28.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	2.0	8.0
85417	85.0	56.0
106481384	0.0	0.0
103106903	3.0	9.0
85414	74.0	52.0
106481389	0.0	0.0
85415	1223.0	1104.0
106481387	1.0	0.0
85413	3.0	1.0
106481388	5.0	17.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	893.0	692.0
12	13.0	1.0
13	6.0	2.0
14	9943.0	10488.0
15	28.0	36.0
16	15290.0	16655.0
645455	27.0	23.0
18	13133.0	7267.0
19	1201.0	2907.0
128580	4.0	2.0
85407	62.0	21.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2287.0	1727.0
106481395	0.0	1.0
85403	1880.0	1790.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	3.0
106481393	0.0	0.0
20	13345.0	7456.0
106481390	0.0	0.0
21	9748.0	8725.0
106481391	0.0	0.0
22	1173.0	1091.0
153571	32.0	20.0
153572	23.0	74.0
23	5537.0	5528.0
24	143.0	186.0
25	10878.0	10415.0
26	12.0	76.0
27	1707.0	1591.0
28	5701.0	7036.0
29	1516.0	3570.0
153579	526.0	1941.0
728615	1.0	0.0
728614	0.0	0.0
200765	408.0	403.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	50.0	50.0
102466518	0.0	0.0
102466516	12.0	53.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1676.0	1229.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	4263.0	3403.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	392.0	529.0
106481366	0.0	0.0
30	4667.0	5621.0
106481360	1.0	1.0
31	2689.0	4806.0
32	7503.0	4987.0
33	3751.0	3103.0
34	6891.0	3734.0
35	3338.0	3464.0
153562	6463.0	6012.0
36	3182.0	2826.0
37	32422.0	46049.0
38	5937.0	5674.0
440307	23.0	25.0
39	816.0	547.0
165545	6.0	2.0
106481369	0.0	0.0
728606	46.0	95.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	0.0	4.0
106481370	0.0	0.0
41	48.0	45.0
106481371	0.0	0.0
43	167.0	36.0
645486	0.0	1.0
47	7614.0	10800.0
48	3754.0	3763.0
49	6.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	2.0
106481341	0.0	0.0
106481342	2.0	0.0
106481340	0.0	0.0
85458	3464.0	2015.0
106481345	0.0	0.0
