id	0508b190-f00b-475b-ae8d-a26bae9fad64	836bdfad-44f9-4881-a59c-957ce06a7a7c
285550	1910.0	1207.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	17.0
3640	50.0	63.0
3638	1269.0	1966.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	813.0	2899.0
100873313	0.0	0.0
3632	1057.0	1211.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1093.0	1804.0
100873318	0.0	0.0
3635	2652.0	7925.0
100873317	0.0	0.0
3636	4798.0	7176.0
100128771	56.0	38.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	4.0	1.0
3651	0.0	0.0
1	24.0	28.0
2	23380.0	26373.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	43.0
3641	0.0	0.0
100873303	0.0	1.0
9	118.0	252.0
3642	8.0	33.0
100873302	0.0	0.0
3643	3352.0	2906.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	23.0
100873307	0.0	0.0
3646	14857.0	15467.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	25.0	54.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1563.0	3955.0
100873331	0.0	0.0
3661	6570.0	5796.0
100873330	4.0	2.0
285577	0.0	0.0
3662	1946.0	4275.0
100128756	0.0	0.0
1000	154.0	151.0
3652	621.0	809.0
100873336	2.0	1.0
100873335	1.0	0.0
100128750	530.0	120.0
3654	3575.0	4764.0
100873334	0.0	0.0
3655	1299.0	4072.0
100873333	0.0	0.0
3656	195.0	873.0
100873339	0.0	0.0
3658	1779.0	3230.0
100873338	0.0	0.0
3659	5660.0	12759.0
100873337	0.0	0.0
3670	0.0	0.0
100873321	0.0	0.0
3671	16811.0	7837.0
100873320	0.0	3.0
3672	1682.0	1917.0
285588	0.0	0.0
3673	174.0	8169.0
1011	0.0	0.0
1010	1.0	2.0
1008	0.0	0.0
1007	0.0	0.0
1006	8.0	14.0
1005	3.0	1.0
1004	234.0	3526.0
1003	1300.0	2483.0
1002	33.0	646.0
1001	237.0	2649.0
3663	1093.0	2555.0
100873325	0.0	0.0
3664	2708.0	3239.0
100873324	0.0	0.0
3665	2109.0	2637.0
100873323	0.0	0.0
100873322	1.0	0.0
3667	3212.0	2154.0
100873329	0.0	0.0
285590	535.0	1348.0
100873328	0.0	0.0
3669	8835.0	4324.0
