id	4ead28da-fe94-4379-b369-c1ceb4d1f2f0	253954ed-6f83-44ab-b6bc-694fec051c1d
285550	2322.0	2002.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	29.0	27.0
3640	1.0	64.0
3638	1008.0	480.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	711.0	1336.0
100873313	0.0	0.0
3632	1637.0	1557.0
100873312	0.0	1.0
100873311	0.0	1.0
3633	895.0	960.0
100873318	0.0	0.0
3635	261.0	480.0
100873317	0.0	1.0
3636	5603.0	7811.0
100128771	15.0	54.0
100873316	0.0	2.0
100873315	0.0	0.0
100128766	2.0	3.0
3651	0.0	0.0
1	1.0	17.0
2	12976.0	18066.0
100873309	0.0	0.0
100873308	0.0	0.0
3	8.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	165.0	265.0
3642	0.0	0.0
100873302	0.0	0.0
3643	2848.0	6107.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	0.0
100873307	0.0	0.0
3646	14339.0	21047.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	72.0	223.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1849.0	1660.0
100873331	0.0	0.0
3661	4586.0	7280.0
100873330	0.0	1.0
285577	0.0	0.0
3662	46.0	35.0
100128756	0.0	0.0
1000	426.0	4056.0
3652	520.0	646.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	262.0	72.0
3654	3058.0	2204.0
100873334	0.0	0.0
3655	1832.0	3182.0
100873333	0.0	0.0
3656	213.0	964.0
100873339	0.0	0.0
3658	2521.0	1701.0
100873338	0.0	0.0
3659	1301.0	882.0
100873337	0.0	0.0
3670	10.0	0.0
100873321	0.0	0.0
3671	17102.0	927.0
100873320	0.0	0.0
3672	2084.0	2886.0
285588	0.0	0.0
3673	292.0	1283.0
1011	0.0	0.0
1010	1.0	2.0
1008	1.0	0.0
1007	0.0	0.0
1006	8.0	1.0
1005	0.0	0.0
1004	100.0	558.0
1003	2345.0	3650.0
1002	25.0	600.0
1001	99.0	8802.0
3663	153.0	319.0
100873325	0.0	0.0
3664	3533.0	2834.0
100873324	0.0	0.0
3665	1434.0	3185.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	5825.0	2145.0
100873329	0.0	0.0
285590	586.0	2499.0
100873328	0.0	0.0
3669	2018.0	1444.0
100873327	0.0	0.0
1009	477.0	43.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	22.0
728477	9.0	1.0
3680	3902.0	1804.0
3681	10.0	22.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	934.0	1028.0
100873353	0.0	0.0
3683	243.0	300.0
100873352	0.0	0.0
128710	581.0	1082.0
3684	112.0	336.0
100873351	0.0	0.0
285512	93.0	156.0
1022	1162.0	1471.0
285513	223.0	225.0
1021	644.0	111.0
1020	1000.0	1318.0
440299	0.0	0.0
1019	3673.0	1275.0
128709	0.0	0.0
1018	31.0	60.0
1017	765.0	861.0
1016	0.0	1.0
1015	7.0	3.0
1014	19932.0	37.0
1013	0.0	49.0
1012	233.0	1220.0
116730	16.0	30.0
3674	322.0	395.0
100873358	0.0	0.0
3675	11609.0	18019.0
100873357	0.0	1.0
3676	39.0	50.0
100128731	9036.0	13061.0
100873356	0.0	0.0
3678	1541.0	2297.0
3679	694.0	908.0
100873359	0.0	0.0
728464	6.0	14.0
728463	12.0	8.0
100128725	0.0	0.0
3690	796.0	261.0
3691	1566.0	3423.0
100873343	0.0	0.0
3692	4382.0	4505.0
3693	4780.0	28508.0
285521	811.0	1497.0
100873342	0.0	0.0
3694	1068.0	810.0
100873341	0.0	0.0
3695	110.0	68.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	22.0	95.0
1032	283.0	276.0
285525	5.0	2.0
1031	676.0	554.0
285527	1395.0	1525.0
1030	30.0	155.0
728468	0.0	0.0
440288	75.0	47.0
1029	12.0	47.0
440295	83.0	145.0
1028	737.0	496.0
1027	3875.0	1671.0
1026	1356.0	18830.0
1025	3019.0	6449.0
1024	469.0	575.0
3685	6449.0	3965.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	88.0	1450.0
100873345	0.0	0.0
3688	4303.0	5087.0
100873344	0.0	1.0
3689	833.0	698.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	8.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	31.0	18.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	15.0	259.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	3.0
1043	480.0	200.0
1041	2.0	1.0
1040	3744.0	3305.0
1039	4675.0	1917.0
1038	0.0	0.0
1036	375.0	7.0
3696	176.0	300.0
3697	0.0	0.0
100873379	0.0	0.0
3698	10.0	6.0
100873378	0.0	3.0
3699	27.0	10.0
100873377	0.0	0.0
728486	2.0	2.0
100873361	0.0	0.0
105373869	0.0	1.0
100873360	0.0	0.0
285540	266.0	271.0
100128705	4.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	1.0	0.0
1054	2124.0	3417.0
285547	0.0	0.0
1053	4.0	5.0
285548	2.0	1.0
1052	1523.0	2053.0
1051	3121.0	4447.0
728489	20.0	37.0
1050	1151.0	428.0
100128707	0.0	1.0
1048	0.0	0.0
1047	13.0	1.0
1046	0.0	0.0
1045	0.0	0.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	1355.0	408.0
1063	70.0	357.0
1062	40.0	121.0
1061	0.0	0.0
1060	1502.0	826.0
440253	251.0	259.0
1059	7163.0	10201.0
1058	5.0	88.0
1057	1.0	0.0
85379	3760.0	2631.0
114112	652.0	515.0
1056	15.0	21.0
85377	1450.0	2068.0
85378	3504.0	5843.0
128745	0.0	0.0
85376	10.0	10.0
440248	349.0	891.0
1075	3788.0	6446.0
1074	5.0	2.0
1073	2091.0	1637.0
1072	28977.0	33904.0
1071	186.0	437.0
440243	0.0	0.0
1070	971.0	739.0
1069	8934.0	4864.0
1068	0.0	0.0
85369	1433.0	1301.0
85366	109.0	76.0
85364	2179.0	2286.0
85365	2445.0	3009.0
85363	1229.0	1340.0
85360	742.0	515.0
1080	11.0	1.0
85391	3.0	37.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	310.0	250.0
1087	1.0	0.0
1086	0.0	0.0
440279	109.0	13.0
1085	3.0	0.0
1084	4.0	8.0
440278	147.0	99.0
1082	0.0	0.0
403294	7.0	0.0
440275	2078.0	2068.0
1081	1.0	0.0
85397	1371.0	8.0
85395	642.0	508.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	4946.0	43492.0
1089	1.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	180.0	931.0
285598	179.0	209.0
126133	2122.0	1151.0
128790	0.0	0.0
126129	73.0	66.0
126123	7.0	2.0
442862	0.0	0.0
126119	2321.0	1851.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	2.0	1.0
114131	3.0	0.0
442896	0.0	0.0
114132	62.0	7.0
442897	0.0	0.0
442898	1.0	1.0
114134	116.0	291.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	7.0
100128788	104.0	65.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	3.0
442890	0.0	0.0
442891	0.0	1.0
442892	1.0	0.0
128756	0.0	0.0
100128782	432.0	396.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	35.0	64.0
102466616	0.0	0.0
126052	0.0	3.0
151009	73.0	61.0
403227	0.0	3.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	4.0	1.0
645572	0.0	0.0
645571	6.0	2.0
403223	4.0	5.0
403224	0.0	0.0
403226	0.0	0.0
200634	1158.0	2655.0
107131122	0.0	0.0
138050	4743.0	6913.0
403219	2.0	4.0
151011	1556.0	1139.0
645587	0.0	0.0
165679	0.0	2.0
126037	32.0	28.0
114049	6473.0	8044.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
