id	ff75b10b-fa8a-457f-96c6-219dfca27709	8372c003-e16d-4ca9-a54c-ed02149b4024
403235	0.0	0.0
403236	0.0	0.0
63982	49.0	38.0
102466616	0.0	0.0
126052	1.0	0.0
151009	45.0	45.0
403227	0.0	1.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	11.0	9.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	786.0	379.0
107131122	2.0	0.0
138050	7595.0	10125.0
403219	0.0	1.0
151011	4156.0	3727.0
645587	1.0	3.0
165679	14.0	5.0
126037	36.0	21.0
114049	5867.0	5040.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	19.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	863.0	607.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	5862.0	3486.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	150.0	237.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	11.0	148.0
645598	0.0	0.0
163007	3.0	12.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	2.0
114041	122.0	587.0
106481496	0.0	0.0
114042	5.0	3.0
106481493	0.0	0.0
114043	43.0	27.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	154.0	123.0
126017	189.0	334.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	3361.0	1594.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	518.0	475.0
106481459	0.0	0.0
26994	13322.0	11513.0
106481457	3.0	5.0
26995	1730.0	2034.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2934.0	5570.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	5.0	0.0
106481460	1.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3982.0	3169.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4.0	14.0
106481472	0.0	0.0
106481477	3.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	20.0	13.0
106481470	0.0	0.0
403252	0.0	0.0
403253	1.0	1.0
403254	0.0	0.0
126070	365.0	431.0
403255	0.0	0.0
403256	2.0	0.0
403257	0.0	0.0
344471	13.0	20.0
106481437	0.0	0.0
26974	161.0	201.0
153657	84.0	18.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2270.0	1732.0
165631	536.0	264.0
106481436	0.0	0.0
26978	3.0	13.0
126075	1406.0	1194.0
106481439	0.0	0.0
403250	0.0	0.0
126074	168.0	197.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3423.0	3327.0
106481444	13.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2982.0	1899.0
85354	0.0	0.0
85352	115.0	29.0
403241	3.0	1.0
344462	4.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	685.0	624.0
153643	82.0	26.0
403247	0.0	0.0
403248	0.0	0.0
26985	3271.0	3991.0
106481448	0.0	0.0
26986	31810.0	52246.0
126069	73.0	76.0
106481449	0.0	0.0
126068	505.0	808.0
106481446	0.0	0.0
26983	0.0	0.0
26984	970.0	922.0
106481447	0.0	0.0
106481451	1.0	7.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	85.0	6.0
106481455	0.0	0.0
85349	730.0	32.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	1.0
106481454	1.0	1.0
403238	0.0	0.0
85344	120.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	1.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	2173.0	4699.0
100873390	0.0	0.0
728556	58.0	102.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	86.0	115.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	499.0	486.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	326.0	250.0
100873384	0.0	0.0
285601	4.0	96.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	2.0	1.0
63910	491.0	396.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	853.0	759.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	1.0	1.0
63905	4635.0	3542.0
63904	0.0	0.0
106481430	3.0	0.0
163071	247.0	1398.0
63906	594.0	1038.0
106481433	0.0	0.0
63908	1070.0	920.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	7.0
285613	105.0	153.0
63920	326.0	529.0
63923	78.0	0.0
63922	783.0	722.0
728577	8.0	0.0
63925	2628.0	1542.0
63924	0.0	2.0
63916	2412.0	4019.0
63917	4422.0	4824.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	5.0
728564	4.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1459.0	1923.0
106481402	0.0	0.0
63931	2230.0	1750.0
106481403	0.0	1.0
63934	582.0	1183.0
728567	1.0	4.0
106481408	0.0	0.0
163088	7.0	7.0
63933	3273.0	4008.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4357.0	4078.0
163087	527.0	471.0
728568	931.0	674.0
106481407	10.0	9.0
3704	3893.0	3481.0
3705	3633.0	4307.0
63926	844.0	1108.0
3706	27.0	100.0
63929	986.0	918.0
3707	2710.0	2220.0
63928	0.0	1.0
3708	14849.0	1874.0
106481411	0.0	1.0
3709	2150.0	3709.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	44.0	16.0
3702	2939.0	856.0
3703	12627.0	11253.0
645506	0.0	1.0
151050	1961.0	2069.0
645520	0.0	0.0
63941	2131.0	1330.0
63940	1518.0	1259.0
63943	534.0	571.0
728517	0.0	0.0
163033	1058.0	1670.0
258010	4149.0	5163.0
63947	1.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	10107.0	14161.0
100033804	0.0	0.0
3717	1064.0	1174.0
100033805	0.0	0.0
3718	1344.0	2298.0
63939	411.0	1077.0
100033806	0.0	0.0
100190799	2.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	79.0	178.0
3710	14243.0	27081.0
3712	13437.0	10051.0
3713	0.0	229.0
3714	840.0	2172.0
63950	6.0	1.0
728505	2.0	1.0
63951	203.0	532.0
100033807	0.0	0.0
728501	52.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	41842.0	35799.0
100033814	0.0	0.0
3727	100376.0	25080.0
63948	4.0	1.0
100033815	0.0	0.0
222052	4.0	1.0
3728	28613.0	35542.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1089.0	1140.0
151056	259.0	150.0
3725	67525.0	37784.0
645528	4.0	0.0
728532	22.0	77.0
163059	425.0	493.0
728538	0.0	1.0
728537	294.0	154.0
63967	83.0	220.0
3737	38.0	14.0
3738	249.0	119.0
3739	1.0	0.0
645538	0.0	0.0
3730	1771.0	4860.0
3732	3742.0	4226.0
3734	0.0	0.0
3735	6485.0	9113.0
3736	107.0	1.0
63970	14.0	2.0
3750	199.0	217.0
63971	4595.0	6098.0
63974	0.0	0.0
163049	2775.0	2795.0
63973	1.0	3.0
63976	2996.0	906.0
222068	16907.0	17320.0
63978	0.0	0.0
63977	559.0	611.0
63979	242.0	466.0
728524	0.0	0.0
3748	2156.0	2643.0
163051	23.0	47.0
3749	517.0	348.0
163050	40.0	70.0
3741	56.0	28.0
645548	9.0	2.0
3743	1.0	6.0
3744	0.0	4.0
3745	31.0	6.0
3746	9.0	2.0
3747	0.0	0.0
285671	1806.0	1086.0
285672	1563.0	1791.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	4.0	6.0
285676	46.0	199.0
3761	1.0	1.0
100128657	0.0	0.0
285679	2.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	76.0	1302.0
283008	18.0	5.0
3751	29.0	5.0
100873435	0.0	0.0
3752	95.0	34.0
100873434	0.0	0.0
3753	21.0	64.0
100873433	0.0	0.0
3754	29.0	3.0
100873432	0.0	0.0
3755	23.0	4.0
100873439	0.0	0.0
3756	11.0	54.0
100873438	0.0	0.0
3757	25.0	16.0
100873437	0.0	0.0
3758	123.0	21.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	183.0	68.0
3772	8212.0	26131.0
100861458	0.0	0.0
100861453	16.0	23.0
100861455	0.0	0.0
1107	14022.0	6778.0
1106	18011.0	10241.0
1105	3217.0	2591.0
1104	1337.0	2692.0
100873429	0.0	0.0
1103	0.0	5.0
1102	2406.0	2205.0
1101	92.0	29.0
3762	432.0	125.0
100873424	0.0	0.0
3763	3.0	0.0
100128640	162.0	174.0
100873423	0.0	0.0
3764	436.0	121.0
100873422	0.0	0.0
3765	4.0	3.0
100873421	5.0	0.0
3766	61.0	23.0
100873428	0.0	0.0
3767	458.0	329.0
100873427	0.0	0.0
3768	205.0	638.0
1109	0.0	1.0
100873426	1.0	3.0
1108	17977.0	31190.0
3769	203.0	8.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	7.0	17.0
100873453	0.0	0.0
3781	13.0	10.0
100873452	0.0	0.0
3782	553.0	465.0
100873451	0.0	0.0
3783	408.0	5456.0
100873450	0.0	0.0
1121	1927.0	2286.0
100861468	0.0	0.0
1120	338.0	344.0
100861469	0.0	0.0
1118	653.0	27280.0
1117	1038.0	3397.0
1116	334.0	11710.0
1114	206.0	522.0
1113	1.0	2.0
1112	2725.0	4029.0
1111	285.0	853.0
3773	29206.0	34671.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1453.0	2715.0
100873455	0.0	0.0
3776	1790.0	81.0
100873454	0.0	0.0
3777	1861.0	1003.0
3778	202.0	278.0
3779	100.0	211.0
100873459	0.0	0.0
1119	5298.0	2243.0
100128627	1.0	0.0
100128626	15.0	0.0
3790	194.0	1554.0
100128628	13.0	15.0
3791	2826.0	1952.0
100873442	0.0	0.0
3792	108.0	24.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	3.0
1131	109.0	40.0
1130	2700.0	5673.0
100861476	0.0	1.0
1129	0.0	0.0
1128	0.0	0.0
1124	913.0	1875.0
1123	852.0	611.0
1122	1180.0	966.0
100861470	1.0	0.0
3784	12399.0	6316.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	0.0
3786	77.0	7334.0
100873444	0.0	0.0
3787	15.0	34.0
100873443	0.0	0.0
3788	5.0	1.0
100873449	8.0	5.0
100873448	0.0	0.0
100873447	1.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	380.0	380.0
100128618	0.0	2.0
728597	2.0	0.0
100128617	12.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	87.0	103.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	15.0	24.0
285634	6.0	8.0
1142	2.0	0.0
1141	10.0	6.0
285636	2051.0	2662.0
1140	1088.0	1114.0
728599	4.0	4.0
1139	120.0	68.0
1138	17.0	29.0
1137	368.0	1.0
100861485	0.0	0.0
1136	25.0	5.0
1135	0.0	1.0
1134	5.0	9.0
1133	8.0	2.0
3795	190.0	157.0
100873479	7.0	31.0
3796	1017.0	1807.0
100873478	0.0	0.0
3797	932.0	585.0
100873477	0.0	1.0
3798	200.0	27.0
100873476	0.0	0.0
3799	10932.0	14261.0
100873460	0.0	0.0
728586	12.0	10.0
285641	0.0	0.0
100873464	3.0	1.0
100873463	0.0	0.0
100873462	4.0	0.0
285643	0.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4616.0	6953.0
1153	26011.0	19018.0
1152	22390.0	8191.0
285647	44.0	13.0
728589	21.0	17.0
728588	1.0	0.0
1149	3.0	0.0
1147	1968.0	2033.0
1146	2.0	1.0
1145	76.0	68.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	455.0	1650.0
1163	611.0	843.0
285659	2.0	0.0
1161	381.0	462.0
1160	307.0	68.0
1159	102.0	80.0
1158	3.0	7.0
1157	0.0	0.0
1155	3616.0	5036.0
550643	2696.0	3716.0
283025	0.0	0.0
100873499	1.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3316.0	5876.0
1175	2221.0	2956.0
285668	4.0	2.0
1174	1753.0	4866.0
1173	16153.0	24587.0
550631	550.0	237.0
100873489	0.0	0.0
283014	13.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1163.0	23.0
1186	4282.0	5320.0
1185	1601.0	1326.0
1184	464.0	490.0
1183	1433.0	1068.0
1182	4799.0	5988.0
1181	492.0	384.0
440375	66.0	69.0
1180	6.0	5.0
1179	0.0	0.0
1178	0.0	1.0
283089	34.0	4.0
85495	0.0	0.0
85480	143.0	34.0
283080	0.0	0.0
1198	4694.0	3964.0
1197	3.0	1.0
1196	2200.0	3236.0
1195	13938.0	8995.0
440366	0.0	2.0
1193	6893.0	6042.0
1192	19825.0	26543.0
1191	177470.0	1140041.0
1188	3566.0	90.0
283078	77.0	183.0
85486	4.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	591.0	206.0
440396	50.0	38.0
128609	0.0	0.0
128602	0.0	0.0
440387	4.0	0.0
128674	6.0	1.0
128676	0.0	1.0
114026	0.0	1.0
100861402	4.0	4.0
126014	78.0	809.0
440335	9.0	4.0
100128690	0.0	0.0
114034	1269.0	1085.0
126006	56.0	24.0
114036	143.0	34.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	254.0	290.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	6.0	14.0
100861429	0.0	0.0
128653	0.0	0.0
200728	392.0	708.0
440356	3.0	2.0
440354	168.0	74.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	10.0	7.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	171.0	104.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	147.0	64.0
200734	3905.0	3703.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	10.0	8.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3291.0	3519.0
100873406	0.0	0.0
100873405	1.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	9.0	3.0
165530	30.0	20.0
85409	70.0	30.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	1.0	1.0
85417	45.0	35.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	94.0	71.0
106481389	0.0	0.0
85415	1226.0	1194.0
106481387	0.0	0.0
85413	3.0	18.0
106481388	2.0	2.0
645436	1.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	999.0	1010.0
12	7.0	0.0
13	19.0	0.0
14	8878.0	8287.0
15	34.0	12.0
16	13375.0	11304.0
645455	11.0	21.0
18	7247.0	4870.0
19	1922.0	4037.0
128580	3.0	9.0
85407	91.0	25.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	1.0	0.0
85406	1133.0	1572.0
106481395	1.0	1.0
85403	2001.0	2187.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	11093.0	5753.0
106481390	0.0	0.0
21	6371.0	6763.0
106481391	0.0	0.0
22	1285.0	1412.0
153571	156.0	3.0
153572	145.0	3.0
23	4374.0	4862.0
24	137.0	288.0
25	11387.0	11091.0
26	28.0	214.0
27	2124.0	2437.0
28	3083.0	2387.0
29	3494.0	9664.0
153579	909.0	180.0
728615	0.0	0.0
728614	0.0	0.0
200765	173.0	371.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	46.0	56.0
102466518	2.0	1.0
102466516	43.0	6.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1281.0	1153.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3039.0	3846.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	551.0	400.0
106481366	0.0	0.0
30	3697.0	4844.0
106481360	3.0	1.0
31	2125.0	2835.0
32	4359.0	944.0
33	1931.0	1708.0
34	4599.0	3091.0
35	2923.0	2180.0
153562	2697.0	3052.0
36	2375.0	1470.0
37	25722.0	21423.0
38	3944.0	3337.0
440307	14.0	11.0
39	674.0	846.0
165545	14.0	4.0
106481369	0.0	0.0
728606	261.0	216.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	0.0
106481370	0.0	0.0
41	28.0	56.0
106481371	0.0	0.0
43	263.0	201.0
645486	0.0	0.0
47	6413.0	8663.0
48	4064.0	7265.0
49	15.0	16.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	2.0	1.0
106481340	0.0	0.0
