id	2941c84e-71ef-4908-9980-1627a0cd780f	3ee9c2b1-54f2-422c-82c6-e6e32817acf9
285550	1263.0	1133.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	25.0	28.0
3640	9.0	23.0
3638	1493.0	2002.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1587.0	3773.0
100873313	0.0	0.0
3632	903.0	1791.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1131.0	2513.0
100873318	0.0	0.0
3635	3601.0	2428.0
100873317	0.0	0.0
3636	4662.0	7179.0
100128771	57.0	68.0
100873316	5.0	4.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	14.0	43.0
2	19538.0	43368.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	15.0
3641	0.0	0.0
100873303	0.0	1.0
9	187.0	152.0
3642	31.0	4.0
100873302	0.0	0.0
3643	3856.0	14776.0
100128764	0.0	2.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	14.0
100873307	0.0	0.0
3646	11965.0	15976.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	78.0	104.0
100873304	1.0	0.0
100873332	0.0	0.0
3660	2196.0	3488.0
100873331	0.0	0.0
3661	2309.0	5237.0
100873330	0.0	1.0
285577	1.0	1.0
3662	997.0	429.0
100128756	0.0	0.0
1000	368.0	2162.0
3652	928.0	1725.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	282.0	285.0
3654	3268.0	2611.0
100873334	0.0	0.0
3655	2640.0	8438.0
100873333	3.0	2.0
3656	315.0	1139.0
100873339	0.0	0.0
3658	3588.0	4465.0
100873338	0.0	0.0
3659	3283.0	7156.0
100873337	0.0	1.0
3670	12.0	11.0
100873321	0.0	0.0
3671	8033.0	17082.0
100873320	0.0	0.0
3672	2598.0	4252.0
285588	2.0	0.0
3673	407.0	6063.0
1011	0.0	0.0
1010	1.0	1.0
1008	1.0	2.0
1007	0.0	2.0
1006	2.0	53.0
1005	1.0	4.0
1004	225.0	2650.0
1003	2240.0	4648.0
1002	105.0	2307.0
1001	425.0	12133.0
3663	733.0	1320.0
100873325	0.0	0.0
3664	3220.0	5813.0
100873324	0.0	0.0
3665	1158.0	1282.0
100873323	1.0	0.0
100873322	1.0	0.0
3667	10636.0	4139.0
100873329	0.0	0.0
285590	1712.0	4840.0
100873328	0.0	0.0
3669	2645.0	1196.0
100873327	0.0	0.0
1009	697.0	5353.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	941.0
728477	5.0	14.0
3680	3082.0	14037.0
3681	104.0	42.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	918.0	844.0
100873353	0.0	0.0
3683	2867.0	1441.0
100873352	0.0	0.0
128710	512.0	760.0
3684	1031.0	1063.0
100873351	0.0	0.0
285512	92.0	112.0
1022	809.0	1761.0
285513	1693.0	807.0
1021	1084.0	1375.0
1020	497.0	862.0
440299	0.0	0.0
1019	2509.0	4376.0
128709	3.0	0.0
1018	15.0	44.0
1017	805.0	1724.0
1016	1.0	2.0
1015	4.0	15.0
1014	4954.0	56.0
1013	1.0	116.0
1012	155.0	2590.0
116730	27.0	7.0
3674	118.0	161.0
100873358	0.0	0.0
3675	10108.0	60718.0
100873357	0.0	0.0
3676	1273.0	654.0
100128731	4540.0	7286.0
100873356	0.0	0.0
3678	2572.0	6552.0
3679	560.0	3909.0
100873359	0.0	0.0
728464	29.0	13.0
728463	7.0	21.0
100128725	0.0	0.0
3690	1957.0	3002.0
3691	1380.0	11309.0
100873343	0.0	0.0
3692	3506.0	6057.0
3693	2365.0	8701.0
285521	759.0	1088.0
100873342	0.0	0.0
3694	525.0	2246.0
100873341	0.0	0.0
3695	426.0	191.0
100873340	0.0	1.0
100128723	0.0	1.0
1033	101.0	106.0
1032	297.0	404.0
285525	3.0	29.0
1031	491.0	1153.0
285527	2495.0	2990.0
1030	84.0	671.0
728468	0.0	0.0
440288	97.0	88.0
1029	54.0	217.0
440295	62.0	89.0
1028	378.0	1170.0
1027	4815.0	6068.0
1026	3607.0	20213.0
1025	2620.0	6865.0
1024	574.0	748.0
3685	9609.0	17453.0
100873347	1.0	0.0
100873346	2.0	0.0
3687	1510.0	1481.0
100873345	2.0	2.0
3688	7834.0	20930.0
100873344	0.0	0.0
3689	9141.0	7874.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	21.0	29.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	37.0	64.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	47.0	99.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	16.0	23.0
1043	3661.0	1521.0
1041	1.0	31.0
1040	2920.0	4198.0
1039	3815.0	2467.0
1038	2.0	2.0
1036	500.0	701.0
3696	1309.0	2310.0
3697	17.0	9.0
100873379	0.0	0.0
3698	7.0	13.0
100873378	4.0	1.0
3699	71.0	47.0
100873377	0.0	0.0
728486	7.0	15.0
100873361	0.0	0.0
105373869	1.0	188.0
100873360	0.0	0.0
285540	47.0	62.0
100128705	1.0	2.0
100873365	1.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	4.0
100873362	0.0	0.0
100128701	4.0	10.0
1054	1683.0	1905.0
285547	0.0	0.0
1053	11.0	6.0
285548	0.0	8.0
1052	3666.0	4199.0
1051	2298.0	3853.0
728489	6.0	13.0
1050	752.0	544.0
100128707	2.0	0.0
1048	173.0	1.0
1047	19.0	17.0
1046	0.0	0.0
1045	3.0	1.0
100873369	2.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	3.0
1066	562.0	232.0
1063	618.0	712.0
1062	295.0	217.0
1061	4.0	13.0
1060	1637.0	2294.0
440253	175.0	224.0
1059	4044.0	8293.0
1058	78.0	60.0
1057	2.0	2.0
85379	5855.0	4521.0
114112	400.0	496.0
1056	30.0	65.0
85377	2170.0	1692.0
85378	2582.0	2813.0
128745	0.0	0.0
85376	39.0	24.0
440248	348.0	585.0
1075	6230.0	35313.0
1074	10.0	19.0
1073	1580.0	3453.0
1072	22993.0	41361.0
1071	187.0	95.0
440243	0.0	0.0
1070	590.0	915.0
1069	3328.0	4711.0
1068	0.0	0.0
85369	1537.0	2521.0
85366	25.0	861.0
85364	1616.0	2660.0
85365	2146.0	2334.0
85363	1161.0	2118.0
85360	495.0	709.0
1080	15.0	7.0
85391	8.0	43.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	267.0	516.0
1087	0.0	1.0
1086	0.0	0.0
440279	248.0	57.0
1085	1.0	3.0
