id	731af067-9958-4967-b638-fc2a8a6bcf1f	527459cd-e8a6-44ce-850c-4fe2346059a7
285550	3446.0	1920.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	52.0	19.0
3640	1.0	10.0
3638	2171.0	1587.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1968.0	4946.0
100873313	0.0	0.0
3632	2775.0	1762.0
100873312	1.0	2.0
100873311	1.0	0.0
3633	1656.0	1516.0
100873318	0.0	0.0
3635	790.0	1100.0
100873317	0.0	0.0
3636	8770.0	6568.0
100128771	111.0	60.0
100873316	4.0	8.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	1.0	0.0
1	20.0	27.0
2	29774.0	45350.0
100873309	0.0	0.0
100873308	0.0	0.0
3	17.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	308.0	199.0
3642	2.0	0.0
100873302	1.0	0.0
3643	6500.0	12696.0
100128764	0.0	0.0
100873301	1.0	0.0
100873300	0.0	0.0
3645	3.0	5.0
100873307	0.0	0.0
3646	21033.0	27392.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	171.0	139.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3299.0	2970.0
100873331	0.0	0.0
3661	2606.0	6042.0
100873330	0.0	0.0
285577	2.0	0.0
3662	61.0	19.0
100128756	0.0	0.0
1000	2253.0	10698.0
3652	2022.0	1636.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	300.0	88.0
3654	3702.0	1952.0
100873334	0.0	0.0
3655	3784.0	8644.0
100873333	1.0	2.0
3656	357.0	164.0
100873339	0.0	0.0
3658	7740.0	3163.0
100873338	0.0	0.0
3659	2555.0	1805.0
100873337	1.0	0.0
3670	63.0	6.0
100873321	0.0	0.0
3671	25859.0	6302.0
100873320	0.0	0.0
3672	6692.0	6474.0
285588	4.0	0.0
3673	804.0	1185.0
1011	0.0	0.0
1010	1.0	2.0
1008	9.0	0.0
1007	1.0	0.0
1006	14.0	159.0
1005	1.0	2.0
1004	552.0	2223.0
1003	5962.0	5604.0
1002	191.0	12471.0
1001	438.0	14934.0
3663	250.0	1237.0
100873325	0.0	0.0
3664	6109.0	6426.0
100873324	0.0	0.0
3665	607.0	1479.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	16654.0	1911.0
100873329	0.0	0.0
285590	2797.0	1938.0
100873328	0.0	0.0
3669	797.0	1422.0
100873327	0.0	0.0
1009	1055.0	2772.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	22.0	4.0
3680	18817.0	10888.0
3681	3.0	1.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	924.0	448.0
100873353	0.0	0.0
3683	665.0	182.0
100873352	0.0	0.0
128710	1605.0	1299.0
3684	391.0	172.0
100873351	0.0	0.0
285512	204.0	150.0
1022	1488.0	2873.0
285513	408.0	493.0
1021	2381.0	606.0
1020	898.0	915.0
440299	0.0	0.0
1019	5450.0	5972.0
128709	0.0	0.0
1018	33.0	51.0
1017	975.0	1411.0
1016	0.0	1.0
1015	10.0	5.0
1014	15090.0	11.0
1013	18.0	194.0
1012	423.0	3769.0
116730	7.0	25.0
3674	314.0	186.0
100873358	0.0	0.0
3675	26248.0	32315.0
100873357	2.0	0.0
3676	270.0	300.0
100128731	7433.0	10427.0
100873356	0.0	0.0
