id	43f59329-24dd-44bf-aa97-887a2998ab81	b71f0911-510a-4382-a07f-661994646fc9
1038	3.0	3.0
1036	775.0	831.0
3696	1234.0	1418.0
3697	2.0	6.0
100873379	0.0	0.0
3698	25.0	39.0
100873378	4.0	1.0
3699	199.0	79.0
100873377	0.0	0.0
728486	8.0	17.0
100873361	0.0	0.0
105373869	0.0	63.0
100873360	1.0	0.0
285540	193.0	96.0
100128705	1.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	2007.0	1542.0
285547	0.0	2.0
1053	2.0	9.0
285548	0.0	4.0
1052	2768.0	3428.0
1051	2823.0	3133.0
728489	20.0	6.0
1050	795.0	810.0
100128707	0.0	0.0
1048	0.0	2.0
1047	23.0	24.0
1046	0.0	0.0
1045	0.0	1.0
100873369	11.0	2.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	8.0	1.0
1066	895.0	510.0
1063	45.0	385.0
1062	50.0	145.0
1061	2.0	3.0
1060	2792.0	1401.0
440253	483.0	230.0
1059	3974.0	4495.0
1058	1.0	37.0
1057	1.0	0.0
85379	11085.0	5042.0
114112	658.0	478.0
1056	31.0	21.0
85377	2622.0	1654.0
85378	5077.0	2807.0
128745	3.0	0.0
85376	74.0	49.0
440248	691.0	454.0
1075	2335.0	12015.0
1074	16.0	4.0
1073	2379.0	1232.0
1072	16932.0	26675.0
1071	162.0	118.0
440243	0.0	0.0
1070	969.0	794.0
1069	5811.0	3350.0
1068	0.0	0.0
85369	2060.0	1675.0
85366	41.0	57.0
85364	1944.0	1296.0
85365	2588.0	1947.0
85363	1254.0	1222.0
85360	816.0	742.0
1080	67.0	132.0
85391	9.0	3.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	4.0
153733	414.0	400.0
1087	2.0	4.0
1086	0.0	0.0
440279	192.0	56.0
1085	1.0	0.0
1084	1.0	23.0
440278	188.0	59.0
1082	0.0	1.0
403294	1.0	0.0
440275	3596.0	2517.0
1081	0.0	7.0
85397	2309.0	331.0
85395	361.0	274.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	10165.0	3496.0
1089	3.0	57.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	132.0	112.0
285598	541.0	414.0
126133	1119.0	941.0
128790	1.0	0.0
126129	82.0	233.0
126123	8.0	13.0
442862	0.0	0.0
126119	852.0	655.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	1.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	36.0	23.0
442897	0.0	0.0
442898	1.0	0.0
114134	277.0	418.0
442899	0.0	0.0
100128790	0.0	0.0
128760	14.0	5.0
100128788	107.0	49.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	10.0	7.0
442892	2.0	0.0
128756	0.0	0.0
100128782	340.0	188.0
100128781	3.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	4.0	3.0
403236	0.0	0.0
63982	64.0	36.0
102466616	0.0	0.0
126052	0.0	0.0
151009	122.0	103.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	13.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	785.0	263.0
107131122	1.0	1.0
138050	6769.0	6636.0
403219	0.0	0.0
151011	3656.0	2531.0
645587	5.0	1.0
165679	6.0	12.0
126037	24.0	25.0
114049	4162.0	3221.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	561.0	653.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2633.0	1898.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	258.0	188.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	19.0	298.0
645598	1.0	0.0
163007	9.0	5.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	0.0
114041	398.0	227.0
106481496	0.0	0.0
114042	14.0	5.0
106481493	0.0	0.0
114043	35.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	328.0	127.0
126017	444.0	308.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	2.0
85301	4305.0	1209.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	223.0	225.0
106481459	0.0	0.0
26994	7898.0	5773.0
106481457	15.0	7.0
26995	2007.0	1500.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	2.0	0.0
102466659	0.0	0.0
26999	2657.0	2412.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	4.0	0.0
106481460	2.0	5.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	1.0
26993	3330.0	2119.0
106481467	0.0	0.0
106481464	1.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	1.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	4.0	18.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	13.0	10.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	634.0	372.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	2.0
106481437	0.0	0.0
26974	476.0	201.0
153657	128.0	37.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1481.0	1017.0
165631	98.0	165.0
106481436	0.0	1.0
26978	4.0	4.0
126075	1151.0	796.0
106481439	0.0	0.0
403250	0.0	0.0
126074	280.0	183.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2136.0	1703.0
106481444	42.0	10.0
106481445	0.0	1.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1983.0	1667.0
85354	0.0	0.0
85352	42.0	225.0
403241	8.0	1.0
344462	0.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	783.0	390.0
153643	96.0	38.0
403247	0.0	0.0
403248	0.0	0.0
26985	2768.0	2230.0
106481448	0.0	0.0
26986	29625.0	28962.0
126069	139.0	87.0
106481449	0.0	0.0
126068	1512.0	635.0
106481446	0.0	0.0
26983	0.0	0.0
26984	918.0	720.0
106481447	0.0	0.0
106481451	3.0	2.0
106481452	0.0	0.0
106481450	2.0	0.0
114088	75.0	74.0
106481455	0.0	0.0
85349	255.0	120.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	34.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	2.0	0.0
100873393	0.0	1.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3411.0	2927.0
100873390	0.0	0.0
728556	32.0	26.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	185.0	85.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	589.0	375.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	218.0	136.0
100873384	0.0	0.0
285601	0.0	14.0
106481426	0.0	1.0
106481427	2.0	1.0
222005	0.0	0.0
63910	62.0	289.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	767.0	361.0
222008	34.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4097.0	2891.0
63904	0.0	0.0
106481430	1.0	0.0
163071	680.0	445.0
63906	684.0	701.0
106481433	0.0	0.0
63908	1361.0	762.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	9.0	5.0
285613	142.0	71.0
63920	645.0	458.0
63923	167.0	184.0
63922	578.0	329.0
728577	5.0	13.0
63925	1892.0	1204.0
63924	8.0	34.0
63916	2935.0	2349.0
63917	4493.0	3614.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	3.0
728564	3.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1537.0	1259.0
106481402	0.0	0.0
63931	2221.0	1361.0
106481403	1.0	0.0
63934	1511.0	731.0
728567	1.0	1.0
106481408	0.0	0.0
163088	5.0	6.0
63933	3388.0	1846.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4572.0	2879.0
163087	946.0	485.0
728568	416.0	336.0
106481407	5.0	6.0
3704	2184.0	1814.0
3705	3115.0	2236.0
63926	1119.0	514.0
3706	24.0	33.0
63929	1325.0	682.0
3707	1318.0	1649.0
63928	0.0	3.0
3708	15202.0	3613.0
106481411	1.0	0.0
3709	2135.0	2162.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	67.0	17.0
3702	156.0	183.0
3703	9978.0	6669.0
645506	0.0	0.0
151050	2075.0	1240.0
645520	0.0	0.0
63941	1531.0	884.0
63940	265.0	941.0
63943	680.0	412.0
728517	0.0	0.0
163033	655.0	423.0
258010	4362.0	2799.0
63947	0.0	0.0
63946	0.0	0.0
728513	11.0	3.0
100033803	0.0	0.0
3716	7993.0	9423.0
100033804	0.0	0.0
3717	954.0	797.0
100033805	0.0	0.0
3718	150.0	1145.0
63939	1243.0	951.0
100033806	0.0	0.0
100190799	3.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	163.0	96.0
3710	14859.0	12978.0
3712	16163.0	6298.0
3713	0.0	351.0
3714	946.0	897.0
63950	0.0	2.0
728505	0.0	0.0
63951	476.0	299.0
100033807	0.0	0.0
728501	40.0	37.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	27550.0	26435.0
100033814	0.0	0.0
3727	9277.0	9455.0
63948	27.0	3.0
100033815	0.0	0.0
222052	4.0	2.0
3728	15581.0	11570.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1091.0	880.0
151056	409.0	352.0
3725	84498.0	39547.0
645528	1.0	0.0
728532	40.0	25.0
163059	600.0	307.0
728538	0.0	0.0
728537	485.0	183.0
63967	7.0	87.0
3737	163.0	38.0
3738	84.0	48.0
3739	3.0	0.0
645538	0.0	0.0
3730	1651.0	2242.0
3732	2336.0	2012.0
3734	0.0	0.0
3735	5771.0	5205.0
3736	179.0	115.0
63970	7.0	5.0
3750	164.0	218.0
63971	6598.0	3923.0
63974	0.0	0.0
163049	3952.0	2094.0
63973	0.0	1.0
63976	3791.0	884.0
222068	14816.0	8149.0
63978	0.0	0.0
63977	688.0	489.0
63979	665.0	559.0
728524	0.0	0.0
3748	4490.0	2304.0
163051	47.0	42.0
3749	780.0	333.0
163050	72.0	39.0
3741	238.0	93.0
645548	3.0	9.0
3743	2.0	1.0
3744	0.0	0.0
3745	69.0	42.0
3746	13.0	10.0
3747	0.0	0.0
285671	2146.0	970.0
285672	1244.0	1018.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	12.0	3.0
285676	122.0	114.0
3761	1.0	1.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	155.0	1367.0
283008	0.0	4.0
3751	50.0	115.0
100873435	0.0	0.0
3752	151.0	282.0
100873434	0.0	0.0
3753	9.0	17.0
100873433	0.0	0.0
3754	9.0	9.0
100873432	0.0	0.0
3755	2.0	9.0
100873439	0.0	0.0
3756	13.0	25.0
100873438	0.0	0.0
3757	6.0	19.0
100873437	0.0	0.0
3758	33.0	63.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	148.0	72.0
3772	13131.0	10308.0
100861458	0.0	0.0
100861453	32.0	11.0
100861455	0.0	0.0
1107	13710.0	7782.0
1106	10870.0	6873.0
1105	2266.0	1959.0
1104	726.0	1246.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3735.0	2021.0
1101	447.0	81.0
3762	156.0	557.0
100873424	0.0	0.0
3763	0.0	32.0
100128640	201.0	112.0
100873423	0.0	0.0
3764	426.0	1004.0
100873422	0.0	0.0
3765	6.0	1.0
100873421	1.0	0.0
3766	130.0	38.0
100873428	0.0	0.0
3767	156.0	187.0
100873427	0.0	0.0
3768	605.0	873.0
1109	0.0	0.0
100873426	0.0	0.0
1108	18545.0	16417.0
3769	267.0	33.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	4.0	15.0
100873453	0.0	0.0
3781	15.0	25.0
100873452	0.0	0.0
3782	418.0	340.0
100873451	0.0	0.0
3783	57.0	2167.0
100873450	0.0	0.0
1121	2097.0	1485.0
100861468	0.0	0.0
1120	383.0	210.0
100861469	0.0	0.0
1118	31.0	1850.0
1117	230.0	1367.0
1116	121.0	15842.0
1114	50.0	996.0
1113	3.0	0.0
1112	2162.0	2333.0
1111	199.0	277.0
3773	17988.0	9009.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	551.0	648.0
100873455	0.0	0.0
3776	1405.0	277.0
100873454	1.0	0.0
3777	532.0	482.0
3778	481.0	598.0
3779	227.0	310.0
100873459	0.0	0.0
1119	4123.0	1933.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	217.0	858.0
100128628	5.0	6.0
3791	4421.0	2865.0
100873442	0.0	0.0
3792	45.0	18.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	4.0
1131	179.0	135.0
1130	2305.0	2777.0
100861476	1.0	1.0
1129	2.0	2.0
1128	18.0	2.0
1124	856.0	655.0
1123	532.0	861.0
1122	811.0	789.0
100861470	0.0	0.0
3784	10548.0	3659.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	0.0
3786	52.0	2112.0
100873444	0.0	0.0
3787	40.0	22.0
100873443	0.0	0.0
3788	2.0	62.0
100873449	23.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	197.0	176.0
100128618	0.0	0.0
728597	5.0	2.0
100128617	2.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	71.0	32.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	19.0	15.0
285634	5.0	2.0
1142	0.0	0.0
1141	11.0	4.0
285636	2596.0	1801.0
1140	1700.0	1138.0
728599	2.0	2.0
1139	115.0	26.0
1138	8.0	12.0
1137	262.0	55.0
100861485	0.0	0.0
1136	15.0	37.0
1135	0.0	1.0
1134	1.0	12.0
1133	11.0	4.0
3795	160.0	160.0
100873479	3.0	6.0
3796	1239.0	1082.0
100873478	0.0	0.0
3797	953.0	738.0
100873477	2.0	2.0
3798	517.0	136.0
100873476	0.0	0.0
3799	8765.0	6860.0
100873460	0.0	0.0
728586	9.0	10.0
285641	0.0	0.0
100873464	15.0	3.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	0.0	1.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	5315.0	3570.0
1153	39048.0	21195.0
1152	11042.0	3984.0
285647	90.0	12.0
728589	5.0	10.0
728588	0.0	0.0
1149	7.0	22.0
1147	1424.0	1123.0
1146	1.0	0.0
1145	12.0	39.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	2.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	1.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	66.0	685.0
1163	539.0	452.0
285659	0.0	0.0
1161	509.0	306.0
1160	286.0	145.0
1159	113.0	70.0
1158	2.0	8.0
1157	0.0	0.0
1155	1854.0	2106.0
550643	1952.0	1743.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	2.0	0.0
100873483	0.0	0.0
1176	2008.0	2658.0
1175	1679.0	2127.0
285668	12.0	4.0
1174	1231.0	1837.0
1173	13769.0	14576.0
550631	321.0	159.0
100873489	0.0	0.0
283014	23.0	11.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	1601.0	281.0
1186	4255.0	3079.0
1185	2068.0	1150.0
1184	641.0	402.0
1183	1865.0	885.0
1182	5175.0	3376.0
1181	497.0	227.0
440375	50.0	46.0
1180	14.0	6.0
1179	0.0	0.0
1178	1.0	19.0
283089	50.0	10.0
85495	0.0	0.0
85480	100.0	67.0
283080	0.0	0.0
1198	3499.0	2221.0
1197	6.0	2.0
1196	3025.0	2021.0
1195	7337.0	5735.0
440366	0.0	1.0
1193	2374.0	2851.0
1192	7596.0	13154.0
1191	145080.0	259328.0
1188	2216.0	430.0
283078	64.0	51.0
85486	3.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	57.0	77.0
440396	74.0	41.0
128609	0.0	0.0
128602	0.0	0.0
440387	2.0	4.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	2.0
126014	54.0	489.0
440335	10.0	7.0
100128690	0.0	0.0
114034	1106.0	768.0
126006	79.0	67.0
114036	203.0	87.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	44.0	33.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	10.0	1.0
100128678	1.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	365.0	312.0
440356	9.0	6.0
440354	75.0	96.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	4.0	1.0
128646	0.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	22.0	6.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	280.0	123.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	254.0	82.0
200734	2914.0	2204.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	2.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	3880.0	2760.0
100873406	0.0	0.0
100873405	5.0	2.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	9.0	3.0
165530	8.0	74.0
85409	5.0	248.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	1.0
85417	48.0	19.0
106481384	0.0	0.0
103106903	3.0	4.0
85414	131.0	310.0
106481389	0.0	0.0
85415	947.0	417.0
106481387	1.0	0.0
85413	0.0	11.0
106481388	10.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	970.0	857.0
12	3.0	27.0
13	33.0	4.0
14	7748.0	5140.0
15	14.0	11.0
16	9081.0	6023.0
645455	21.0	13.0
18	11985.0	3643.0
19	3120.0	3257.0
128580	7.0	9.0
85407	131.0	138.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1775.0	1136.0
106481395	1.0	0.0
85403	1292.0	1229.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8285.0	3930.0
106481390	0.0	0.0
21	5527.0	7140.0
106481391	0.0	0.0
22	1184.0	958.0
153571	103.0	176.0
153572	77.0	378.0
23	4271.0	3205.0
24	120.0	83.0
25	8237.0	6075.0
26	7.0	439.0
27	1549.0	1604.0
28	5791.0	2590.0
29	2258.0	5300.0
153579	934.0	219.0
728615	0.0	0.0
728614	0.0	0.0
200765	409.0	289.0
106481358	2.0	0.0
106481359	0.0	0.0
728611	50.0	60.0
102466518	3.0	0.0
102466516	29.0	12.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1395.0	895.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3144.0	2317.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	420.0	258.0
106481366	0.0	0.0
30	2674.0	2740.0
106481360	2.0	0.0
31	2421.0	1765.0
32	6329.0	1924.0
33	2194.0	1127.0
34	3676.0	1892.0
35	1916.0	903.0
153562	5067.0	1940.0
36	2903.0	1176.0
37	22238.0	14588.0
38	3645.0	2639.0
440307	12.0	10.0
39	661.0	609.0
165545	5.0	8.0
106481369	0.0	0.0
728606	129.0	93.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	2.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	1.0	6.0
106481370	0.0	0.0
41	66.0	118.0
106481371	0.0	0.0
43	305.0	105.0
645486	1.0	0.0
47	5689.0	4647.0
48	4538.0	3849.0
49	20.0	28.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	3.0	1.0
106481341	0.0	0.0
106481342	3.0	3.0
106481340	1.0	0.0
85458	3379.0	1577.0
106481345	0.0	0.0
85459	1188.0	662.0
106481346	0.0	0.0
85456	8992.0	8155.0
