id	fbf50366-35e2-4ac3-9603-92647d78a715	b7352a9b-9738-409f-911c-dd7e1c2d892f
285550	2143.0	1700.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	37.0	12.0
3640	1.0	63.0
3638	987.0	1139.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1024.0	1786.0
100873313	0.0	0.0
3632	1427.0	725.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1142.0	888.0
100873318	0.0	0.0
3635	329.0	616.0
100873317	0.0	0.0
3636	5664.0	4547.0
100128771	38.0	58.0
100873316	4.0	0.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	23.0	27.0
2	14732.0	15560.0
100873309	0.0	0.0
100873308	0.0	0.0
3	2.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	149.0	36.0
3642	1.0	3.0
100873302	0.0	0.0
3643	2855.0	4714.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	0.0	17.0
100873307	0.0	0.0
3646	11191.0	27065.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	80.0	42.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1340.0	1891.0
100873331	0.0	0.0
3661	2870.0	7261.0
100873330	0.0	0.0
285577	0.0	0.0
3662	10.0	85.0
100128756	0.0	0.0
1000	183.0	234.0
3652	978.0	739.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	520.0	259.0
3654	2629.0	2501.0
100873334	0.0	0.0
3655	1965.0	2330.0
100873333	1.0	0.0
3656	444.0	1309.0
100873339	1.0	0.0
3658	3793.0	1604.0
100873338	0.0	0.0
3659	596.0	3637.0
100873337	0.0	0.0
3670	23.0	7.0
100873321	0.0	0.0
3671	10741.0	30921.0
100873320	0.0	0.0
3672	3094.0	1250.0
285588	4.0	1.0
3673	349.0	11858.0
1011	0.0	0.0
1010	1.0	3.0
1008	2.0	1.0
1007	0.0	1.0
1006	6.0	10.0
1005	1.0	0.0
1004	221.0	4955.0
1003	3805.0	1410.0
1002	11.0	119.0
1001	70.0	8293.0
3663	207.0	2818.0
100873325	0.0	0.0
3664	4208.0	3490.0
100873324	0.0	0.0
3665	1052.0	3095.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9640.0	1458.0
100873329	0.0	0.0
285590	1399.0	2019.0
100873328	0.0	0.0
3669	1260.0	2274.0
100873327	0.0	0.0
1009	378.0	3620.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	141.0	3.0
728477	10.0	1.0
3680	3594.0	3281.0
3681	0.0	2.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	625.0	611.0
100873353	0.0	0.0
3683	108.0	452.0
100873352	0.0	0.0
128710	533.0	420.0
3684	127.0	1019.0
100873351	0.0	0.0
285512	60.0	44.0
1022	1165.0	3726.0
285513	182.0	209.0
1021	726.0	322.0
1020	820.0	2179.0
440299	0.0	0.0
1019	3404.0	5652.0
128709	2.0	1.0
1018	12.0	32.0
1017	706.0	1216.0
1016	0.0	1.0
1015	4.0	12.0
1014	8579.0	12.0
1013	18.0	134.0
1012	265.0	649.0
116730	23.0	29.0
3674	253.0	53.0
100873358	0.0	0.0
3675	10205.0	166696.0
100873357	0.0	0.0
3676	77.0	80.0
100128731	8357.0	13485.0
100873356	0.0	0.0
3678	2053.0	2356.0
3679	1422.0	1893.0
100873359	0.0	0.0
728464	43.0	3.0
728463	5.0	16.0
100128725	0.0	0.0
3690	1879.0	2318.0
3691	1190.0	15366.0
100873343	0.0	0.0
3692	5456.0	12404.0
3693	3391.0	7983.0
285521	825.0	857.0
100873342	0.0	0.0
3694	994.0	3566.0
100873341	0.0	0.0
3695	88.0	144.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	14.0	83.0
1032	162.0	426.0
285525	13.0	4.0
1031	443.0	528.0
285527	1703.0	1520.0
1030	110.0	2972.0
728468	2.0	4.0
440288	74.0	89.0
1029	15.0	3182.0
440295	95.0	62.0
1028	825.0	759.0
1027	4597.0	2981.0
1026	8611.0	13759.0
1025	2856.0	5258.0
1024	575.0	551.0
3685	10734.0	9547.0
100873347	0.0	0.0
100873346	1.0	0.0
3687	156.0	527.0
100873345	0.0	1.0
3688	9823.0	7317.0
100873344	2.0	0.0
3689	592.0	10136.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	27.0	16.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	59.0	53.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	19.0	557.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	13.0
1043	140.0	1591.0
1041	0.0	129.0
1040	4127.0	3370.0
1039	5525.0	2406.0
1038	1.0	0.0
1036	666.0	115.0
3696	781.0	3174.0
3697	1.0	2.0
100873379	0.0	0.0
3698	5.0	41.0
100873378	2.0	0.0
3699	114.0	11.0
100873377	0.0	0.0
728486	5.0	6.0
100873361	0.0	0.0
105373869	0.0	47.0
100873360	0.0	1.0
285540	185.0	93.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	3.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	2101.0	990.0
285547	0.0	0.0
1053	1.0	9.0
285548	0.0	6.0
1052	14398.0	5658.0
1051	8401.0	5691.0
728489	3.0	25.0
1050	348.0	218.0
100128707	1.0	2.0
1048	2.0	1.0
1047	7.0	37.0
1046	0.0	0.0
1045	1.0	1.0
100873369	2.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	556.0	423.0
1063	31.0	243.0
1062	39.0	63.0
1061	3.0	0.0
1060	2138.0	1011.0
440253	278.0	65.0
1059	4723.0	8323.0
1058	7.0	39.0
1057	0.0	0.0
85379	6222.0	1834.0
114112	563.0	466.0
1056	25.0	27.0
85377	1866.0	1796.0
85378	2856.0	2954.0
128745	0.0	0.0
85376	11.0	17.0
440248	515.0	244.0
1075	2604.0	83903.0
1074	5.0	17.0
1073	2526.0	1148.0
1072	23077.0	61806.0
1071	203.0	64.0
440243	0.0	0.0
1070	1255.0	2050.0
1069	5125.0	5486.0
1068	0.0	0.0
85369	1704.0	1496.0
85366	78.0	3.0
85364	2066.0	1214.0
85365	4083.0	2339.0
85363	1943.0	1218.0
85360	683.0	418.0
1080	6.0	78.0
85391	21.0	29.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	13.0
153733	304.0	387.0
1087	0.0	0.0
1086	0.0	16.0
440279	45.0	12.0
1085	0.0	167.0
1084	3.0	0.0
440278	391.0	121.0
1082	0.0	0.0
403294	0.0	0.0
440275	3083.0	1884.0
1081	0.0	6.0
85397	642.0	3.0
85395	506.0	1302.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
