id	a77ce22e-2de2-40d0-a02d-2da4135a891a	2703db89-10c9-4e4e-b5de-1dd8d98868a6
285550	2385.0	1649.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	57.0	22.0
3640	8.0	3.0
3638	1141.0	2303.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1132.0	1805.0
100873313	0.0	0.0
3632	1293.0	1724.0
100873312	6.0	0.0
100873311	0.0	0.0
3633	862.0	695.0
100873318	0.0	0.0
3635	1014.0	1697.0
100873317	0.0	0.0
3636	5594.0	14180.0
100128771	46.0	152.0
100873316	2.0	4.0
100873315	0.0	0.0
100128766	6.0	6.0
3651	0.0	1.0
1	22.0	5.0
2	26119.0	18486.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	6.0
3641	0.0	0.0
100873303	0.0	0.0
9	234.0	77.0
3642	7.0	0.0
100873302	0.0	0.0
3643	2999.0	7453.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	14.0
100873307	0.0	0.0
3646	14555.0	13225.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	121.0	70.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2576.0	1271.0
100873331	0.0	0.0
3661	3850.0	2117.0
100873330	0.0	0.0
285577	0.0	0.0
3662	187.0	57.0
100128756	0.0	0.0
1000	136.0	396.0
3652	630.0	957.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	260.0	272.0
3654	1337.0	9933.0
100873334	0.0	0.0
3655	1408.0	3308.0
100873333	0.0	1.0
3656	159.0	617.0
100873339	0.0	1.0
3658	1624.0	3541.0
100873338	0.0	0.0
3659	5110.0	888.0
100873337	0.0	10.0
3670	4.0	1.0
100873321	0.0	0.0
3671	14199.0	5717.0
100873320	0.0	0.0
3672	4304.0	3237.0
285588	0.0	0.0
3673	313.0	487.0
1011	0.0	0.0
1010	0.0	0.0
1008	1.0	1.0
1007	0.0	0.0
1006	9.0	23.0
1005	0.0	0.0
1004	562.0	515.0
1003	3457.0	2922.0
1002	49.0	1472.0
1001	163.0	267.0
3663	287.0	622.0
100873325	0.0	0.0
3664	4341.0	3540.0
100873324	0.0	0.0
3665	1782.0	448.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4748.0	13598.0
100873329	0.0	0.0
285590	772.0	2101.0
100873328	0.0	0.0
3669	1246.0	125.0
100873327	0.0	0.0
1009	926.0	17.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	8.0	1.0
728477	2.0	19.0
3680	5324.0	4471.0
3681	11.0	0.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	584.0	638.0
100873353	0.0	0.0
3683	1877.0	240.0
100873352	0.0	0.0
128710	847.0	1033.0
3684	348.0	310.0
100873351	0.0	0.0
285512	308.0	49.0
1022	1004.0	2084.0
285513	582.0	1265.0
1021	957.0	1497.0
1020	1018.0	1554.0
440299	0.0	0.0
1019	1563.0	6441.0
128709	1.0	1.0
1018	52.0	10.0
1017	519.0	895.0
1016	1.0	1.0
1015	5.0	10.0
1014	7206.0	387.0
1013	3.0	2.0
1012	368.0	1202.0
116730	25.0	35.0
3674	249.0	301.0
100873358	0.0	0.0
3675	13901.0	15312.0
100873357	3.0	1.0
3676	230.0	133.0
100128731	8964.0	4761.0
100873356	0.0	0.0
3678	1879.0	2601.0
3679	1052.0	1044.0
100873359	0.0	0.0
728464	38.0	126.0
728463	1.0	13.0
100128725	0.0	0.0
3690	735.0	2255.0
3691	1434.0	2387.0
100873343	0.0	0.0
3692	5848.0	6135.0
3693	3755.0	4261.0
285521	801.0	1489.0
100873342	0.0	0.0
3694	895.0	648.0
100873341	0.0	1.0
3695	130.0	37.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	66.0	46.0
1032	308.0	415.0
285525	11.0	10.0
1031	695.0	458.0
285527	1534.0	1765.0
1030	108.0	274.0
728468	0.0	0.0
440288	51.0	70.0
1029	59.0	22.0
440295	169.0	89.0
1028	1275.0	322.0
1027	3376.0	3822.0
1026	4503.0	26503.0
1025	3731.0	2237.0
1024	565.0	858.0
3685	4143.0	9218.0
100873347	3.0	6.0
100873346	0.0	18.0
3687	715.0	147.0
100873345	0.0	128.0
3688	4619.0	10603.0
100873344	0.0	7.0
3689	3953.0	943.0
100873349	0.0	3.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	12.0	0.0
100873370	0.0	0.0
728498	37.0	27.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	4.0	26.0
100873375	0.0	0.0
100128710	3.0	0.0
285533	27.0	45.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	11.0
1043	2176.0	65.0
1041	1.0	0.0
1040	2650.0	7093.0
1039	4838.0	4686.0
1038	0.0	0.0
1036	839.0	112.0
3696	712.0	2861.0
3697	0.0	0.0
100873379	0.0	0.0
3698	17.0	7.0
100873378	1.0	2.0
3699	145.0	24.0
100873377	0.0	0.0
728486	6.0	10.0
100873361	0.0	0.0
105373869	0.0	1.0
100873360	0.0	0.0
285540	230.0	184.0
100128705	9.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	5.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2220.0	7121.0
285547	0.0	0.0
1053	6.0	0.0
285548	11.0	0.0
1052	2975.0	1034.0
1051	3950.0	4217.0
728489	24.0	11.0
1050	741.0	589.0
100128707	0.0	0.0
1048	0.0	1.0
1047	12.0	68.0
1046	1.0	9.0
1045	0.0	0.0
100873369	3.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	4.0
1066	2382.0	1499.0
1063	100.0	79.0
1062	72.0	65.0
1061	6.0	3.0
1060	1056.0	1197.0
440253	227.0	170.0
1059	5790.0	11508.0
1058	15.0	9.0
1057	0.0	2.0
85379	3316.0	8469.0
114112	319.0	707.0
1056	41.0	48.0
85377	1418.0	4403.0
85378	4209.0	2621.0
128745	0.0	0.0
85376	2.0	17.0
440248	441.0	286.0
1075	3796.0	4406.0
1074	12.0	15.0
1073	2848.0	3020.0
1072	28597.0	24488.0
1071	648.0	258.0
440243	0.0	0.0
1070	718.0	899.0
1069	4889.0	5273.0
1068	0.0	0.0
85369	1221.0	1416.0
85366	20.0	3.0
85364	1874.0	2906.0
85365	2307.0	3657.0
85363	1423.0	1608.0
85360	983.0	596.0
1080	58.0	35.0
85391	13.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	2.0
153733	303.0	454.0
1087	7.0	1.0
1086	0.0	0.0
440279	50.0	22.0
1085	1.0	1.0
1084	4.0	3.0
440278	126.0	192.0
1082	0.0	0.0
403294	0.0	0.0
440275	2903.0	5207.0
1081	0.0	0.0
85397	475.0	168.0
85395	348.0	430.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	12347.0	1533.0
1089	14.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	29.0	14.0
285598	265.0	474.0
126133	1836.0	2770.0
128790	0.0	3.0
126129	127.0	34.0
126123	4.0	2.0
442862	0.0	0.0
