id	2cd8bee5-a0e5-4273-b37c-756f31610f9a	62ede239-075e-4192-a123-be054142f26d
126129	46.0	419.0
126123	6.0	4.0
442862	0.0	0.0
126119	1295.0	1222.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	3.0	0.0
114132	52.0	32.0
442897	0.0	0.0
442898	0.0	2.0
114134	386.0	942.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	2.0
100128788	104.0	134.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	2.0
442890	0.0	0.0
442891	2.0	3.0
442892	1.0	4.0
128756	0.0	0.0
100128782	893.0	612.0
100128781	4.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	0.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	172.0	100.0
102466616	0.0	0.0
126052	0.0	3.0
151009	42.0	34.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	41.0	23.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	999.0	1108.0
107131122	1.0	0.0
138050	9263.0	9321.0
403219	0.0	1.0
151011	4606.0	3843.0
645587	2.0	0.0
165679	3.0	17.0
126037	18.0	27.0
114049	5934.0	5507.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	5.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	758.0	471.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	6446.0	3650.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	161.0	253.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	4.0	3.0
645598	0.0	0.0
163007	0.0	6.0
114038	0.0	4.0
645591	0.0	0.0
106481495	0.0	1.0
114041	219.0	12.0
106481496	0.0	0.0
114042	5.0	10.0
106481493	0.0	0.0
114043	26.0	15.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	125.0	232.0
126017	533.0	344.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	1470.0	2198.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	317.0	118.0
106481459	0.0	0.0
26994	19105.0	12479.0
106481457	1.0	4.0
26995	2025.0	1952.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3346.0	6783.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	0.0
106481460	0.0	4.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3594.0	3504.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	2.0
106481471	0.0	0.0
85329	4.0	16.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	23.0	167.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	609.0	574.0
403255	0.0	1.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	6.0
106481437	0.0	0.0
26974	316.0	353.0
153657	104.0	43.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	4323.0	1114.0
165631	36.0	91.0
106481436	0.0	0.0
26978	6.0	18.0
126075	1137.0	1107.0
106481439	0.0	0.0
403250	0.0	0.0
126074	195.0	174.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3370.0	3893.0
106481444	6.0	15.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2225.0	3921.0
85354	0.0	0.0
85352	6.0	63.0
403241	13.0	2.0
344462	6.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1379.0	479.0
153643	269.0	83.0
403247	0.0	0.0
403248	0.0	0.0
26985	5144.0	3532.0
106481448	0.0	0.0
26986	44419.0	79419.0
126069	81.0	41.0
106481449	0.0	0.0
126068	409.0	1114.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1239.0	901.0
106481447	0.0	0.0
106481451	0.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	92.0	52.0
106481455	1.0	1.0
85349	443.0	311.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	9.0
106481454	0.0	1.0
403238	0.0	0.0
85344	143.0	27.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	1.0	1.0
100873391	0.0	2.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2587.0	5252.0
100873390	0.0	0.0
728556	41.0	32.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	208.0	168.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	540.0	459.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	12.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	575.0	445.0
100873384	0.0	0.0
285601	0.0	35.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	1.0
63910	35.0	337.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1326.0	517.0
222008	3.0	0.0
106481428	0.0	0.0
106481429	0.0	2.0
63905	6153.0	5320.0
63904	0.0	0.0
106481430	0.0	1.0
163071	343.0	422.0
63906	782.0	1026.0
106481433	0.0	0.0
63908	995.0	1102.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	13.0
285613	88.0	119.0
63920	628.0	316.0
63923	355.0	35.0
63922	368.0	590.0
728577	11.0	11.0
63925	1883.0	2220.0
63924	2.0	1.0
63916	3095.0	4063.0
63917	6794.0	7147.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	3.0
728564	4.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2513.0	2606.0
106481402	0.0	1.0
63931	2930.0	2173.0
106481403	0.0	0.0
63934	834.0	1420.0
728567	0.0	2.0
106481408	0.0	0.0
163088	7.0	6.0
63933	3425.0	2390.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5191.0	6057.0
163087	712.0	623.0
728568	662.0	409.0
106481407	16.0	7.0
3704	3649.0	3327.0
3705	5758.0	5659.0
63926	1554.0	567.0
3706	22.0	28.0
63929	1262.0	988.0
3707	1902.0	6685.0
63928	1.0	1.0
3708	19622.0	2338.0
106481411	0.0	0.0
3709	2464.0	6000.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	12.0	8.0
3702	85.0	488.0
3703	16483.0	11961.0
645506	0.0	0.0
151050	2934.0	2057.0
645520	0.0	0.0
63941	1643.0	1622.0
63940	251.0	1044.0
63943	1251.0	580.0
728517	0.0	0.0
163033	782.0	1718.0
258010	5896.0	4641.0
63947	1.0	0.0
63946	0.0	0.0
728513	5.0	0.0
100033803	0.0	0.0
3716	10141.0	17478.0
100033804	0.0	0.0
3717	1030.0	622.0
100033805	0.0	0.0
3718	99.0	2809.0
63939	520.0	823.0
100033806	0.0	1.0
100190799	1.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	103.0	277.0
3710	8982.0	24362.0
3712	27553.0	10652.0
3713	2.0	1225.0
3714	443.0	1706.0
63950	1.0	3.0
728505	4.0	4.0
63951	308.0	324.0
100033807	0.0	0.0
728501	16.0	21.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	25387.0	34769.0
100033814	0.0	0.0
3727	62204.0	33354.0
63948	53.0	1.0
100033815	0.0	0.0
222052	0.0	1.0
3728	48586.0	31960.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	727.0	1608.0
151056	309.0	199.0
3725	35038.0	33591.0
645528	0.0	3.0
728532	19.0	26.0
163059	858.0	1074.0
728538	0.0	1.0
728537	131.0	260.0
63967	32.0	46.0
3737	31.0	5.0
3738	14.0	38.0
3739	2.0	1.0
645538	0.0	0.0
3730	3594.0	6491.0
3732	2812.0	3811.0
3734	0.0	1.0
3735	8319.0	9753.0
3736	1645.0	60.0
63970	8.0	5.0
3750	110.0	319.0
63971	6822.0	7426.0
63974	0.0	0.0
163049	3979.0	3735.0
63973	0.0	0.0
63976	3225.0	2976.0
222068	21783.0	18012.0
63978	0.0	0.0
63977	379.0	611.0
63979	407.0	571.0
728524	0.0	0.0
3748	1645.0	3976.0
163051	51.0	56.0
3749	634.0	960.0
163050	45.0	88.0
3741	142.0	49.0
645548	3.0	6.0
3743	0.0	0.0
3744	0.0	1.0
3745	69.0	20.0
3746	9.0	8.0
3747	0.0	0.0
285671	3129.0	1894.0
285672	1942.0	1821.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	1.0	16.0
285676	83.0	186.0
3761	4.0	4.0
100128657	0.0	0.0
285679	6.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	156.0	2514.0
283008	20.0	8.0
3751	60.0	19.0
100873435	0.0	0.0
3752	126.0	84.0
100873434	0.0	0.0
3753	5.0	18.0
100873433	0.0	0.0
3754	12.0	15.0
100873432	0.0	0.0
3755	0.0	6.0
100873439	0.0	0.0
3756	14.0	31.0
100873438	0.0	0.0
3757	0.0	5.0
100873437	0.0	0.0
3758	34.0	18.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	135.0	129.0
3772	13069.0	13873.0
100861458	0.0	1.0
100861453	19.0	47.0
100861455	0.0	0.0
1107	16563.0	15150.0
1106	14484.0	18033.0
1105	3122.0	3858.0
1104	1368.0	1812.0
100873429	0.0	0.0
1103	0.0	1.0
1102	4489.0	2253.0
1101	37.0	157.0
3762	173.0	2276.0
100873424	0.0	0.0
3763	1.0	4.0
100128640	287.0	283.0
100873423	0.0	0.0
3764	437.0	351.0
100873422	0.0	0.0
3765	1.0	0.0
100873421	0.0	2.0
3766	54.0	34.0
100873428	0.0	0.0
3767	296.0	342.0
100873427	0.0	0.0
3768	148.0	161.0
1109	0.0	1.0
100873426	1.0	1.0
1108	25862.0	46079.0
3769	437.0	97.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	7.0	19.0
100873453	0.0	0.0
3781	4.0	4.0
100873452	1.0	0.0
3782	491.0	725.0
100873451	0.0	0.0
3783	26.0	2771.0
100873450	0.0	0.0
1121	2947.0	2577.0
100861468	0.0	1.0
1120	108.0	307.0
100861469	0.0	1.0
1118	148.0	3350.0
1117	833.0	2101.0
1116	233.0	10199.0
1114	193.0	795.0
1113	2.0	0.0
1112	3108.0	4172.0
1111	325.0	353.0
3773	74992.0	47310.0
100873457	0.0	3.0
100873456	0.0	0.0
3775	875.0	1450.0
100873455	0.0	0.0
3776	680.0	56.0
100873454	0.0	0.0
3777	958.0	1332.0
3778	193.0	381.0
3779	53.0	209.0
100873459	0.0	0.0
1119	4951.0	2533.0
100128627	2.0	2.0
100128626	0.0	1.0
3790	229.0	836.0
100128628	6.0	6.0
3791	5278.0	2710.0
100873442	0.0	0.0
3792	41.0	17.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	14.0
1131	204.0	407.0
1130	2257.0	3255.0
100861476	0.0	0.0
1129	1.0	0.0
1128	13.0	1.0
1124	1348.0	1936.0
1123	627.0	580.0
1122	2345.0	1054.0
100861470	0.0	0.0
3784	16043.0	6666.0
100873446	0.0	0.0
3785	2.0	5.0
100873445	0.0	1.0
3786	36.0	6440.0
100873444	0.0	0.0
3787	9.0	2.0
100873443	0.0	0.0
3788	4.0	33.0
100873449	0.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	188.0	214.0
100128618	0.0	0.0
728597	9.0	0.0
100128617	13.0	10.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	68.0	7.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	30.0	66.0
285634	8.0	3.0
1142	0.0	0.0
1141	17.0	9.0
285636	2719.0	2676.0
1140	1389.0	2307.0
728599	5.0	2.0
1139	115.0	24.0
1138	6.0	9.0
1137	306.0	174.0
100861485	0.0	0.0
1136	3.0	8.0
1135	0.0	4.0
1134	1.0	26.0
1133	8.0	7.0
3795	200.0	151.0
100873479	8.0	17.0
3796	1482.0	2019.0
100873478	0.0	0.0
3797	989.0	1101.0
100873477	0.0	3.0
3798	472.0	780.0
100873476	0.0	0.0
3799	15543.0	14482.0
100873460	0.0	0.0
728586	24.0	19.0
285641	1.0	0.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	0.0	6.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1907.0	7377.0
1153	39722.0	49197.0
1152	9497.0	3591.0
285647	69.0	22.0
728589	4.0	15.0
728588	0.0	0.0
1149	2.0	1.0
1147	2210.0	1414.0
1146	0.0	2.0
1145	20.0	238.0
1144	2.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	647.0	654.0
1163	573.0	645.0
285659	1.0	0.0
1161	509.0	404.0
1160	144.0	330.0
1159	75.0	27.0
1158	4.0	10.0
1157	0.0	0.0
1155	2645.0	4066.0
550643	3138.0	2885.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3895.0	3351.0
1175	2529.0	2770.0
285668	6.0	3.0
1174	1756.0	2989.0
1173	19136.0	26507.0
550631	634.0	551.0
100873489	0.0	0.0
283014	6.0	21.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	448.0	37.0
1186	4533.0	6426.0
1185	1174.0	1621.0
1184	629.0	530.0
1183	2603.0	1331.0
1182	7996.0	6368.0
1181	418.0	286.0
440375	63.0	98.0
1180	11.0	5.0
1179	1.0	0.0
1178	0.0	4.0
283089	52.0	16.0
85495	0.0	0.0
85480	178.0	27.0
283080	0.0	0.0
1198	3664.0	4505.0
1197	0.0	1.0
1196	1589.0	2374.0
1195	8882.0	5256.0
440366	0.0	1.0
1193	4446.0	2832.0
1192	15550.0	22785.0
1191	147116.0	950659.0
1188	6043.0	278.0
283078	81.0	5873.0
85486	5.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	70.0	95.0
440396	42.0	85.0
128609	0.0	0.0
128602	0.0	0.0
440387	7.0	5.0
128674	0.0	0.0
128676	1.0	1.0
114026	1.0	1.0
100861402	5.0	1.0
126014	38.0	366.0
440335	7.0	38.0
100128690	0.0	0.0
114034	1325.0	1279.0
126006	27.0	45.0
114036	192.0	89.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	123.0	102.0
100861412	0.0	2.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	491.0	358.0
440356	0.0	6.0
440354	56.0	58.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	18.0
100873410	0.0	0.0
100873417	3.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	121.0	220.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	74.0	127.0
200734	4514.0	5936.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	3.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4351.0	5014.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	3.0
165530	11.0	21.0
85409	14.0	22.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	0.0
85417	89.0	59.0
106481384	0.0	0.0
103106903	1.0	1.0
85414	91.0	126.0
106481389	0.0	0.0
85415	1719.0	664.0
106481387	0.0	0.0
85413	1.0	9.0
106481388	1.0	2.0
645436	0.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1133.0	1383.0
12	2.0	4.0
13	1.0	1.0
14	9732.0	9222.0
15	14.0	4.0
16	14158.0	9643.0
645455	41.0	27.0
18	17831.0	8306.0
19	3468.0	8300.0
128580	0.0	6.0
85407	54.0	197.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1675.0	2022.0
106481395	0.0	0.0
85403	2504.0	2685.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	2.0
106481393	0.0	0.0
20	16743.0	29206.0
106481390	0.0	0.0
21	9659.0	15731.0
106481391	0.0	0.0
22	1625.0	1961.0
153571	428.0	1545.0
153572	365.0	2537.0
23	6083.0	5323.0
24	174.0	242.0
25	16658.0	15820.0
26	33.0	365.0
27	2198.0	3485.0
28	6281.0	3981.0
29	1578.0	10084.0
153579	644.0	564.0
728615	1.0	0.0
728614	0.0	0.0
200765	223.0	334.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	124.0	136.0
102466518	0.0	2.0
102466516	15.0	8.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1485.0	593.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3137.0	2326.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	182.0	327.0
106481366	0.0	0.0
30	4007.0	5192.0
106481360	0.0	0.0
31	2902.0	3448.0
32	8178.0	2385.0
33	2264.0	817.0
34	6086.0	2488.0
35	2632.0	1526.0
153562	7254.0	3063.0
36	3215.0	1708.0
37	21809.0	23635.0
38	4379.0	2458.0
440307	13.0	8.0
39	766.0	507.0
165545	2.0	0.0
106481369	0.0	0.0
728606	112.0	162.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	1.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	1.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	2.0
106481370	0.0	0.0
41	32.0	84.0
106481371	0.0	0.0
43	306.0	123.0
645486	0.0	0.0
47	7631.0	8886.0
48	5843.0	6451.0
49	7.0	42.0
106481338	0.0	0.0
106481339	0.0	3.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	1.0	2.0
106481340	0.0	0.0
85458	3374.0	2364.0
