id	397a5439-ee3e-455f-a29e-249bbfbc8d9a	15885333-ff39-4d59-a2a5-1aec4aaf3e00
100873343	0.0	0.0
3692	7988.0	5949.0
3693	4564.0	5742.0
285521	1148.0	1055.0
100873342	0.0	0.0
3694	1160.0	871.0
100873341	0.0	0.0
3695	164.0	170.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	14.0	11.0
1032	172.0	164.0
285525	14.0	5.0
1031	419.0	1925.0
285527	3094.0	1700.0
1030	49.0	103.0
728468	0.0	0.0
440288	119.0	68.0
1029	35.0	17.0
440295	100.0	81.0
1028	755.0	302.0
1027	6157.0	3931.0
1026	2659.0	9273.0
1025	3269.0	3235.0
1024	768.0	617.0
3685	14431.0	9804.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	44.0	207.0
100873345	0.0	0.0
3688	11623.0	7420.0
100873344	0.0	0.0
3689	529.0	1075.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	66.0	37.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	58.0	31.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	25.0	34.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	1.0
1043	300.0	161.0
1041	1.0	6.0
1040	6846.0	5740.0
1039	8950.0	2147.0
1038	1.0	1.0
1036	296.0	68.0
3696	1181.0	157.0
3697	0.0	1.0
100873379	0.0	0.0
3698	21.0	7.0
100873378	2.0	0.0
3699	105.0	19.0
100873377	0.0	0.0
728486	10.0	8.0
100873361	0.0	0.0
105373869	0.0	2.0
100873360	0.0	0.0
285540	284.0	172.0
100128705	1.0	1.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	1876.0	1964.0
285547	0.0	0.0
1053	1.0	14.0
285548	0.0	0.0
1052	4570.0	4403.0
1051	3848.0	2656.0
728489	8.0	7.0
1050	235.0	646.0
100128707	0.0	0.0
1048	3.0	0.0
1047	11.0	12.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	323.0	948.0
1063	46.0	49.0
1062	40.0	24.0
1061	5.0	4.0
1060	2722.0	1914.0
440253	382.0	291.0
1059	7342.0	4731.0
1058	2.0	8.0
1057	1.0	1.0
85379	12124.0	4873.0
114112	941.0	447.0
1056	27.0	14.0
85377	3453.0	1951.0
85378	3528.0	3392.0
128745	0.0	0.0
85376	28.0	53.0
440248	658.0	385.0
1075	5226.0	7113.0
1074	9.0	4.0
1073	2750.0	2374.0
1072	30412.0	27832.0
1071	197.0	270.0
440243	0.0	0.0
1070	1172.0	611.0
1069	6818.0	5906.0
1068	0.0	0.0
85369	2137.0	1602.0
85366	23.0	48.0
85364	2869.0	1642.0
85365	4414.0	2509.0
85363	2345.0	1817.0
85360	988.0	622.0
1080	30.0	6.0
85391	13.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	427.0	188.0
1087	0.0	0.0
1086	0.0	0.0
440279	325.0	55.0
1085	0.0	0.0
1084	2.0	0.0
440278	357.0	237.0
1082	0.0	0.0
403294	2.0	0.0
440275	4353.0	3865.0
1081	0.0	0.0
85397	1995.0	438.0
85395	619.0	322.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1987.0	4885.0
1089	2.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	6.0	11.0
285598	389.0	144.0
126133	2575.0	1240.0
128790	0.0	0.0
126129	80.0	69.0
126123	2.0	0.0
442862	0.0	0.0
126119	1813.0	1526.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	270.0	30.0
442897	0.0	0.0
442898	2.0	0.0
114134	350.0	680.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	8.0
100128788	169.0	120.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	2.0
442890	0.0	0.0
442891	3.0	1.0
442892	2.0	0.0
128756	0.0	2.0
100128782	563.0	377.0
100128781	2.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	2.0
403234	1.0	1.0
403235	1.0	0.0
403236	0.0	0.0
63982	149.0	100.0
102466616	0.0	0.0
126052	0.0	0.0
151009	9.0	8.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	5.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	920.0	692.0
107131122	1.0	1.0
138050	10446.0	8185.0
403219	0.0	0.0
151011	4233.0	2199.0
645587	2.0	2.0
165679	8.0	7.0
126037	20.0	34.0
114049	6104.0	5590.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	1631.0	281.0
100033821	0.0	3.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3207.0	2145.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	121.0	108.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	6.0
645598	0.0	0.0
163007	0.0	1.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	176.0	12.0
106481496	0.0	0.0
114042	6.0	7.0
106481493	0.0	0.0
114043	44.0	22.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	208.0	141.0
126017	861.0	335.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	5.0
85301	1694.0	504.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	275.0	450.0
106481459	0.0	0.0
26994	9494.0	10480.0
106481457	3.0	5.0
26995	2859.0	2063.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1575.0	3553.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	1.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3082.0	2406.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	0.0	1.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	15.0	265.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	645.0	391.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	3.0
106481437	0.0	0.0
26974	664.0	240.0
153657	111.0	41.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1291.0	917.0
165631	14.0	22.0
106481436	0.0	0.0
26978	6.0	9.0
126075	1399.0	1574.0
106481439	0.0	0.0
403250	0.0	0.0
126074	415.0	344.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4540.0	3855.0
106481444	12.0	14.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1471.0	3066.0
85354	0.0	0.0
85352	18.0	5.0
403241	5.0	2.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1089.0	461.0
153643	102.0	149.0
403247	0.0	0.0
403248	0.0	0.0
26985	4409.0	2582.0
106481448	0.0	0.0
26986	30333.0	19336.0
126069	123.0	77.0
106481449	0.0	0.0
126068	1532.0	715.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1222.0	870.0
106481447	0.0	0.0
106481451	4.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	54.0	18.0
106481455	0.0	0.0
85349	140.0	79.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	1.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	41.0	15.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	1.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	2.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2263.0	2016.0
100873390	0.0	0.0
728556	28.0	27.0
106481419	1.0	1.0
100128817	0.0	0.0
728558	97.0	102.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	444.0	284.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	8.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	1.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	277.0	138.0
100873384	0.0	0.0
285601	4.0	8.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	1.0	1.0
63910	197.0	201.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	1192.0	673.0
222008	23.0	1.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	6128.0	5257.0
63904	0.0	0.0
106481430	0.0	1.0
163071	686.0	360.0
63906	1253.0	855.0
106481433	0.0	0.0
63908	1362.0	1035.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	1.0	0.0
285613	71.0	91.0
63920	935.0	523.0
63923	60.0	15.0
63922	525.0	200.0
728577	11.0	14.0
63925	2204.0	1412.0
63924	2.0	0.0
63916	3019.0	4416.0
63917	6279.0	4772.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	2.0
728564	4.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2253.0	1490.0
106481402	1.0	0.0
63931	3631.0	2107.0
106481403	0.0	0.0
63934	1363.0	568.0
728567	2.0	2.0
106481408	0.0	0.0
163088	3.0	7.0
63933	4351.0	4052.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6479.0	3589.0
163087	1270.0	603.0
728568	1270.0	1157.0
106481407	9.0	9.0
3704	4105.0	3564.0
3705	4629.0	3753.0
63926	1584.0	938.0
3706	35.0	40.0
63929	1571.0	757.0
3707	2380.0	2182.0
63928	1.0	0.0
3708	14312.0	8520.0
106481411	1.0	0.0
3709	2183.0	2336.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	23.0	15.0
3702	135.0	52.0
3703	20281.0	11436.0
645506	0.0	0.0
151050	2001.0	1122.0
645520	0.0	0.0
63941	1828.0	2190.0
63940	264.0	304.0
63943	1089.0	632.0
728517	0.0	0.0
163033	955.0	630.0
258010	4820.0	3766.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	2.0
100033803	0.0	0.0
3716	9110.0	7574.0
100033804	0.0	0.0
3717	731.0	432.0
100033805	0.0	0.0
3718	137.0	76.0
63939	1165.0	1379.0
100033806	0.0	0.0
100190799	1.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	183.0	119.0
3710	13144.0	13821.0
3712	19110.0	20359.0
3713	1.0	0.0
3714	718.0	1534.0
63950	0.0	3.0
728505	1.0	1.0
63951	627.0	442.0
100033807	0.0	0.0
728501	26.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9460.0	25665.0
100033814	0.0	0.0
3727	17717.0	13745.0
63948	26.0	13.0
100033815	0.0	0.0
222052	0.0	0.0
3728	33529.0	17095.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1407.0	1038.0
151056	177.0	77.0
3725	29607.0	53341.0
645528	1.0	0.0
728532	18.0	25.0
163059	786.0	469.0
728538	0.0	0.0
728537	164.0	148.0
63967	10.0	16.0
3737	7.0	41.0
3738	24.0	16.0
3739	2.0	0.0
645538	0.0	0.0
3730	1565.0	1546.0
3732	3964.0	2624.0
3734	0.0	0.0
3735	8793.0	5466.0
3736	300.0	6.0
63970	5.0	4.0
3750	114.0	74.0
63971	6404.0	5728.0
63974	0.0	0.0
163049	4246.0	2108.0
63973	0.0	2.0
63976	6035.0	1212.0
222068	19047.0	16529.0
63978	1.0	0.0
63977	677.0	369.0
63979	517.0	187.0
728524	0.0	0.0
3748	2178.0	2951.0
163051	119.0	70.0
3749	607.0	790.0
163050	82.0	55.0
3741	90.0	58.0
645548	4.0	3.0
3743	1.0	1.0
3744	0.0	0.0
3745	44.0	33.0
3746	13.0	21.0
3747	0.0	0.0
285671	2730.0	1437.0
285672	2309.0	1329.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	4.0
285676	131.0	92.0
3761	4.0	2.0
100128657	0.0	0.0
285679	4.0	16.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	95.0	216.0
283008	0.0	2.0
3751	43.0	4.0
100873435	0.0	0.0
3752	72.0	90.0
100873434	0.0	0.0
3753	3.0	4.0
100873433	0.0	0.0
3754	16.0	9.0
100873432	0.0	0.0
3755	1.0	2.0
100873439	0.0	0.0
3756	7.0	2.0
100873438	0.0	0.0
3757	1.0	1.0
100873437	0.0	0.0
3758	225.0	334.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	91.0	71.0
3772	17573.0	19144.0
100861458	0.0	0.0
100861453	24.0	21.0
100861455	0.0	0.0
1107	19644.0	7431.0
1106	10865.0	6970.0
1105	1831.0	1514.0
1104	979.0	690.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3678.0	1810.0
1101	147.0	47.0
3762	158.0	134.0
100873424	0.0	0.0
3763	2.0	1.0
100128640	231.0	89.0
100873423	0.0	0.0
3764	577.0	343.0
100873422	0.0	0.0
3765	3.0	8.0
100873421	0.0	2.0
3766	79.0	283.0
100873428	0.0	0.0
3767	377.0	805.0
100873427	0.0	0.0
3768	270.0	127.0
1109	0.0	0.0
100873426	2.0	0.0
1108	18743.0	19315.0
3769	522.0	26.0
100873425	0.0	1.0
100128637	1.0	1.0
100128639	0.0	1.0
3780	9.0	4.0
100873453	0.0	0.0
3781	31.0	41.0
100873452	0.0	0.0
3782	365.0	557.0
100873451	0.0	0.0
3783	16.0	27.0
100873450	0.0	0.0
1121	2162.0	1386.0
100861468	0.0	0.0
1120	210.0	216.0
100861469	0.0	0.0
1118	15.0	51.0
1117	1056.0	2121.0
1116	41.0	1111.0
1114	62.0	281.0
1113	31.0	2.0
1112	2676.0	978.0
1111	517.0	268.0
3773	30607.0	39852.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	740.0	1577.0
100873455	0.0	0.0
3776	1287.0	183.0
100873454	0.0	0.0
3777	985.0	3721.0
3778	63.0	217.0
3779	31.0	92.0
100873459	0.0	0.0
1119	3863.0	2777.0
100128627	0.0	0.0
100128626	8.0	0.0
3790	223.0	118.0
100128628	2.0	1.0
3791	6122.0	5531.0
100873442	0.0	0.0
3792	25.0	13.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	3.0
1131	263.0	534.0
1130	1924.0	1986.0
100861476	0.0	0.0
1129	0.0	0.0
1128	15.0	3.0
1124	1480.0	1485.0
1123	379.0	320.0
1122	1319.0	608.0
100861470	0.0	0.0
3784	20643.0	12112.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	37.0	861.0
100873444	0.0	0.0
3787	11.0	3.0
100873443	0.0	0.0
3788	2.0	0.0
100873449	8.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	348.0	159.0
100128618	0.0	0.0
728597	3.0	0.0
100128617	3.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	76.0	16.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	32.0	125.0
285634	3.0	0.0
1142	0.0	0.0
1141	9.0	8.0
285636	3473.0	1914.0
1140	1924.0	2797.0
728599	2.0	1.0
1139	158.0	59.0
1138	7.0	11.0
1137	318.0	24.0
100861485	0.0	0.0
1136	3.0	6.0
1135	1.0	0.0
1134	1.0	0.0
1133	3.0	4.0
3795	162.0	147.0
100873479	11.0	2.0
3796	1181.0	672.0
100873478	0.0	1.0
3797	509.0	266.0
100873477	1.0	0.0
3798	501.0	104.0
100873476	0.0	0.0
3799	8799.0	7768.0
100873460	0.0	0.0
728586	16.0	24.0
285641	0.0	2.0
100873464	4.0	2.0
100873463	0.0	1.0
100873462	1.0	1.0
285643	3.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4790.0	6116.0
1153	51439.0	31227.0
1152	23992.0	12152.0
285647	29.0	22.0
728589	3.0	2.0
728588	0.0	0.0
1149	0.0	0.0
1147	1721.0	1234.0
1146	0.0	0.0
1145	55.0	28.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	157.0	423.0
1163	652.0	479.0
285659	0.0	0.0
1161	784.0	491.0
1160	535.0	2746.0
1159	101.0	157.0
1158	2.0	1.0
1157	0.0	0.0
1155	3005.0	2067.0
550643	3315.0	2842.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	1.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	2766.0	1879.0
1175	3282.0	2752.0
285668	24.0	5.0
1174	2606.0	2431.0
1173	21180.0	15949.0
550631	481.0	508.0
100873489	0.0	0.0
283014	15.0	13.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	620.0	1658.0
1186	4752.0	4409.0
1185	1895.0	1110.0
1184	687.0	402.0
1183	2751.0	2164.0
1182	7703.0	4746.0
1181	572.0	289.0
440375	67.0	59.0
1180	6.0	6.0
1179	0.0	0.0
1178	0.0	1.0
283089	67.0	22.0
85495	0.0	0.0
85480	130.0	32.0
283080	0.0	0.0
1198	4250.0	3205.0
1197	3.0	2.0
1196	2584.0	1926.0
1195	6143.0	6365.0
440366	1.0	0.0
1193	4824.0	4854.0
1192	13131.0	15012.0
1191	174181.0	197751.0
1188	1134.0	329.0
283078	38.0	169.0
85486	3.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	59.0	11.0
440396	70.0	48.0
128609	0.0	0.0
128602	1.0	0.0
440387	10.0	3.0
128674	0.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	6.0	6.0
126014	16.0	59.0
440335	4.0	10.0
100128690	0.0	0.0
114034	1422.0	1127.0
126006	111.0	72.0
114036	369.0	385.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	72.0	33.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	0.0
100128678	2.0	4.0
100861429	0.0	0.0
128653	0.0	0.0
200728	566.0	385.0
440356	7.0	0.0
440354	151.0	103.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	12.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	332.0	253.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	125.0	95.0
200734	3262.0	3640.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	2.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4985.0	3685.0
100873406	0.0	0.0
100873405	2.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	10.0	5.0
165530	12.0	14.0
85409	27.0	45.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	0.0	0.0
85417	86.0	25.0
106481384	0.0	0.0
103106903	2.0	2.0
85414	116.0	43.0
106481389	0.0	0.0
85415	908.0	596.0
106481387	0.0	0.0
85413	4.0	1.0
106481388	0.0	1.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	1.0
106481380	1.0	0.0
11	0.0	0.0
403341	1196.0	657.0
12	0.0	0.0
13	5.0	0.0
14	12097.0	8305.0
15	11.0	18.0
16	16603.0	11831.0
645455	7.0	2.0
18	9002.0	9867.0
19	1839.0	2706.0
128580	5.0	6.0
85407	39.0	49.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2338.0	1161.0
106481395	0.0	0.0
85403	1886.0	1498.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	12906.0	8299.0
106481390	0.0	0.0
21	5989.0	4001.0
106481391	0.0	0.0
22	1343.0	892.0
153571	693.0	45.0
153572	369.0	31.0
23	5626.0	3197.0
24	108.0	29.0
25	13414.0	8968.0
26	4.0	29.0
27	1751.0	1242.0
28	6502.0	2629.0
29	1911.0	5082.0
153579	420.0	906.0
728615	1.0	0.0
728614	0.0	0.0
200765	433.0	356.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	38.0	38.0
102466518	0.0	0.0
102466516	31.0	10.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2813.0	407.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3588.0	2983.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	377.0	229.0
106481366	0.0	0.0
30	4728.0	5974.0
106481360	0.0	0.0
31	2656.0	1968.0
32	7749.0	2797.0
33	1407.0	955.0
34	5372.0	3899.0
35	2992.0	2417.0
153562	4569.0	2885.0
36	3529.0	2769.0
37	19800.0	26658.0
38	7081.0	6189.0
440307	13.0	11.0
39	1069.0	623.0
165545	3.0	3.0
106481369	0.0	0.0
728606	48.0	154.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	1.0
106481370	0.0	0.0
41	21.0	31.0
106481371	0.0	0.0
43	17.0	78.0
645486	0.0	0.0
47	6728.0	5339.0
48	5611.0	5540.0
49	5.0	21.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	4.0	1.0
106481341	0.0	0.0
106481342	0.0	0.0
106481340	0.0	0.0
85458	3447.0	1585.0
106481345	0.0	0.0
85459	1038.0	482.0
