id	dc7826af-618a-4607-9cf2-f5b2f6f15406	17915009-ea55-4f1d-b745-c6724a0d0060
1068	0.0	0.0
85369	2168.0	2455.0
85366	41.0	71.0
85364	3282.0	4222.0
85365	4593.0	3909.0
85363	2532.0	2076.0
85360	939.0	801.0
1080	37.0	21.0
85391	7.0	6.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	525.0	338.0
1087	0.0	0.0
1086	0.0	0.0
440279	179.0	140.0
1085	0.0	0.0
1084	3.0	1.0
440278	322.0	254.0
1082	0.0	0.0
403294	8.0	3.0
440275	6371.0	6312.0
1081	0.0	0.0
85397	3889.0	64.0
85395	590.0	544.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	5508.0	8429.0
1089	8.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	104.0	120.0
285598	394.0	320.0
126133	2281.0	1897.0
128790	1.0	0.0
126129	135.0	222.0
126123	12.0	6.0
442862	0.0	0.0
126119	1365.0	1593.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	131.0	34.0
442897	0.0	0.0
442898	1.0	2.0
114134	533.0	749.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	10.0
100128788	126.0	98.0
100128787	0.0	0.0
440225	1.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	5.0	6.0
442892	0.0	4.0
128756	0.0	0.0
100128782	651.0	468.0
100128781	9.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	137.0	220.0
102466616	0.0	0.0
126052	0.0	0.0
151009	187.0	213.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	5.0
645572	0.0	0.0
645571	8.0	0.0
403223	2.0	3.0
403224	2.0	0.0
403226	0.0	0.0
200634	1107.0	1875.0
107131122	0.0	0.0
138050	10374.0	9365.0
403219	0.0	0.0
151011	4111.0	2547.0
645587	2.0	0.0
165679	4.0	5.0
126037	22.0	29.0
114049	6808.0	8579.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	960.0	1054.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3993.0	3224.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	232.0	331.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	29.0	48.0
645598	0.0	0.0
163007	4.0	1.0
114038	0.0	1.0
645591	1.0	10.0
106481495	2.0	0.0
114041	145.0	11.0
106481496	0.0	0.0
114042	8.0	6.0
106481493	0.0	0.0
114043	34.0	103.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	306.0	222.0
126017	840.0	773.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	2.0
85301	3547.0	1011.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	2.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	675.0	1026.0
106481459	0.0	0.0
26994	14645.0	13987.0
106481457	13.0	6.0
26995	3248.0	3377.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	1.0	0.0
102466659	0.0	0.0
26999	2765.0	5923.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3815.0	4228.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	1.0	0.0
106481468	1.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	5.0	4.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	20.0	1391.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	761.0	664.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	7.0
106481437	0.0	0.0
26974	559.0	488.0
153657	119.0	58.0
106481438	2.0	0.0
106481435	0.0	0.0
26973	1817.0	1236.0
165631	49.0	68.0
106481436	2.0	0.0
26978	12.0	14.0
126075	1533.0	2290.0
106481439	0.0	0.0
403250	0.0	0.0
126074	360.0	486.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3683.0	4877.0
106481444	25.0	17.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2353.0	2228.0
85354	0.0	0.0
85352	15.0	61.0
403241	9.0	15.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	1163.0	654.0
153643	209.0	74.0
403247	0.0	0.0
403248	0.0	0.0
26985	4493.0	3604.0
106481448	0.0	0.0
26986	42238.0	60890.0
126069	168.0	113.0
106481449	0.0	0.0
126068	1617.0	1293.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1382.0	1617.0
106481447	0.0	0.0
106481451	6.0	0.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	64.0	47.0
106481455	1.0	1.0
85349	560.0	105.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	1.0
85347	0.0	0.0
26980	0.0	4.0
106481454	0.0	0.0
403238	0.0	1.0
85344	54.0	13.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	7.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	1.0	0.0
106481414	0.0	0.0
63901	3198.0	3175.0
100873390	0.0	1.0
728556	40.0	38.0
106481419	0.0	2.0
100128817	0.0	0.0
728558	184.0	142.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	870.0	600.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	442.0	201.0
100873384	0.0	0.0
285601	8.0	21.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	142.0	142.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	1692.0	784.0
222008	3.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	6165.0	7926.0
63904	0.0	0.0
106481430	0.0	3.0
163071	997.0	837.0
63906	1257.0	1764.0
106481433	0.0	0.0
63908	1419.0	1227.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	6.0	6.0
285613	83.0	80.0
63920	680.0	831.0
63923	326.0	454.0
63922	472.0	471.0
728577	46.0	30.0
63925	2440.0	2531.0
63924	7.0	2.0
63916	3683.0	5062.0
63917	7400.0	6996.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	8.0
728564	1.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2718.0	3049.0
106481402	0.0	0.0
63931	3640.0	2544.0
106481403	1.0	0.0
63934	1205.0	1054.0
728567	1.0	2.0
106481408	0.0	0.0
163088	13.0	10.0
63933	5350.0	4119.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6474.0	7422.0
163087	1456.0	1109.0
728568	1195.0	956.0
106481407	21.0	14.0
3704	3460.0	4252.0
3705	4385.0	5185.0
63926	2320.0	1382.0
3706	21.0	35.0
63929	1989.0	1253.0
3707	3618.0	4535.0
63928	2.0	4.0
3708	15432.0	9723.0
106481411	0.0	0.0
3709	3094.0	4071.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	25.0	17.0
3702	260.0	34.0
3703	18169.0	16112.0
645506	0.0	0.0
151050	2964.0	1873.0
645520	0.0	0.0
63941	2748.0	2091.0
63940	394.0	478.0
63943	1287.0	1263.0
728517	0.0	0.0
163033	909.0	1130.0
258010	7317.0	6595.0
63947	0.0	0.0
63946	0.0	1.0
728513	2.0	4.0
100033803	0.0	0.0
3716	12843.0	14002.0
100033804	0.0	0.0
3717	1164.0	587.0
100033805	0.0	0.0
3718	387.0	357.0
63939	1390.0	1521.0
100033806	0.0	0.0
100190799	2.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	216.0	275.0
3710	14387.0	15543.0
3712	24203.0	25768.0
3713	5.0	4.0
3714	828.0	1244.0
63950	3.0	1.0
728505	1.0	1.0
63951	842.0	595.0
100033807	0.0	0.0
728501	45.0	65.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	51879.0	20398.0
100033814	0.0	0.0
3727	32565.0	11800.0
63948	6.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	32049.0	28512.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1793.0	1323.0
151056	180.0	119.0
3725	178861.0	26641.0
645528	0.0	1.0
728532	36.0	26.0
163059	874.0	621.0
728538	1.0	0.0
728537	265.0	231.0
63967	17.0	40.0
3737	46.0	48.0
3738	42.0	14.0
3739	1.0	8.0
645538	0.0	0.0
3730	2856.0	2448.0
3732	4634.0	4442.0
3734	0.0	0.0
3735	9048.0	9900.0
3736	507.0	37.0
63970	3.0	0.0
3750	208.0	106.0
63971	8311.0	8268.0
63974	0.0	0.0
163049	4959.0	3987.0
63973	0.0	0.0
63976	6407.0	2756.0
222068	22991.0	27696.0
63978	0.0	0.0
63977	653.0	552.0
63979	813.0	539.0
728524	0.0	0.0
3748	3523.0	2939.0
163051	95.0	121.0
3749	779.0	1118.0
163050	132.0	81.0
3741	200.0	133.0
645548	13.0	10.0
3743	1.0	0.0
3744	0.0	0.0
3745	57.0	22.0
3746	13.0	24.0
3747	0.0	1.0
285671	3953.0	2067.0
285672	3052.0	2727.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	11.0
285676	165.0	177.0
3761	3.0	7.0
100128657	0.0	0.0
285679	5.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	237.0	1968.0
283008	0.0	1.0
3751	69.0	7.0
100873435	0.0	0.0
3752	143.0	149.0
100873434	0.0	0.0
3753	7.0	1.0
100873433	1.0	0.0
3754	3.0	8.0
100873432	0.0	0.0
3755	1.0	5.0
100873439	0.0	0.0
3756	16.0	13.0
100873438	0.0	0.0
3757	12.0	7.0
100873437	0.0	0.0
3758	144.0	8.0
100873436	0.0	0.0
100873420	4.0	4.0
3770	204.0	161.0
3772	14365.0	9803.0
100861458	1.0	0.0
100861453	39.0	22.0
100861455	0.0	0.0
1107	17536.0	13126.0
1106	12024.0	10485.0
1105	3148.0	2429.0
1104	1049.0	1492.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4264.0	2956.0
1101	75.0	69.0
3762	618.0	793.0
100873424	0.0	0.0
3763	0.0	2.0
100128640	302.0	291.0
100873423	0.0	0.0
3764	571.0	765.0
100873422	0.0	0.0
3765	3.0	5.0
100873421	1.0	0.0
3766	79.0	146.0
100873428	0.0	0.0
3767	616.0	2574.0
100873427	0.0	0.0
3768	214.0	114.0
1109	0.0	0.0
100873426	1.0	0.0
1108	26475.0	34701.0
3769	475.0	54.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	24.0	13.0
100873453	0.0	0.0
3781	60.0	30.0
100873452	0.0	0.0
3782	765.0	1058.0
100873451	0.0	0.0
3783	136.0	165.0
100873450	0.0	0.0
1121	2643.0	1839.0
100861468	0.0	0.0
1120	325.0	490.0
100861469	0.0	0.0
1118	455.0	425.0
1117	289.0	920.0
1116	1003.0	8661.0
1114	132.0	5133.0
1113	0.0	0.0
1112	3215.0	2663.0
1111	334.0	437.0
3773	64214.0	71749.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1266.0	2262.0
100873455	0.0	0.0
3776	2029.0	927.0
100873454	0.0	0.0
3777	1106.0	1348.0
3778	151.0	233.0
3779	77.0	109.0
100873459	0.0	0.0
1119	4453.0	3811.0
100128627	2.0	0.0
100128626	4.0	2.0
3790	185.0	170.0
100128628	10.0	0.0
3791	10220.0	7145.0
100873442	0.0	0.0
3792	23.0	11.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	6.0
1131	347.0	643.0
1130	2705.0	2269.0
100861476	3.0	0.0
1129	2.0	1.0
1128	9.0	6.0
1124	1578.0	2719.0
1123	484.0	553.0
1122	1568.0	1103.0
100861470	0.0	0.0
3784	22051.0	17862.0
100873446	0.0	0.0
3785	26.0	1.0
100873445	1.0	0.0
3786	302.0	617.0
100873444	0.0	0.0
3787	31.0	51.0
100873443	0.0	0.0
3788	4.0	1.0
100873449	3.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	480.0	324.0
100128618	2.0	0.0
728597	1.0	1.0
100128617	3.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	102.0	22.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	20.0	25.0
285634	2.0	2.0
1142	0.0	0.0
1141	14.0	6.0
285636	4182.0	3365.0
1140	2237.0	2306.0
728599	7.0	7.0
1139	164.0	54.0
1138	9.0	10.0
1137	843.0	74.0
100861485	0.0	0.0
1136	8.0	3.0
1135	1.0	7.0
1134	3.0	9.0
1133	9.0	14.0
3795	230.0	256.0
100873479	7.0	12.0
3796	1493.0	1017.0
100873478	0.0	0.0
3797	874.0	482.0
100873477	2.0	5.0
3798	483.0	151.0
100873476	0.0	0.0
3799	13641.0	11495.0
100873460	0.0	0.0
728586	28.0	29.0
285641	0.0	1.0
100873464	2.0	3.0
100873463	0.0	0.0
100873462	5.0	2.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	15381.0	12557.0
1153	54794.0	61200.0
1152	21665.0	12466.0
285647	75.0	21.0
728589	14.0	4.0
728588	0.0	0.0
1149	11.0	4.0
1147	2365.0	1589.0
1146	1.0	0.0
1145	30.0	38.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	1.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	295.0	894.0
1163	643.0	774.0
285659	0.0	0.0
1161	683.0	538.0
1160	400.0	804.0
1159	152.0	132.0
1158	4.0	0.0
1157	0.0	0.0
1155	2861.0	2916.0
550643	3091.0	3554.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2985.0	3486.0
1175	2304.0	3538.0
285668	19.0	1.0
1174	2167.0	3059.0
1173	22521.0	24774.0
550631	519.0	504.0
100873489	0.0	0.0
283014	34.0	42.0
100873488	0.0	0.0
100873487	1.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	497.0	103.0
1186	5215.0	7959.0
1185	2355.0	2302.0
1184	774.0	709.0
1183	2883.0	2690.0
1182	8449.0	6541.0
1181	646.0	392.0
440375	44.0	75.0
1180	6.0	2.0
1179	1.0	0.0
1178	0.0	0.0
283089	63.0	10.0
85495	0.0	0.0
85480	175.0	183.0
283080	0.0	1.0
1198	4887.0	5857.0
1197	1.0	1.0
1196	3122.0	3085.0
1195	8043.0	6647.0
440366	1.0	0.0
1193	3896.0	6314.0
1192	14403.0	20511.0
1191	185551.0	258787.0
1188	4217.0	465.0
283078	41.0	62.0
85486	4.0	8.0
128615	0.0	0.0
85481	0.0	0.0
128611	116.0	15.0
440396	110.0	66.0
128609	1.0	0.0
128602	1.0	1.0
440387	0.0	3.0
128674	0.0	0.0
128676	3.0	0.0
114026	0.0	0.0
100861402	1.0	5.0
126014	65.0	113.0
440335	19.0	8.0
100128690	0.0	0.0
114034	1872.0	1972.0
126006	54.0	134.0
114036	389.0	250.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	50.0	59.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	11.0	1.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	611.0	562.0
440356	10.0	14.0
440354	81.0	73.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	1.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	34.0
100873410	0.0	0.0
100873417	3.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	24.0	32.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	100.0	67.0
200734	4494.0	4904.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	2.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	5619.0	5974.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	0.0
645443	11.0	3.0
165530	17.0	14.0
85409	32.0	47.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	1.0
85417	106.0	51.0
106481384	0.0	0.0
103106903	4.0	0.0
85414	143.0	70.0
106481389	1.0	0.0
85415	1279.0	904.0
106481387	0.0	0.0
85413	0.0	0.0
106481388	5.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	1545.0	1481.0
12	9.0	5.0
13	10.0	0.0
14	10707.0	12264.0
15	17.0	11.0
16	16639.0	15755.0
645455	12.0	9.0
18	12257.0	12986.0
19	2913.0	4192.0
128580	4.0	12.0
85407	119.0	98.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	3096.0	2089.0
106481395	0.0	0.0
85403	2753.0	2621.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	1.0
106481393	0.0	0.0
20	17143.0	14017.0
106481390	0.0	0.0
21	11201.0	14156.0
106481391	0.0	0.0
22	1519.0	2006.0
153571	195.0	80.0
153572	183.0	80.0
23	5676.0	6328.0
24	104.0	82.0
25	15153.0	12579.0
26	73.0	191.0
27	1992.0	1837.0
28	13431.0	10068.0
29	2733.0	5753.0
153579	810.0	1079.0
728615	1.0	0.0
728614	0.0	0.0
200765	640.0	602.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	39.0	59.0
102466518	0.0	0.0
102466516	41.0	31.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	2987.0	495.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	4783.0	4291.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	482.0	398.0
106481366	0.0	0.0
30	4039.0	6385.0
106481360	1.0	0.0
31	3291.0	3803.0
32	7377.0	3793.0
33	2782.0	1877.0
34	5244.0	2988.0
35	2884.0	3423.0
153562	7389.0	6172.0
36	3782.0	2533.0
37	29332.0	32621.0
38	6531.0	7658.0
440307	25.0	20.0
39	876.0	734.0
165545	1.0	4.0
106481369	0.0	0.0
728606	404.0	820.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	1.0
106481370	0.0	0.0
41	59.0	77.0
106481371	0.0	0.0
43	57.0	69.0
645486	0.0	1.0
47	8020.0	7539.0
48	6158.0	17754.0
49	13.0	16.0
106481338	0.0	0.0
106481339	2.0	1.0
106481336	0.0	0.0
106481337	3.0	3.0
106481341	0.0	0.0
106481342	1.0	7.0
106481340	0.0	0.0
