id	5c719f53-3266-4057-b421-e31124030798	246bb185-8b59-47d9-be7d-b77a6085f0e8
100128731	7609.0	5608.0
100873356	0.0	0.0
3678	1794.0	3437.0
3679	662.0	8286.0
100873359	0.0	0.0
728464	47.0	19.0
728463	14.0	23.0
100128725	0.0	0.0
3690	3635.0	5753.0
3691	848.0	3858.0
100873343	0.0	0.0
3692	5131.0	3945.0
3693	5044.0	5737.0
285521	1334.0	1244.0
100873342	0.0	0.0
3694	932.0	1872.0
100873341	0.0	0.0
3695	130.0	190.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	24.0	42.0
1032	212.0	229.0
285525	11.0	8.0
1031	314.0	1110.0
285527	1896.0	4713.0
1030	188.0	355.0
728468	1.0	0.0
440288	82.0	95.0
1029	22.0	86.0
440295	118.0	78.0
1028	1391.0	510.0
1027	4515.0	5730.0
1026	5542.0	6885.0
1025	2934.0	5328.0
1024	686.0	583.0
3685	12342.0	23099.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	294.0	714.0
100873345	1.0	0.0
3688	10112.0	21847.0
100873344	3.0	0.0
3689	1103.0	2386.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	5.0
100873370	0.0	0.0
728498	64.0	72.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	85.0	67.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	27.0	21.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	1.0
1043	232.0	682.0
1041	0.0	54.0
1040	5097.0	8192.0
1039	5129.0	2474.0
1038	1.0	1.0
1036	686.0	877.0
3696	1378.0	7510.0
3697	1.0	0.0
100873379	0.0	0.0
3698	21.0	13.0
100873378	3.0	3.0
3699	51.0	38.0
100873377	0.0	0.0
728486	3.0	12.0
100873361	0.0	0.0
105373869	0.0	9.0
100873360	0.0	0.0
285540	100.0	99.0
100128705	1.0	1.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	2.0	3.0
1054	2707.0	1831.0
285547	0.0	0.0
1053	10.0	8.0
285548	0.0	5.0
1052	3979.0	3067.0
1051	2697.0	2633.0
728489	6.0	20.0
1050	983.0	663.0
100128707	0.0	0.0
1048	1.0	1.0
1047	162.0	11.0
1046	0.0	0.0
1045	1.0	0.0
100873369	6.0	15.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	4.0
1066	1857.0	974.0
1063	101.0	706.0
1062	62.0	112.0
1061	1.0	3.0
1060	2627.0	2714.0
440253	244.0	328.0
1059	7629.0	8403.0
1058	14.0	40.0
1057	0.0	1.0
85379	10102.0	8926.0
114112	598.0	886.0
1056	14.0	32.0
85377	3166.0	1929.0
85378	2895.0	3553.0
128745	1.0	0.0
85376	14.0	82.0
440248	463.0	599.0
1075	2694.0	5429.0
1074	4.0	29.0
1073	2636.0	2007.0
1072	23496.0	27042.0
1071	384.0	466.0
440243	0.0	0.0
1070	1130.0	827.0
1069	6377.0	4179.0
1068	0.0	0.0
85369	1500.0	3124.0
85366	12.0	38.0
85364	2439.0	2844.0
85365	5413.0	3425.0
85363	1920.0	2258.0
85360	798.0	899.0
1080	15.0	93.0
85391	5.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	324.0	312.0
1087	0.0	0.0
1086	0.0	0.0
440279	25.0	14.0
1085	1.0	4.0
1084	5.0	3.0
440278	297.0	323.0
1082	0.0	0.0
403294	0.0	0.0
440275	4144.0	5291.0
1081	0.0	0.0
85397	4099.0	63.0
85395	422.0	392.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2347.0	5377.0
1089	5.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	32.0	217.0
285598	336.0	683.0
126133	1714.0	1962.0
128790	2.0	1.0
126129	58.0	985.0
126123	14.0	16.0
442862	0.0	0.0
126119	1119.0	949.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	2.0
114131	0.0	0.0
442896	0.0	0.0
114132	62.0	8.0
442897	0.0	0.0
442898	2.0	4.0
114134	303.0	2457.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	6.0
100128788	59.0	51.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	6.0
442890	0.0	0.0
442891	3.0	16.0
442892	0.0	1.0
128756	2.0	0.0
100128782	432.0	401.0
100128781	2.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	51.0	102.0
102466616	0.0	0.0
126052	0.0	0.0
151009	88.0	120.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	23.0	17.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	989.0	861.0
107131122	0.0	1.0
138050	10419.0	12358.0
403219	0.0	0.0
151011	4111.0	6210.0
645587	0.0	7.0
165679	2.0	19.0
126037	52.0	21.0
114049	5169.0	5879.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	291.0	822.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3156.0	3587.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	252.0	290.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	16.0	198.0
645598	0.0	0.0
163007	1.0	25.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	105.0	7.0
106481496	0.0	0.0
114042	6.0	10.0
106481493	0.0	0.0
114043	26.0	10.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	136.0	266.0
126017	527.0	596.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	2.0
85301	1540.0	1853.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	503.0	297.0
106481459	0.0	0.0
26994	12404.0	14018.0
106481457	3.0	12.0
26995	2688.0	2704.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2697.0	3923.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2733.0	4229.0
106481467	0.0	0.0
106481464	0.0	2.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3.0	15.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8.0	14.0
106481470	0.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	836.0	808.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	2.0
106481437	0.0	0.0
26974	355.0	473.0
153657	80.0	49.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1273.0	1461.0
165631	24.0	33.0
106481436	0.0	0.0
26978	9.0	6.0
126075	1262.0	1134.0
106481439	0.0	0.0
403250	0.0	0.0
126074	245.0	260.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3489.0	2337.0
106481444	8.0	30.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1643.0	3603.0
85354	0.0	0.0
85352	18.0	57.0
403241	11.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	841.0	664.0
153643	75.0	104.0
403247	0.0	0.0
403248	0.0	0.0
26985	3661.0	3398.0
106481448	0.0	0.0
26986	34540.0	50023.0
126069	96.0	106.0
106481449	0.0	0.0
126068	1190.0	1782.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1067.0	1323.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	28.0	47.0
106481455	0.0	0.0
85349	235.0	185.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	2.0
106481454	0.0	0.0
403238	2.0	0.0
85344	98.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	1.0	0.0
100873394	0.0	2.0
100873393	1.0	3.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	1.0
106481414	0.0	1.0
63901	1547.0	6408.0
100873390	1.0	0.0
728556	35.0	68.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	124.0	247.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	539.0	787.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	6.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	264.0	411.0
100873384	0.0	0.0
285601	1.0	41.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	153.0	855.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1221.0	1158.0
222008	26.0	0.0
106481428	1.0	1.0
106481429	0.0	0.0
63905	5478.0	4570.0
63904	0.0	0.0
106481430	0.0	2.0
163071	1080.0	508.0
63906	898.0	1025.0
106481433	0.0	0.0
63908	1132.0	1346.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	10.0
285613	136.0	164.0
63920	587.0	673.0
63923	240.0	210.0
63922	329.0	654.0
728577	22.0	14.0
63925	1429.0	3671.0
63924	2.0	0.0
63916	3186.0	5956.0
63917	5854.0	6675.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	8.0	1.0
728564	5.0	2.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1773.0	2274.0
106481402	0.0	0.0
63931	2636.0	2034.0
106481403	0.0	0.0
63934	1719.0	1915.0
728567	1.0	2.0
106481408	0.0	0.0
163088	20.0	5.0
63933	5001.0	3979.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5085.0	5084.0
163087	910.0	992.0
728568	902.0	482.0
106481407	15.0	9.0
3704	2971.0	2427.0
3705	5119.0	8749.0
63926	1188.0	556.0
3706	23.0	171.0
63929	1339.0	664.0
3707	1543.0	10688.0
63928	1.0	1.0
3708	17021.0	2438.0
106481411	0.0	0.0
3709	1547.0	5703.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	18.0	35.0
3702	91.0	91.0
3703	15000.0	12863.0
645506	0.0	0.0
151050	1521.0	2617.0
645520	0.0	0.0
63941	2397.0	1387.0
63940	335.0	526.0
63943	1032.0	684.0
728517	1.0	0.0
163033	802.0	1214.0
258010	4935.0	5537.0
63947	0.0	1.0
63946	0.0	1.0
728513	34.0	33.0
100033803	0.0	0.0
3716	7973.0	20617.0
100033804	0.0	0.0
3717	789.0	1096.0
100033805	0.0	0.0
3718	159.0	2225.0
63939	1048.0	2175.0
100033806	0.0	0.0
100190799	2.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	113.0	200.0
3710	12436.0	36404.0
3712	12118.0	13971.0
3713	0.0	30.0
3714	655.0	2090.0
63950	3.0	1.0
728505	1.0	0.0
63951	591.0	820.0
100033807	0.0	0.0
728501	33.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	15513.0	26728.0
100033814	0.0	0.0
3727	15454.0	10545.0
63948	46.0	1.0
100033815	0.0	0.0
222052	0.0	0.0
3728	27911.0	24421.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	837.0	1596.0
151056	346.0	215.0
3725	23120.0	18942.0
645528	1.0	0.0
728532	32.0	37.0
163059	608.0	606.0
728538	1.0	0.0
728537	136.0	331.0
63967	12.0	125.0
3737	61.0	85.0
3738	24.0	54.0
3739	0.0	0.0
645538	0.0	0.0
3730	3467.0	6645.0
3732	3159.0	13092.0
3734	0.0	0.0
3735	7811.0	6640.0
3736	59.0	4.0
63970	6.0	10.0
3750	142.0	776.0
63971	5668.0	7821.0
63974	0.0	0.0
163049	3748.0	3329.0
63973	3.0	6.0
63976	3548.0	2199.0
222068	23752.0	22240.0
63978	0.0	1.0
63977	392.0	729.0
63979	409.0	1370.0
728524	0.0	0.0
3748	1348.0	5764.0
163051	88.0	62.0
3749	655.0	1184.0
163050	67.0	91.0
3741	641.0	115.0
645548	13.0	19.0
3743	1.0	2.0
3744	0.0	0.0
3745	307.0	42.0
3746	14.0	11.0
3747	0.0	0.0
285671	2082.0	2209.0
285672	1917.0	1967.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3.0	8.0
285676	113.0	328.0
3761	2.0	1.0
100128657	0.0	0.0
285679	4.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	83.0	2560.0
283008	2.0	0.0
3751	49.0	13.0
100873435	0.0	0.0
3752	154.0	31.0
100873434	0.0	0.0
3753	2.0	5.0
100873433	0.0	0.0
3754	7.0	6.0
100873432	0.0	0.0
3755	2.0	7.0
100873439	0.0	0.0
3756	3.0	27.0
100873438	0.0	0.0
3757	11.0	22.0
100873437	0.0	0.0
3758	249.0	13.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	164.0	177.0
3772	22244.0	16259.0
100861458	0.0	0.0
100861453	12.0	19.0
100861455	0.0	0.0
1107	10657.0	7888.0
1106	7454.0	12918.0
1105	1989.0	4365.0
1104	803.0	1321.0
100873429	0.0	0.0
1103	0.0	2.0
1102	3422.0	2508.0
1101	75.0	102.0
3762	476.0	7482.0
100873424	0.0	0.0
3763	0.0	5.0
100128640	165.0	273.0
100873423	0.0	0.0
3764	613.0	406.0
100873422	0.0	0.0
3765	2.0	9.0
100873421	0.0	3.0
3766	82.0	278.0
100873428	0.0	0.0
3767	337.0	986.0
100873427	0.0	0.0
3768	318.0	239.0
1109	0.0	0.0
100873426	0.0	2.0
1108	19012.0	56849.0
3769	280.0	338.0
100873425	0.0	1.0
100128637	7.0	1.0
100128639	1.0	0.0
3780	7.0	21.0
100873453	0.0	0.0
3781	27.0	26.0
100873452	0.0	0.0
3782	550.0	1574.0
100873451	0.0	0.0
3783	60.0	1244.0
100873450	0.0	0.0
1121	1877.0	2875.0
100861468	0.0	0.0
1120	227.0	141.0
100861469	0.0	0.0
1118	552.0	3817.0
1117	993.0	484.0
1116	361.0	13040.0
1114	112.0	304.0
1113	2.0	1.0
1112	1541.0	2653.0
1111	319.0	449.0
3773	49663.0	123403.0
100873457	3.0	1.0
100873456	0.0	0.0
3775	1136.0	2522.0
100873455	0.0	0.0
3776	697.0	36.0
100873454	0.0	0.0
3777	1129.0	543.0
3778	117.0	473.0
3779	57.0	173.0
100873459	0.0	0.0
1119	3185.0	2438.0
100128627	1.0	0.0
100128626	0.0	36.0
3790	98.0	456.0
100128628	4.0	9.0
3791	4822.0	9758.0
100873442	0.0	0.0
3792	16.0	8.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	25.0
1131	128.0	379.0
1130	1428.0	7065.0
100861476	0.0	0.0
1129	1.0	0.0
1128	19.0	1.0
1124	564.0	3536.0
1123	908.0	597.0
1122	1157.0	1175.0
100861470	0.0	0.0
3784	16978.0	9833.0
100873446	0.0	0.0
3785	7.0	7.0
100873445	0.0	0.0
3786	76.0	3067.0
100873444	0.0	0.0
3787	328.0	16.0
100873443	0.0	0.0
3788	10.0	10.0
100873449	4.0	20.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	154.0	253.0
100128618	3.0	1.0
728597	7.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	99.0	15.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	26.0	178.0
285634	4.0	11.0
1142	0.0	0.0
1141	6.0	8.0
285636	2817.0	2942.0
1140	1997.0	3060.0
728599	2.0	0.0
1139	168.0	97.0
1138	19.0	26.0
1137	623.0	30.0
100861485	0.0	0.0
1136	8.0	7.0
1135	2.0	3.0
1134	5.0	38.0
1133	0.0	10.0
3795	173.0	510.0
100873479	5.0	3.0
3796	917.0	2002.0
100873478	0.0	0.0
3797	1256.0	1832.0
100873477	0.0	4.0
3798	328.0	736.0
100873476	0.0	0.0
3799	10934.0	15784.0
100873460	0.0	0.0
728586	16.0	24.0
285641	0.0	0.0
100873464	7.0	4.0
100873463	0.0	0.0
100873462	1.0	4.0
285643	0.0	0.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	2309.0	1571.0
1153	34673.0	44386.0
1152	26366.0	3077.0
285647	48.0	35.0
728589	3.0	16.0
728588	0.0	0.0
1149	1.0	3.0
1147	1729.0	1823.0
1146	1.0	1.0
1145	30.0	86.0
1144	3.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	134.0	328.0
1163	564.0	565.0
285659	0.0	0.0
1161	584.0	484.0
1160	279.0	236.0
1159	134.0	32.0
1158	1.0	3.0
1157	0.0	0.0
1155	2752.0	2998.0
550643	3057.0	2643.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2565.0	2451.0
1175	2487.0	2117.0
285668	3.0	4.0
1174	2048.0	2541.0
1173	18813.0	30485.0
550631	377.0	268.0
100873489	0.0	0.0
283014	33.0	22.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	261.0	49.0
1186	3926.0	7830.0
1185	1248.0	2553.0
1184	570.0	410.0
1183	1960.0	2487.0
1182	6017.0	8124.0
1181	476.0	534.0
440375	42.0	94.0
1180	6.0	6.0
1179	0.0	1.0
1178	0.0	0.0
283089	35.0	19.0
85495	0.0	0.0
85480	118.0	103.0
283080	0.0	0.0
1198	3173.0	4804.0
1197	1.0	3.0
1196	1984.0	3333.0
1195	4477.0	7831.0
440366	2.0	0.0
1193	3867.0	1830.0
1192	13748.0	16551.0
1191	226886.0	589440.0
1188	972.0	213.0
283078	96.0	74.0
85486	10.0	1.0
128615	0.0	0.0
85481	0.0	0.0
128611	77.0	24.0
440396	62.0	71.0
128609	0.0	0.0
128602	0.0	15.0
440387	2.0	0.0
128674	4.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	3.0
126014	83.0	280.0
440335	11.0	3.0
100128690	0.0	0.0
114034	1502.0	1588.0
126006	33.0	53.0
114036	243.0	166.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	61.0	121.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	2.0	3.0
100861429	0.0	0.0
128653	1.0	0.0
200728	404.0	484.0
440356	0.0	1.0
440354	52.0	93.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	10.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	139.0	141.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	220.0	99.0
200734	3115.0	6892.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	13.0
100873402	0.0	0.0
100873401	0.0	3.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4016.0	6096.0
100873406	0.0	0.0
100873405	2.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	1.0
645443	10.0	2.0
165530	6.0	12.0
85409	45.0	135.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	0.0	0.0
106481383	1.0	6.0
85417	51.0	55.0
106481384	0.0	0.0
103106903	1.0	3.0
85414	67.0	228.0
106481389	0.0	0.0
85415	847.0	1491.0
106481387	0.0	1.0
85413	1.0	0.0
106481388	2.0	9.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	901.0	1907.0
12	0.0	0.0
13	7.0	0.0
14	9816.0	9530.0
15	5.0	11.0
16	14358.0	11814.0
645455	16.0	35.0
18	9754.0	13468.0
19	2289.0	10345.0
128580	9.0	8.0
85407	45.0	677.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1945.0	2359.0
106481395	0.0	1.0
85403	2184.0	2825.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	9655.0	41637.0
106481390	0.0	0.0
21	8760.0	7636.0
106481391	0.0	0.0
22	1168.0	1898.0
153571	172.0	5.0
153572	97.0	8.0
23	4830.0	5252.0
24	55.0	161.0
25	13882.0	16924.0
26	13.0	292.0
27	1347.0	2702.0
28	4287.0	4675.0
29	2404.0	9563.0
153579	652.0	1467.0
728615	0.0	3.0
728614	0.0	0.0
200765	364.0	345.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	52.0	87.0
102466518	0.0	1.0
102466516	23.0	21.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1970.0	1343.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2842.0	2294.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	221.0	334.0
106481366	0.0	0.0
30	4027.0	4196.0
106481360	0.0	0.0
31	2149.0	3324.0
32	2779.0	1660.0
33	1706.0	1486.0
34	4333.0	3369.0
35	2520.0	1436.0
153562	4894.0	4683.0
36	2849.0	1962.0
37	23418.0	31922.0
38	6576.0	3029.0
440307	9.0	20.0
39	929.0	586.0
165545	2.0	3.0
106481369	0.0	0.0
728606	112.0	19.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	7.0	0.0
106481370	0.0	0.0
41	168.0	116.0
106481371	0.0	0.0
43	633.0	125.0
645486	1.0	1.0
47	6586.0	9984.0
48	5226.0	9038.0
49	14.0	33.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	1.0	2.0
106481341	0.0	0.0
106481342	0.0	4.0
106481340	0.0	0.0
85458	3928.0	5072.0
