id	ffb8427a-d1a3-4ae6-a2e0-424929197afb	4869e2a4-f182-41f1-8aed-52b5dd3b5c00
1069	3037.0	2264.0
1068	0.0	0.0
85369	1879.0	1502.0
85366	67.0	16.0
85364	2014.0	1090.0
85365	2225.0	1434.0
85363	1746.0	1390.0
85360	460.0	403.0
1080	16.0	38.0
85391	17.0	82.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	326.0	287.0
1087	0.0	1.0
1086	0.0	0.0
440279	23.0	4.0
1085	0.0	0.0
1084	11.0	12.0
440278	239.0	72.0
1082	0.0	0.0
403294	1.0	0.0
440275	3373.0	2344.0
1081	1.0	0.0
85397	1046.0	30.0
85395	403.0	505.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	919.0	1668.0
1089	12.0	22.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	115.0	82.0
285598	431.0	254.0
126133	1853.0	1593.0
128790	0.0	0.0
126129	111.0	136.0
126123	3.0	4.0
442862	0.0	0.0
126119	1189.0	1394.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	37.0	13.0
442897	0.0	0.0
442898	2.0	2.0
114134	301.0	425.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	8.0
100128788	46.0	36.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	4.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	371.0	227.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	5.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	60.0	15.0
102466616	0.0	0.0
126052	0.0	0.0
151009	72.0	24.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	0.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	414.0	1172.0
107131122	1.0	1.0
138050	6288.0	6761.0
403219	0.0	0.0
151011	3562.0	1973.0
645587	4.0	0.0
165679	12.0	8.0
126037	22.0	19.0
114049	3948.0	3679.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1372.0	494.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2179.0	1412.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	260.0	118.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	8.0	174.0
645598	1.0	0.0
163007	0.0	2.0
114038	2.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	195.0	20.0
106481496	0.0	0.0
114042	2.0	2.0
106481493	0.0	0.0
114043	41.0	17.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	179.0	69.0
126017	572.0	359.0
106481497	4.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	1107.0	950.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1155.0	277.0
106481459	0.0	0.0
26994	7029.0	4664.0
106481457	0.0	4.0
26995	1644.0	1524.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	3.0
403272	2.0	0.0
102466659	0.0	0.0
26999	6022.0	3465.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2476.0	2143.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2.0	6.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	14.0	5.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	2.0
403254	0.0	0.0
126070	584.0	271.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	0.0
106481437	0.0	0.0
26974	364.0	144.0
153657	57.0	13.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2066.0	872.0
165631	901.0	334.0
106481436	1.0	0.0
26978	12.0	8.0
126075	863.0	796.0
106481439	0.0	0.0
403250	0.0	0.0
126074	190.0	180.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1623.0	2225.0
106481444	13.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1350.0	1105.0
85354	0.0	0.0
85352	161.0	39.0
403241	3.0	0.0
344462	4.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	539.0	332.0
153643	81.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	3467.0	2604.0
106481448	0.0	0.0
26986	52241.0	34590.0
126069	98.0	65.0
106481449	0.0	0.0
126068	835.0	307.0
106481446	0.0	0.0
26983	0.0	0.0
26984	846.0	642.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	42.0	18.0
106481455	0.0	0.0
85349	42.0	22.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	2.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	35.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	4.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	0.0
106481415	0.0	0.0
106481416	3.0	0.0
106481413	1.0	0.0
106481414	0.0	0.0
63901	3635.0	3750.0
100873390	0.0	0.0
728556	38.0	30.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	84.0	62.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	387.0	295.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	191.0	118.0
100873384	0.0	0.0
285601	17.0	20.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	3.0	0.0
63910	542.0	896.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	715.0	324.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2939.0	2597.0
63904	0.0	0.0
106481430	0.0	0.0
163071	325.0	388.0
63906	811.0	739.0
106481433	0.0	0.0
63908	888.0	527.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	7.0	2.0
285613	90.0	110.0
63920	546.0	377.0
63923	23.0	14.0
63922	517.0	698.0
728577	28.0	7.0
63925	1826.0	1128.0
63924	7.0	1.0
63916	3333.0	2699.0
63917	3319.0	2325.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	3.0
728564	3.0	2.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1298.0	1283.0
106481402	0.0	0.0
63931	1806.0	1054.0
106481403	0.0	0.0
63934	512.0	572.0
728567	5.0	4.0
106481408	0.0	0.0
163088	4.0	1.0
63933	2705.0	1697.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4178.0	2953.0
163087	903.0	403.0
728568	404.0	343.0
106481407	14.0	10.0
3704	2435.0	2762.0
3705	3637.0	3353.0
63926	758.0	587.0
3706	14.0	30.0
63929	965.0	512.0
3707	5076.0	1871.0
63928	1.0	0.0
3708	12490.0	1311.0
106481411	0.0	0.0
3709	3634.0	2333.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	16.0	13.0
3702	2398.0	949.0
3703	10179.0	6425.0
645506	0.0	0.0
151050	1352.0	839.0
645520	0.0	0.0
63941	1282.0	1112.0
63940	4342.0	2111.0
63943	460.0	351.0
728517	0.0	0.0
163033	571.0	891.0
258010	2680.0	2289.0
63947	0.0	0.0
63946	1.0	0.0
728513	3.0	1.0
100033803	0.0	0.0
3716	14960.0	9642.0
100033804	0.0	0.0
3717	1786.0	850.0
100033805	0.0	0.0
3718	4000.0	3055.0
63939	1298.0	877.0
100033806	0.0	0.0
100190799	3.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	95.0	108.0
3710	11470.0	12993.0
3712	9962.0	5561.0
3713	3.0	148.0
3714	633.0	1619.0
63950	21.0	1.0
728505	1.0	1.0
63951	310.0	97.0
100033807	0.0	0.0
728501	27.0	28.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6481.0	11786.0
100033814	0.0	0.0
3727	6502.0	11149.0
63948	17.0	0.0
100033815	0.0	0.0
222052	23.0	1.0
3728	13855.0	22165.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1470.0	796.0
151056	347.0	145.0
3725	5766.0	16039.0
645528	4.0	1.0
728532	24.0	16.0
163059	346.0	218.0
728538	0.0	0.0
728537	154.0	119.0
63967	365.0	156.0
3737	82.0	16.0
3738	302.0	143.0
3739	1.0	0.0
645538	0.0	0.0
3730	1522.0	1983.0
3732	4867.0	3048.0
3734	0.0	1.0
3735	7301.0	7310.0
3736	86.0	1.0
63970	1.0	7.0
3750	277.0	187.0
63971	5167.0	3628.0
63974	0.0	0.0
163049	2451.0	1588.0
63973	1.0	1.0
63976	2917.0	594.0
222068	11946.0	8983.0
63978	0.0	0.0
63977	1446.0	458.0
63979	509.0	432.0
728524	0.0	0.0
3748	1097.0	889.0
163051	44.0	39.0
3749	604.0	239.0
163050	48.0	24.0
3741	50.0	55.0
645548	5.0	6.0
3743	2.0	0.0
3744	0.0	0.0
3745	25.0	2.0
3746	9.0	3.0
3747	0.0	1.0
285671	1366.0	481.0
285672	1763.0	1242.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	0.0	0.0
285676	52.0	49.0
3761	1.0	1.0
100128657	0.0	0.0
285679	3.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	530.0	2168.0
283008	0.0	0.0
3751	33.0	47.0
100873435	0.0	0.0
3752	150.0	40.0
100873434	0.0	0.0
3753	10.0	5.0
100873433	0.0	1.0
3754	63.0	14.0
100873432	0.0	0.0
3755	86.0	20.0
100873439	0.0	0.0
3756	9.0	14.0
100873438	0.0	0.0
3757	33.0	15.0
100873437	0.0	0.0
3758	119.0	39.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	74.0	48.0
3772	11452.0	14772.0
100861458	0.0	0.0
100861453	19.0	5.0
100861455	0.0	0.0
1107	14229.0	5459.0
1106	8115.0	4817.0
1105	2667.0	1473.0
1104	1761.0	1328.0
100873429	0.0	0.0
1103	2.0	12.0
1102	2432.0	1201.0
1101	156.0	28.0
3762	493.0	331.0
100873424	0.0	0.0
3763	22.0	19.0
100128640	131.0	83.0
100873423	0.0	0.0
3764	625.0	582.0
100873422	0.0	0.0
3765	0.0	2.0
100873421	0.0	0.0
3766	266.0	44.0
100873428	0.0	0.0
3767	620.0	306.0
100873427	0.0	0.0
3768	591.0	384.0
1109	1.0	1.0
100873426	0.0	1.0
1108	18174.0	16245.0
3769	250.0	3.0
100873425	0.0	0.0
100128637	3.0	0.0
100128639	2.0	0.0
3780	16.0	16.0
100873453	0.0	0.0
3781	28.0	27.0
100873452	1.0	0.0
3782	934.0	735.0
100873451	0.0	0.0
3783	830.0	4579.0
100873450	0.0	0.0
1121	1631.0	944.0
100861468	0.0	0.0
1120	231.0	365.0
100861469	0.0	0.0
1118	1121.0	1466.0
1117	2786.0	2659.0
1116	1007.0	1814.0
1114	705.0	343.0
1113	1.0	0.0
1112	4613.0	2083.0
1111	622.0	537.0
3773	16098.0	11554.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	649.0	1077.0
100873455	0.0	0.0
3776	1637.0	21.0
100873454	0.0	0.0
3777	941.0	176.0
3778	615.0	234.0
3779	119.0	175.0
100873459	0.0	0.0
1119	2265.0	1362.0
100128627	3.0	1.0
100128626	3.0	0.0
3790	85.0	681.0
100128628	10.0	6.0
3791	3725.0	1573.0
100873442	0.0	0.0
3792	261.0	35.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	4.0
1131	138.0	40.0
1130	2994.0	2616.0
100861476	0.0	0.0
1129	0.0	0.0
1128	3.0	0.0
1124	784.0	654.0
1123	998.0	645.0
1122	893.0	703.0
100861470	0.0	0.0
3784	11588.0	3645.0
100873446	0.0	0.0
3785	2.0	0.0
100873445	0.0	0.0
3786	223.0	1650.0
100873444	0.0	0.0
3787	18.0	4.0
100873443	0.0	0.0
3788	0.0	8.0
100873449	8.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	159.0	127.0
100128618	1.0	0.0
728597	4.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	18.0	40.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	43.0	13.0
285634	8.0	0.0
1142	4.0	6.0
1141	7.0	8.0
285636	2402.0	1438.0
1140	998.0	927.0
728599	3.0	0.0
1139	52.0	16.0
1138	20.0	24.0
1137	259.0	5.0
100861485	0.0	0.0
1136	55.0	17.0
1135	3.0	0.0
1134	138.0	10.0
1133	8.0	1.0
3795	159.0	147.0
100873479	4.0	14.0
3796	2014.0	972.0
100873478	1.0	0.0
3797	990.0	526.0
100873477	1.0	1.0
3798	137.0	91.0
100873476	0.0	0.0
3799	8606.0	6538.0
100873460	0.0	0.0
728586	24.0	15.0
285641	1.0	2.0
100873464	3.0	1.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	2.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4127.0	1845.0
1153	20931.0	14386.0
1152	13978.0	6437.0
285647	35.0	12.0
728589	12.0	6.0
728588	1.0	0.0
1149	3.0	1.0
1147	1483.0	1032.0
1146	3.0	3.0
1145	64.0	43.0
1144	3.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1149.0	1540.0
1163	585.0	553.0
285659	0.0	0.0
1161	362.0	307.0
1160	129.0	53.0
1159	62.0	89.0
1158	8.0	13.0
1157	0.0	0.0
1155	2337.0	3349.0
550643	1745.0	2004.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2432.0	2800.0
1175	2371.0	2863.0
285668	2.0	2.0
1174	1504.0	2930.0
1173	14086.0	16705.0
550631	210.0	150.0
100873489	0.0	0.0
283014	18.0	13.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	496.0	12.0
1186	3613.0	3409.0
1185	1658.0	686.0
1184	603.0	231.0
1183	1538.0	693.0
1182	5057.0	3182.0
1181	237.0	201.0
440375	48.0	34.0
1180	4.0	5.0
1179	0.0	0.0
1178	0.0	3.0
283089	13.0	2.0
85495	0.0	0.0
85480	71.0	11.0
283080	0.0	0.0
1198	3208.0	2137.0
1197	1.0	1.0
1196	2109.0	2067.0
1195	6446.0	5827.0
440366	0.0	0.0
1193	4227.0	2746.0
1192	13519.0	20174.0
1191	176940.0	314728.0
1188	595.0	94.0
283078	17.0	57.0
85486	5.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	1110.0	357.0
440396	52.0	44.0
128609	0.0	0.0
128602	0.0	0.0
440387	14.0	0.0
128674	13.0	1.0
128676	2.0	0.0
114026	0.0	0.0
100861402	3.0	3.0
126014	273.0	330.0
440335	5.0	1.0
100128690	0.0	0.0
114034	756.0	707.0
126006	52.0	37.0
114036	132.0	24.0
100128696	2.0	0.0
100128688	0.0	0.0
126003	65.0	27.0
100861412	1.0	0.0
105180390	4.0	1.0
100128685	1.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	220.0	259.0
440356	3.0	5.0
440354	65.0	60.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	1.0	1.0
100873413	1.0	0.0
128646	4.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	6.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	0.0	1.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	146.0	43.0
200734	3571.0	2072.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	0.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3198.0	2203.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	1.0
165530	21.0	8.0
85409	61.0	151.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	5.0	0.0
85417	21.0	14.0
106481384	0.0	0.0
103106903	3.0	2.0
85414	190.0	106.0
106481389	0.0	0.0
85415	466.0	555.0
106481387	0.0	0.0
85413	8.0	2.0
106481388	8.0	2.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1176.0	746.0
12	13.0	1.0
13	3.0	0.0
14	6696.0	6047.0
15	18.0	9.0
16	11009.0	6562.0
645455	18.0	3.0
18	6313.0	3433.0
19	1738.0	1827.0
128580	7.0	2.0
85407	88.0	46.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1454.0	806.0
106481395	0.0	0.0
85403	1768.0	1243.0
106481398	0.0	0.0
106481399	1.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8254.0	3404.0
106481390	0.0	0.0
21	12044.0	4419.0
106481391	0.0	0.0
22	1229.0	973.0
153571	159.0	325.0
153572	88.0	272.0
23	4674.0	3260.0
24	62.0	86.0
25	8432.0	6175.0
26	97.0	143.0
27	1891.0	1512.0
28	3142.0	1580.0
29	3916.0	6386.0
153579	548.0	67.0
728615	0.0	0.0
728614	0.0	0.0
200765	275.0	245.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	24.0	14.0
102466518	0.0	0.0
102466516	28.0	0.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1222.0	1240.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2064.0	1726.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	240.0	217.0
106481366	0.0	0.0
30	2795.0	2812.0
106481360	0.0	1.0
31	2432.0	1495.0
32	3252.0	578.0
33	856.0	518.0
34	3457.0	1643.0
35	1448.0	1843.0
153562	3668.0	2003.0
36	1913.0	685.0
37	13322.0	15986.0
38	4169.0	2171.0
440307	10.0	6.0
39	954.0	585.0
165545	18.0	10.0
106481369	0.0	0.0
728606	25.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	0.0	2.0
106481370	0.0	0.0
41	29.0	52.0
106481371	0.0	0.0
43	332.0	106.0
645486	0.0	0.0
47	7276.0	4985.0
48	3679.0	2699.0
49	6.0	17.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	8.0	1.0
106481340	1.0	0.0
85458	1961.0	644.0
106481345	0.0	0.0
