id	085d1072-73d9-4d5c-865f-782c4eb173a1	30b62a5c-f64d-44df-85df-58803540976e
285550	2166.0	2812.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	45.0	47.0
3640	1.0	2.0
3638	1467.0	2043.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1062.0	1647.0
100873313	0.0	0.0
3632	1336.0	1870.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	949.0	1183.0
100873318	0.0	0.0
3635	318.0	1265.0
100873317	0.0	0.0
3636	3715.0	9706.0
100128771	31.0	26.0
100873316	0.0	3.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	10.0	25.0
2	9271.0	34884.0
100873309	0.0	0.0
100873308	0.0	0.0
3	4.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	153.0	126.0
3642	0.0	1.0
100873302	0.0	0.0
3643	3760.0	6126.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	1.0
100873307	0.0	0.0
3646	15958.0	20871.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	117.0	74.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2114.0	2471.0
100873331	0.0	0.0
3661	945.0	2651.0
100873330	0.0	0.0
285577	1.0	0.0
3662	137.0	1105.0
100128756	0.0	0.0
1000	38.0	1718.0
3652	1260.0	1291.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	465.0	288.0
3654	1098.0	4874.0
100873334	0.0	1.0
3655	1447.0	4186.0
100873333	0.0	1.0
3656	234.0	557.0
100873339	1.0	0.0
3658	4937.0	4191.0
100873338	0.0	0.0
3659	1422.0	3878.0
100873337	0.0	0.0
3670	6.0	1.0
100873321	0.0	0.0
3671	7409.0	12136.0
100873320	0.0	0.0
3672	4069.0	3626.0
285588	0.0	0.0
3673	474.0	570.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	1.0
1007	0.0	0.0
1006	6.0	25.0
1005	0.0	1.0
1004	172.0	700.0
1003	1628.0	5544.0
1002	146.0	705.0
1001	143.0	180.0
3663	130.0	599.0
100873325	0.0	0.0
3664	4614.0	4476.0
100873324	0.0	0.0
3665	175.0	678.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11099.0	7054.0
100873329	0.0	0.0
285590	828.0	2317.0
100873328	0.0	0.0
3669	586.0	1572.0
100873327	0.0	0.0
1009	238.0	239.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	1.0	2.0
728477	10.0	14.0
3680	16306.0	6527.0
3681	0.0	21.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	428.0	1055.0
100873353	0.0	0.0
3683	380.0	1282.0
100873352	0.0	0.0
128710	764.0	588.0
3684	199.0	647.0
100873351	0.0	0.0
285512	125.0	28.0
1022	1027.0	1201.0
285513	486.0	750.0
1021	902.0	1489.0
1020	399.0	1041.0
440299	0.0	0.0
1019	2986.0	5250.0
128709	0.0	0.0
1018	6.0	6.0
1017	656.0	768.0
1016	0.0	0.0
1015	2.0	6.0
1014	6477.0	1761.0
1013	1.0	1.0
1012	161.0	958.0
116730	3.0	8.0
3674	106.0	64.0
100873358	0.0	0.0
3675	8611.0	16466.0
100873357	0.0	0.0
3676	191.0	554.0
100128731	3846.0	8344.0
