id	96f709bd-23b2-46cd-b0a0-cc2ab74ff73e	09b3ad4d-5d6f-462e-b313-964b5fb76a04
285550	2428.0	1731.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	37.0	21.0
3640	3.0	68.0
3638	1898.0	1388.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	1397.0	3268.0
100873313	0.0	0.0
3632	1789.0	1561.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1359.0	2211.0
100873318	0.0	0.0
3635	1136.0	1772.0
100873317	0.0	0.0
3636	5007.0	5168.0
100128771	54.0	59.0
100873316	4.0	1.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	0.0
1	6.0	12.0
2	12578.0	26339.0
100873309	0.0	0.0
100873308	0.0	0.0
3	7.0	13.0
3641	0.0	0.0
100873303	0.0	0.0
9	172.0	88.0
3642	10.0	1.0
100873302	0.0	0.0
3643	5636.0	10831.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	0.0
100873307	0.0	0.0
3646	17676.0	17546.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	134.0	108.0
100873304	0.0	2.0
100873332	0.0	0.0
3660	2030.0	2749.0
100873331	0.0	0.0
3661	1818.0	4333.0
100873330	0.0	0.0
285577	0.0	0.0
3662	300.0	42.0
100128756	0.0	0.0
1000	257.0	4311.0
3652	1460.0	1357.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	461.0	158.0
3654	2103.0	1430.0
100873334	0.0	1.0
3655	1952.0	7802.0
100873333	0.0	1.0
3656	254.0	1083.0
100873339	0.0	0.0
3658	6139.0	3524.0
100873338	0.0	0.0
3659	1273.0	2528.0
100873337	0.0	0.0
3670	8.0	0.0
100873321	0.0	0.0
3671	10755.0	14453.0
100873320	0.0	0.0
3672	3668.0	1916.0
285588	0.0	0.0
3673	477.0	15215.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	0.0
1007	0.0	5.0
1006	10.0	13.0
1005	0.0	0.0
1004	249.0	10535.0
1003	1748.0	4588.0
1002	39.0	140.0
1001	353.0	17803.0
3663	270.0	1001.0
100873325	1.0	0.0
3664	6615.0	6371.0
100873324	0.0	0.0
3665	411.0	861.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	16148.0	2623.0
100873329	0.0	0.0
285590	1228.0	2443.0
100873328	0.0	0.0
3669	1508.0	1355.0
100873327	0.0	0.0
1009	336.0	8172.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	5.0	8.0
3680	11701.0	26910.0
3681	9.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	486.0	515.0
100873353	0.0	0.0
3683	683.0	437.0
100873352	0.0	0.0
128710	987.0	927.0
3684	271.0	730.0
100873351	0.0	0.0
285512	143.0	84.0
1022	1313.0	2093.0
285513	746.0	575.0
1021	1140.0	370.0
1020	513.0	648.0
440299	0.0	1.0
1019	3202.0	4061.0
128709	0.0	0.0
1018	15.0	32.0
1017	861.0	1699.0
1016	0.0	1.0
1015	13.0	8.0
1014	8140.0	67.0
1013	2.0	91.0
1012	188.0	2021.0
116730	19.0	7.0
3674	194.0	139.0
100873358	0.0	0.0
3675	15337.0	69937.0
100873357	0.0	0.0
3676	387.0	142.0
100128731	4366.0	7116.0
100873356	0.0	0.0
3678	1560.0	3967.0
3679	543.0	1869.0
100873359	0.0	0.0
728464	41.0	0.0
728463	37.0	63.0
100128725	0.0	0.0
3690	2743.0	5677.0
3691	927.0	21679.0
100873343	0.0	0.0
3692	4024.0	5812.0
3693	3183.0	9257.0
285521	938.0	1222.0
100873342	0.0	0.0
3694	1019.0	4142.0
100873341	1.0	0.0
3695	200.0	741.0
100873340	1.0	0.0
100128723	1.0	1.0
1033	52.0	79.0
1032	138.0	322.0
285525	12.0	3.0
1031	407.0	434.0
285527	2409.0	2507.0
1030	80.0	945.0
728468	1.0	3.0
440288	122.0	89.0
1029	7.0	303.0
440295	162.0	164.0
1028	591.0	956.0
1027	6316.0	5116.0
1026	2655.0	29205.0
1025	2549.0	4627.0
1024	778.0	850.0
3685	13637.0	27925.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	487.0	586.0
100873345	0.0	0.0
3688	9351.0	15970.0
100873344	0.0	2.0
3689	1614.0	3190.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	53.0	29.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	33.0	38.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	27.0	74.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	0.0
1043	870.0	1005.0
1041	4.0	130.0
1040	6663.0	4339.0
1039	6808.0	3843.0
1038	4.0	3.0
1036	481.0	931.0
3696	2363.0	5734.0
3697	4.0	1.0
100873379	0.0	0.0
3698	19.0	11.0
100873378	4.0	0.0
3699	36.0	16.0
100873377	0.0	0.0
728486	3.0	10.0
100873361	0.0	0.0
105373869	1.0	22.0
100873360	0.0	0.0
285540	247.0	133.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	2252.0	977.0
285547	0.0	0.0
1053	5.0	7.0
285548	0.0	0.0
1052	4668.0	10862.0
1051	2527.0	3908.0
728489	6.0	3.0
1050	403.0	160.0
100128707	0.0	0.0
1048	10.0	1.0
1047	25.0	44.0
1046	0.0	0.0
1045	0.0	1.0
100873369	8.0	3.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	7.0	4.0
1066	2680.0	1345.0
1063	282.0	562.0
1062	174.0	124.0
1061	15.0	6.0
1060	3272.0	1803.0
440253	292.0	197.0
1059	4238.0	6113.0
1058	32.0	41.0
1057	1.0	1.0
85379	9967.0	13478.0
114112	800.0	531.0
1056	11.0	26.0
85377	1486.0	2758.0
85378	2534.0	3359.0
128745	1.0	0.0
85376	10.0	10.0
440248	469.0	355.0
1075	3040.0	19843.0
1074	12.0	12.0
1073	3382.0	1594.0
1072	17288.0	37954.0
1071	140.0	133.0
440243	0.0	0.0
1070	849.0	714.0
1069	6881.0	4370.0
1068	0.0	0.0
85369	1711.0	2239.0
85366	17.0	9.0
85364	2382.0	1861.0
85365	2675.0	2345.0
85363	1353.0	2292.0
85360	486.0	566.0
1080	34.0	41.0
85391	1.0	0.0
403296	0.0	0.0
