id	e5566a01-645c-46db-b094-159693428dec	5d8c1485-ac73-457e-a9d7-27c13941cc61
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	20.0	21.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	7.0	41.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	353.0	523.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	8.0
106481437	0.0	0.0
26974	115.0	321.0
153657	109.0	58.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1939.0	1629.0
165631	328.0	334.0
106481436	0.0	0.0
26978	8.0	9.0
126075	1084.0	1555.0
106481439	0.0	0.0
403250	0.0	0.0
126074	112.0	237.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2039.0	3510.0
106481444	12.0	11.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2888.0	3004.0
85354	0.0	0.0
85352	97.0	70.0
403241	5.0	2.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	562.0	479.0
153643	286.0	123.0
403247	0.0	0.0
403248	0.0	0.0
26985	3065.0	3786.0
106481448	0.0	0.0
26986	27634.0	58930.0
126069	42.0	68.0
106481449	0.0	0.0
126068	377.0	972.0
106481446	0.0	0.0
26983	0.0	0.0
26984	840.0	998.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	102.0	60.0
106481455	0.0	0.0
85349	297.0	48.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	149.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	3.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2215.0	4870.0
100873390	0.0	0.0
728556	44.0	65.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	164.0	190.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	369.0	596.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	309.0	329.0
100873384	0.0	0.0
285601	4.0	32.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	1.0	2.0
63910	399.0	732.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	814.0	580.0
222008	15.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3800.0	4384.0
63904	0.0	0.0
106481430	1.0	0.0
163071	110.0	155.0
63906	511.0	1182.0
106481433	0.0	0.0
63908	804.0	935.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	12.0
285613	91.0	210.0
63920	216.0	524.0
63923	100.0	32.0
63922	406.0	1053.0
728577	32.0	15.0
63925	2085.0	2257.0
63924	70.0	0.0
63916	2517.0	6581.0
63917	4113.0	6413.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	1.0
728564	5.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1480.0	2370.0
106481402	0.0	0.0
63931	1972.0	1812.0
106481403	0.0	1.0
63934	678.0	1593.0
728567	5.0	1.0
106481408	0.0	0.0
163088	3.0	3.0
63933	2309.0	3264.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3466.0	5311.0
163087	366.0	658.0
728568	784.0	622.0
106481407	4.0	3.0
3704	2632.0	3688.0
3705	3636.0	5925.0
63926	981.0	874.0
3706	17.0	30.0
63929	843.0	1017.0
3707	2711.0	2850.0
63928	0.0	1.0
3708	14462.0	1624.0
106481411	2.0	1.0
3709	2999.0	4299.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	38.0	37.0
3702	1118.0	547.0
3703	9590.0	10793.0
645506	0.0	1.0
151050	1487.0	2106.0
645520	0.0	0.0
63941	1798.0	2692.0
63940	1725.0	1416.0
63943	564.0	598.0
728517	0.0	0.0
163033	436.0	1431.0
258010	4477.0	6645.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11579.0	17699.0
100033804	0.0	0.0
3717	1234.0	1134.0
100033805	0.0	0.0
3718	1309.0	2039.0
63939	406.0	1325.0
100033806	0.0	0.0
100190799	5.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	66.0	137.0
3710	12328.0	44863.0
3712	8836.0	12203.0
3713	270.0	4079.0
3714	819.0	2550.0
63950	7.0	2.0
728505	0.0	1.0
63951	160.0	477.0
100033807	0.0	0.0
728501	15.0	25.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	35253.0	21118.0
100033814	0.0	0.0
3727	43795.0	13678.0
63948	9.0	0.0
100033815	0.0	0.0
222052	2.0	1.0
3728	18507.0	35798.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1180.0	1116.0
151056	327.0	259.0
3725	32858.0	24085.0
645528	3.0	1.0
728532	33.0	43.0
163059	341.0	529.0
728538	1.0	0.0
728537	168.0	197.0
63967	140.0	437.0
3737	42.0	20.0
3738	203.0	158.0
3739	1.0	1.0
645538	0.0	0.0
3730	3068.0	13230.0
3732	3340.0	7108.0
3734	0.0	2.0
3735	6414.0	9498.0
3736	172.0	12.0
63970	12.0	19.0
3750	209.0	357.0
63971	5776.0	7144.0
63974	0.0	0.0
163049	2547.0	3325.0
63973	0.0	1.0
63976	1829.0	1016.0
222068	12787.0	20348.0
63978	0.0	0.0
63977	494.0	801.0
63979	291.0	1071.0
728524	0.0	0.0
3748	1668.0	1523.0
163051	17.0	24.0
3749	503.0	577.0
163050	27.0	75.0
3741	57.0	130.0
645548	11.0	12.0
3743	0.0	3.0
3744	0.0	1.0
3745	42.0	7.0
3746	4.0	4.0
3747	2.0	0.0
285671	1353.0	1152.0
285672	1309.0	1813.0
100873431	0.0	1.0
100873430	0.0	0.0
3760	2.0	2.0
285676	94.0	360.0
3761	1.0	0.0
100128657	1.0	0.0
285679	2.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	996.0	10945.0
283008	0.0	0.0
3751	55.0	29.0
100873435	0.0	0.0
3752	198.0	40.0
100873434	0.0	0.0
3753	9.0	25.0
100873433	0.0	0.0
3754	35.0	7.0
100873432	0.0	0.0
3755	7.0	9.0
100873439	0.0	0.0
3756	19.0	73.0
100873438	0.0	0.0
3757	26.0	17.0
100873437	0.0	0.0
3758	78.0	19.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	106.0	69.0
3772	15499.0	34270.0
100861458	0.0	0.0
100861453	31.0	30.0
100861455	0.0	0.0
1107	12038.0	11015.0
1106	14938.0	14752.0
1105	3962.0	3906.0
1104	1091.0	2628.0
100873429	0.0	0.0
1103	3.0	70.0
1102	2423.0	1856.0
1101	57.0	76.0
3762	459.0	682.0
100873424	0.0	0.0
3763	10.0	9.0
100128640	112.0	115.0
100873423	0.0	0.0
3764	375.0	353.0
100873422	0.0	1.0
3765	5.0	4.0
100873421	0.0	1.0
3766	111.0	50.0
100873428	0.0	0.0
3767	295.0	560.0
100873427	0.0	0.0
3768	399.0	709.0
1109	0.0	0.0
100873426	2.0	0.0
1108	19187.0	51031.0
3769	225.0	8.0
100873425	1.0	1.0
100128637	4.0	2.0
100128639	0.0	0.0
3780	25.0	15.0
100873453	0.0	0.0
3781	23.0	59.0
100873452	0.0	0.0
3782	894.0	942.0
100873451	0.0	0.0
3783	980.0	9616.0
100873450	0.0	0.0
1121	1825.0	2700.0
100861468	0.0	0.0
1120	245.0	471.0
100861469	1.0	1.0
1118	3517.0	6309.0
1117	1648.0	2603.0
1116	2058.0	40740.0
1114	228.0	152.0
1113	2.0	2.0
1112	2459.0	4257.0
1111	321.0	868.0
3773	23013.0	50377.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	1019.0	2225.0
100873455	0.0	0.0
3776	1941.0	105.0
100873454	0.0	0.0
3777	1236.0	396.0
3778	505.0	483.0
3779	124.0	190.0
100873459	0.0	0.0
1119	4412.0	1836.0
100128627	1.0	3.0
100128626	1.0	0.0
3790	180.0	1413.0
100128628	6.0	9.0
3791	5747.0	3555.0
100873442	0.0	0.0
3792	68.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	4.0
1131	185.0	165.0
1130	3100.0	8417.0
100861476	1.0	1.0
1129	0.0	0.0
1128	2.0	1.0
1124	746.0	1563.0
1123	941.0	1149.0
1122	873.0	1210.0
100861470	0.0	0.0
3784	10428.0	5430.0
100873446	0.0	0.0
3785	2.0	0.0
100873445	0.0	0.0
3786	417.0	5007.0
100873444	0.0	0.0
3787	13.0	45.0
100873443	0.0	0.0
3788	6.0	1.0
100873449	4.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	160.0	197.0
100128618	1.0	2.0
728597	8.0	0.0
100128617	10.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	32.0	70.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	20.0	25.0
285634	6.0	7.0
1142	0.0	0.0
1141	7.0	7.0
285636	1940.0	2761.0
1140	1095.0	2031.0
728599	1.0	1.0
1139	80.0	20.0
1138	8.0	18.0
1137	444.0	2.0
100861485	0.0	0.0
1136	17.0	15.0
1135	0.0	0.0
1134	13.0	12.0
1133	9.0	7.0
3795	207.0	209.0
100873479	8.0	12.0
3796	1251.0	2098.0
100873478	1.0	0.0
3797	1491.0	1786.0
100873477	1.0	5.0
3798	351.0	87.0
100873476	0.0	0.0
3799	11314.0	16912.0
100873460	0.0	0.0
728586	14.0	13.0
285641	2.0	1.0
100873464	2.0	4.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	2.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2182.0	5325.0
1153	19202.0	27673.0
1152	10446.0	12015.0
285647	33.0	27.0
728589	18.0	23.0
728588	0.0	0.0
1149	9.0	0.0
1147	1837.0	2282.0
1146	2.0	2.0
1145	79.0	134.0
1144	4.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	1.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	470.0	1058.0
1163	461.0	915.0
285659	0.0	0.0
1161	345.0	451.0
1160	278.0	229.0
1159	61.0	90.0
1158	4.0	8.0
1157	0.0	0.0
1155	2375.0	4186.0
550643	2155.0	2874.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2327.0	3024.0
1175	1955.0	3082.0
285668	6.0	0.0
1174	1439.0	4606.0
1173	14798.0	30305.0
550631	650.0	329.0
100873489	0.0	0.0
283014	17.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	312.0	5.0
1186	3702.0	7941.0
1185	1282.0	1984.0
1184	443.0	609.0
1183	1281.0	1490.0
1182	4917.0	7201.0
1181	395.0	623.0
440375	72.0	91.0
1180	9.0	4.0
1179	0.0	0.0
1178	0.0	1.0
283089	21.0	10.0
85495	0.0	0.0
85480	124.0	35.0
283080	0.0	0.0
1198	3591.0	4484.0
1197	1.0	1.0
1196	1893.0	4064.0
1195	8948.0	7868.0
440366	2.0	1.0
1193	4360.0	3447.0
1192	18797.0	25262.0
1191	249925.0	990862.0
1188	442.0	119.0
283078	84.0	543.0
85486	7.0	10.0
128615	0.0	0.0
85481	0.0	0.0
128611	495.0	142.0
440396	38.0	48.0
128609	1.0	0.0
128602	0.0	0.0
440387	0.0	1.0
128674	5.0	0.0
128676	1.0	2.0
114026	0.0	1.0
100861402	1.0	4.0
126014	187.0	556.0
440335	8.0	43.0
100128690	0.0	0.0
114034	1139.0	1457.0
126006	35.0	73.0
114036	121.0	44.0
100128696	0.0	0.0
100128688	0.0	1.0
126003	23.0	63.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	1.0
200728	290.0	503.0
440356	5.0	12.0
440354	97.0	70.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	1.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	31.0
100873410	0.0	0.0
100873417	4.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	261.0	192.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	139.0	339.0
200734	2924.0	5322.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	7.0	2.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	3070.0	4653.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	7.0
165530	12.0	44.0
85409	67.0	147.0
106481385	2.0	1.0
106481386	1.0	0.0
85416	0.0	1.0
106481383	3.0	4.0
85417	41.0	44.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	193.0	144.0
106481389	0.0	0.0
85415	1042.0	796.0
106481387	0.0	0.0
85413	6.0	8.0
106481388	0.0	4.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	800.0	1281.0
12	2.0	0.0
13	5.0	0.0
14	7133.0	10106.0
15	7.0	7.0
16	10963.0	13618.0
645455	23.0	43.0
18	8500.0	4834.0
19	1865.0	4295.0
128580	6.0	6.0
85407	117.0	105.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1150.0	2161.0
106481395	0.0	1.0
85403	2031.0	2358.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8642.0	16063.0
106481390	0.0	0.0
21	8749.0	10011.0
106481391	0.0	0.0
22	1079.0	1664.0
153571	43.0	4.0
153572	60.0	8.0
23	4660.0	5844.0
24	93.0	221.0
25	12444.0	14736.0
26	19.0	42.0
27	3410.0	3129.0
28	2311.0	2257.0
29	3975.0	14694.0
153579	703.0	81.0
728615	1.0	1.0
728614	0.0	0.0
200765	193.0	373.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	90.0	88.0
102466518	1.0	0.0
102466516	5.0	14.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1366.0	1932.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2825.0	3457.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	304.0	370.0
106481366	0.0	0.0
30	3047.0	4777.0
106481360	1.0	0.0
31	2575.0	3943.0
32	3677.0	1179.0
33	1424.0	1951.0
34	3408.0	2690.0
35	1239.0	1577.0
153562	2496.0	2798.0
36	2364.0	1878.0
37	18065.0	27770.0
38	4063.0	3524.0
440307	14.0	13.0
39	789.0	1048.0
165545	10.0	6.0
106481369	0.0	0.0
728606	76.0	155.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	4.0	1.0
106481370	0.0	0.0
41	94.0	141.0
106481371	0.0	0.0
43	204.0	81.0
645486	0.0	0.0
47	7343.0	11726.0
48	3576.0	9777.0
49	19.0	29.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	0.0	0.0
106481340	0.0	2.0
