id	289c081b-c496-44f5-b6b3-f33887932d83	35db9996-d6b9-470f-99be-1dc18bd98673
285550	1859.0	788.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	20.0	4.0
3640	22.0	9.0
3638	2450.0	403.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2894.0	893.0
100873313	0.0	0.0
3632	1425.0	856.0
100873312	3.0	1.0
100873311	0.0	0.0
3633	1754.0	493.0
100873318	0.0	0.0
3635	5153.0	1314.0
100873317	0.0	0.0
3636	6246.0	3231.0
100128771	22.0	18.0
100873316	9.0	1.0
100873315	0.0	0.0
100128766	3.0	1.0
3651	1.0	0.0
1	45.0	41.0
2	23002.0	22507.0
100873309	1.0	0.0
100873308	0.0	0.0
3	25.0	21.0
3641	0.0	0.0
100873303	0.0	0.0
9	265.0	45.0
3642	48.0	0.0
100873302	0.0	0.0
3643	2426.0	7011.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	7.0	0.0
100873307	0.0	0.0
3646	14622.0	5309.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	129.0	56.0
100873304	2.0	0.0
100873332	1.0	0.0
3660	2953.0	888.0
100873331	0.0	0.0
3661	3950.0	2847.0
100873330	2.0	0.0
285577	3.0	0.0
3662	1882.0	399.0
100128756	0.0	0.0
1000	229.0	1556.0
3652	885.0	375.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	362.0	113.0
3654	4119.0	783.0
100873334	0.0	0.0
3655	3723.0	2401.0
100873333	1.0	0.0
3656	616.0	203.0
100873339	0.0	0.0
3658	3664.0	805.0
100873338	0.0	0.0
3659	7428.0	1381.0
100873337	0.0	4.0
3670	14.0	0.0
100873321	0.0	0.0
3671	11429.0	5834.0
100873320	0.0	0.0
3672	3274.0	2478.0
285588	0.0	0.0
3673	437.0	582.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	0.0
1007	0.0	1.0
1006	6.0	21.0
1005	0.0	0.0
1004	343.0	1041.0
1003	3376.0	3324.0
1002	152.0	239.0
1001	577.0	1418.0
3663	1017.0	364.0
100873325	0.0	0.0
3664	5459.0	2289.0
100873324	0.0	0.0
3665	1581.0	1026.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5256.0	1476.0
100873329	0.0	0.0
285590	1091.0	1020.0
100873328	0.0	0.0
3669	2990.0	585.0
100873327	0.0	0.0
1009	869.0	518.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	4.0	2.0
728477	7.0	2.0
3680	7115.0	2510.0
3681	138.0	22.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1319.0	258.0
100873353	0.0	0.0
3683	7648.0	352.0
100873352	0.0	0.0
128710	624.0	326.0
3684	1344.0	385.0
100873351	0.0	0.0
285512	229.0	88.0
1022	1233.0	694.0
285513	2418.0	235.0
1021	1483.0	525.0
1020	674.0	596.0
440299	0.0	0.0
1019	3386.0	742.0
128709	1.0	0.0
1018	53.0	18.0
1017	1232.0	419.0
1016	6.0	0.0
1015	13.0	3.0
1014	4394.0	39.0
1013	7.0	15.0
1012	244.0	521.0
116730	18.0	22.0
3674	252.0	55.0
100873358	0.0	0.0
3675	12604.0	19563.0
100873357	0.0	0.0
3676	2352.0	71.0
100128731	6520.0	5441.0
100873356	0.0	0.0
3678	3500.0	2318.0
3679	688.0	1049.0
100873359	0.0	0.0
728464	28.0	9.0
728463	19.0	1.0
100128725	0.0	0.0
3690	2418.0	331.0
3691	2326.0	1466.0
100873343	1.0	0.0
3692	4552.0	2389.0
3693	2549.0	1971.0
285521	931.0	440.0
100873342	0.0	0.0
3694	1183.0	433.0
100873341	1.0	0.0
3695	1164.0	22.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	167.0	21.0
1032	580.0	174.0
285525	13.0	7.0
1031	796.0	452.0
285527	2788.0	824.0
1030	139.0	171.0
728468	0.0	0.0
440288	114.0	11.0
1029	108.0	103.0
440295	196.0	100.0
1028	680.0	537.0
1027	6452.0	1292.0
1026	8418.0	12801.0
1025	3349.0	3015.0
1024	576.0	246.0
3685	9957.0	3070.0
100873347	0.0	0.0
100873346	0.0	1.0
3687	2200.0	654.0
100873345	0.0	5.0
3688	8016.0	2110.0
100873344	1.0	0.0
3689	11456.0	1929.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	36.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	46.0	4.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	65.0	88.0
100873374	1.0	0.0
728495	0.0	2.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	25.0	5.0
1043	6309.0	415.0
1041	2.0	2.0
1040	4268.0	1629.0
1039	4754.0	758.0
1038	0.0	0.0
1036	292.0	98.0
3696	1437.0	145.0
3697	18.0	0.0
100873379	0.0	0.0
3698	23.0	11.0
100873378	2.0	1.0
3699	67.0	10.0
100873377	0.0	0.0
728486	16.0	7.0
100873361	0.0	0.0
105373869	2.0	1.0
100873360	0.0	0.0
285540	94.0	38.0
100128705	3.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	2692.0	1016.0
285547	0.0	0.0
1053	8.0	1.0
285548	4.0	2.0
1052	3476.0	4027.0
1051	3845.0	1333.0
728489	15.0	7.0
1050	831.0	354.0
100128707	0.0	0.0
1048	0.0	0.0
1047	24.0	0.0
1046	0.0	0.0
1045	7.0	0.0
100873369	10.0	4.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	241.0	7.0
1063	742.0	141.0
1062	378.0	56.0
1061	3.0	1.0
1060	2010.0	544.0
440253	273.0	136.0
1059	4375.0	5421.0
1058	106.0	14.0
1057	2.0	2.0
85379	4591.0	916.0
114112	418.0	140.0
1056	25.0	66.0
85377	2112.0	870.0
85378	4775.0	1758.0
128745	1.0	0.0
85376	14.0	1.0
440248	565.0	419.0
1075	5675.0	2078.0
1074	8.0	3.0
1073	2509.0	1038.0
1072	33396.0	19839.0
1071	403.0	245.0
440243	0.0	0.0
1070	940.0	285.0
1069	3567.0	1902.0
1068	0.0	0.0
85369	1935.0	612.0
85366	16.0	106.0
85364	2029.0	987.0
85365	2661.0	717.0
85363	1489.0	557.0
85360	553.0	461.0
1080	36.0	0.0
85391	13.0	1.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	2.0
153733	477.0	136.0
1087	1.0	0.0
1086	0.0	0.0
440279	42.0	4.0
1085	1.0	0.0
1084	6.0	5.0
440278	177.0	56.0
1082	0.0	0.0
403294	0.0	1.0
440275	3215.0	1541.0
1081	0.0	0.0
85397	631.0	5.0
85395	422.0	299.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	5084.0	12950.0
1089	17.0	27.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	60.0	27.0
285598	475.0	150.0
126133	2158.0	836.0
128790	1.0	0.0
126129	128.0	147.0
126123	1.0	0.0
442862	0.0	0.0
126119	1325.0	1035.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	28.0	26.0
442897	0.0	0.0
442898	5.0	2.0
114134	302.0	287.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	2.0
100128788	80.0	75.0
100128787	1.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	4.0	1.0
442892	1.0	0.0
128756	0.0	0.0
100128782	419.0	157.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	0.0	1.0
