id	ae39a55a-0a70-4650-9a55-9e7a19e97376	0bcb13b2-14e8-42bb-949f-23123c2a2d44
126119	1030.0	1351.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	2.0
442894	0.0	0.0
442895	1.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	185.0	8.0
442897	0.0	0.0
442898	1.0	2.0
114134	356.0	1112.0
442899	0.0	0.0
100128790	0.0	0.0
128760	14.0	6.0
100128788	35.0	69.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	10.0	3.0
442892	1.0	0.0
128756	0.0	0.0
100128782	394.0	322.0
100128781	4.0	1.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	291.0	49.0
102466616	0.0	0.0
126052	0.0	0.0
151009	94.0	97.0
403227	1.0	1.0
403228	0.0	0.0
138046	4.0	0.0
645558	0.0	0.0
403229	1.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	16.0	7.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	670.0	842.0
107131122	1.0	0.0
138050	7531.0	8422.0
403219	0.0	2.0
151011	4044.0	4514.0
645587	2.0	0.0
165679	15.0	71.0
126037	18.0	16.0
114049	3841.0	6220.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	572.0	772.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2827.0	3062.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	209.0	109.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	9.0	335.0
645598	0.0	0.0
163007	0.0	8.0
114038	0.0	3.0
645591	0.0	0.0
106481495	0.0	0.0
114041	229.0	12.0
106481496	0.0	0.0
114042	3.0	6.0
106481493	0.0	0.0
114043	0.0	47.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	193.0	159.0
126017	563.0	508.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	1.0
85301	3121.0	779.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	352.0	291.0
106481459	0.0	0.0
26994	10766.0	10776.0
106481457	2.0	8.0
26995	2220.0	2191.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2385.0	3625.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2983.0	3208.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	8.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	18.0	389.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	617.0	424.0
403255	0.0	0.0
403256	0.0	0.0
403257	1.0	0.0
344471	3.0	7.0
106481437	0.0	0.0
26974	495.0	344.0
153657	73.0	53.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1354.0	1477.0
165631	26.0	163.0
106481436	0.0	1.0
26978	6.0	8.0
126075	707.0	1239.0
106481439	0.0	0.0
403250	0.0	0.0
126074	245.0	225.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	2276.0	3280.0
106481444	5.0	9.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2119.0	2446.0
85354	0.0	0.0
85352	54.0	33.0
403241	6.0	7.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	826.0	492.0
153643	46.0	70.0
403247	0.0	0.0
403248	0.0	0.0
26985	3426.0	2942.0
106481448	0.0	0.0
26986	29519.0	54766.0
126069	133.0	114.0
106481449	0.0	0.0
126068	1140.0	1160.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1042.0	988.0
106481447	0.0	0.0
106481451	3.0	6.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	65.0	41.0
106481455	0.0	1.0
85349	462.0	68.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	1.0
106481454	1.0	0.0
403238	0.0	0.0
85344	39.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2377.0	7087.0
100873390	0.0	0.0
728556	36.0	34.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	145.0	130.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	524.0	520.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	297.0	186.0
100873384	0.0	0.0
285601	3.0	9.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	0.0
63910	45.0	476.0
106481424	0.0	0.0
106481425	1.0	0.0
285605	1015.0	475.0
222008	10.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4130.0	4400.0
63904	0.0	0.0
106481430	0.0	0.0
163071	748.0	446.0
63906	761.0	922.0
106481433	0.0	0.0
63908	1055.0	711.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	15.0
285613	58.0	100.0
63920	793.0	551.0
63923	290.0	66.0
63922	302.0	733.0
728577	53.0	13.0
63925	1439.0	2201.0
63924	6.0	0.0
63916	2871.0	3769.0
63917	5292.0	4660.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	5.0
728564	3.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1777.0	2204.0
106481402	0.0	0.0
63931	2232.0	1545.0
106481403	0.0	0.0
63934	1152.0	1310.0
728567	2.0	6.0
106481408	0.0	0.0
163088	5.0	4.0
63933	3467.0	3179.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4323.0	4169.0
163087	1045.0	800.0
728568	436.0	398.0
106481407	9.0	6.0
3704	2349.0	3185.0
3705	3469.0	14771.0
63926	1437.0	372.0
3706	10.0	101.0
63929	1078.0	855.0
3707	1996.0	3226.0
63928	2.0	0.0
3708	14539.0	1231.0
106481411	0.0	0.0
3709	2232.0	3285.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	14.0	19.0
3702	78.0	114.0
3703	11570.0	9633.0
645506	0.0	0.0
151050	1886.0	2037.0
645520	0.0	0.0
63941	1290.0	1281.0
63940	208.0	642.0
63943	865.0	623.0
728517	0.0	0.0
163033	748.0	1320.0
258010	4418.0	5288.0
63947	1.0	0.0
63946	0.0	0.0
728513	21.0	3.0
100033803	0.0	0.0
3716	9226.0	13085.0
100033804	0.0	0.0
3717	960.0	631.0
100033805	0.0	0.0
3718	138.0	2114.0
63939	1289.0	1518.0
100033806	0.0	0.0
100190799	7.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	118.0	122.0
3710	15050.0	14419.0
3712	19028.0	8769.0
3713	0.0	26.0
3714	711.0	1638.0
63950	2.0	3.0
728505	1.0	0.0
63951	657.0	512.0
100033807	0.0	0.0
728501	25.0	28.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	52872.0	26854.0
100033814	0.0	0.0
3727	26561.0	12733.0
63948	3.0	69.0
100033815	0.0	0.0
222052	1.0	0.0
3728	24932.0	25142.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	968.0	1050.0
151056	300.0	130.0
3725	179111.0	21064.0
645528	0.0	0.0
728532	46.0	34.0
163059	627.0	494.0
728538	0.0	0.0
728537	146.0	164.0
63967	10.0	107.0
3737	50.0	4.0
3738	48.0	36.0
3739	1.0	0.0
645538	0.0	0.0
3730	1893.0	3831.0
3732	2612.0	2605.0
3734	0.0	0.0
3735	6317.0	7814.0
3736	417.0	9.0
63970	4.0	2.0
3750	125.0	296.0
63971	6809.0	4985.0
63974	0.0	0.0
163049	4537.0	2542.0
63973	0.0	0.0
63976	2886.0	2248.0
222068	14900.0	15957.0
63978	0.0	1.0
63977	509.0	652.0
63979	502.0	1058.0
728524	0.0	0.0
3748	2102.0	3166.0
163051	59.0	60.0
3749	537.0	564.0
163050	72.0	54.0
3741	143.0	62.0
645548	9.0	9.0
3743	0.0	3.0
3744	0.0	0.0
3745	50.0	33.0
3746	16.0	1.0
3747	0.0	0.0
285671	2297.0	1795.0
285672	1859.0	1697.0
100873431	0.0	1.0
100873430	0.0	0.0
3760	3.0	0.0
285676	150.0	255.0
3761	2.0	6.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	137.0	6821.0
283008	0.0	0.0
3751	56.0	6.0
100873435	0.0	0.0
3752	141.0	63.0
100873434	0.0	0.0
3753	0.0	8.0
100873433	0.0	0.0
3754	19.0	22.0
100873432	0.0	0.0
3755	3.0	29.0
100873439	0.0	0.0
3756	11.0	18.0
100873438	0.0	0.0
3757	6.0	51.0
100873437	0.0	0.0
3758	60.0	12.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	139.0	139.0
3772	23502.0	15307.0
100861458	0.0	0.0
100861453	21.0	18.0
100861455	0.0	0.0
1107	15263.0	10580.0
1106	10153.0	9280.0
1105	2561.0	3105.0
1104	868.0	1879.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2592.0	2337.0
1101	127.0	85.0
3762	169.0	227.0
100873424	0.0	0.0
3763	0.0	11.0
100128640	172.0	136.0
100873423	0.0	0.0
3764	716.0	752.0
100873422	0.0	0.0
3765	6.0	7.0
100873421	2.0	0.0
3766	56.0	22.0
100873428	0.0	0.0
3767	204.0	537.0
100873427	0.0	0.0
3768	527.0	278.0
1109	1.0	1.0
100873426	1.0	0.0
1108	21098.0	36957.0
3769	228.0	9.0
100873425	2.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	2.0	34.0
100873453	0.0	0.0
3781	14.0	61.0
100873452	0.0	0.0
3782	577.0	945.0
100873451	0.0	0.0
3783	48.0	8081.0
100873450	0.0	0.0
1121	2220.0	1631.0
100861468	0.0	0.0
1120	148.0	263.0
100861469	0.0	0.0
1118	272.0	458.0
1117	940.0	1521.0
1116	174.0	10030.0
1114	183.0	99.0
1113	70.0	0.0
1112	1975.0	2283.0
1111	268.0	548.0
3773	34996.0	27772.0
100873457	1.0	1.0
100873456	0.0	1.0
3775	747.0	1499.0
100873455	0.0	0.0
3776	862.0	23.0
100873454	0.0	0.0
3777	942.0	1090.0
3778	212.0	133.0
3779	73.0	157.0
100873459	0.0	0.0
1119	2774.0	1827.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	96.0	1535.0
100128628	5.0	3.0
3791	4530.0	5402.0
100873442	0.0	0.0
3792	19.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	7.0
1131	218.0	460.0
1130	2300.0	4506.0
100861476	0.0	0.0
1129	6.0	2.0
1128	4.0	3.0
1124	760.0	2439.0
1123	370.0	844.0
1122	1068.0	937.0
100861470	0.0	0.0
3784	9910.0	3910.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	36.0	4676.0
100873444	0.0	0.0
3787	18.0	22.0
100873443	0.0	0.0
3788	3.0	3.0
100873449	7.0	13.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	191.0	377.0
100128618	0.0	0.0
728597	5.0	0.0
100128617	2.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	70.0	151.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	16.0	33.0
285634	10.0	5.0
1142	0.0	1.0
1141	10.0	7.0
285636	2790.0	2541.0
1140	1951.0	2480.0
728599	0.0	2.0
1139	85.0	11.0
1138	9.0	19.0
1137	422.0	20.0
100861485	1.0	0.0
1136	3.0	9.0
1135	0.0	0.0
1134	2.0	0.0
1133	4.0	5.0
3795	99.0	157.0
100873479	3.0	9.0
3796	1404.0	1037.0
100873478	0.0	0.0
3797	694.0	1070.0
100873477	1.0	2.0
3798	440.0	1806.0
100873476	0.0	0.0
3799	9911.0	8437.0
100873460	0.0	0.0
728586	14.0	29.0
285641	0.0	0.0
100873464	4.0	6.0
100873463	0.0	4.0
100873462	2.0	2.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1261.0	4626.0
1153	27868.0	37856.0
1152	14678.0	4409.0
285647	28.0	16.0
728589	6.0	15.0
728588	0.0	0.0
1149	14.0	0.0
1147	1576.0	1127.0
1146	3.0	0.0
1145	36.0	136.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	1.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	2.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	114.0	1090.0
1163	560.0	642.0
285659	0.0	0.0
1161	385.0	325.0
1160	121.0	630.0
1159	66.0	50.0
1158	3.0	5.0
1157	0.0	0.0
1155	2335.0	4450.0
550643	2188.0	2710.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2083.0	3383.0
1175	1580.0	2715.0
285668	2.0	1.0
1174	1464.0	2948.0
1173	15158.0	23224.0
550631	316.0	422.0
100873489	0.0	0.0
283014	14.0	13.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	129.0	24.0
1186	3034.0	5505.0
1185	1540.0	1256.0
1184	589.0	304.0
1183	1772.0	1001.0
1182	6058.0	4989.0
1181	416.0	468.0
440375	74.0	44.0
1180	4.0	49.0
1179	0.0	0.0
1178	0.0	2.0
283089	35.0	6.0
85495	0.0	0.0
85480	113.0	21.0
283080	0.0	0.0
1198	2845.0	3318.0
1197	0.0	1.0
1196	1697.0	2893.0
1195	6441.0	9249.0
440366	2.0	0.0
1193	2477.0	2571.0
1192	9619.0	18390.0
1191	129978.0	1057157.0
1188	1634.0	171.0
283078	84.0	88.0
85486	1.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	48.0	28.0
440396	54.0	53.0
128609	0.0	0.0
128602	0.0	0.0
440387	6.0	2.0
128674	2.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	1.0
126014	15.0	138.0
440335	7.0	4.0
100128690	0.0	0.0
114034	1243.0	1163.0
126006	41.0	121.0
114036	247.0	190.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	38.0	56.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	370.0	584.0
440356	8.0	6.0
440354	41.0	68.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	2.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	18.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	187.0	282.0
100861435	0.0	0.0
100861436	1.0	0.0
440345	60.0	106.0
200734	3273.0	5293.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	7.0	9.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3712.0	4212.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	4.0
165530	1.0	48.0
85409	4.0	36.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	3.0	2.0
85417	46.0	24.0
106481384	0.0	0.0
103106903	1.0	1.0
85414	59.0	155.0
106481389	0.0	0.0
85415	881.0	526.0
106481387	0.0	0.0
85413	1.0	2.0
106481388	4.0	14.0
645436	0.0	4.0
106481381	0.0	1.0
106481382	0.0	0.0
10	1.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1028.0	1061.0
12	0.0	2.0
13	3.0	0.0
14	8667.0	8210.0
15	12.0	6.0
16	9677.0	7480.0
645455	35.0	23.0
18	11018.0	6682.0
19	4374.0	3909.0
128580	11.0	8.0
85407	82.0	175.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1909.0	1542.0
106481395	1.0	1.0
85403	1661.0	1782.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8766.0	15353.0
106481390	0.0	0.0
21	7324.0	5061.0
106481391	0.0	0.0
22	1154.0	1109.0
153571	189.0	1179.0
153572	119.0	2460.0
23	4697.0	3757.0
24	79.0	127.0
25	9798.0	10332.0
26	2.0	132.0
27	1897.0	1695.0
28	4769.0	7195.0
29	2155.0	7933.0
153579	720.0	313.0
728615	0.0	2.0
728614	0.0	0.0
200765	382.0	322.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	61.0	55.0
102466518	0.0	1.0
102466516	6.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1814.0	1347.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	2653.0	3058.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	250.0	347.0
106481366	0.0	0.0
30	3014.0	4988.0
106481360	0.0	0.0
31	2654.0	2089.0
32	4602.0	1088.0
33	1566.0	496.0
34	4001.0	2033.0
35	2085.0	1299.0
153562	6478.0	3062.0
36	2803.0	1265.0
37	13104.0	22541.0
38	4083.0	1726.0
440307	9.0	10.0
39	890.0	866.0
165545	0.0	8.0
106481369	0.0	0.0
728606	34.0	11.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	4.0
106481370	0.0	0.0
41	42.0	50.0
106481371	0.0	0.0
43	61.0	54.0
645486	1.0	0.0
47	6478.0	7600.0
48	4014.0	5232.0
49	12.0	29.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	1.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	4.0	5.0
106481340	0.0	0.0
85458	4329.0	1439.0
