id	cdcc3039-166f-4f56-a4e3-7f4e5846c682	4a57d94c-6cce-43a6-97c5-7733da607c42
285550	2836.0	3003.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	47.0	28.0
3640	1.0	0.0
3638	1621.0	1580.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1987.0	1394.0
100873313	1.0	0.0
3632	2440.0	1365.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1467.0	794.0
100873318	0.0	0.0
3635	634.0	426.0
100873317	0.0	0.0
3636	10131.0	6804.0
100128771	67.0	56.0
100873316	10.0	8.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	22.0	29.0
2	23981.0	25896.0
100873309	0.0	0.0
100873308	0.0	0.0
3	4.0	27.0
3641	0.0	0.0
100873303	1.0	0.0
9	226.0	126.0
3642	36.0	0.0
100873302	1.0	3.0
3643	3766.0	10403.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	16.0	1.0
100873307	0.0	0.0
3646	16145.0	19429.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	172.0	145.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3575.0	1939.0
100873331	0.0	0.0
3661	4504.0	4030.0
100873330	0.0	0.0
285577	1.0	0.0
3662	83.0	4.0
100128756	0.0	0.0
1000	104.0	7008.0
3652	1270.0	695.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	537.0	328.0
3654	3578.0	1355.0
100873334	0.0	1.0
3655	4106.0	2910.0
100873333	1.0	0.0
3656	436.0	280.0
100873339	0.0	0.0
3658	5635.0	2301.0
100873338	0.0	0.0
3659	2049.0	1118.0
100873337	0.0	0.0
3670	7.0	299.0
100873321	0.0	0.0
3671	12636.0	17163.0
100873320	0.0	0.0
3672	5422.0	8647.0
285588	1.0	0.0
3673	855.0	259.0
1011	0.0	0.0
1010	1.0	1.0
1008	0.0	0.0
1007	0.0	1.0
1006	5.0	74.0
1005	1.0	2.0
1004	259.0	964.0
1003	4361.0	5869.0
1002	58.0	41.0
1001	336.0	46.0
3663	249.0	85.0
100873325	0.0	0.0
3664	5273.0	3577.0
100873324	0.0	0.0
3665	1316.0	1997.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	18621.0	2209.0
100873329	0.0	0.0
285590	1122.0	1163.0
100873328	0.0	0.0
3669	1256.0	528.0
100873327	0.0	0.0
1009	713.0	16.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	9.0	5.0
728477	18.0	0.0
3680	12363.0	1646.0
3681	30.0	2.0
100128733	4.0	0.0
100873354	0.0	0.0
3682	884.0	563.0
100873353	0.0	0.0
3683	674.0	137.0
100873352	0.0	0.0
128710	844.0	1263.0
3684	329.0	76.0
100873351	0.0	0.0
285512	273.0	289.0
1022	1361.0	1648.0
285513	510.0	410.0
1021	1705.0	1071.0
1020	903.0	1267.0
440299	0.0	0.0
1019	4488.0	938.0
128709	3.0	0.0
1018	60.0	70.0
1017	1217.0	740.0
1016	4.0	1.0
1015	8.0	5.0
1014	13225.0	4103.0
1013	6.0	1.0
1012	209.0	1504.0
116730	21.0	21.0
3674	513.0	153.0
100873358	0.0	0.0
3675	18575.0	9219.0
100873357	0.0	0.0
3676	279.0	22.0
100128731	8448.0	13938.0
100873356	0.0	0.0
3678	2223.0	3087.0
3679	1123.0	1032.0
100873359	0.0	0.0
728464	61.0	0.0
728463	12.0	0.0
100128725	1.0	0.0
3690	3020.0	948.0
3691	2053.0	541.0
100873343	0.0	0.0
3692	5708.0	5580.0
3693	4608.0	4106.0
285521	1273.0	1291.0
100873342	0.0	0.0
3694	1465.0	1655.0
100873341	1.0	0.0
3695	324.0	66.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	23.0	54.0
1032	208.0	284.0
285525	8.0	8.0
1031	504.0	851.0
285527	3294.0	1982.0
1030	58.0	378.0
728468	0.0	1.0
440288	122.0	49.0
1029	31.0	148.0
440295	300.0	416.0
1028	829.0	742.0
1027	6178.0	2296.0
1026	3771.0	4847.0
1025	3645.0	4135.0
1024	901.0	582.0
3685	10034.0	5389.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	405.0	104.0
100873345	0.0	0.0
3688	9857.0	5460.0
100873344	1.0	1.0
3689	1800.0	255.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	92.0	48.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	45.0	5.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	26.0	4.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	2.0
1043	579.0	80.0
1041	3.0	1.0
1040	5766.0	2787.0
1039	7176.0	4060.0
1038	0.0	2.0
1036	750.0	784.0
3696	1851.0	198.0
3697	2.0	4.0
100873379	0.0	0.0
3698	26.0	29.0
100873378	8.0	4.0
3699	98.0	229.0
100873377	0.0	0.0
728486	16.0	1.0
100873361	0.0	0.0
105373869	1.0	0.0
100873360	0.0	0.0
285540	186.0	182.0
100128705	1.0	0.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	2.0	1.0
100128701	1.0	0.0
1054	2685.0	2382.0
285547	0.0	0.0
1053	6.0	4.0
285548	0.0	2.0
1052	8507.0	3727.0
1051	5134.0	7436.0
728489	4.0	8.0
1050	2011.0	164.0
100128707	2.0	0.0
1048	81.0	0.0
1047	20.0	1.0
1046	0.0	0.0
1045	3.0	0.0
100873369	10.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	7.0	1.0
1066	1569.0	145.0
1063	92.0	327.0
1062	112.0	91.0
1061	6.0	1.0
1060	3042.0	1253.0
440253	535.0	214.0
1059	5451.0	6082.0
1058	13.0	32.0
1057	2.0	3.0
85379	9929.0	2796.0
114112	785.0	442.0
1056	51.0	58.0
85377	3083.0	1627.0
85378	6373.0	5809.0
128745	0.0	0.0
85376	81.0	26.0
440248	933.0	936.0
1075	3521.0	2982.0
1074	21.0	9.0
1073	3043.0	1605.0
1072	29669.0	27406.0
1071	328.0	1593.0
440243	0.0	0.0
1070	1555.0	1046.0
1069	7081.0	5685.0
1068	0.0	0.0
85369	2617.0	1152.0
85366	116.0	24.0
85364	2672.0	2280.0
85365	3900.0	2842.0
85363	2803.0	1409.0
85360	1238.0	862.0
1080	69.0	12.0
85391	26.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	697.0	287.0
1087	1.0	0.0
1086	0.0	0.0
440279	107.0	9.0
1085	0.0	2.0
1084	2.0	1.0
440278	317.0	139.0
1082	0.0	0.0
403294	4.0	3.0
440275	4620.0	2632.0
1081	1.0	0.0
85397	3301.0	456.0
85395	492.0	550.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	1.0
440270	9333.0	17965.0
1089	4.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	170.0	87.0
285598	340.0	93.0
126133	2011.0	935.0
128790	0.0	1.0
126129	124.0	139.0
126123	14.0	15.0
442862	0.0	0.0
126119	2196.0	1789.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	2.0	0.0
442895	2.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	79.0	76.0
442897	0.0	0.0
442898	4.0	3.0
114134	329.0	142.0
442899	0.0	0.0
100128790	0.0	0.0
128760	12.0	1.0
100128788	137.0	217.0
100128787	0.0	0.0
440225	0.0	1.0
440224	1.0	0.0
442890	0.0	0.0
442891	10.0	0.0
442892	2.0	1.0
128756	0.0	0.0
100128782	571.0	351.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	5.0	2.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	170.0	34.0
102466616	0.0	0.0
126052	0.0	0.0
151009	171.0	86.0
403227	0.0	0.0
403228	0.0	0.0
138046	3.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	31.0	17.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	1245.0	571.0
107131122	2.0	2.0
138050	10227.0	8097.0
403219	0.0	1.0
151011	4810.0	2667.0
645587	3.0	0.0
165679	33.0	6.0
126037	32.0	31.0
114049	6117.0	7497.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	484.0	135.0
