id	64cdea2b-96fc-489f-bef5-ebfd6d7152bf	e89c96d6-a2ab-4bac-bbba-8c52d49a3edf
3693	5864.0	6401.0
285521	682.0	1003.0
100873342	0.0	0.0
3694	1022.0	1621.0
100873341	0.0	0.0
3695	141.0	52.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	20.0	24.0
1032	219.0	152.0
285525	6.0	5.0
1031	414.0	1073.0
285527	3737.0	3829.0
1030	72.0	418.0
728468	0.0	0.0
440288	95.0	116.0
1029	7.0	26.0
440295	124.0	159.0
1028	844.0	328.0
1027	5318.0	5076.0
1026	14582.0	34945.0
1025	4212.0	4395.0
1024	537.0	654.0
3685	11715.0	22567.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	42.0	417.0
100873345	0.0	0.0
3688	14847.0	14387.0
100873344	1.0	0.0
3689	356.0	1169.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	72.0	87.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	70.0	60.0
100873375	1.0	0.0
100128710	0.0	0.0
285533	18.0	24.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	1.0
1043	139.0	250.0
1041	1.0	3.0
1040	5967.0	7889.0
1039	9483.0	4577.0
1038	2.0	3.0
1036	441.0	224.0
3696	1832.0	991.0
3697	4.0	2.0
100873379	0.0	0.0
3698	15.0	8.0
100873378	2.0	2.0
3699	167.0	23.0
100873377	0.0	0.0
728486	14.0	8.0
100873361	0.0	0.0
105373869	2.0	4.0
100873360	0.0	0.0
285540	140.0	136.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	2610.0	2505.0
285547	0.0	0.0
1053	1.0	0.0
285548	1.0	0.0
1052	3859.0	2659.0
1051	2952.0	1922.0
728489	8.0	3.0
1050	576.0	896.0
100128707	0.0	1.0
1048	4.0	2.0
1047	27.0	19.0
1046	0.0	0.0
1045	0.0	0.0
100873369	11.0	11.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	4.0
1066	352.0	818.0
1063	61.0	152.0
1062	142.0	107.0
1061	10.0	13.0
1060	3034.0	3620.0
440253	459.0	663.0
1059	5565.0	4531.0
1058	6.0	12.0
1057	2.0	2.0
85379	11396.0	7667.0
114112	1109.0	908.0
1056	24.0	45.0
85377	3199.0	1658.0
85378	5301.0	3042.0
128745	0.0	0.0
85376	8.0	18.0
440248	543.0	464.0
1075	3993.0	3815.0
1074	8.0	19.0
1073	3324.0	5128.0
1072	19614.0	24493.0
1071	590.0	421.0
440243	1.0	0.0
1070	1083.0	919.0
1069	8178.0	5790.0
1068	0.0	0.0
85369	2950.0	2917.0
85366	12.0	41.0
85364	2946.0	2643.0
85365	2872.0	2753.0
85363	1247.0	2020.0
85360	1068.0	561.0
1080	65.0	13.0
85391	18.0	2.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	393.0	426.0
1087	0.0	0.0
1086	0.0	0.0
440279	488.0	387.0
1085	1.0	1.0
1084	0.0	2.0
440278	152.0	176.0
1082	0.0	1.0
403294	0.0	0.0
440275	5524.0	6908.0
1081	0.0	0.0
85397	656.0	420.0
85395	340.0	205.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	2534.0	6708.0
1089	7.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	25.0	122.0
285598	773.0	376.0
126133	1183.0	692.0
128790	5.0	0.0
126129	78.0	314.0
126123	4.0	7.0
442862	0.0	0.0
126119	701.0	522.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	2.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	61.0	25.0
442897	0.0	0.0
442898	2.0	1.0
114134	472.0	966.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	7.0
100128788	67.0	118.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	4.0
442890	0.0	0.0
442891	0.0	1.0
442892	3.0	1.0
128756	1.0	0.0
100128782	489.0	446.0
100128781	1.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	1.0	0.0
403235	3.0	2.0
403236	0.0	0.0
63982	151.0	149.0
102466616	0.0	0.0
126052	0.0	0.0
151009	84.0	80.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	943.0	999.0
107131122	0.0	0.0
138050	6746.0	9354.0
403219	0.0	0.0
151011	4663.0	4462.0
645587	2.0	7.0
165679	8.0	3.0
126037	30.0	31.0
114049	4678.0	5559.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1228.0	634.0
100033821	1.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3877.0	4025.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	73.0	68.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	14.0	24.0
645598	0.0	1.0
163007	2.0	1.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	2.0
114041	154.0	1.0
106481496	0.0	0.0
114042	15.0	9.0
106481493	0.0	0.0
114043	20.0	48.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	202.0	253.0
126017	721.0	807.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	7148.0	2262.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	3.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	227.0	991.0
106481459	0.0	0.0
26994	10115.0	14422.0
106481457	4.0	10.0
26995	2538.0	2674.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4602.0	7946.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	4.0	0.0
106481460	0.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4958.0	4683.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	16.0	1.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	13.0	26.0
106481470	0.0	1.0
403252	0.0	0.0
403253	2.0	0.0
403254	0.0	0.0
126070	648.0	748.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	8.0
106481437	0.0	0.0
26974	383.0	389.0
153657	94.0	110.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1567.0	1619.0
165631	30.0	96.0
106481436	7.0	3.0
26978	7.0	11.0
126075	977.0	1305.0
106481439	0.0	0.0
403250	0.0	0.0
126074	313.0	278.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	3282.0	1426.0
106481444	14.0	42.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3148.0	4331.0
85354	0.0	0.0
85352	46.0	15.0
403241	15.0	16.0
344462	0.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	1000.0	675.0
153643	122.0	401.0
403247	0.0	0.0
403248	0.0	0.0
26985	3073.0	3276.0
106481448	0.0	0.0
26986	48468.0	42742.0
126069	115.0	157.0
106481449	0.0	0.0
126068	930.0	1201.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1073.0	1285.0
106481447	0.0	0.0
106481451	4.0	2.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	50.0	37.0
106481455	0.0	0.0
85349	314.0	306.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	13.0	39.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	3.0
100873392	0.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	2.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	3668.0	4476.0
100873390	0.0	0.0
728556	39.0	48.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	177.0	283.0
106481417	2.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	849.0	814.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	7.0	6.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	426.0	441.0
100873384	0.0	0.0
285601	6.0	9.0
106481426	1.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	79.0	448.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	916.0	1247.0
222008	4.0	0.0
106481428	1.0	0.0
106481429	1.0	1.0
63905	4855.0	4961.0
63904	0.0	0.0
106481430	1.0	1.0
163071	490.0	416.0
63906	1298.0	1121.0
106481433	0.0	0.0
63908	1640.0	1743.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	4.0
285613	97.0	180.0
63920	481.0	474.0
63923	283.0	37.0
63922	567.0	349.0
728577	33.0	37.0
63925	2651.0	2720.0
63924	71.0	1.0
63916	2996.0	4161.0
63917	5148.0	6731.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	2.0
728564	2.0	3.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2226.0	2452.0
106481402	0.0	0.0
63931	2252.0	2121.0
106481403	1.0	2.0
63934	1103.0	1761.0
728567	5.0	2.0
106481408	0.0	0.0
163088	9.0	9.0
63933	3308.0	4227.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6856.0	5285.0
163087	1093.0	1043.0
728568	557.0	541.0
106481407	4.0	10.0
3704	3555.0	3051.0
3705	3631.0	3921.0
63926	1504.0	1521.0
3706	13.0	42.0
63929	1137.0	520.0
3707	1874.0	2272.0
63928	3.0	8.0
3708	18083.0	18711.0
106481411	0.0	0.0
3709	2791.0	6494.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	48.0	34.0
3702	98.0	54.0
3703	11508.0	11871.0
645506	0.0	0.0
151050	3184.0	3466.0
645520	0.0	0.0
63941	1966.0	1764.0
63940	164.0	259.0
63943	1267.0	692.0
728517	0.0	0.0
163033	702.0	584.0
258010	4260.0	5839.0
63947	0.0	0.0
63946	1.0	0.0
728513	13.0	6.0
100033803	0.0	0.0
3716	11157.0	13862.0
100033804	0.0	0.0
3717	1047.0	868.0
100033805	0.0	0.0
3718	136.0	184.0
63939	1004.0	1935.0
100033806	0.0	0.0
100190799	5.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	126.0	200.0
3710	15208.0	19854.0
3712	41487.0	27467.0
3713	0.0	94.0
3714	1183.0	1420.0
63950	0.0	4.0
728505	0.0	0.0
63951	510.0	731.0
100033807	0.0	0.0
728501	70.0	27.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	43876.0	21793.0
100033814	0.0	0.0
3727	25561.0	12459.0
63948	17.0	23.0
100033815	0.0	0.0
222052	0.0	0.0
3728	25772.0	17491.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1012.0	1230.0
151056	884.0	201.0
3725	154341.0	87436.0
645528	0.0	1.0
728532	28.0	44.0
163059	566.0	661.0
728538	1.0	0.0
728537	349.0	323.0
63967	5.0	64.0
3737	134.0	116.0
3738	22.0	18.0
3739	4.0	0.0
645538	0.0	0.0
3730	2431.0	3509.0
3732	3074.0	3284.0
3734	1.0	0.0
3735	7323.0	5959.0
3736	1547.0	13.0
63970	2.0	6.0
3750	123.0	227.0
63971	9258.0	9990.0
63974	0.0	0.0
163049	4722.0	4367.0
63973	1.0	2.0
63976	3536.0	3827.0
222068	15327.0	21034.0
63978	0.0	1.0
63977	606.0	650.0
63979	670.0	492.0
728524	0.0	0.0
3748	3170.0	7938.0
163051	61.0	48.0
3749	722.0	1150.0
163050	89.0	75.0
3741	512.0	24.0
645548	4.0	7.0
3743	3.0	4.0
3744	0.0	0.0
3745	119.0	33.0
3746	8.0	43.0
3747	0.0	0.0
285671	3366.0	2346.0
285672	2038.0	2080.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	15.0	1.0
285676	108.0	242.0
3761	0.0	2.0
100128657	1.0	0.0
285679	0.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	171.0	176.0
283008	3.0	0.0
3751	42.0	1.0
100873435	0.0	0.0
3752	216.0	169.0
100873434	0.0	0.0
3753	4.0	3.0
100873433	1.0	0.0
3754	2.0	5.0
100873432	0.0	0.0
3755	7.0	8.0
100873439	0.0	0.0
3756	9.0	8.0
100873438	0.0	0.0
3757	3.0	82.0
100873437	0.0	0.0
3758	0.0	2.0
100873436	0.0	0.0
100873420	3.0	1.0
3770	182.0	146.0
3772	4905.0	6941.0
100861458	0.0	1.0
100861453	24.0	25.0
100861455	0.0	0.0
1107	14240.0	13525.0
1106	15882.0	19382.0
1105	3145.0	4198.0
1104	1534.0	1506.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3763.0	3463.0
1101	150.0	138.0
3762	39.0	142.0
100873424	0.0	0.0
3763	1.0	1.0
100128640	338.0	207.0
100873423	0.0	0.0
3764	425.0	287.0
100873422	0.0	0.0
3765	6.0	5.0
100873421	3.0	2.0
3766	128.0	582.0
100873428	0.0	0.0
3767	209.0	676.0
100873427	0.0	0.0
3768	165.0	196.0
1109	0.0	0.0
100873426	2.0	1.0
1108	20465.0	31268.0
3769	301.0	624.0
100873425	0.0	0.0
100128637	4.0	1.0
100128639	0.0	0.0
3780	3.0	15.0
100873453	0.0	0.0
3781	23.0	25.0
100873452	0.0	0.0
3782	541.0	1305.0
100873451	0.0	0.0
3783	61.0	61.0
100873450	0.0	0.0
1121	2825.0	3024.0
100861468	0.0	0.0
1120	352.0	253.0
100861469	0.0	1.0
1118	6.0	760.0
1117	634.0	724.0
1116	41.0	492.0
1114	64.0	123.0
1113	1.0	0.0
1112	4311.0	3120.0
1111	302.0	326.0
3773	18512.0	67744.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	648.0	1236.0
100873455	0.0	0.0
3776	769.0	638.0
100873454	0.0	0.0
3777	486.0	2527.0
3778	541.0	331.0
3779	223.0	71.0
100873459	0.0	0.0
1119	4755.0	3950.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	280.0	259.0
100128628	6.0	9.0
3791	13787.0	9485.0
100873442	0.0	0.0
3792	39.0	10.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	10.0
1131	275.0	769.0
1130	3020.0	3315.0
100861476	0.0	0.0
1129	1.0	0.0
1128	8.0	5.0
1124	1662.0	2166.0
1123	504.0	338.0
1122	1616.0	1379.0
100861470	0.0	0.0
3784	11911.0	9493.0
100873446	0.0	0.0
3785	15.0	2.0
100873445	0.0	0.0
3786	39.0	401.0
100873444	0.0	0.0
3787	13.0	12.0
100873443	0.0	0.0
3788	17.0	3.0
100873449	3.0	12.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	276.0	164.0
100128618	1.0	0.0
728597	5.0	1.0
100128617	5.0	8.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	21.0	41.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	24.0	52.0
285634	7.0	7.0
1142	0.0	1.0
1141	5.0	4.0
285636	3865.0	4009.0
1140	1701.0	2017.0
728599	4.0	4.0
1139	96.0	131.0
1138	7.0	13.0
1137	135.0	388.0
100861485	0.0	0.0
1136	1.0	10.0
1135	4.0	9.0
1134	0.0	12.0
1133	12.0	7.0
3795	358.0	158.0
100873479	2.0	8.0
3796	1372.0	1528.0
100873478	0.0	0.0
3797	747.0	749.0
100873477	0.0	3.0
3798	437.0	1755.0
100873476	0.0	0.0
3799	10181.0	13548.0
100873460	0.0	0.0
728586	17.0	29.0
285641	0.0	0.0
100873464	5.0	6.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	1.0	0.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	4868.0	3789.0
1153	46754.0	49121.0
1152	4882.0	6416.0
285647	63.0	74.0
728589	10.0	13.0
728588	0.0	0.0
1149	40.0	5.0
1147	2039.0	1856.0
1146	7.0	2.0
1145	20.0	40.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	112.0	595.0
1163	684.0	449.0
285659	0.0	0.0
1161	516.0	619.0
1160	167.0	353.0
1159	75.0	85.0
1158	3.0	1.0
1157	0.0	0.0
1155	2034.0	1823.0
550643	2171.0	2940.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3056.0	2965.0
1175	1824.0	1517.0
285668	5.0	2.0
1174	1491.0	2272.0
1173	17817.0	19239.0
550631	493.0	278.0
100873489	0.0	0.0
283014	6.0	7.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	395.0	309.0
1186	4795.0	5308.0
1185	3535.0	2833.0
1184	879.0	962.0
1183	2240.0	2379.0
1182	6315.0	7501.0
1181	546.0	504.0
440375	85.0	86.0
1180	6.0	9.0
1179	0.0	0.0
1178	3.0	0.0
283089	27.0	5.0
85495	0.0	0.0
85480	133.0	60.0
283080	0.0	0.0
1198	4339.0	4949.0
1197	1.0	3.0
1196	2754.0	3444.0
1195	11678.0	13170.0
440366	2.0	1.0
1193	2480.0	4010.0
1192	10488.0	13232.0
1191	144840.0	110394.0
1188	3219.0	681.0
283078	46.0	54.0
85486	3.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	35.0	18.0
440396	56.0	58.0
128609	0.0	0.0
128602	0.0	10.0
440387	1.0	1.0
128674	0.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	4.0	1.0
126014	14.0	57.0
440335	14.0	341.0
100128690	0.0	0.0
114034	1907.0	1748.0
126006	132.0	75.0
114036	99.0	49.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	54.0	56.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	5.0	4.0
100861429	0.0	0.0
128653	0.0	0.0
200728	433.0	531.0
440356	8.0	2.0
440354	134.0	144.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	1.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	16.0
100873410	0.0	0.0
100873417	0.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	6.0	5.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	104.0	107.0
200734	4857.0	5997.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	7.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	14.0	44.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5490.0	5490.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	2.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	5.0
165530	2.0	6.0
85409	10.0	22.0
106481385	1.0	1.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	0.0	1.0
85417	57.0	59.0
106481384	0.0	0.0
103106903	1.0	3.0
85414	50.0	47.0
106481389	0.0	0.0
85415	1169.0	1142.0
106481387	0.0	0.0
85413	0.0	0.0
106481388	4.0	8.0
645436	3.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	6.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1499.0	1645.0
12	12.0	0.0
13	5.0	0.0
14	10595.0	9742.0
15	21.0	17.0
16	9690.0	10260.0
645455	34.0	41.0
18	18133.0	26831.0
19	3466.0	9437.0
128580	10.0	13.0
85407	150.0	128.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	2205.0	2184.0
106481395	0.0	0.0
85403	1974.0	2373.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8031.0	9073.0
106481390	0.0	0.0
21	8020.0	9326.0
106481391	0.0	1.0
22	1703.0	1606.0
153571	453.0	3.0
153572	495.0	25.0
23	5728.0	5302.0
24	92.0	72.0
25	13970.0	13338.0
26	25.0	1230.0
27	2123.0	2458.0
28	6610.0	7395.0
29	2687.0	5791.0
153579	2221.0	2686.0
728615	0.0	0.0
728614	0.0	0.0
200765	403.0	553.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	39.0	38.0
102466518	0.0	1.0
102466516	35.0	17.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	946.0	509.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3178.0	3755.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	315.0	339.0
106481366	0.0	0.0
30	3414.0	4254.0
106481360	0.0	0.0
31	2460.0	3668.0
32	7836.0	4552.0
33	2896.0	2466.0
34	3621.0	3266.0
35	2289.0	1731.0
153562	4751.0	5915.0
36	3618.0	3203.0
37	15866.0	18676.0
38	4327.0	4347.0
440307	19.0	22.0
39	901.0	622.0
165545	7.0	8.0
106481369	0.0	0.0
728606	106.0	233.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	0.0	1.0
106481370	0.0	0.0
41	49.0	113.0
106481371	0.0	0.0
43	103.0	304.0
645486	0.0	0.0
47	5931.0	8011.0
48	4889.0	5697.0
49	32.0	49.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	7.0	7.0
106481340	0.0	1.0
