id	091c501b-2b8d-407e-84f2-dd56eaf100cc	15c369c7-2a50-4c53-b5ef-deab8fbf2a61
1068	0.0	1.0
85369	2492.0	2195.0
85366	62.0	109.0
85364	2673.0	2402.0
85365	3712.0	3484.0
85363	1853.0	2331.0
85360	619.0	459.0
1080	28.0	17.0
85391	10.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	443.0	304.0
1087	5.0	0.0
1086	0.0	0.0
440279	359.0	88.0
1085	0.0	0.0
1084	2.0	6.0
440278	335.0	553.0
1082	0.0	0.0
403294	0.0	1.0
440275	5119.0	4807.0
1081	1.0	0.0
85397	5161.0	3356.0
85395	352.0	459.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	2.0
440270	6047.0	3830.0
1089	5.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	80.0	65.0
285598	489.0	436.0
126133	1455.0	2308.0
128790	2.0	2.0
126129	73.0	80.0
126123	5.0	4.0
442862	0.0	0.0
126119	992.0	1206.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	1.0	1.0
114131	0.0	0.0
442896	2.0	0.0
114132	206.0	161.0
442897	0.0	0.0
442898	4.0	1.0
114134	345.0	145.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	7.0
100128788	105.0	93.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	4.0
442890	0.0	0.0
442891	8.0	8.0
442892	2.0	4.0
128756	2.0	0.0
100128782	487.0	434.0
100128781	2.0	0.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	6.0	1.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	105.0	238.0
102466616	0.0	0.0
126052	1.0	0.0
151009	136.0	202.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	0.0
645572	0.0	0.0
645571	2.0	26.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	673.0	1115.0
107131122	1.0	4.0
138050	10150.0	9386.0
403219	0.0	0.0
151011	4596.0	5153.0
645587	0.0	0.0
165679	18.0	4.0
126037	48.0	15.0
114049	5756.0	6035.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	589.0	398.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3936.0	1834.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	239.0	119.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	3.0	68.0
645598	2.0	1.0
163007	0.0	1.0
114038	0.0	1.0
645591	0.0	0.0
106481495	1.0	0.0
114041	196.0	35.0
106481496	0.0	0.0
114042	4.0	2.0
106481493	0.0	0.0
114043	29.0	39.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	243.0	246.0
126017	730.0	565.0
106481497	4.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	1.0
85301	2108.0	551.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	1.0	0.0
403278	0.0	0.0
26996	465.0	690.0
106481459	0.0	0.0
26994	13818.0	12088.0
106481457	8.0	19.0
26995	2895.0	3309.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3894.0	2698.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	4.0	0.0
106481460	3.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2655.0	1495.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	1.0	1.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	5.0	10.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	19.0	22.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	691.0	382.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	3.0
106481437	0.0	0.0
26974	456.0	371.0
153657	104.0	70.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1974.0	1572.0
165631	29.0	65.0
106481436	4.0	0.0
26978	7.0	14.0
126075	1089.0	861.0
106481439	0.0	0.0
403250	0.0	0.0
126074	275.0	216.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3218.0	4036.0
106481444	26.0	13.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1540.0	3203.0
85354	0.0	0.0
85352	575.0	185.0
403241	34.0	31.0
344462	5.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	907.0	717.0
153643	86.0	86.0
403247	0.0	0.0
403248	0.0	0.0
26985	4129.0	3034.0
106481448	0.0	0.0
26986	29190.0	20709.0
126069	137.0	81.0
106481449	0.0	0.0
126068	1084.0	579.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1207.0	921.0
106481447	0.0	0.0
106481451	4.0	5.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	69.0	27.0
106481455	0.0	2.0
85349	152.0	105.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	0.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	73.0	77.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	2.0	3.0
100873392	0.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	1.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3004.0	2701.0
100873390	0.0	0.0
728556	28.0	51.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	180.0	150.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	730.0	463.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	383.0	267.0
100873384	0.0	0.0
285601	3.0	0.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	3.0	0.0
63910	90.0	69.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1173.0	1185.0
222008	18.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5404.0	4909.0
63904	0.0	0.0
106481430	0.0	1.0
163071	1053.0	681.0
63906	1050.0	1201.0
106481433	0.0	0.0
63908	1536.0	1421.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	0.0
100873389	0.0	0.0
100873388	1.0	7.0
285613	65.0	118.0
63920	730.0	559.0
63923	81.0	67.0
63922	449.0	366.0
728577	33.0	27.0
63925	2242.0	1775.0
63924	5.0	2.0
63916	3665.0	4231.0
63917	6124.0	4933.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	9.0	0.0
728564	2.0	6.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1973.0	1887.0
106481402	1.0	0.0
63931	3196.0	2551.0
106481403	1.0	1.0
63934	1248.0	821.0
728567	9.0	3.0
106481408	1.0	0.0
163088	9.0	5.0
63933	5405.0	6176.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5440.0	4937.0
163087	1218.0	957.0
728568	759.0	987.0
106481407	14.0	16.0
3704	3885.0	4249.0
3705	3607.0	8984.0
63926	1641.0	1605.0
3706	19.0	74.0
63929	1429.0	1726.0
3707	1696.0	2055.0
63928	0.0	1.0
3708	18160.0	18182.0
106481411	1.0	0.0
3709	2168.0	1746.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	44.0	16.0
3702	68.0	113.0
3703	13348.0	11499.0
645506	1.0	0.0
151050	2103.0	1377.0
645520	0.0	0.0
63941	1683.0	2734.0
63940	272.0	437.0
63943	1004.0	1057.0
728517	0.0	0.0
163033	761.0	910.0
258010	6554.0	5136.0
63947	1.0	1.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9755.0	9250.0
100033804	0.0	0.0
3717	935.0	639.0
100033805	0.0	0.0
3718	212.0	415.0
63939	1222.0	1109.0
100033806	0.0	0.0
100190799	2.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	131.0	151.0
3710	13386.0	11030.0
3712	20536.0	22758.0
3713	1.0	0.0
3714	692.0	1369.0
63950	1.0	0.0
728505	1.0	0.0
63951	550.0	345.0
100033807	0.0	0.0
728501	38.0	11.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9444.0	3492.0
100033814	0.0	0.0
3727	6066.0	3004.0
63948	22.0	67.0
100033815	0.0	0.0
222052	0.0	0.0
3728	35811.0	24336.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	867.0	1074.0
151056	159.0	254.0
3725	15453.0	5263.0
645528	0.0	1.0
728532	45.0	21.0
163059	661.0	330.0
728538	0.0	1.0
728537	278.0	246.0
63967	34.0	35.0
3737	111.0	61.0
3738	16.0	24.0
3739	2.0	0.0
645538	0.0	0.0
3730	2408.0	2544.0
3732	2929.0	2816.0
3734	103.0	42.0
3735	6686.0	7294.0
3736	490.0	11.0
63970	4.0	2.0
3750	164.0	157.0
63971	6218.0	6191.0
63974	0.0	0.0
163049	3164.0	1613.0
63973	1.0	0.0
63976	4496.0	3554.0
222068	20940.0	30347.0
63978	0.0	0.0
63977	608.0	515.0
63979	598.0	374.0
728524	0.0	0.0
3748	4194.0	2683.0
163051	68.0	45.0
3749	694.0	586.0
163050	60.0	29.0
3741	60.0	13.0
645548	6.0	13.0
3743	1.0	0.0
3744	0.0	0.0
3745	83.0	41.0
3746	11.0	28.0
3747	0.0	0.0
285671	2730.0	3295.0
285672	2098.0	2295.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	0.0	1.0
285676	65.0	63.0
3761	5.0	3.0
100128657	0.0	0.0
285679	2.0	4.0
100861449	2.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	120.0	104.0
283008	19.0	19.0
3751	76.0	5.0
100873435	0.0	0.0
3752	171.0	202.0
100873434	0.0	0.0
3753	3.0	4.0
100873433	0.0	0.0
3754	7.0	1.0
100873432	0.0	0.0
3755	5.0	2.0
100873439	0.0	0.0
3756	10.0	12.0
100873438	0.0	0.0
3757	8.0	11.0
100873437	0.0	0.0
3758	178.0	38.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	120.0	124.0
3772	30917.0	12858.0
100861458	0.0	0.0
100861453	25.0	35.0
100861455	0.0	0.0
1107	16495.0	9197.0
1106	10367.0	7805.0
1105	2964.0	2147.0
1104	1468.0	623.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3079.0	2502.0
1101	151.0	234.0
3762	316.0	284.0
100873424	0.0	0.0
3763	1.0	1.0
100128640	173.0	150.0
100873423	0.0	0.0
3764	372.0	558.0
100873422	0.0	0.0
3765	0.0	2.0
100873421	1.0	0.0
3766	58.0	86.0
100873428	0.0	0.0
3767	433.0	507.0
100873427	0.0	2.0
3768	240.0	624.0
1109	0.0	0.0
100873426	0.0	0.0
1108	25279.0	21393.0
3769	343.0	376.0
100873425	0.0	0.0
100128637	2.0	1.0
100128639	0.0	0.0
3780	14.0	88.0
100873453	0.0	0.0
3781	6.0	30.0
100873452	0.0	0.0
3782	586.0	818.0
100873451	0.0	0.0
3783	40.0	76.0
100873450	0.0	0.0
1121	2243.0	1731.0
100861468	0.0	0.0
1120	315.0	244.0
100861469	0.0	0.0
1118	734.0	44.0
1117	1081.0	956.0
1116	415.0	211.0
1114	47.0	16.0
1113	2.0	3.0
1112	2392.0	1320.0
1111	266.0	311.0
3773	50096.0	46098.0
100873457	4.0	1.0
100873456	0.0	0.0
3775	942.0	907.0
100873455	0.0	0.0
3776	1533.0	6240.0
100873454	0.0	0.0
3777	1040.0	2736.0
3778	155.0	32.0
3779	58.0	33.0
100873459	0.0	0.0
1119	3114.0	3654.0
100128627	3.0	0.0
100128626	0.0	0.0
3790	209.0	183.0
100128628	11.0	5.0
3791	6795.0	10956.0
100873442	0.0	0.0
3792	32.0	13.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	3.0
1131	327.0	332.0
1130	2262.0	1406.0
100861476	0.0	0.0
1129	0.0	0.0
1128	1.0	10.0
1124	1099.0	758.0
1123	533.0	346.0
1122	1700.0	1211.0
100861470	0.0	0.0
3784	13538.0	25397.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	0.0
3786	58.0	267.0
100873444	0.0	0.0
3787	38.0	3.0
100873443	0.0	0.0
3788	8.0	5.0
100873449	21.0	10.0
100873448	1.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	410.0	285.0
100128618	5.0	0.0
728597	5.0	0.0
100128617	14.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	74.0	10.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	28.0	111.0
285634	8.0	4.0
1142	0.0	0.0
1141	15.0	4.0
285636	3279.0	3164.0
1140	2253.0	4052.0
728599	4.0	3.0
1139	99.0	69.0
1138	5.0	9.0
1137	366.0	1323.0
100861485	0.0	0.0
1136	7.0	2.0
1135	1.0	2.0
1134	7.0	0.0
1133	10.0	11.0
3795	120.0	472.0
100873479	5.0	2.0
3796	1459.0	851.0
100873478	0.0	0.0
3797	637.0	509.0
100873477	1.0	1.0
3798	328.0	60.0
100873476	0.0	0.0
3799	12983.0	11572.0
100873460	1.0	0.0
728586	23.0	15.0
285641	1.0	0.0
100873464	16.0	3.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3231.0	3295.0
1153	35282.0	22664.0
1152	13837.0	17902.0
285647	52.0	38.0
728589	14.0	12.0
728588	1.0	1.0
1149	2.0	0.0
1147	2564.0	2192.0
1146	3.0	0.0
1145	25.0	23.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	2.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	258.0	341.0
1163	615.0	405.0
285659	0.0	0.0
1161	744.0	493.0
1160	341.0	532.0
1159	189.0	196.0
1158	1.0	0.0
1157	0.0	0.0
1155	2114.0	2272.0
550643	3155.0	3024.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2728.0	2604.0
1175	2640.0	3091.0
285668	23.0	13.0
1174	2148.0	2114.0
1173	18966.0	18328.0
550631	425.0	554.0
100873489	0.0	0.0
283014	34.0	27.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	813.0	1235.0
1186	5394.0	6889.0
1185	1744.0	1535.0
1184	714.0	364.0
1183	2190.0	1713.0
1182	7575.0	7695.0
1181	577.0	646.0
440375	64.0	39.0
1180	16.0	30.0
1179	0.0	0.0
1178	1.0	0.0
283089	59.0	14.0
85495	0.0	0.0
85480	50.0	29.0
283080	0.0	0.0
1198	4079.0	4122.0
1197	2.0	0.0
1196	2630.0	1373.0
1195	8049.0	6092.0
440366	1.0	1.0
1193	4356.0	3271.0
1192	11498.0	12625.0
1191	124433.0	65369.0
1188	3979.0	1789.0
283078	44.0	9.0
85486	12.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	58.0	31.0
440396	65.0	84.0
128609	0.0	0.0
128602	0.0	0.0
440387	3.0	1.0
128674	0.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	1.0	3.0
126014	66.0	101.0
440335	12.0	0.0
100128690	0.0	0.0
114034	1627.0	1523.0
126006	76.0	46.0
114036	601.0	1179.0
100128696	1.0	0.0
100128688	0.0	0.0
126003	39.0	19.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	405.0	370.0
440356	7.0	1.0
440354	79.0	61.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	0.0
100873411	0.0	1.0
100128675	5.0	9.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	322.0	297.0
100861435	0.0	1.0
100861436	0.0	1.0
440345	98.0	76.0
200734	3231.0	3107.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	6.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4696.0	5381.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	28.0	5.0
165530	5.0	18.0
85409	38.0	106.0
106481385	0.0	0.0
106481386	1.0	1.0
85416	0.0	0.0
106481383	11.0	3.0
85417	90.0	101.0
106481384	0.0	0.0
103106903	1.0	1.0
85414	98.0	41.0
106481389	0.0	0.0
85415	1081.0	571.0
106481387	0.0	0.0
85413	5.0	0.0
106481388	13.0	5.0
645436	4.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	2.0	0.0
106481380	0.0	0.0
11	1.0	0.0
403341	1225.0	993.0
12	1.0	0.0
13	4.0	0.0
14	10531.0	5692.0
15	18.0	9.0
16	13021.0	19821.0
645455	72.0	23.0
18	13499.0	12125.0
19	2797.0	1564.0
128580	7.0	2.0
85407	48.0	37.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2245.0	1962.0
106481395	0.0	0.0
85403	2393.0	2701.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	11337.0	19725.0
106481390	1.0	0.0
21	9073.0	14513.0
106481391	0.0	1.0
22	1432.0	1212.0
153571	557.0	903.0
153572	508.0	492.0
23	6791.0	6300.0
24	129.0	28.0
25	13208.0	10797.0
26	14.0	10.0
27	1981.0	1374.0
28	4131.0	5454.0
29	1968.0	1834.0
153579	598.0	1044.0
728615	0.0	0.0
728614	0.0	0.0
200765	392.0	183.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	4.0	21.0
102466518	1.0	0.0
102466516	26.0	25.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	2.0
85439	2176.0	2000.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3884.0	3621.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	473.0	428.0
106481366	0.0	0.0
30	4236.0	4456.0
106481360	0.0	0.0
31	3288.0	4188.0
32	7037.0	7207.0
33	2135.0	1487.0
34	5835.0	5507.0
35	2103.0	3817.0
153562	6123.0	5725.0
36	3790.0	4243.0
37	25205.0	38290.0
38	7098.0	11536.0
440307	7.0	13.0
39	831.0	641.0
165545	2.0	0.0
106481369	0.0	0.0
728606	161.0	132.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	0.0
106481370	0.0	0.0
41	24.0	52.0
106481371	0.0	0.0
43	110.0	542.0
645486	1.0	0.0
47	6668.0	6409.0
48	5489.0	6288.0
49	19.0	18.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	1.0	1.0
106481340	0.0	0.0
85458	3564.0	2570.0
