id	47807887-8bda-45be-a466-4970f198ce4d	5d2510c8-c5a0-439d-8111-357824c00c2b
285550	2729.0	1114.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	84.0	19.0
3640	4.0	40.0
3638	2125.0	757.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1744.0	1816.0
100873313	0.0	0.0
3632	2137.0	1046.0
100873312	2.0	0.0
100873311	1.0	0.0
3633	1645.0	798.0
100873318	0.0	1.0
3635	749.0	936.0
100873317	0.0	0.0
3636	7175.0	4263.0
100128771	71.0	28.0
100873316	8.0	2.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	31.0	48.0
2	23754.0	33657.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	174.0	123.0
3642	0.0	0.0
100873302	0.0	1.0
3643	6826.0	11131.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	7.0	2.0
100873307	0.0	0.0
3646	23308.0	10816.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	133.0	60.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2423.0	1425.0
100873331	0.0	0.0
3661	4835.0	4927.0
100873330	0.0	0.0
285577	1.0	0.0
3662	152.0	25.0
100128756	0.0	0.0
1000	1029.0	1171.0
3652	1296.0	617.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	460.0	129.0
3654	2624.0	811.0
100873334	1.0	1.0
3655	3117.0	3043.0
100873333	0.0	0.0
3656	655.0	387.0
100873339	0.0	0.0
3658	6417.0	1762.0
100873338	0.0	1.0
3659	3288.0	1176.0
100873337	0.0	0.0
3670	7.0	0.0
100873321	0.0	0.0
3671	12791.0	6550.0
100873320	0.0	0.0
3672	4454.0	3169.0
285588	1.0	1.0
3673	605.0	2003.0
1011	0.0	0.0
1010	2.0	0.0
1008	3.0	0.0
1007	0.0	0.0
1006	6.0	37.0
1005	0.0	0.0
1004	238.0	1420.0
1003	2939.0	4380.0
1002	568.0	68.0
1001	479.0	4556.0
3663	332.0	698.0
100873325	0.0	0.0
3664	13091.0	2239.0
100873324	0.0	0.0
3665	1050.0	900.0
100873323	0.0	0.0
100873322	1.0	0.0
3667	16366.0	1711.0
100873329	0.0	0.0
285590	1855.0	891.0
100873328	2.0	0.0
3669	1573.0	652.0
100873327	0.0	0.0
1009	644.0	1531.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	1.0
728477	4.0	2.0
3680	19288.0	7986.0
3681	19.0	4.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	710.0	339.0
100873353	0.0	0.0
3683	694.0	119.0
100873352	0.0	0.0
128710	711.0	547.0
3684	563.0	172.0
100873351	0.0	0.0
285512	253.0	146.0
1022	1906.0	1157.0
285513	616.0	359.0
1021	628.0	365.0
1020	537.0	557.0
440299	0.0	0.0
1019	4113.0	1521.0
128709	0.0	0.0
1018	54.0	60.0
1017	1629.0	828.0
1016	0.0	1.0
1015	7.0	13.0
1014	6234.0	31.0
1013	10.0	9.0
1012	285.0	1791.0
116730	15.0	16.0
3674	746.0	164.0
100873358	0.0	0.0
3675	21192.0	25089.0
100873357	0.0	0.0
3676	335.0	109.0
100128731	5705.0	5765.0
100873356	0.0	0.0
3678	4438.0	3854.0
3679	1065.0	2225.0
100873359	0.0	0.0
728464	48.0	2.0
728463	38.0	1.0
100128725	0.0	0.0
3690	2588.0	594.0
3691	2151.0	3232.0
100873343	1.0	0.0
3692	5153.0	3366.0
3693	4991.0	3133.0
285521	610.0	630.0
100873342	0.0	0.0
3694	2040.0	948.0
100873341	1.0	0.0
3695	167.0	95.0
100873340	2.0	0.0
100128723	0.0	0.0
1033	33.0	38.0
1032	191.0	253.0
285525	4.0	3.0
1031	520.0	551.0
285527	3156.0	1391.0
1030	70.0	473.0
728468	0.0	0.0
440288	106.0	44.0
1029	8.0	160.0
