id	7b33490c-6699-4393-8085-803afadbc344	864475a1-413c-46f8-8227-9ae03a71a5fc
100873342	0.0	0.0
3694	1512.0	3267.0
100873341	0.0	0.0
3695	157.0	28.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	33.0	86.0
1032	213.0	276.0
285525	10.0	2.0
1031	517.0	824.0
285527	2224.0	1202.0
1030	53.0	1080.0
728468	0.0	1.0
440288	101.0	48.0
1029	35.0	1638.0
440295	180.0	77.0
1028	907.0	280.0
1027	5379.0	5967.0
1026	4241.0	22066.0
1025	3723.0	3832.0
1024	667.0	501.0
3685	9332.0	13078.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	179.0	414.0
100873345	1.0	1.0
3688	7151.0	11763.0
100873344	0.0	0.0
3689	1127.0	5613.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	60.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	50.0	37.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	31.0	37.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	1.0
1043	417.0	366.0
1041	1.0	3.0
1040	5518.0	5239.0
1039	7287.0	2384.0
1038	0.0	0.0
1036	240.0	7.0
3696	1451.0	1992.0
3697	0.0	0.0
100873379	0.0	0.0
3698	26.0	8.0
100873378	6.0	1.0
3699	100.0	11.0
100873377	0.0	0.0
728486	12.0	15.0
100873361	0.0	0.0
105373869	1.0	6.0
100873360	0.0	0.0
285540	299.0	85.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	2293.0	1500.0
285547	0.0	0.0
1053	4.0	2.0
285548	0.0	2.0
1052	2829.0	6021.0
1051	4352.0	4437.0
728489	11.0	11.0
1050	932.0	153.0
100128707	0.0	0.0
1048	0.0	75.0
1047	17.0	446.0
1046	0.0	0.0
1045	0.0	1.0
100873369	2.0	1.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	5.0	0.0
1066	105.0	195.0
1063	121.0	358.0
1062	44.0	90.0
1061	3.0	1.0
1060	2589.0	1689.0
440253	567.0	118.0
1059	5374.0	9263.0
1058	19.0	42.0
1057	2.0	1.0
85379	8433.0	4948.0
114112	622.0	612.0
1056	43.0	12.0
85377	1638.0	3216.0
85378	3858.0	3490.0
128745	1.0	1.0
85376	24.0	21.0
440248	719.0	264.0
1075	3057.0	11033.0
1074	9.0	6.0
1073	2923.0	2070.0
1072	30068.0	34327.0
1071	210.0	36.0
440243	0.0	0.0
1070	1727.0	1061.0
1069	8402.0	4405.0
1068	0.0	0.0
85369	1730.0	1798.0
85366	33.0	7.0
85364	2582.0	1715.0
85365	3439.0	2524.0
85363	1568.0	1357.0
85360	710.0	241.0
1080	59.0	133.0
85391	4.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	515.0	180.0
1087	0.0	0.0
1086	0.0	0.0
440279	96.0	25.0
1085	2.0	0.0
1084	1.0	4.0
440278	200.0	100.0
1082	0.0	0.0
403294	0.0	0.0
440275	3543.0	2551.0
1081	0.0	0.0
85397	3339.0	2.0
85395	348.0	861.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	8668.0	3074.0
1089	2.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	64.0	16.0
285598	391.0	141.0
126133	1756.0	1937.0
128790	1.0	0.0
126129	76.0	40.0
126123	10.0	0.0
442862	0.0	0.0
126119	1516.0	876.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	34.0	4.0
442897	0.0	0.0
442898	0.0	0.0
114134	315.0	508.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	9.0
100128788	101.0	38.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	2.0	0.0
442892	5.0	0.0
128756	0.0	0.0
100128782	467.0	233.0
100128781	3.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	4.0
403234	0.0	0.0
403235	3.0	1.0
403236	0.0	0.0
63982	92.0	81.0
102466616	0.0	0.0
126052	0.0	0.0
151009	131.0	107.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	7.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1054.0	2588.0
107131122	0.0	0.0
138050	7898.0	7043.0
403219	0.0	2.0
151011	3670.0	1924.0
645587	0.0	0.0
165679	10.0	53.0
126037	38.0	31.0
114049	6242.0	6493.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	2.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	348.0	171.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3221.0	2183.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	126.0	230.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	26.0	10.0
645598	0.0	0.0
163007	0.0	1.0
114038	1.0	2.0
645591	0.0	1.0
106481495	0.0	0.0
114041	317.0	8.0
106481496	0.0	0.0
114042	12.0	0.0
106481493	0.0	0.0
114043	35.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	230.0	82.0
126017	693.0	476.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	2691.0	434.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	376.0	541.0
106481459	0.0	0.0
26994	9387.0	6951.0
106481457	10.0	0.0
26995	2562.0	2641.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2287.0	4514.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	2.0	0.0
106481463	0.0	0.0
104310353	2.0	5.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3478.0	4020.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	5.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	16.0	180.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	565.0	319.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	15.0	21.0
106481437	0.0	0.0
26974	449.0	272.0
153657	168.0	18.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2072.0	786.0
165631	53.0	13.0
106481436	1.0	0.0
26978	11.0	9.0
126075	1352.0	2164.0
106481439	0.0	0.0
403250	0.0	0.0
126074	454.0	257.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4551.0	4655.0
106481444	25.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1287.0	882.0
85354	0.0	0.0
85352	19.0	16.0
403241	3.0	1.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	942.0	334.0
153643	148.0	42.0
403247	0.0	0.0
403248	0.0	0.0
26985	2526.0	2221.0
106481448	0.0	0.0
26986	33137.0	47576.0
126069	129.0	47.0
106481449	0.0	0.0
126068	1266.0	682.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1081.0	1141.0
106481447	0.0	0.0
106481451	3.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	57.0	3.0
106481455	0.0	0.0
85349	207.0	57.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	1.0
106481454	0.0	0.0
403238	3.0	0.0
85344	34.0	11.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	5.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2812.0	1864.0
100873390	0.0	0.0
728556	37.0	29.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	114.0	83.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	580.0	355.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	168.0	88.0
100873384	0.0	0.0
285601	6.0	56.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	81.0	82.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	725.0	364.0
222008	5.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	6199.0	4225.0
63904	0.0	0.0
106481430	1.0	0.0
163071	660.0	314.0
63906	975.0	1251.0
106481433	0.0	0.0
63908	1259.0	614.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	10.0	0.0
285613	113.0	100.0
63920	905.0	511.0
63923	59.0	1.0
63922	569.0	861.0
728577	28.0	6.0
63925	1914.0	1291.0
63924	1.0	0.0
63916	2527.0	2706.0
63917	5118.0	4211.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	12.0
728564	4.0	16.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1990.0	2145.0
106481402	0.0	0.0
63931	2432.0	1484.0
106481403	0.0	0.0
63934	1761.0	868.0
728567	2.0	7.0
106481408	0.0	0.0
163088	10.0	5.0
63933	3510.0	3120.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5383.0	4889.0
163087	1061.0	485.0
728568	855.0	538.0
106481407	12.0	4.0
3704	3688.0	3717.0
3705	3785.0	7943.0
63926	1196.0	830.0
3706	17.0	18.0
63929	1539.0	861.0
3707	1572.0	1660.0
63928	2.0	2.0
3708	10517.0	575.0
106481411	0.0	0.0
3709	1630.0	2046.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	45.0	7.0
3702	138.0	6.0
3703	11502.0	9027.0
645506	0.0	0.0
151050	1772.0	1118.0
645520	0.0	0.0
63941	2204.0	1799.0
63940	344.0	256.0
63943	1072.0	536.0
728517	0.0	0.0
163033	884.0	1534.0
258010	6007.0	5475.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	7149.0	10737.0
100033804	0.0	0.0
3717	755.0	317.0
100033805	0.0	0.0
3718	211.0	737.0
63939	975.0	1014.0
100033806	0.0	0.0
100190799	3.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	161.0	130.0
3710	9272.0	22173.0
3712	15059.0	12842.0
3713	0.0	17.0
3714	521.0	1145.0
63950	1.0	1.0
728505	1.0	1.0
63951	622.0	482.0
100033807	0.0	0.0
728501	48.0	70.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17421.0	41671.0
100033814	0.0	0.0
3727	35759.0	15771.0
63948	74.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	24918.0	28052.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	801.0	456.0
151056	270.0	38.0
3725	66730.0	34479.0
645528	1.0	1.0
728532	27.0	30.0
163059	680.0	363.0
728538	0.0	1.0
728537	367.0	65.0
63967	14.0	65.0
3737	100.0	0.0
3738	23.0	3.0
3739	0.0	0.0
645538	0.0	0.0
3730	1703.0	2550.0
3732	2445.0	3831.0
3734	44.0	25.0
3735	6720.0	8385.0
3736	357.0	0.0
63970	9.0	0.0
3750	128.0	34.0
63971	5128.0	3491.0
63974	0.0	0.0
163049	3168.0	2013.0
63973	0.0	1.0
63976	3908.0	767.0
222068	19281.0	19662.0
63978	0.0	0.0
63977	450.0	392.0
63979	664.0	352.0
728524	0.0	0.0
3748	3876.0	422.0
163051	163.0	64.0
3749	531.0	333.0
163050	62.0	52.0
3741	78.0	18.0
645548	5.0	6.0
3743	2.0	0.0
3744	0.0	0.0
3745	22.0	1.0
3746	18.0	1.0
3747	0.0	0.0
285671	2510.0	743.0
285672	2104.0	1277.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1.0	0.0
285676	140.0	139.0
3761	6.0	0.0
100128657	0.0	0.0
285679	2.0	3.0
100861449	1.0	0.0
100861443	1.0	0.0
100861445	0.0	0.0
3759	138.0	491.0
283008	0.0	0.0
3751	34.0	2.0
100873435	0.0	0.0
3752	112.0	33.0
100873434	0.0	0.0
3753	2.0	6.0
100873433	0.0	0.0
3754	18.0	5.0
100873432	0.0	0.0
3755	6.0	6.0
100873439	0.0	0.0
3756	7.0	4.0
100873438	0.0	0.0
3757	3.0	4.0
100873437	0.0	0.0
3758	84.0	80.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	190.0	73.0
3772	33617.0	7601.0
100861458	0.0	0.0
100861453	18.0	10.0
100861455	1.0	0.0
1107	8664.0	8156.0
1106	7676.0	5440.0
1105	1997.0	1434.0
1104	921.0	2146.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3857.0	1964.0
1101	153.0	14.0
3762	142.0	328.0
100873424	0.0	0.0
3763	0.0	0.0
100128640	222.0	113.0
100873423	0.0	0.0
3764	543.0	72.0
100873422	0.0	0.0
3765	5.0	2.0
100873421	0.0	0.0
3766	64.0	13.0
100873428	0.0	0.0
3767	305.0	477.0
100873427	0.0	0.0
3768	255.0	135.0
1109	2.0	0.0
100873426	1.0	0.0
1108	14185.0	26840.0
3769	455.0	4.0
100873425	0.0	0.0
100128637	0.0	4.0
100128639	0.0	0.0
3780	6.0	4.0
100873453	0.0	0.0
3781	20.0	28.0
100873452	0.0	0.0
3782	381.0	115.0
100873451	0.0	0.0
3783	67.0	1947.0
100873450	0.0	0.0
1121	1488.0	918.0
100861468	0.0	0.0
1120	384.0	326.0
100861469	0.0	0.0
1118	208.0	4425.0
1117	629.0	3401.0
1116	257.0	4613.0
1114	150.0	40.0
1113	0.0	3.0
1112	1762.0	2092.0
1111	362.0	577.0
3773	30798.0	52193.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	916.0	1261.0
100873455	0.0	0.0
3776	1478.0	190.0
100873454	0.0	0.0
3777	1089.0	379.0
3778	70.0	113.0
3779	38.0	45.0
100873459	0.0	0.0
1119	4757.0	2787.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	306.0	190.0
100128628	1.0	7.0
3791	3928.0	791.0
100873442	0.0	0.0
3792	25.0	9.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	1.0
1131	144.0	52.0
1130	1737.0	2909.0
100861476	0.0	1.0
1129	0.0	0.0
1128	9.0	1.0
1124	1030.0	1188.0
1123	422.0	142.0
1122	966.0	558.0
100861470	0.0	0.0
3784	15088.0	7100.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	69.0	1402.0
100873444	0.0	0.0
3787	30.0	5.0
100873443	0.0	0.0
3788	3.0	1.0
100873449	10.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	417.0	103.0
100128618	0.0	2.0
728597	2.0	0.0
100128617	1.0	17.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	48.0	7.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	12.0	7.0
285634	0.0	2.0
1142	1.0	0.0
1141	7.0	0.0
285636	2712.0	1454.0
1140	2173.0	1206.0
728599	3.0	0.0
1139	97.0	14.0
1138	7.0	7.0
1137	266.0	0.0
100861485	0.0	0.0
1136	5.0	4.0
1135	2.0	1.0
1134	2.0	9.0
1133	6.0	0.0
3795	131.0	59.0
100873479	2.0	9.0
3796	720.0	641.0
100873478	0.0	0.0
3797	1033.0	100.0
100873477	2.0	1.0
3798	373.0	2.0
100873476	0.0	0.0
3799	7532.0	9685.0
100873460	1.0	0.0
728586	21.0	20.0
285641	0.0	0.0
100873464	7.0	1.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3154.0	4073.0
1153	44443.0	25915.0
1152	22635.0	11829.0
285647	53.0	14.0
728589	6.0	4.0
728588	0.0	0.0
1149	3.0	1.0
1147	1352.0	1245.0
1146	3.0	0.0
1145	19.0	59.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	2.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	415.0	1121.0
1163	638.0	988.0
285659	0.0	0.0
1161	640.0	475.0
1160	211.0	298.0
1159	270.0	239.0
1158	1.0	6.0
1157	0.0	0.0
1155	3122.0	3434.0
550643	3694.0	3160.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	2756.0	2493.0
1175	2947.0	2384.0
285668	7.0	0.0
1174	1964.0	3225.0
1173	19084.0	20585.0
550631	551.0	143.0
100873489	0.0	0.0
283014	27.0	15.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	348.0	11.0
1186	3276.0	5924.0
1185	1760.0	1439.0
1184	650.0	416.0
1183	1660.0	783.0
1182	4630.0	3276.0
1181	625.0	541.0
440375	44.0	23.0
1180	7.0	2.0
1179	0.0	0.0
1178	1.0	2.0
283089	56.0	7.0
85495	0.0	0.0
85480	191.0	47.0
283080	0.0	0.0
1198	4573.0	3270.0
1197	2.0	4.0
1196	3032.0	2376.0
1195	14918.0	4501.0
440366	0.0	0.0
1193	3215.0	3080.0
1192	12339.0	21035.0
1191	186539.0	614840.0
1188	1986.0	148.0
283078	68.0	224.0
85486	6.0	7.0
128615	0.0	0.0
85481	2.0	0.0
128611	88.0	3.0
440396	65.0	30.0
128609	0.0	0.0
128602	0.0	29.0
440387	4.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	0.0
100861402	3.0	7.0
126014	38.0	242.0
440335	12.0	7.0
100128690	0.0	0.0
114034	1503.0	1034.0
126006	130.0	36.0
114036	389.0	15.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	38.0	45.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	7.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	604.0	608.0
440356	7.0	5.0
440354	32.0	42.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	13.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	268.0	130.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	58.0	10.0
200734	3182.0	2417.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	8.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	6.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4036.0	3218.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	5.0
165530	18.0	10.0
85409	11.0	57.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	0.0	0.0
85417	47.0	23.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	169.0	36.0
106481389	0.0	0.0
85415	866.0	1381.0
106481387	0.0	0.0
85413	1.0	2.0
106481388	4.0	0.0
645436	1.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	990.0	518.0
12	0.0	0.0
13	9.0	0.0
14	10126.0	9156.0
15	19.0	3.0
16	10398.0	16510.0
645455	13.0	4.0
18	8964.0	1740.0
19	2216.0	4281.0
128580	4.0	6.0
85407	63.0	14.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1541.0	1022.0
106481395	0.0	0.0
85403	1705.0	1460.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	8229.0	8148.0
106481390	0.0	0.0
21	6826.0	3961.0
106481391	0.0	0.0
22	902.0	1927.0
153571	295.0	6.0
153572	247.0	13.0
23	3601.0	4062.0
24	82.0	95.0
25	8239.0	4973.0
26	6.0	0.0
27	1154.0	1122.0
28	5169.0	1522.0
29	1922.0	6089.0
153579	626.0	66.0
728615	0.0	0.0
728614	0.0	0.0
200765	530.0	272.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	34.0	75.0
102466518	0.0	0.0
102466516	26.0	3.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	1.0
106481361	0.0	0.0
85439	2340.0	1277.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4472.0	3365.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	396.0	301.0
106481366	0.0	0.0
30	4484.0	5107.0
106481360	0.0	0.0
31	1740.0	2926.0
32	4342.0	1274.0
33	2067.0	4019.0
34	4504.0	2287.0
35	2407.0	2983.0
153562	4617.0	2643.0
36	2216.0	1877.0
37	18507.0	20309.0
38	3176.0	3580.0
440307	11.0	12.0
39	721.0	566.0
165545	10.0	1.0
106481369	0.0	0.0
728606	175.0	129.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	3.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	2.0	1.0
106481370	0.0	0.0
41	31.0	98.0
106481371	0.0	0.0
43	195.0	30.0
645486	1.0	2.0
47	4273.0	5078.0
48	4035.0	14697.0
49	7.0	13.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	6.0	2.0
106481340	0.0	0.0
85458	2539.0	2232.0
106481345	1.0	0.0
85459	973.0	488.0
106481346	0.0	0.0
85456	7672.0	10544.0
