id	b9e52e4e-4f2b-446d-8065-b399f9fec644	4ae6d828-f8b3-4c8b-8d6a-575ef51e329b
285550	2604.0	1619.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	30.0	39.0
3640	0.0	24.0
3638	1497.0	1077.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1807.0	2472.0
100873313	1.0	0.0
3632	2149.0	1703.0
100873312	3.0	0.0
100873311	0.0	0.0
3633	1515.0	1431.0
100873318	0.0	0.0
3635	314.0	1921.0
100873317	0.0	0.0
3636	10354.0	6504.0
100128771	81.0	38.0
100873316	5.0	1.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	22.0	52.0
2	13014.0	18804.0
100873309	0.0	0.0
100873308	0.0	0.0
3	7.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	206.0	125.0
3642	2.0	1.0
100873302	1.0	0.0
3643	3648.0	6795.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	0.0
100873307	0.0	0.0
3646	15783.0	16572.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	136.0	103.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2604.0	2025.0
100873331	0.0	0.0
3661	4052.0	6905.0
100873330	1.0	0.0
285577	1.0	0.0
3662	42.0	86.0
100128756	1.0	0.0
1000	332.0	2919.0
3652	1757.0	939.0
100873336	1.0	0.0
100873335	1.0	0.0
100128750	564.0	146.0
3654	3870.0	2019.0
100873334	0.0	0.0
3655	2464.0	3796.0
100873333	3.0	0.0
3656	500.0	844.0
100873339	0.0	0.0
3658	5644.0	2677.0
100873338	0.0	0.0
3659	1487.0	2117.0
100873337	0.0	0.0
3670	6.0	2.0
100873321	0.0	0.0
3671	13822.0	9183.0
100873320	0.0	0.0
3672	3794.0	1733.0
285588	0.0	0.0
3673	575.0	8391.0
1011	0.0	0.0
1010	2.0	0.0
1008	5.0	3.0
1007	0.0	0.0
1006	14.0	25.0
1005	0.0	1.0
1004	250.0	4114.0
1003	3621.0	2465.0
1002	23.0	260.0
1001	210.0	10080.0
3663	175.0	1171.0
100873325	0.0	0.0
3664	5587.0	4605.0
100873324	0.0	1.0
3665	787.0	1363.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	18773.0	1358.0
100873329	0.0	0.0
285590	1666.0	1369.0
100873328	0.0	0.0
3669	2435.0	2342.0
100873327	0.0	0.0
1009	856.0	1545.0
100873326	2.0	0.0
100873350	0.0	0.0
116729	7.0	3.0
728477	26.0	6.0
3680	8405.0	17594.0
3681	2.0	1.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	813.0	641.0
100873353	1.0	0.0
3683	306.0	411.0
100873352	0.0	0.0
128710	864.0	617.0
3684	135.0	883.0
100873351	0.0	0.0
285512	153.0	151.0
1022	1341.0	1881.0
285513	396.0	355.0
1021	1122.0	426.0
1020	945.0	719.0
440299	0.0	0.0
1019	5156.0	4525.0
128709	1.0	1.0
1018	37.0	72.0
1017	1033.0	1453.0
1016	0.0	0.0
1015	12.0	12.0
1014	7708.0	77.0
1013	6.0	15.0
1012	330.0	508.0
116730	9.0	12.0
3674	385.0	157.0
100873358	0.0	0.0
3675	21530.0	61924.0
100873357	0.0	0.0
3676	129.0	164.0
100128731	8724.0	8661.0
100873356	0.0	0.0
3678	2221.0	2833.0
3679	1038.0	2860.0
100873359	0.0	0.0
728464	89.0	4.0
728463	15.0	61.0
100128725	0.0	0.0
3690	3528.0	3767.0
3691	2283.0	9508.0
100873343	0.0	0.0
3692	6088.0	6429.0
3693	5596.0	8994.0
285521	1270.0	929.0
100873342	0.0	0.0
3694	950.0	7372.0
100873341	0.0	0.0
3695	159.0	491.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	20.0	39.0
1032	258.0	418.0
285525	11.0	7.0
1031	344.0	902.0
285527	2905.0	1832.0
1030	58.0	816.0
728468	0.0	1.0
440288	103.0	64.0
1029	12.0	98.0
440295	187.0	165.0
1028	905.0	794.0
1027	4840.0	3329.0
1026	5657.0	38762.0
1025	4009.0	4991.0
1024	679.0	575.0
3685	12761.0	16978.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	144.0	1267.0
100873345	0.0	0.0
3688	10811.0	10914.0
100873344	0.0	0.0
3689	673.0	5520.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	58.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	65.0	29.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	30.0	183.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	14.0	4.0
1043	294.0	1330.0
1041	6.0	190.0
1040	6908.0	3987.0
1039	7728.0	2870.0
1038	4.0	5.0
1036	981.0	1758.0
3696	1178.0	2151.0
3697	1.0	0.0
100873379	0.0	0.0
3698	8.0	6.0
100873378	4.0	0.0
3699	90.0	43.0
100873377	0.0	0.0
728486	14.0	4.0
100873361	0.0	0.0
105373869	2.0	11.0
100873360	0.0	0.0
285540	162.0	40.0
100128705	8.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	0.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	2629.0	1242.0
285547	0.0	0.0
1053	1.0	3.0
285548	0.0	3.0
1052	3260.0	3721.0
1051	3538.0	4036.0
728489	15.0	33.0
1050	1159.0	359.0
100128707	0.0	1.0
1048	1.0	3.0
1047	6.0	117.0
1046	0.0	0.0
1045	0.0	0.0
100873369	11.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	0.0
1066	194.0	245.0
1063	66.0	191.0
1062	71.0	92.0
1061	5.0	4.0
1060	2961.0	1475.0
440253	391.0	173.0
1059	7210.0	6022.0
1058	1.0	18.0
1057	0.0	1.0
85379	12663.0	11113.0
114112	821.0	543.0
1056	31.0	33.0
85377	4464.0	2148.0
85378	4602.0	4815.0
128745	0.0	0.0
85376	82.0	40.0
440248	467.0	328.0
