id	6546c35d-64c9-43bb-b68d-9258161c3b1f	35ab4cea-1680-483e-90fb-94c129a2c7a5
85300	5.0	2.0
85301	5271.0	1702.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	1.0	1.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	552.0	311.0
106481459	0.0	0.0
26994	11387.0	7259.0
106481457	5.0	5.0
26995	3015.0	2276.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4254.0	2636.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	4.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4965.0	3923.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	1.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	9.0	21.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	13.0	52.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	623.0	410.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	9.0	10.0
106481437	0.0	0.0
26974	620.0	364.0
153657	153.0	41.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	2600.0	1501.0
165631	69.0	188.0
106481436	0.0	0.0
26978	14.0	7.0
126075	1614.0	1851.0
106481439	0.0	0.0
403250	0.0	0.0
126074	431.0	328.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	1.0	0.0
85359	4192.0	4533.0
106481444	23.0	15.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1657.0	4936.0
85354	0.0	0.0
85352	12.0	33.0
403241	3.0	1.0
344462	3.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	1262.0	535.0
153643	352.0	132.0
403247	0.0	0.0
403248	0.0	0.0
26985	3819.0	2238.0
106481448	0.0	0.0
26986	32806.0	38252.0
126069	111.0	84.0
106481449	0.0	0.0
126068	926.0	899.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1265.0	1012.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	3.0	0.0
106481450	0.0	0.0
114088	76.0	28.0
106481455	1.0	0.0
85349	1087.0	98.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	0.0
106481454	2.0	0.0
403238	0.0	0.0
85344	74.0	18.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	3.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	1.0	0.0
100873395	0.0	0.0
100128811	3.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	3178.0	4200.0
100873390	0.0	0.0
728556	53.0	27.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	197.0	81.0
106481417	1.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	514.0	347.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	15.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	342.0	104.0
100873384	0.0	0.0
285601	19.0	35.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	3.0	0.0
63910	136.0	635.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1016.0	360.0
222008	3.0	2.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	6983.0	5433.0
63904	0.0	0.0
106481430	0.0	0.0
163071	684.0	350.0
63906	1326.0	1305.0
106481433	0.0	0.0
63908	1419.0	820.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	1.0
285613	105.0	120.0
63920	1004.0	584.0
63923	219.0	91.0
63922	665.0	796.0
728577	14.0	10.0
63925	2411.0	2147.0
63924	10.0	3.0
63916	3206.0	3310.0
63917	6783.0	4062.0
106481400	0.0	0.0
106481401	1.0	0.0
728562	2.0	0.0
728564	3.0	13.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2342.0	1669.0
106481402	0.0	0.0
63931	2759.0	1723.0
106481403	1.0	0.0
63934	1477.0	1015.0
728567	2.0	1.0
106481408	0.0	0.0
163088	6.0	5.0
63933	4259.0	2452.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6418.0	4688.0
163087	998.0	724.0
728568	638.0	469.0
106481407	8.0	9.0
3704	4221.0	4720.0
3705	4696.0	6318.0
63926	1729.0	544.0
3706	28.0	46.0
63929	1403.0	748.0
3707	1707.0	3464.0
63928	1.0	2.0
3708	19962.0	3036.0
106481411	0.0	2.0
3709	1986.0	2006.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	33.0	22.0
3702	132.0	186.0
3703	14666.0	9065.0
645506	0.0	0.0
151050	2777.0	1375.0
645520	0.0	0.0
63941	2426.0	1980.0
63940	448.0	1397.0
63943	1329.0	941.0
728517	0.0	0.0
163033	894.0	1569.0
258010	6371.0	4255.0
63947	0.0	0.0
63946	2.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11132.0	9836.0
100033804	0.0	0.0
3717	811.0	591.0
100033805	0.0	0.0
3718	239.0	1953.0
63939	1159.0	946.0
100033806	0.0	0.0
100190799	8.0	9.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	153.0	97.0
3710	15702.0	7011.0
3712	24226.0	10953.0
3713	2.0	211.0
3714	506.0	3640.0
63950	0.0	3.0
728505	0.0	0.0
63951	751.0	365.0
100033807	0.0	0.0
728501	47.0	41.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	68184.0	25919.0
100033814	0.0	0.0
3727	73009.0	32511.0
63948	58.0	19.0
100033815	0.0	0.0
222052	0.0	0.0
3728	31732.0	29053.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1147.0	1006.0
151056	313.0	204.0
3725	149064.0	22927.0
645528	1.0	1.0
728532	25.0	20.0
163059	789.0	440.0
728538	0.0	0.0
728537	352.0	267.0
63967	22.0	26.0
3737	30.0	8.0
3738	18.0	28.0
3739	2.0	0.0
645538	0.0	0.0
3730	2236.0	1762.0
3732	4204.0	4636.0
3734	87.0	50.0
3735	8360.0	7688.0
3736	995.0	124.0
63970	27.0	13.0
3750	150.0	183.0
63971	7355.0	3462.0
63974	0.0	0.0
163049	3840.0	2229.0
63973	0.0	1.0
63976	4779.0	1555.0
222068	22547.0	15292.0
63978	0.0	0.0
63977	732.0	572.0
63979	707.0	501.0
728524	0.0	0.0
3748	4657.0	2084.0
163051	74.0	122.0
3749	690.0	792.0
163050	59.0	38.0
3741	140.0	84.0
645548	6.0	19.0
3743	3.0	2.0
3744	1.0	0.0
3745	73.0	56.0
3746	14.0	5.0
3747	0.0	0.0
285671	2585.0	920.0
285672	2197.0	1807.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	4.0	2.0
285676	148.0	122.0
3761	1.0	2.0
100128657	0.0	1.0
285679	1.0	1.0
100861449	2.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	226.0	1718.0
283008	1.0	0.0
3751	22.0	7.0
100873435	0.0	0.0
3752	235.0	105.0
100873434	0.0	0.0
3753	51.0	13.0
100873433	0.0	0.0
3754	14.0	56.0
100873432	0.0	0.0
3755	4.0	13.0
100873439	0.0	0.0
3756	9.0	17.0
100873438	0.0	0.0
3757	23.0	6.0
100873437	0.0	0.0
3758	294.0	157.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	275.0	127.0
3772	25059.0	12077.0
100861458	0.0	0.0
100861453	45.0	29.0
100861455	0.0	0.0
1107	18172.0	12605.0
1106	14530.0	8091.0
1105	2296.0	2004.0
1104	1417.0	1480.0
100873429	0.0	0.0
1103	0.0	1.0
1102	5091.0	2684.0
1101	123.0	54.0
3762	393.0	1022.0
100873424	0.0	0.0
3763	5.0	4.0
100128640	302.0	135.0
100873423	0.0	0.0
3764	694.0	660.0
100873422	0.0	0.0
3765	6.0	3.0
100873421	4.0	0.0
3766	79.0	57.0
100873428	0.0	0.0
3767	534.0	364.0
100873427	0.0	0.0
3768	801.0	338.0
1109	0.0	1.0
100873426	0.0	1.0
1108	23114.0	23005.0
3769	510.0	124.0
100873425	1.0	0.0
100128637	0.0	1.0
100128639	1.0	0.0
3780	10.0	41.0
100873453	0.0	0.0
3781	32.0	72.0
100873452	0.0	0.0
3782	286.0	1079.0
100873451	0.0	0.0
3783	119.0	2083.0
100873450	0.0	0.0
1121	2088.0	1069.0
100861468	0.0	0.0
1120	387.0	678.0
100861469	1.0	0.0
1118	432.0	3517.0
1117	1512.0	2489.0
1116	3897.0	18740.0
1114	1332.0	91.0
1113	1014.0	2.0
1112	2104.0	1814.0
1111	327.0	355.0
3773	42660.0	27001.0
100873457	1.0	0.0
100873456	0.0	1.0
3775	941.0	901.0
100873455	0.0	0.0
3776	1124.0	264.0
100873454	0.0	0.0
3777	1547.0	721.0
3778	177.0	335.0
3779	78.0	319.0
100873459	0.0	0.0
1119	4681.0	3109.0
100128627	1.0	0.0
100128626	5.0	1.0
3790	82.0	285.0
100128628	10.0	2.0
3791	3407.0	6282.0
100873442	0.0	0.0
3792	52.0	37.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	14.0	2.0
1131	146.0	513.0
1130	2419.0	3077.0
100861476	0.0	0.0
1129	2.0	0.0
1128	9.0	5.0
1124	750.0	1792.0
1123	649.0	1031.0
1122	1197.0	457.0
100861470	0.0	0.0
3784	19304.0	8804.0
100873446	0.0	0.0
3785	7.0	9.0
100873445	0.0	0.0
3786	60.0	1479.0
100873444	0.0	0.0
3787	27.0	13.0
100873443	0.0	0.0
3788	4.0	12.0
100873449	13.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	251.0	280.0
100128618	0.0	1.0
728597	2.0	4.0
100128617	32.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	108.0	22.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	19.0	28.0
285634	4.0	3.0
1142	0.0	0.0
1141	21.0	8.0
285636	3549.0	2434.0
1140	2370.0	2123.0
728599	5.0	0.0
1139	130.0	37.0
1138	9.0	15.0
1137	876.0	304.0
100861485	0.0	0.0
1136	27.0	15.0
1135	9.0	3.0
1134	18.0	132.0
1133	8.0	8.0
3795	98.0	173.0
100873479	5.0	4.0
3796	1169.0	471.0
100873478	0.0	0.0
3797	1299.0	853.0
100873477	0.0	3.0
3798	312.0	132.0
100873476	0.0	0.0
3799	10688.0	6539.0
100873460	0.0	0.0
728586	17.0	21.0
285641	2.0	2.0
100873464	2.0	1.0
100873463	0.0	1.0
100873462	3.0	0.0
285643	3.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4002.0	1767.0
1153	40469.0	43370.0
1152	13746.0	8764.0
285647	68.0	16.0
728589	24.0	5.0
728588	0.0	0.0
1149	10.0	1.0
1147	1899.0	1062.0
1146	4.0	0.0
1145	24.0	77.0
1144	1.0	2.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	1.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	984.0	778.0
1163	817.0	635.0
285659	0.0	0.0
1161	523.0	366.0
1160	278.0	199.0
1159	159.0	72.0
1158	7.0	11.0
1157	1.0	0.0
1155	2958.0	4812.0
550643	2980.0	2966.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	2827.0	2851.0
1175	3064.0	4513.0
285668	10.0	3.0
1174	2237.0	2775.0
1173	20165.0	21977.0
550631	818.0	647.0
100873489	0.0	0.0
283014	26.0	19.0
100873488	1.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	955.0	237.0
1186	6099.0	5098.0
1185	2644.0	1558.0
1184	668.0	424.0
1183	2334.0	1025.0
1182	6604.0	3538.0
1181	629.0	447.0
440375	78.0	27.0
1180	14.0	13.0
1179	1.0	0.0
1178	0.0	1.0
283089	44.0	25.0
85495	0.0	0.0
85480	251.0	96.0
283080	0.0	0.0
1198	5584.0	4294.0
1197	2.0	0.0
1196	3294.0	3292.0
1195	14131.0	11526.0
440366	0.0	0.0
1193	3149.0	2269.0
1192	13364.0	20583.0
1191	145857.0	735134.0
1188	3999.0	932.0
283078	43.0	36.0
85486	7.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	73.0	95.0
440396	78.0	66.0
128609	0.0	0.0
128602	0.0	0.0
440387	7.0	4.0
128674	1.0	0.0
128676	1.0	0.0
114026	1.0	0.0
100861402	0.0	5.0
126014	134.0	529.0
440335	36.0	435.0
100128690	0.0	0.0
114034	1659.0	1407.0
126006	101.0	92.0
114036	382.0	327.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	91.0	78.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	2.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	508.0	416.0
440356	12.0	5.0
440354	82.0	65.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	0.0	2.0
100873413	3.0	0.0
128646	0.0	7.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	17.0
100873410	0.0	0.0
100873417	3.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	469.0	498.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	83.0	63.0
200734	3779.0	3501.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	1.0	0.0
100873407	0.0	0.0
100861430	10.0	11.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	5423.0	3799.0
100873406	0.0	0.0
100873405	5.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	6.0	5.0
165530	8.0	30.0
85409	20.0	130.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	4.0
85417	52.0	44.0
106481384	0.0	0.0
103106903	1.0	3.0
85414	95.0	126.0
106481389	0.0	0.0
85415	1507.0	415.0
106481387	1.0	1.0
85413	0.0	0.0
106481388	4.0	1.0
645436	3.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	2.0	3.0
106481380	0.0	0.0
11	0.0	0.0
403341	974.0	920.0
12	8.0	1.0
13	19.0	9.0
14	12987.0	10056.0
15	25.0	10.0
16	16553.0	8802.0
645455	25.0	8.0
18	17502.0	7206.0
19	2497.0	2903.0
128580	8.0	6.0
85407	60.0	47.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	2111.0	1117.0
106481395	1.0	0.0
85403	2343.0	1628.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	12769.0	12774.0
106481390	0.0	0.0
21	10173.0	5940.0
106481391	0.0	0.0
22	1581.0	991.0
153571	77.0	32.0
153572	91.0	40.0
23	6372.0	4124.0
24	69.0	377.0
25	13928.0	9016.0
26	33.0	133.0
27	1891.0	1819.0
28	7483.0	4530.0
29	2633.0	5958.0
153579	805.0	1391.0
728615	1.0	0.0
728614	0.0	0.0
200765	581.0	358.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	88.0	32.0
102466518	1.0	1.0
102466516	20.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	1.0
85439	1896.0	1652.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3743.0	3173.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	404.0	271.0
106481366	0.0	0.0
30	3546.0	3890.0
106481360	0.0	0.0
31	3332.0	1831.0
32	6924.0	1981.0
33	2746.0	1400.0
34	4411.0	1727.0
35	2873.0	2072.0
153562	6264.0	2450.0
36	3089.0	1172.0
37	26997.0	25467.0
38	5384.0	2894.0
440307	16.0	4.0
39	964.0	752.0
165545	4.0	3.0
106481369	0.0	0.0
728606	148.0	127.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	8.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	2.0
106481370	0.0	0.0
41	71.0	43.0
106481371	0.0	0.0
43	506.0	197.0
645486	0.0	0.0
47	7770.0	5606.0
48	5836.0	4805.0
49	9.0	24.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	5.0	0.0
106481341	0.0	0.0
106481342	1.0	1.0
106481340	0.0	1.0
