id	4bc9290d-823f-4c98-8cca-f683588cbd49	1590bb02-832b-4594-a1a8-ffc0dc3b0c96
100873356	0.0	0.0
3678	5928.0	13577.0
3679	1004.0	297.0
100873359	0.0	0.0
728464	39.0	14.0
728463	26.0	14.0
100128725	0.0	0.0
3690	97.0	72.0
3691	2587.0	67204.0
100873343	1.0	0.0
3692	3814.0	11314.0
3693	4381.0	12856.0
285521	1294.0	1286.0
100873342	0.0	0.0
3694	6976.0	10580.0
100873341	0.0	0.0
3695	1453.0	272.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	326.0	595.0
1032	914.0	656.0
285525	4.0	0.0
1031	853.0	593.0
285527	5731.0	5338.0
1030	1168.0	6504.0
728468	0.0	0.0
440288	157.0	116.0
1029	196.0	4627.0
440295	291.0	373.0
1028	792.0	1039.0
1027	6322.0	3339.0
1026	4696.0	16539.0
1025	3829.0	5813.0
1024	891.0	1198.0
3685	7027.0	21939.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	7252.0	1191.0
100873345	0.0	0.0
3688	17057.0	41050.0
100873344	0.0	0.0
3689	24375.0	4736.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	3.0	1.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	20.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	54.0	15.0
100873375	1.0	0.0
100128710	0.0	0.0
285533	161.0	44.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	80.0	2.0
1043	25387.0	670.0
1041	2.0	14.0
1040	1835.0	2295.0
1039	1928.0	729.0
1038	3.0	0.0
1036	364.0	20.0
3696	818.0	3953.0
3697	53.0	1.0
100873379	0.0	0.0
3698	44.0	3.0
100873378	0.0	5.0
3699	416.0	22.0
100873377	0.0	0.0
728486	97.0	2.0
100873361	1.0	1.0
105373869	7.0	41.0
100873360	0.0	0.0
285540	217.0	77.0
100128705	4.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	2491.0	4021.0
285547	0.0	0.0
1053	73.0	2.0
285548	2.0	12.0
1052	2404.0	1470.0
1051	4119.0	3517.0
728489	12.0	11.0
1050	3451.0	990.0
100128707	0.0	0.0
1048	1781.0	435.0
1047	112.0	114.0
1046	0.0	0.0
1045	4.0	31.0
100873369	2.0	9.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	9178.0	323.0
1063	1261.0	7287.0
1062	606.0	2259.0
1061	6.0	5.0
1060	1576.0	1590.0
440253	224.0	127.0
1059	3876.0	8192.0
1058	164.0	565.0
1057	0.0	1.0
85379	3043.0	4315.0
114112	342.0	983.0
1056	28.0	1046.0
85377	2141.0	17023.0
85378	4772.0	3413.0
128745	0.0	0.0
85376	53.0	26.0
440248	702.0	386.0
1075	25221.0	29753.0
1074	20.0	19.0
1073	2476.0	862.0
1072	41253.0	76334.0
1071	2138.0	35.0
440243	0.0	2.0
1070	1030.0	554.0
1069	3200.0	3052.0
1068	0.0	0.0
85369	2686.0	1692.0
85366	15.0	10.0
85364	2180.0	1757.0
85365	2432.0	2338.0
85363	2224.0	2063.0
85360	879.0	1252.0
1080	1857.0	87.0
85391	10.0	12.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	11.0	0.0
153733	635.0	172.0
1087	13.0	9.0
1086	0.0	3.0
440279	8.0	2.0
1085	0.0	0.0
1084	130.0	26.0
440278	81.0	215.0
1082	0.0	0.0
403294	0.0	0.0
440275	3421.0	5384.0
1081	0.0	9.0
85397	20.0	4.0
85395	434.0	741.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	8.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	2210.0	749.0
1089	134.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	192.0	191.0
285598	968.0	700.0
126133	2264.0	3036.0
128790	1.0	0.0
126129	227.0	98.0
126123	2.0	1.0
442862	0.0	0.0
126119	848.0	1286.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	2.0
442894	0.0	0.0
442895	1.0	0.0
114131	43.0	0.0
442896	1.0	1.0
114132	387.0	34.0
442897	0.0	0.0
442898	4.0	3.0
114134	873.0	397.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	4.0
100128788	55.0	19.0
100128787	1.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	1.0	1.0
442892	2.0	1.0
128756	0.0	0.0
100128782	302.0	144.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	5.0
403234	1.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	38.0	11.0
102466616	0.0	0.0
126052	0.0	0.0
151009	19.0	50.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	3.0
645573	0.0	0.0
645572	0.0	0.0
645571	28.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	528.0	3849.0
107131122	1.0	0.0
138050	4716.0	5813.0
403219	0.0	0.0
151011	5250.0	9832.0
645587	5.0	0.0
165679	40.0	317.0
126037	18.0	8.0
114049	3528.0	5328.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1967.0	286.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1709.0	925.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	176.0	153.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	82.0
645598	2.0	0.0
163007	9.0	6.0
114038	0.0	31.0
645591	17.0	0.0
106481495	0.0	1.0
114041	4.0	0.0
106481496	0.0	0.0
114042	4.0	0.0
106481493	0.0	0.0
114043	104.0	8.0
106481494	0.0	0.0
106481499	0.0	1.0
114044	307.0	485.0
126017	617.0	771.0
106481497	0.0	1.0
106481498	0.0	1.0
85303	1.0	0.0
85300	2.0	1.0
85301	1199.0	3594.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	3.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1841.0	615.0
106481459	0.0	0.0
26994	5560.0	5272.0
106481457	5.0	7.0
26995	1598.0	2847.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	5.0
403272	0.0	0.0
102466659	0.0	0.0
26999	11145.0	816.0
403273	0.0	0.0
102466658	0.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	2.0
106481460	6.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2381.0	2010.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	20.0	5.0
106481472	0.0	0.0
106481477	2.0	1.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	33.0
106481470	2.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1204.0	2502.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	2.0
106481437	0.0	0.0
26974	215.0	142.0
153657	62.0	26.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2217.0	2158.0
165631	5284.0	149.0
106481436	0.0	1.0
26978	18.0	10.0
126075	1051.0	498.0
106481439	0.0	0.0
403250	0.0	0.0
126074	262.0	231.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	1.0
85359	1408.0	1598.0
106481444	9.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3576.0	1132.0
85354	0.0	0.0
85352	146.0	104.0
403241	1.0	0.0
344462	5.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	439.0	306.0
153643	430.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	3845.0	4595.0
106481448	0.0	0.0
26986	72252.0	113251.0
126069	168.0	16.0
106481449	0.0	0.0
126068	988.0	285.0
106481446	0.0	0.0
26983	0.0	0.0
26984	925.0	1263.0
106481447	0.0	0.0
106481451	3.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	55.0	651.0
106481455	0.0	0.0
85349	16.0	349.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	8.0
106481454	1.0	0.0
403238	0.0	0.0
85344	3.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	11.0	1.0
85340	0.0	0.0
100873394	1.0	2.0
100873393	1.0	2.0
100873392	0.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	5223.0	2774.0
100873390	0.0	0.0
728556	44.0	73.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	111.0	104.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	456.0	727.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	2.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	18.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	147.0	93.0
100873384	0.0	0.0
285601	22.0	5.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	0.0	1.0
63910	1195.0	286.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	560.0	360.0
222008	0.0	0.0
106481428	1.0	0.0
106481429	0.0	1.0
63905	2153.0	4080.0
63904	0.0	0.0
106481430	0.0	0.0
163071	68.0	97.0
63906	844.0	889.0
106481433	0.0	0.0
63908	972.0	673.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	1.0
285613	199.0	36.0
63920	353.0	291.0
63923	41.0	5.0
63922	622.0	1246.0
728577	43.0	77.0
63925	2476.0	1709.0
63924	5.0	0.0
63916	3928.0	2520.0
63917	3745.0	3367.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	3.0
728564	3.0	11.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1296.0	1156.0
106481402	0.0	0.0
63931	1669.0	1943.0
106481403	0.0	0.0
63934	242.0	818.0
728567	3.0	3.0
106481408	0.0	0.0
163088	5.0	2.0
63933	2205.0	2483.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3361.0	2973.0
163087	1035.0	720.0
728568	369.0	212.0
106481407	13.0	3.0
3704	1844.0	2702.0
3705	5003.0	3530.0
63926	580.0	2012.0
3706	13.0	38.0
63929	1099.0	2600.0
3707	5028.0	5418.0
63928	3.0	890.0
3708	6213.0	1380.0
106481411	0.0	1.0
3709	4119.0	1366.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	63.0	6.0
3702	2715.0	316.0
3703	6762.0	14508.0
645506	0.0	0.0
151050	1396.0	444.0
645520	0.0	0.0
63941	1478.0	929.0
63940	8202.0	610.0
63943	293.0	507.0
728517	0.0	0.0
163033	381.0	857.0
258010	1945.0	1790.0
63947	0.0	0.0
63946	1.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	19468.0	9602.0
100033804	0.0	0.0
3717	2878.0	1272.0
100033805	0.0	0.0
3718	6599.0	721.0
63939	1819.0	1628.0
100033806	0.0	0.0
100190799	8.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	157.0	112.0
3710	9232.0	7585.0
3712	5423.0	2551.0
3713	9.0	4839.0
3714	1183.0	4655.0
63950	8.0	12.0
728505	0.0	1.0
63951	313.0	96.0
100033807	0.0	0.0
728501	16.0	7.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6988.0	17574.0
100033814	0.0	0.0
3727	4834.0	4190.0
63948	0.0	0.0
100033815	0.0	0.0
222052	8.0	0.0
3728	6855.0	78871.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2093.0	5738.0
151056	261.0	219.0
3725	7163.0	6327.0
645528	24.0	1.0
728532	16.0	14.0
163059	255.0	194.0
728538	0.0	4.0
728537	351.0	129.0
63967	339.0	980.0
3737	71.0	7.0
3738	969.0	52.0
3739	67.0	10.0
645538	0.0	0.0
3730	8138.0	4929.0
3732	6716.0	6667.0
3734	1.0	0.0
3735	6720.0	12380.0
3736	8.0	0.0
63970	18.0	42.0
3750	331.0	123.0
63971	3432.0	3913.0
63974	0.0	0.0
163049	2624.0	2034.0
63973	0.0	1.0
63976	896.0	45.0
222068	5488.0	7078.0
63978	0.0	0.0
63977	1216.0	1498.0
63979	790.0	2086.0
728524	0.0	0.0
3748	674.0	210.0
163051	31.0	8.0
3749	1335.0	536.0
163050	88.0	47.0
3741	123.0	2.0
645548	9.0	1.0
3743	1.0	42.0
3744	14.0	1.0
3745	61.0	2.0
3746	3.0	1.0
3747	0.0	0.0
285671	420.0	44.0
285672	2142.0	1945.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	8.0	0.0
285676	34.0	12.0
3761	1.0	3.0
100128657	0.0	0.0
285679	0.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	364.0	1771.0
283008	0.0	0.0
3751	36.0	214.0
100873435	0.0	0.0
3752	400.0	106.0
100873434	0.0	0.0
3753	120.0	7.0
100873433	0.0	0.0
3754	79.0	2.0
100873432	0.0	0.0
3755	323.0	223.0
100873439	0.0	0.0
3756	10.0	6.0
100873438	0.0	0.0
3757	216.0	605.0
100873437	0.0	0.0
3758	18.0	0.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	72.0	139.0
3772	4382.0	2459.0
100861458	0.0	1.0
100861453	29.0	8.0
100861455	0.0	2.0
1107	12442.0	9464.0
1106	8709.0	7968.0
1105	3735.0	2067.0
1104	1935.0	4025.0
100873429	0.0	0.0
1103	1.0	13.0
1102	1452.0	1008.0
1101	101.0	104.0
3762	855.0	91.0
100873424	0.0	0.0
3763	15.0	3.0
100128640	34.0	20.0
100873423	0.0	0.0
3764	1045.0	579.0
100873422	0.0	0.0
3765	0.0	1.0
100873421	0.0	1.0
3766	747.0	48.0
100873428	0.0	0.0
3767	151.0	31.0
100873427	0.0	0.0
3768	90.0	18.0
1109	13.0	3.0
100873426	0.0	0.0
1108	13510.0	21905.0
3769	7.0	1.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	1.0	0.0
3780	27.0	28.0
100873453	0.0	0.0
3781	65.0	62.0
100873452	0.0	0.0
3782	799.0	132.0
100873451	0.0	0.0
3783	1651.0	1021.0
100873450	0.0	0.0
1121	1882.0	1628.0
100861468	0.0	0.0
1120	306.0	316.0
100861469	0.0	0.0
1118	3519.0	916.0
1117	4484.0	144.0
1116	4413.0	5070.0
1114	99.0	26.0
1113	11.0	2.0
1112	5677.0	5098.0
1111	485.0	2309.0
3773	204.0	625.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	458.0	2795.0
100873455	0.0	0.0
3776	21.0	89.0
100873454	0.0	0.0
3777	1074.0	98.0
3778	1122.0	247.0
3779	278.0	84.0
100873459	2.0	0.0
1119	1391.0	424.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	1755.0	608.0
100128628	16.0	17.0
3791	3800.0	736.0
100873442	0.0	0.0
3792	803.0	75.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	40.0	2.0
1131	295.0	842.0
1130	4074.0	1995.0
100861476	3.0	1.0
1129	20.0	2.0
1128	73.0	1.0
1124	421.0	121.0
1123	1666.0	275.0
1122	1051.0	3751.0
100861470	0.0	0.0
3784	2656.0	2265.0
100873446	0.0	0.0
3785	2.0	2.0
100873445	0.0	0.0
3786	961.0	109.0
100873444	0.0	0.0
3787	68.0	1.0
100873443	0.0	0.0
3788	23.0	3.0
100873449	12.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	67.0	51.0
100128618	0.0	1.0
728597	1.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	12.0	145.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	78.0	265.0
285634	5.0	11.0
1142	1.0	0.0
1141	1.0	11.0
285636	2114.0	6442.0
1140	599.0	315.0
728599	2.0	3.0
1139	24.0	11.0
1138	43.0	262.0
1137	10.0	1.0
100861485	0.0	0.0
1136	207.0	18.0
1135	29.0	2.0
1134	70.0	5.0
1133	30.0	6.0
3795	404.0	486.0
100873479	3.0	5.0
3796	2835.0	3928.0
100873478	0.0	0.0
3797	515.0	1373.0
100873477	8.0	4.0
3798	41.0	23.0
100873476	0.0	0.0
3799	10406.0	12594.0
100873460	0.0	0.0
728586	11.0	11.0
285641	7.0	0.0
100873464	4.0	16.0
100873463	1.0	1.0
100873462	1.0	4.0
285643	5.0	4.0
100128603	5.0	0.0
100873461	0.0	0.0
1154	2431.0	730.0
1153	19153.0	8294.0
1152	2355.0	2025.0
285647	23.0	19.0
728589	17.0	28.0
728588	3.0	0.0
1149	0.0	4.0
1147	2008.0	1954.0
1146	8.0	1.0
1145	51.0	10.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1305.0	2053.0
1163	694.0	4716.0
285659	0.0	0.0
1161	468.0	417.0
1160	137.0	18.0
1159	13.0	347.0
1158	8.0	12.0
1157	0.0	1.0
1155	3167.0	2183.0
550643	1546.0	4137.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2466.0	1421.0
1175	3190.0	8740.0
285668	34.0	2.0
1174	1530.0	5003.0
1173	14787.0	55738.0
550631	175.0	143.0
100873489	0.0	0.0
283014	19.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	21.0	44.0
1186	4152.0	3216.0
1185	2442.0	1294.0
1184	1060.0	378.0
1183	1213.0	1359.0
1182	4178.0	6532.0
1181	161.0	721.0
440375	39.0	58.0
1180	13.0	71.0
1179	0.0	0.0
1178	55.0	0.0
283089	21.0	3.0
85495	0.0	0.0
85480	123.0	47.0
283080	0.0	0.0
1198	4061.0	3343.0
1197	0.0	1.0
1196	2942.0	7083.0
1195	8974.0	5361.0
440366	3.0	0.0
1193	3984.0	327.0
1192	17316.0	15005.0
1191	79060.0	5746.0
1188	26.0	17.0
283078	105.0	6.0
85486	1.0	6.0
128615	0.0	1.0
85481	0.0	0.0
128611	991.0	79.0
440396	50.0	57.0
128609	0.0	0.0
128602	1261.0	0.0
440387	0.0	3.0
128674	3.0	0.0
128676	1.0	1.0
114026	0.0	0.0
100861402	0.0	1.0
126014	3151.0	223.0
440335	544.0	2068.0
100128690	0.0	0.0
114034	798.0	874.0
126006	72.0	16.0
114036	32.0	23.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	70.0	30.0
100861412	0.0	0.0
105180390	1.0	4.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	9.0	4.0
100128678	5.0	3.0
100861429	0.0	0.0
128653	0.0	1.0
200728	219.0	337.0
440356	3.0	6.0
440354	130.0	68.0
440352	4.0	1.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	67.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	12.0
100873410	0.0	0.0
100873417	2.0	7.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	138.0	88.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	382.0	180.0
200734	2588.0	1319.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	35.0	2.0
100873402	0.0	0.0
100873401	5.0	1.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3833.0	2669.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	2.0
165530	64.0	1.0
85409	880.0	154.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	7.0	16.0
106481383	6.0	5.0
85417	39.0	8.0
106481384	1.0	1.0
103106903	2.0	0.0
85414	1480.0	337.0
106481389	0.0	0.0
85415	609.0	1736.0
106481387	0.0	0.0
85413	18.0	2.0
106481388	5.0	14.0
645436	0.0	1.0
106481381	0.0	1.0
106481382	0.0	0.0
10	9.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1410.0	1425.0
12	14.0	33.0
13	472.0	95.0
14	4566.0	5456.0
15	87.0	41.0
16	6813.0	18785.0
645455	16.0	7.0
18	1466.0	1540.0
19	3884.0	3842.0
128580	8.0	6.0
85407	742.0	240.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1376.0	2196.0
106481395	1.0	0.0
85403	1763.0	1569.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	2765.0	2503.0
106481390	0.0	0.0
21	39060.0	1915.0
106481391	0.0	0.0
22	1475.0	1083.0
153571	607.0	1230.0
153572	2074.0	2714.0
23	4557.0	8353.0
24	326.0	15.0
25	4018.0	8686.0
26	348.0	30.0
27	1473.0	4400.0
28	1248.0	1143.0
29	8248.0	4335.0
153579	5340.0	51.0
728615	1.0	0.0
728614	0.0	0.0
200765	231.0	251.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	7.0	26.0
102466518	1.0	0.0
102466516	4.0	5.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	402.0	3462.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	2038.0	2659.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	596.0	355.0
106481366	0.0	0.0
30	2921.0	960.0
106481360	0.0	0.0
31	4775.0	9576.0
32	2294.0	287.0
33	957.0	36.0
34	3786.0	1538.0
35	1518.0	653.0
153562	1062.0	1375.0
36	3389.0	1822.0
37	13411.0	9938.0
38	3866.0	1081.0
440307	21.0	5.0
39	2070.0	1327.0
165545	23.0	1005.0
106481369	0.0	0.0
728606	4.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	1.0
106481378	3.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	0.0	2.0
106481370	0.0	0.0
41	99.0	109.0
106481371	0.0	2.0
43	672.0	41.0
645486	0.0	0.0
47	9464.0	17992.0
48	4170.0	1706.0
49	15.0	2.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	2.0	5.0
