id	84f524b2-4e5b-46bf-aa8a-81779ab29f90	48a39e37-0380-4465-8311-6c5c6aff522a
403294	0.0	0.0
440275	6161.0	7333.0
1081	1.0	1.0
85397	31.0	8.0
85395	653.0	410.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	14.0
1097	0.0	4.0
1096	0.0	2.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	716.0	323.0
1089	344.0	133.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	121.0	3.0
285598	476.0	1183.0
126133	3101.0	3262.0
128790	0.0	0.0
126129	192.0	439.0
126123	4.0	0.0
442862	0.0	0.0
126119	1398.0	1039.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	263.0	9.0
442896	0.0	0.0
114132	641.0	22.0
442897	0.0	0.0
442898	0.0	1.0
114134	1706.0	2289.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	3.0
100128788	53.0	33.0
100128787	1.0	2.0
440225	0.0	0.0
440224	2.0	2.0
442890	0.0	0.0
442891	2.0	1.0
442892	3.0	0.0
128756	0.0	0.0
100128782	330.0	125.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	100.0	181.0
102466616	0.0	0.0
126052	0.0	0.0
151009	51.0	13.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	8.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1298.0	579.0
107131122	0.0	0.0
138050	11478.0	19227.0
403219	0.0	0.0
151011	10721.0	3042.0
645587	0.0	0.0
165679	27.0	8.0
126037	29.0	15.0
114049	4722.0	5283.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	3589.0	1329.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2833.0	1294.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	102.0	81.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	7.0	18.0
645598	1.0	0.0
163007	1.0	6.0
114038	6.0	3.0
645591	37.0	0.0
106481495	0.0	0.0
114041	1.0	18.0
106481496	0.0	0.0
114042	6.0	1.0
106481493	0.0	0.0
114043	76.0	50.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	234.0	93.0
126017	505.0	426.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	1246.0	3226.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2000.0	463.0
106481459	0.0	0.0
26994	12102.0	7692.0
106481457	1.0	0.0
26995	1941.0	1504.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	10.0
403272	0.0	0.0
102466659	0.0	0.0
26999	7695.0	1067.0
403273	0.0	0.0
102466658	0.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	11.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2605.0	1891.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	1.0
104310351	36.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	1.0
403266	0.0	2.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	73.0	8.0
106481472	0.0	0.0
106481477	4.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	1.0	0.0
85320	11.0	24.0
106481470	4.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	1299.0	577.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	5.0
106481437	0.0	0.0
26974	119.0	173.0
153657	35.0	31.0
106481438	0.0	1.0
106481435	0.0	0.0
26973	1270.0	1180.0
165631	508.0	181.0
106481436	1.0	1.0
26978	27.0	19.0
126075	1118.0	308.0
106481439	0.0	0.0
403250	0.0	0.0
126074	237.0	105.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2500.0	1952.0
106481444	5.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6213.0	2195.0
85354	0.0	0.0
85352	342.0	1448.0
403241	0.0	1.0
344462	1.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	523.0	667.0
153643	160.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	4678.0	3938.0
106481448	0.0	0.0
26986	60179.0	98749.0
126069	126.0	58.0
106481449	0.0	0.0
126068	590.0	147.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1082.0	786.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	52.0	118.0
106481455	0.0	0.0
85349	301.0	7.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	2.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	8.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	2.0	1.0
63901	3332.0	1760.0
100873390	0.0	0.0
728556	45.0	116.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	166.0	96.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	484.0	356.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	8.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	217.0	97.0
100873384	0.0	0.0
285601	14.0	61.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	1.0
63910	337.0	869.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	742.0	374.0
222008	17.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4478.0	5738.0
63904	0.0	0.0
106481430	2.0	0.0
163071	99.0	89.0
63906	1321.0	1068.0
106481433	0.0	0.0
63908	828.0	508.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	10.0	0.0
285613	102.0	360.0
63920	214.0	87.0
63923	391.0	237.0
63922	359.0	1064.0
728577	202.0	432.0
63925	2536.0	1482.0
63924	13.0	2.0
63916	5473.0	3583.0
63917	5323.0	7492.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	2.0
728564	4.0	2.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1534.0	1019.0
106481402	1.0	1.0
63931	2060.0	950.0
106481403	1.0	0.0
63934	147.0	113.0
728567	2.0	1.0
106481408	0.0	0.0
163088	8.0	1.0
63933	3285.0	1973.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	6503.0	2846.0
163087	914.0	680.0
728568	335.0	207.0
106481407	14.0	20.0
3704	1793.0	1661.0
3705	10654.0	3190.0
63926	1114.0	1703.0
3706	17.0	136.0
63929	1008.0	1689.0
3707	8870.0	4356.0
63928	13.0	4.0
3708	7831.0	2076.0
106481411	0.0	0.0
3709	4524.0	8289.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	53.0	12.0
3702	1586.0	573.0
3703	11790.0	12127.0
645506	0.0	0.0
151050	2061.0	609.0
645520	1.0	0.0
63941	2841.0	905.0
63940	6821.0	2928.0
63943	380.0	360.0
728517	0.0	0.0
163033	782.0	606.0
258010	2055.0	727.0
63947	0.0	1.0
63946	1.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	29815.0	14234.0
100033804	0.0	0.0
3717	3017.0	2014.0
100033805	0.0	0.0
3718	1367.0	2927.0
63939	1187.0	883.0
100033806	0.0	0.0
100190799	1.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	84.0	37.0
3710	28309.0	11471.0
3712	8562.0	2264.0
3713	24.0	4149.0
3714	2397.0	5157.0
63950	3.0	21.0
728505	0.0	0.0
63951	325.0	12.0
100033807	0.0	0.0
728501	31.0	14.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	36099.0	11067.0
100033814	0.0	0.0
3727	30514.0	5357.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	22473.0	64273.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2135.0	4083.0
151056	343.0	501.0
3725	29675.0	23098.0
645528	3.0	0.0
728532	22.0	47.0
163059	345.0	154.0
728538	0.0	17.0
728537	220.0	44.0
63967	66.0	519.0
3737	17.0	23.0
3738	1470.0	256.0
3739	190.0	2.0
645538	0.0	0.0
3730	26701.0	4245.0
3732	10904.0	32840.0
3734	3.0	0.0
3735	8977.0	9327.0
3736	8.0	1.0
63970	8.0	402.0
3750	245.0	552.0
63971	9876.0	4750.0
63974	0.0	0.0
163049	2886.0	1305.0
63973	0.0	25.0
63976	2641.0	86.0
222068	9476.0	6538.0
63978	0.0	0.0
63977	642.0	669.0
63979	397.0	716.0
728524	0.0	0.0
3748	1265.0	485.0
163051	24.0	4.0
3749	975.0	993.0
163050	60.0	30.0
3741	200.0	2.0
645548	2.0	19.0
3743	1.0	48.0
3744	10.0	0.0
3745	459.0	4.0
3746	4.0	1.0
3747	0.0	0.0
285671	769.0	263.0
285672	2584.0	1118.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	26.0	1.0
285676	81.0	32.0
3761	0.0	52.0
100128657	0.0	0.0
285679	1.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	719.0	564.0
283008	32.0	4.0
3751	55.0	963.0
100873435	0.0	0.0
3752	1086.0	458.0
100873434	0.0	0.0
3753	144.0	54.0
100873433	0.0	0.0
3754	63.0	36.0
100873432	0.0	0.0
3755	30.0	757.0
100873439	0.0	0.0
3756	13.0	1.0
100873438	0.0	0.0
3757	401.0	754.0
100873437	0.0	0.0
3758	17.0	28.0
100873436	0.0	0.0
100873420	4.0	7.0
3770	108.0	106.0
3772	15774.0	7962.0
100861458	0.0	0.0
100861453	28.0	5.0
100861455	0.0	1.0
1107	19886.0	14102.0
1106	11648.0	5371.0
1105	5029.0	1802.0
1104	1352.0	2664.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1197.0	1051.0
1101	97.0	43.0
3762	4675.0	1119.0
100873424	0.0	0.0
3763	29.0	27.0
100128640	111.0	40.0
100873423	0.0	0.0
3764	2041.0	979.0
100873422	0.0	0.0
3765	1.0	0.0
100873421	0.0	0.0
3766	5.0	33.0
100873428	0.0	0.0
3767	470.0	40.0
100873427	0.0	0.0
3768	419.0	312.0
1109	6.0	0.0
100873426	2.0	1.0
1108	22127.0	25476.0
3769	3.0	15.0
100873425	0.0	1.0
100128637	4.0	0.0
100128639	0.0	0.0
3780	19.0	43.0
100873453	0.0	0.0
3781	343.0	49.0
100873452	0.0	0.0
3782	1227.0	1081.0
100873451	0.0	0.0
3783	437.0	410.0
100873450	0.0	0.0
1121	2691.0	1663.0
100861468	0.0	0.0
1120	211.0	194.0
100861469	0.0	0.0
1118	1559.0	147.0
1117	2798.0	3413.0
1116	2732.0	16391.0
1114	35.0	314.0
1113	38.0	305.0
1112	11064.0	5946.0
1111	241.0	715.0
3773	120.0	3.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	2835.0	169.0
100873455	0.0	0.0
3776	16.0	50.0
100873454	0.0	0.0
3777	11852.0	226.0
3778	1334.0	1924.0
3779	586.0	591.0
100873459	0.0	1.0
1119	2699.0	971.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	5206.0	4476.0
100128628	5.0	0.0
3791	8570.0	1559.0
100873442	0.0	0.0
3792	11.0	17.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	71.0	224.0
1131	689.0	670.0
1130	4090.0	3076.0
100861476	0.0	2.0
1129	465.0	1.0
1128	485.0	1.0
1124	563.0	146.0
1123	1493.0	2730.0
1122	2027.0	547.0
100861470	0.0	0.0
3784	5657.0	1127.0
100873446	0.0	0.0
3785	3.0	1.0
100873445	0.0	0.0
3786	761.0	329.0
100873444	0.0	0.0
3787	312.0	1172.0
100873443	0.0	0.0
3788	23.0	4.0
100873449	8.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	83.0	83.0
100128618	0.0	1.0
728597	13.0	0.0
100128617	11.0	12.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	6.0	30.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	247.0
285634	10.0	7.0
1142	0.0	0.0
1141	13.0	284.0
285636	2962.0	5372.0
1140	435.0	856.0
728599	1.0	4.0
1139	5.0	71.0
1138	31.0	85.0
1137	38.0	8.0
100861485	0.0	0.0
1136	20.0	34.0
1135	44.0	4.0
1134	44.0	60.0
1133	26.0	22.0
3795	505.0	200.0
100873479	8.0	7.0
3796	1708.0	2888.0
100873478	0.0	0.0
3797	828.0	4849.0
100873477	3.0	1.0
3798	35.0	61.0
100873476	0.0	0.0
3799	22062.0	9509.0
100873460	0.0	0.0
728586	16.0	19.0
285641	5.0	1.0
100873464	4.0	2.0
100873463	0.0	0.0
100873462	8.0	0.0
285643	6.0	2.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	8293.0	1191.0
1153	21211.0	7369.0
1152	11549.0	2073.0
285647	20.0	18.0
728589	21.0	24.0
728588	1.0	0.0
1149	1.0	0.0
1147	2687.0	1760.0
1146	1.0	0.0
1145	106.0	78.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	654.0	663.0
1163	723.0	948.0
285659	0.0	0.0
1161	460.0	407.0
1160	109.0	68.0
1159	16.0	95.0
1158	9.0	6.0
1157	1.0	0.0
1155	4733.0	5176.0
550643	2023.0	1921.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2317.0	2732.0
1175	3927.0	5995.0
285668	19.0	2.0
1174	1960.0	3455.0
1173	27920.0	32341.0
550631	248.0	190.0
100873489	0.0	0.0
283014	11.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	16.0	5.0
1186	6436.0	5398.0
1185	3038.0	1118.0
1184	1831.0	1179.0
1183	2061.0	606.0
1182	6982.0	7191.0
1181	298.0	469.0
440375	96.0	44.0
1180	12.0	10.0
1179	9.0	1.0
1178	233.0	71.0
283089	35.0	3.0
85495	0.0	0.0
85480	149.0	114.0
283080	0.0	3.0
1198	4375.0	2849.0
1197	2.0	1.0
1196	2165.0	1972.0
1195	4422.0	2309.0
440366	0.0	0.0
1193	4995.0	444.0
1192	28456.0	18031.0
1191	51659.0	28929.0
1188	74.0	39.0
283078	82.0	29.0
85486	8.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	557.0	151.0
440396	52.0	38.0
128609	0.0	0.0
128602	838.0	3.0
440387	11.0	1.0
128674	0.0	1.0
128676	3.0	1.0
114026	2.0	0.0
100861402	3.0	1.0
126014	5281.0	855.0
440335	797.0	26.0
100128690	0.0	0.0
114034	1174.0	350.0
126006	29.0	3.0
114036	17.0	19.0
100128696	0.0	0.0
100128688	0.0	2.0
126003	82.0	43.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	2.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	249.0	302.0
440356	1.0	50.0
440354	59.0	26.0
440352	4.0	4.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	82.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	14.0
100873410	0.0	0.0
100873417	6.0	3.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	113.0	87.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	144.0	67.0
200734	9294.0	3813.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	6965.0	4108.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	6.0	1.0
165530	59.0	26.0
85409	2760.0	1197.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	140.0
106481383	3.0	2.0
85417	174.0	26.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	424.0	523.0
106481389	0.0	0.0
85415	1364.0	437.0
106481387	0.0	0.0
85413	14.0	30.0
106481388	1.0	7.0
645436	2.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	8.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	1913.0	588.0
12	139.0	168.0
13	665.0	12.0
14	8046.0	6392.0
15	19.0	44.0
16	12926.0	19970.0
645455	30.0	33.0
18	1205.0	2066.0
19	5662.0	6016.0
128580	8.0	5.0
85407	2506.0	867.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	2660.0	1420.0
106481395	0.0	1.0
85403	3929.0	2549.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	6065.0	2099.0
106481390	0.0	0.0
21	209366.0	1133.0
106481391	0.0	0.0
22	1539.0	1014.0
153571	1367.0	182.0
153572	4512.0	504.0
23	9947.0	9631.0
24	125.0	991.0
25	13792.0	10475.0
26	105.0	176.0
27	5551.0	4275.0
28	3463.0	80.0
29	18203.0	7985.0
153579	12571.0	35.0
728615	0.0	0.0
728614	0.0	0.0
200765	220.0	97.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	48.0	30.0
102466518	1.0	1.0
102466516	21.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	846.0	3943.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2420.0	3753.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	462.0	92.0
106481366	0.0	0.0
30	4758.0	1881.0
106481360	1.0	0.0
31	11537.0	7756.0
32	4815.0	415.0
33	2561.0	9.0
34	3494.0	1528.0
35	2576.0	720.0
153562	2406.0	474.0
36	4280.0	1270.0
37	18933.0	8168.0
38	5232.0	1293.0
440307	3.0	2.0
39	3495.0	1822.0
165545	9.0	622.0
106481369	0.0	0.0
728606	1.0	0.0
106481374	0.0	1.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	25.0	14.0
106481370	0.0	0.0
41	125.0	670.0
106481371	0.0	0.0
43	299.0	186.0
645486	0.0	0.0
47	15035.0	13153.0
48	7381.0	4673.0
49	53.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	2.0
106481341	0.0	0.0
106481342	0.0	13.0
