id	7e45a7f3-2613-498c-aa3b-d8cdc5001386	73848cca-19bf-4de1-90ea-1725f617c550
100873324	0.0	0.0
3665	1728.0	2941.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	972.0	1032.0
100873329	0.0	0.0
285590	1099.0	6268.0
100873328	0.0	2.0
3669	1328.0	2735.0
100873327	0.0	0.0
1009	3478.0	4820.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	1.0
728477	6.0	3.0
3680	947.0	1219.0
3681	6.0	81.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	2542.0	1705.0
100873353	0.0	0.0
3683	5385.0	4164.0
100873352	2.0	22.0
128710	244.0	507.0
3684	4433.0	3348.0
100873351	0.0	0.0
285512	122.0	91.0
1022	711.0	732.0
285513	1798.0	1930.0
1021	1385.0	2587.0
1020	579.0	895.0
440299	0.0	1.0
1019	1295.0	4023.0
128709	0.0	1.0
1018	9.0	48.0
1017	665.0	1989.0
1016	0.0	6.0
1015	15.0	53.0
1014	12.0	8.0
1013	21.0	13.0
1012	1543.0	391.0
116730	4.0	15.0
3674	62.0	37.0
100873358	0.0	0.0
3675	16622.0	15532.0
100873357	2.0	0.0
3676	1046.0	2240.0
100128731	3100.0	4674.0
100873356	0.0	0.0
3678	5807.0	6631.0
3679	453.0	363.0
100873359	0.0	0.0
728464	26.0	26.0
728463	30.0	22.0
100128725	0.0	0.0
3690	78.0	160.0
3691	4184.0	44323.0
100873343	0.0	1.0
3692	3216.0	3797.0
3693	6460.0	11667.0
285521	606.0	943.0
100873342	0.0	0.0
3694	4467.0	7618.0
100873341	0.0	0.0
3695	293.0	937.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	56.0	274.0
1032	474.0	1212.0
285525	0.0	1.0
1031	349.0	758.0
285527	2223.0	2839.0
1030	2096.0	1802.0
728468	1.0	0.0
440288	59.0	87.0
1029	96.0	3536.0
440295	121.0	122.0
1028	1047.0	331.0
1027	3126.0	3147.0
1026	7549.0	5798.0
1025	2991.0	5470.0
1024	380.0	896.0
3685	4234.0	32336.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	6821.0	5713.0
100873345	0.0	0.0
3688	13016.0	20377.0
100873344	1.0	0.0
3689	14336.0	20353.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	2.0	4.0
100873370	0.0	0.0
728498	13.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	24.0	28.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	76.0	185.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	42.0
1043	13116.0	2616.0
1041	4.0	2.0
1040	3057.0	1616.0
1039	733.0	1850.0
1038	0.0	1.0
1036	541.0	39.0
3696	1204.0	12432.0
3697	8.0	52.0
100873379	0.0	0.0
3698	31.0	35.0
100873378	0.0	0.0
3699	186.0	70.0
100873377	0.0	0.0
728486	68.0	36.0
100873361	1.0	0.0
105373869	4.0	69.0
100873360	0.0	1.0
285540	145.0	75.0
100128705	1.0	0.0
100873365	0.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	1332.0	2468.0
285547	0.0	0.0
1053	19.0	13.0
285548	0.0	16.0
1052	4526.0	5869.0
1051	4209.0	5958.0
728489	9.0	15.0
1050	1016.0	870.0
100128707	0.0	0.0
1048	5454.0	77.0
1047	147.0	46.0
1046	0.0	0.0
1045	0.0	1.0
100873369	2.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	15637.0	1509.0
1063	294.0	3058.0
1062	127.0	686.0
1061	0.0	3.0
1060	890.0	1539.0
440253	72.0	35.0
1059	3177.0	5607.0
1058	34.0	321.0
1057	1.0	3.0
85379	3330.0	4775.0
114112	403.0	504.0
1056	116.0	5210.0
85377	1257.0	2954.0
85378	2380.0	3382.0
128745	0.0	6.0
85376	18.0	15.0
440248	294.0	380.0
1075	24263.0	12588.0
1074	13.0	10.0
1073	1923.0	931.0
1072	31823.0	49426.0
1071	114.0	91.0
440243	0.0	0.0
1070	579.0	415.0
1069	6722.0	2021.0
1068	0.0	0.0
85369	1312.0	2017.0
85366	4.0	13.0
85364	837.0	1605.0
85365	1075.0	1783.0
85363	1384.0	2087.0
85360	773.0	527.0
1080	862.0	227.0
85391	37.0	12.0
403296	0.0	0.0
403297	3.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	9.0	0.0
153733	356.0	272.0
1087	11.0	4.0
1086	0.0	0.0
440279	1.0	2.0
1085	0.0	0.0
1084	62.0	47.0
440278	52.0	67.0
1082	0.0	0.0
403294	1.0	0.0
440275	1936.0	3082.0
1081	0.0	1.0
85397	6.0	4.0
85395	326.0	368.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	2.0
1096	0.0	0.0
1095	0.0	0.0
403281	1.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	545.0	491.0
1089	345.0	474.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	23.0	203.0
285598	218.0	306.0
126133	1477.0	2594.0
128790	0.0	0.0
126129	97.0	1502.0
126123	4.0	4.0
442862	0.0	0.0
126119	1102.0	895.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	175.0	3.0
442896	0.0	0.0
114132	392.0	16.0
442897	0.0	0.0
442898	3.0	4.0
114134	529.0	1106.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	6.0
100128788	51.0	84.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	2.0
442892	0.0	0.0
128756	1.0	0.0
100128782	160.0	280.0
100128781	0.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	87.0	74.0
102466616	0.0	0.0
126052	1.0	0.0
151009	48.0	30.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	1.0
645558	0.0	1.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	8.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	504.0	690.0
107131122	0.0	0.0
138050	3780.0	5797.0
403219	0.0	2.0
151011	3880.0	4514.0
645587	4.0	0.0
165679	21.0	25.0
126037	11.0	27.0
114049	2803.0	4489.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	18.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1002.0	1462.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1164.0	1511.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	79.0	84.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	15.0	9.0
645598	0.0	0.0
163007	6.0	1.0
114038	1.0	6.0
645591	12.0	4.0
106481495	1.0	0.0
114041	7.0	74.0
106481496	0.0	0.0
114042	1.0	1.0
106481493	0.0	0.0
114043	30.0	70.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	104.0	173.0
126017	246.0	314.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	808.0	6237.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	726.0	890.0
106481459	0.0	0.0
26994	4163.0	4696.0
106481457	0.0	0.0
26995	886.0	1757.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1704.0	2197.0
403273	0.0	0.0
102466658	0.0	18.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	6.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1768.0	2700.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	1.0	1.0
138009	0.0	4.0
106481468	0.0	0.0
106481469	0.0	3.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	25.0	5.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8.0	22.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1140.0	1405.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	3.0
106481437	0.0	0.0
26974	77.0	168.0
153657	81.0	83.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	708.0	1190.0
165631	411.0	659.0
106481436	1.0	1.0
26978	18.0	16.0
126075	722.0	1086.0
106481439	0.0	0.0
403250	0.0	0.0
126074	130.0	207.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1240.0	1183.0
106481444	6.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2148.0	1101.0
85354	0.0	0.0
85352	43.0	169.0
403241	0.0	0.0
344462	1.0	8.0
403244	0.0	0.0
403245	0.0	0.0
153642	328.0	353.0
153643	1252.0	33.0
403247	0.0	0.0
403248	0.0	0.0
26985	1717.0	2658.0
106481448	0.0	0.0
26986	24377.0	49590.0
126069	73.0	39.0
106481449	0.0	0.0
126068	253.0	228.0
106481446	0.0	0.0
26983	0.0	0.0
26984	439.0	1467.0
106481447	0.0	0.0
106481451	3.0	3.0
106481452	0.0	1.0
106481450	0.0	1.0
114088	29.0	53.0
106481455	0.0	0.0
85349	22.0	15.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	4.0
106481454	0.0	1.0
403238	0.0	0.0
85344	6.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	3.0	2.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2256.0	2799.0
100873390	0.0	0.0
728556	45.0	55.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	62.0	54.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	185.0	369.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	1.0
285600	170.0	102.0
100873384	0.0	0.0
285601	11.0	24.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	325.0	898.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	249.0	349.0
222008	11.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	1611.0	2511.0
63904	0.0	0.0
106481430	1.0	1.0
163071	19.0	10.0
63906	571.0	588.0
106481433	0.0	0.0
63908	489.0	638.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	2.0
285613	150.0	214.0
63920	230.0	168.0
63923	51.0	109.0
63922	310.0	1329.0
728577	75.0	157.0
63925	1036.0	1841.0
63924	6.0	1.0
63916	2132.0	2946.0
63917	2069.0	9211.0
106481400	0.0	3.0
106481401	0.0	0.0
728562	2.0	1.0
728564	9.0	15.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	864.0	1199.0
106481402	0.0	0.0
63931	974.0	1009.0
106481403	0.0	1.0
63934	101.0	417.0
728567	3.0	1.0
106481408	0.0	0.0
163088	3.0	2.0
63933	1495.0	1713.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2328.0	3080.0
163087	379.0	609.0
728568	192.0	303.0
106481407	8.0	9.0
3704	1485.0	1555.0
3705	4881.0	2933.0
63926	372.0	1322.0
3706	34.0	60.0
63929	823.0	1074.0
3707	2265.0	3316.0
63928	18.0	0.0
3708	2365.0	2686.0
106481411	0.0	0.0
3709	1399.0	3932.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	49.0	36.0
3702	630.0	2123.0
3703	3877.0	10704.0
645506	0.0	1.0
151050	1062.0	733.0
645520	0.0	0.0
63941	1470.0	793.0
63940	2730.0	3240.0
63943	181.0	304.0
728517	1.0	0.0
163033	350.0	504.0
258010	998.0	968.0
63947	0.0	0.0
63946	0.0	0.0
728513	3.0	3.0
100033803	0.0	0.0
3716	7850.0	15168.0
100033804	0.0	0.0
3717	1261.0	2609.0
100033805	0.0	0.0
3718	512.0	7954.0
63939	561.0	1013.0
100033806	0.0	0.0
100190799	3.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	60.0	67.0
3710	5044.0	5064.0
3712	3191.0	2295.0
3713	3.0	39.0
3714	1545.0	5498.0
63950	1.0	1826.0
728505	0.0	0.0
63951	150.0	226.0
100033807	0.0	0.0
728501	27.0	21.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7769.0	13509.0
100033814	0.0	0.0
3727	8906.0	5833.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	3.0
3728	9623.0	32760.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	790.0	2524.0
151056	211.0	322.0
3725	21853.0	14286.0
645528	0.0	6.0
728532	28.0	32.0
163059	120.0	123.0
728538	1.0	15.0
728537	120.0	106.0
63967	76.0	361.0
3737	8.0	145.0
3738	374.0	230.0
3739	123.0	7.0
645538	0.0	0.0
3730	5879.0	2974.0
3732	4900.0	13301.0
3734	21.0	80.0
3735	4059.0	5183.0
3736	7.0	1.0
63970	112.0	9.0
3750	111.0	824.0
63971	3074.0	3704.0
63974	0.0	0.0
163049	893.0	2032.0
63973	0.0	4.0
63976	757.0	238.0
222068	3588.0	6279.0
63978	0.0	0.0
63977	334.0	932.0
63979	223.0	787.0
728524	0.0	0.0
3748	588.0	921.0
163051	22.0	17.0
3749	477.0	1634.0
163050	47.0	62.0
3741	192.0	14.0
645548	8.0	12.0
3743	2.0	15.0
3744	9.0	1.0
3745	421.0	57.0
3746	4.0	6.0
3747	0.0	0.0
285671	361.0	78.0
285672	1122.0	1213.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	32.0	0.0
285676	39.0	40.0
3761	1.0	2.0
100128657	0.0	0.0
285679	0.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	215.0	403.0
283008	0.0	1.0
3751	28.0	118.0
100873435	0.0	0.0
3752	210.0	126.0
100873434	0.0	0.0
3753	475.0	64.0
100873433	0.0	1.0
3754	1.0	17.0
100873432	0.0	0.0
3755	15.0	37.0
100873439	0.0	0.0
3756	4.0	0.0
100873438	0.0	0.0
3757	351.0	195.0
100873437	0.0	0.0
3758	13.0	16.0
100873436	0.0	0.0
100873420	0.0	2.0
3770	37.0	60.0
3772	2216.0	2149.0
100861458	0.0	0.0
100861453	28.0	43.0
100861455	0.0	0.0
1107	4879.0	15969.0
1106	3510.0	5369.0
1105	1116.0	1695.0
1104	709.0	1948.0
100873429	0.0	0.0
1103	0.0	13.0
1102	930.0	852.0
1101	587.0	110.0
3762	513.0	309.0
100873424	0.0	0.0
3763	15.0	12.0
100128640	30.0	22.0
100873423	0.0	0.0
3764	670.0	600.0
100873422	0.0	0.0
3765	0.0	7.0
100873421	0.0	1.0
3766	2.0	195.0
100873428	0.0	0.0
3767	102.0	105.0
100873427	0.0	0.0
3768	69.0	32.0
1109	7.0	5.0
100873426	0.0	0.0
1108	7586.0	13476.0
3769	2.0	2.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	6.0	28.0
100873453	0.0	0.0
3781	62.0	215.0
100873452	0.0	1.0
3782	1069.0	469.0
100873451	0.0	0.0
3783	529.0	598.0
100873450	0.0	0.0
1121	787.0	1194.0
100861468	0.0	1.0
1120	268.0	304.0
100861469	0.0	1.0
1118	502.0	7741.0
1117	790.0	248.0
1116	1185.0	5983.0
1114	48.0	77.0
1113	13.0	12.0
1112	3373.0	3710.0
1111	129.0	860.0
3773	305.0	92.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	654.0	1036.0
100873455	0.0	0.0
3776	4.0	0.0
100873454	0.0	0.0
3777	3753.0	1073.0
3778	829.0	2746.0
3779	334.0	523.0
100873459	0.0	0.0
1119	1149.0	921.0
100128627	2.0	2.0
100128626	0.0	0.0
3790	1618.0	1212.0
100128628	7.0	6.0
3791	3737.0	3044.0
100873442	0.0	0.0
3792	43.0	5188.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	198.0	159.0
1131	120.0	633.0
1130	1667.0	2866.0
100861476	0.0	0.0
1129	78.0	2.0
1128	191.0	3.0
1124	513.0	149.0
1123	955.0	1844.0
1122	572.0	314.0
100861470	1.0	0.0
3784	2379.0	805.0
100873446	0.0	0.0
3785	1.0	4.0
100873445	0.0	0.0
3786	228.0	203.0
100873444	0.0	0.0
3787	24.0	149.0
100873443	1.0	0.0
3788	37.0	22.0
100873449	4.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	53.0	111.0
100128618	0.0	0.0
728597	1.0	1.0
100128617	0.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	8.0	2.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	18.0
285634	3.0	7.0
1142	0.0	0.0
1141	11.0	56.0
285636	1110.0	2832.0
1140	296.0	475.0
728599	6.0	1.0
1139	11.0	266.0
1138	31.0	64.0
1137	1.0	14.0
100861485	0.0	0.0
1136	9.0	10.0
1135	20.0	22.0
1134	2.0	150.0
1133	6.0	7.0
3795	136.0	228.0
100873479	6.0	10.0
3796	818.0	2380.0
100873478	0.0	0.0
3797	375.0	1088.0
100873477	4.0	3.0
3798	14.0	34.0
100873476	0.0	0.0
3799	6813.0	9994.0
100873460	0.0	0.0
728586	8.0	13.0
285641	0.0	2.0
100873464	1.0	5.0
100873463	0.0	1.0
100873462	2.0	2.0
285643	0.0	2.0
100128603	1.0	2.0
100873461	0.0	0.0
1154	2480.0	1350.0
1153	12155.0	12417.0
1152	8182.0	1402.0
285647	6.0	20.0
728589	23.0	23.0
728588	5.0	0.0
1149	0.0	1.0
1147	1093.0	791.0
1146	2.0	1.0
1145	22.0	42.0
1144	1.0	3.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	379.0	1046.0
1163	355.0	1114.0
285659	0.0	0.0
1161	237.0	261.0
1160	36.0	39.0
1159	54.0	25.0
1158	14.0	19.0
1157	0.0	1.0
1155	2366.0	3841.0
550643	1021.0	1611.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1339.0	3658.0
1175	2566.0	4651.0
285668	15.0	4.0
1174	1181.0	2274.0
1173	12154.0	23549.0
550631	413.0	232.0
100873489	0.0	0.0
283014	2.0	6.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	35.0	20.0
1186	2535.0	5107.0
1185	1253.0	1156.0
1184	478.0	907.0
1183	726.0	793.0
1182	2878.0	5495.0
1181	171.0	425.0
440375	25.0	82.0
1180	7.0	81.0
1179	2.0	0.0
1178	19.0	2.0
283089	8.0	3.0
85495	0.0	0.0
85480	51.0	97.0
283080	0.0	0.0
1198	2158.0	2601.0
1197	1.0	3.0
1196	1349.0	2592.0
1195	4078.0	4108.0
440366	0.0	0.0
1193	1760.0	1670.0
1192	14105.0	11404.0
1191	25312.0	20403.0
1188	62.0	21.0
283078	157.0	12.0
85486	3.0	7.0
128615	0.0	0.0
85481	1.0	0.0
128611	129.0	766.0
440396	37.0	39.0
128609	0.0	0.0
128602	6309.0	32.0
440387	1.0	0.0
128674	0.0	2.0
128676	1.0	0.0
114026	0.0	0.0
100861402	0.0	4.0
126014	4224.0	1056.0
440335	985.0	212.0
100128690	0.0	0.0
114034	364.0	560.0
126006	36.0	40.0
114036	23.0	19.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	18.0	23.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	2.0
100128678	2.0	6.0
100861429	0.0	0.0
128653	0.0	0.0
200728	212.0	441.0
440356	8.0	58.0
440354	63.0	72.0
440352	1.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	34.0	9.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	2.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	127.0	70.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	58.0	138.0
200734	1807.0	3325.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	13.0	4.0
100873402	0.0	0.0
100873401	1.0	3.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	2529.0	3121.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	2.0
645443	3.0	6.0
165530	17.0	18.0
85409	1312.0	1350.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	0.0	142.0
106481383	4.0	1.0
85417	46.0	21.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	363.0	234.0
106481389	0.0	0.0
85415	1202.0	559.0
106481387	0.0	0.0
85413	8.0	88.0
106481388	0.0	2.0
645436	1.0	1.0
106481381	3.0	0.0
106481382	0.0	0.0
10	2.0	14.0
106481380	0.0	0.0
11	0.0	0.0
403341	640.0	1028.0
12	11.0	111.0
13	189.0	1515.0
14	3634.0	6360.0
15	4.0	34.0
16	4809.0	6221.0
645455	19.0	22.0
18	923.0	908.0
19	1977.0	6442.0
128580	2.0	2.0
85407	790.0	157.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	935.0	1807.0
106481395	0.0	0.0
85403	1218.0	1258.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	1884.0	9111.0
106481390	0.0	0.0
21	21544.0	19938.0
106481391	0.0	0.0
22	628.0	990.0
153571	612.0	73.0
153572	1965.0	270.0
23	2978.0	4744.0
24	107.0	93.0
25	2843.0	7289.0
26	116.0	522.0
27	1336.0	1396.0
28	1101.0	191.0
29	5910.0	4989.0
153579	2635.0	147.0
728615	0.0	1.0
728614	0.0	0.0
200765	118.0	153.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	4.0	13.0
102466518	0.0	0.0
102466516	22.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	33.0
106481361	0.0	0.0
85439	373.0	549.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1396.0	2129.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	258.0	264.0
106481366	0.0	0.0
30	2791.0	2050.0
106481360	0.0	0.0
31	2209.0	5376.0
32	1594.0	819.0
33	736.0	160.0
34	1638.0	1435.0
35	1366.0	894.0
153562	1023.0	1062.0
36	1573.0	1205.0
37	10820.0	11744.0
38	2723.0	1221.0
440307	32.0	13.0
39	971.0	1835.0
165545	23.0	80.0
106481369	0.0	0.0
728606	2.0	6.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	1.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	167.0
106481370	0.0	0.0
41	178.0	53.0
106481371	0.0	0.0
43	285.0	1518.0
645486	0.0	0.0
47	5861.0	6950.0
48	3094.0	1734.0
49	17.0	14.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	1.0	3.0
106481340	0.0	1.0
85458	1202.0	767.0
106481345	0.0	1.0
85459	395.0	726.0
