id	c3479764-edbf-49ba-afd0-9d7981b715c0	9f78aa72-143a-4277-bfdf-e1677822f8b7
285550	581.0	976.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	2.0
3640	8.0	7.0
3638	6405.0	4358.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2357.0	2360.0
100873313	0.0	0.0
3632	1769.0	1851.0
100873312	1.0	2.0
100873311	0.0	0.0
3633	1435.0	953.0
100873318	0.0	0.0
3635	3798.0	1156.0
100873317	0.0	0.0
3636	6716.0	4772.0
100128771	25.0	39.0
100873316	3.0	12.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	0.0	1.0
1	29.0	12.0
2	455553.0	33397.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	9.0
3641	0.0	0.0
100873303	0.0	0.0
9	200.0	277.0
3642	10.0	1.0
100873302	0.0	0.0
3643	3060.0	7967.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	15.0
100873307	0.0	0.0
3646	11512.0	14884.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	33.0	208.0
100873304	0.0	0.0
100873332	0.0	3.0
3660	2595.0	2791.0
100873331	0.0	0.0
3661	2316.0	3161.0
100873330	0.0	0.0
285577	2.0	0.0
3662	1221.0	433.0
100128756	0.0	0.0
1000	739.0	464.0
3652	440.0	590.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	154.0	74.0
3654	6124.0	15282.0
100873334	0.0	0.0
3655	8418.0	53164.0
100873333	0.0	0.0
3656	778.0	268.0
100873339	0.0	0.0
3658	2091.0	4284.0
100873338	0.0	0.0
3659	13960.0	3999.0
100873337	0.0	1.0
3670	3.0	5.0
100873321	0.0	0.0
3671	8041.0	4623.0
100873320	0.0	0.0
3672	8070.0	2906.0
285588	0.0	0.0
3673	3104.0	23336.0
1011	0.0	0.0
1010	2.0	0.0
1008	16.0	2.0
1007	0.0	0.0
1006	38.0	855.0
1005	0.0	1.0
1004	1112.0	370.0
1003	14278.0	1936.0
1002	25.0	78.0
1001	2430.0	24918.0
3663	1320.0	690.0
100873325	0.0	0.0
3664	1187.0	25856.0
100873324	0.0	0.0
3665	1354.0	1029.0
100873323	0.0	0.0
