id	fc2fcb44-c5cb-4b1a-822d-552f32866fe3	a80301cb-eca4-4d79-99f9-d32a29c39b6b
1070	557.0	1563.0
1069	6402.0	7400.0
1068	0.0	0.0
85369	1375.0	2080.0
85366	10.0	12.0
85364	1514.0	5329.0
85365	2256.0	3093.0
85363	993.0	1926.0
85360	1044.0	415.0
1080	1804.0	201.0
85391	2.0	20.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	41.0	1.0
153733	300.0	823.0
1087	8.0	45.0
1086	0.0	0.0
440279	5.0	8.0
1085	0.0	0.0
1084	60.0	19.0
440278	102.0	429.0
1082	0.0	2.0
403294	0.0	0.0
440275	2374.0	9469.0
1081	2.0	2.0
85397	13.0	0.0
85395	505.0	1792.0
403285	0.0	1.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	3.0
403284	0.0	0.0
1092	0.0	0.0
440270	1365.0	3950.0
1089	205.0	37.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	69.0	45.0
285598	203.0	1788.0
126133	1497.0	4686.0
128790	0.0	0.0
126129	72.0	156.0
126123	8.0	2.0
442862	0.0	0.0
126119	1041.0	1813.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	77.0	1.0
442896	1.0	1.0
114132	130.0	9.0
442897	0.0	0.0
442898	2.0	12.0
114134	494.0	328.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	7.0
100128788	47.0	173.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	1.0	2.0
442892	2.0	1.0
128756	0.0	2.0
100128782	136.0	190.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	4.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	46.0	59.0
102466616	0.0	0.0
126052	0.0	0.0
151009	39.0	53.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	10.0
645558	0.0	0.0
403229	0.0	5.0
645573	0.0	1.0
645572	0.0	0.0
645571	2.0	7.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	1176.0	6102.0
107131122	1.0	4.0
138050	5785.0	10834.0
403219	0.0	0.0
151011	3719.0	9027.0
645587	3.0	2.0
165679	7.0	256.0
126037	14.0	12.0
114049	3352.0	9449.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1806.0	897.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1205.0	1578.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	66.0	176.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	22.0	17.0
645598	0.0	0.0
163007	1.0	1.0
114038	1.0	1.0
645591	27.0	7.0
106481495	0.0	0.0
114041	14.0	23.0
106481496	0.0	0.0
114042	3.0	1.0
106481493	0.0	0.0
114043	32.0	325.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	123.0	448.0
126017	219.0	472.0
106481497	0.0	0.0
106481498	0.0	1.0
85303	0.0	0.0
85300	1.0	1.0
85301	538.0	3692.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1019.0	4110.0
106481459	0.0	0.0
26994	5269.0	5060.0
106481457	2.0	12.0
26995	1114.0	4158.0
106481458	0.0	0.0
403271	0.0	0.0
26998	29.0	2592.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2558.0	3019.0
403273	0.0	0.0
102466658	0.0	13.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	4.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1704.0	4180.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	4.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	15.0	61.0
106481472	0.0	0.0
106481477	2.0	1.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4.0	20.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1125.0	703.0
403255	0.0	2.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	4.0
106481437	0.0	0.0
26974	44.0	38.0
153657	62.0	56.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	733.0	2897.0
165631	244.0	113.0
106481436	1.0	0.0
26978	20.0	51.0
126075	811.0	806.0
106481439	0.0	0.0
403250	0.0	0.0
126074	151.0	300.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	1.0
85359	1833.0	5673.0
106481444	18.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2120.0	2873.0
85354	1.0	0.0
85352	31.0	10.0
403241	0.0	0.0
344462	3.0	7.0
403244	0.0	0.0
403245	0.0	0.0
153642	229.0	360.0
153643	1085.0	20.0
403247	0.0	0.0
403248	0.0	0.0
26985	2028.0	3494.0
106481448	0.0	0.0
26986	29329.0	76265.0
126069	58.0	15.0
106481449	0.0	0.0
126068	355.0	170.0
106481446	0.0	0.0
26983	0.0	0.0
26984	775.0	2504.0
106481447	0.0	0.0
106481451	3.0	5.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	25.0	372.0
106481455	0.0	0.0
85349	242.0	9.0
106481456	0.0	2.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	5.0
106481454	1.0	2.0
403238	0.0	0.0
85344	3.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	1.0
85340	0.0	0.0
100873394	0.0	3.0
100873393	2.0	1.0
100873392	3.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	1870.0	2880.0
100873390	0.0	0.0
728556	18.0	289.0
106481419	1.0	3.0
100128817	0.0	0.0
728558	45.0	134.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	205.0	774.0
106481423	0.0	1.0
106481420	4.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	71.0
100873380	0.0	0.0
100128804	0.0	2.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	132.0	59.0
100873384	0.0	0.0
285601	13.0	16.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	2.0	2.0
63910	224.0	185.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	214.0	421.0
222008	1.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3144.0	5789.0
63904	0.0	0.0
106481430	0.0	0.0
163071	97.0	469.0
63906	643.0	876.0
106481433	0.0	0.0
63908	552.0	1148.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	25.0
285613	37.0	168.0
63920	132.0	791.0
63923	10.0	0.0
63922	249.0	4545.0
728577	69.0	48.0
63925	1309.0	2892.0
63924	0.0	1.0
63916	1969.0	3763.0
63917	2497.0	4290.0
106481400	0.0	5.0
106481401	0.0	0.0
728562	2.0	3.0
728564	1.0	36.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	997.0	5359.0
106481402	0.0	0.0
63931	969.0	2062.0
106481403	0.0	2.0
63934	112.0	13.0
728567	2.0	1.0
106481408	0.0	0.0
163088	2.0	16.0
63933	2185.0	6351.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3529.0	5463.0
163087	352.0	676.0
728568	221.0	1353.0
106481407	11.0	42.0
3704	1787.0	5803.0
3705	5370.0	9497.0
63926	584.0	2707.0
3706	7.0	924.0
63929	1028.0	2638.0
3707	2624.0	12009.0
63928	131.0	135.0
3708	2252.0	1327.0
106481411	1.0	6.0
3709	1807.0	3130.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	30.0	47.0
3702	137.0	35.0
3703	5570.0	13238.0
645506	0.0	0.0
151050	1266.0	1212.0
645520	0.0	0.0
63941	1558.0	2268.0
63940	2299.0	475.0
63943	280.0	1176.0
728517	0.0	0.0
163033	603.0	1356.0
258010	1441.0	3105.0
63947	0.0	0.0
63946	1.0	0.0
728513	4.0	10.0
100033803	0.0	0.0
3716	9064.0	6685.0
100033804	0.0	0.0
3717	870.0	678.0
100033805	0.0	0.0
3718	355.0	546.0
63939	638.0	3674.0
100033806	0.0	0.0
100190799	7.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	63.0	201.0
3710	12652.0	20490.0
3712	4604.0	7339.0
3713	360.0	3232.0
3714	1754.0	6063.0
63950	5.0	1309.0
728505	0.0	1.0
63951	230.0	405.0
100033807	0.0	0.0
728501	19.0	18.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12865.0	13294.0
100033814	0.0	0.0
3727	24214.0	10085.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	1.0
3728	16944.0	153160.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	876.0	10893.0
151056	137.0	983.0
3725	17928.0	12665.0
645528	3.0	0.0
728532	15.0	20.0
163059	218.0	287.0
728538	1.0	2.0
728537	183.0	231.0
63967	33.0	875.0
3737	7.0	0.0
3738	209.0	12.0
3739	52.0	613.0
645538	0.0	0.0
3730	4890.0	672.0
3732	4796.0	4091.0
3734	14.0	82.0
3735	5363.0	10529.0
3736	44.0	0.0
63970	23.0	86.0
3750	85.0	801.0
63971	3857.0	9954.0
63974	0.0	0.0
163049	1478.0	2366.0
63973	0.0	2.0
63976	1241.0	539.0
222068	5276.0	11602.0
63978	0.0	1.0
63977	276.0	1118.0
63979	188.0	2640.0
728524	0.0	0.0
3748	722.0	1446.0
163051	38.0	51.0
3749	614.0	859.0
163050	42.0	70.0
3741	179.0	15.0
645548	2.0	3.0
3743	2.0	13.0
3744	8.0	0.0
3745	173.0	17.0
3746	2.0	18.0
3747	0.0	0.0
285671	417.0	367.0
285672	1681.0	3349.0
100873431	0.0	0.0
100873430	1.0	2.0
3760	11.0	1.0
285676	39.0	112.0
3761	2.0	4.0
100128657	0.0	3.0
285679	0.0	8.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1351.0	4661.0
283008	0.0	1.0
3751	12.0	13.0
100873435	0.0	0.0
3752	537.0	116.0
100873434	0.0	0.0
3753	198.0	52.0
100873433	0.0	0.0
3754	17.0	30.0
100873432	0.0	0.0
3755	11.0	1313.0
100873439	0.0	0.0
3756	4.0	23.0
100873438	0.0	0.0
3757	207.0	596.0
100873437	0.0	0.0
3758	26.0	8.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	61.0	181.0
3772	6523.0	458.0
100861458	2.0	3.0
100861453	36.0	182.0
100861455	0.0	1.0
1107	9538.0	22433.0
1106	5327.0	6309.0
1105	1528.0	3402.0
1104	806.0	4876.0
100873429	0.0	0.0
1103	2.0	3.0
1102	667.0	336.0
1101	88.0	91.0
3762	668.0	85.0
100873424	0.0	0.0
3763	7.0	4.0
100128640	66.0	343.0
100873423	0.0	0.0
3764	1174.0	264.0
100873422	0.0	0.0
3765	2.0	4.0
100873421	1.0	1.0
3766	12.0	46.0
100873428	0.0	0.0
3767	204.0	721.0
100873427	0.0	0.0
3768	76.0	238.0
1109	10.0	419.0
100873426	5.0	1.0
1108	10240.0	24079.0
3769	1.0	0.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	3.0	281.0
100873453	0.0	0.0
3781	83.0	30.0
100873452	0.0	0.0
3782	1410.0	270.0
100873451	0.0	0.0
3783	307.0	318.0
100873450	0.0	0.0
1121	787.0	2117.0
100861468	0.0	2.0
1120	156.0	548.0
100861469	0.0	0.0
1118	2093.0	161.0
1117	3209.0	323.0
1116	7187.0	9516.0
1114	17.0	14132.0
1113	12.0	1133.0
1112	3447.0	4046.0
1111	175.0	2914.0
3773	270.0	48.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1807.0	9367.0
100873455	0.0	0.0
3776	7.0	759.0
100873454	0.0	0.0
3777	3710.0	530.0
3778	519.0	255.0
3779	386.0	45.0
100873459	0.0	0.0
1119	2501.0	1560.0
100128627	0.0	3.0
100128626	0.0	0.0
3790	2581.0	3659.0
100128628	1.0	15.0
3791	2603.0	462.0
100873442	0.0	0.0
3792	17.0	6.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	10.0
1131	157.0	1270.0
1130	1747.0	1992.0
100861476	0.0	2.0
1129	23.0	2.0
1128	70.0	13.0
1124	382.0	67.0
1123	824.0	437.0
1122	638.0	3535.0
100861470	0.0	0.0
3784	4186.0	1055.0
100873446	0.0	0.0
3785	6.0	13.0
100873445	0.0	0.0
3786	482.0	171.0
100873444	0.0	0.0
3787	133.0	39.0
100873443	0.0	0.0
3788	8.0	5.0
100873449	4.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	46.0	48.0
100128618	0.0	4.0
728597	2.0	20.0
100128617	1.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	6.0	114.0
100873473	0.0	2.0
100873472	0.0	0.0
1143	4.0	260.0
285634	2.0	6.0
1142	1.0	0.0
1141	7.0	536.0
285636	1409.0	3942.0
1140	265.0	586.0
728599	0.0	3.0
1139	9.0	107.0
1138	10.0	394.0
1137	15.0	1.0
100861485	0.0	0.0
1136	27.0	67.0
1135	26.0	4.0
1134	11.0	0.0
1133	18.0	21.0
3795	129.0	1463.0
100873479	11.0	4.0
3796	600.0	1648.0
100873478	0.0	1.0
3797	400.0	4908.0
100873477	3.0	0.0
3798	7.0	806.0
100873476	0.0	0.0
3799	7998.0	10045.0
100873460	0.0	0.0
728586	13.0	39.0
285641	0.0	1.0
100873464	1.0	6.0
100873463	0.0	0.0
100873462	0.0	3.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2924.0	1131.0
1153	17182.0	19066.0
1152	11020.0	8158.0
285647	7.0	92.0
728589	13.0	32.0
728588	3.0	0.0
1149	3.0	13.0
1147	1109.0	1194.0
1146	3.0	21.0
1145	33.0	303.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	2.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	408.0	5247.0
1163	357.0	4188.0
285659	0.0	1.0
1161	240.0	707.0
1160	85.0	59.0
1159	30.0	520.0
1158	3.0	9.0
1157	0.0	0.0
1155	2753.0	5273.0
550643	1409.0	3730.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1596.0	2761.0
1175	2891.0	7879.0
285668	5.0	0.0
1174	1484.0	5150.0
1173	15030.0	76655.0
550631	359.0	357.0
100873489	0.0	0.0
283014	7.0	11.0
100873488	0.0	1.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	34.0	9.0
1186	2960.0	5025.0
1185	1315.0	1201.0
1184	886.0	1841.0
1183	643.0	141.0
1182	2882.0	5756.0
1181	223.0	5085.0
440375	40.0	100.0
1180	10.0	24.0
1179	0.0	1.0
1178	24.0	5.0
283089	20.0	13.0
85495	0.0	0.0
85480	83.0	213.0
283080	0.0	3.0
1198	2426.0	5451.0
1197	0.0	0.0
1196	1205.0	7283.0
1195	2758.0	4225.0
440366	0.0	3.0
1193	2462.0	572.0
1192	19317.0	30853.0
1191	29073.0	13049.0
1188	51.0	54.0
283078	153.0	195.0
85486	0.0	10.0
128615	0.0	0.0
85481	0.0	0.0
128611	44.0	718.0
440396	43.0	512.0
128609	0.0	0.0
128602	5001.0	5.0
440387	0.0	0.0
128674	1.0	0.0
128676	2.0	2.0
114026	0.0	1.0
100861402	3.0	5.0
126014	2950.0	211.0
440335	1145.0	201.0
100128690	0.0	0.0
114034	676.0	494.0
126006	12.0	67.0
114036	30.0	12.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	26.0	70.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	138.0	1233.0
440356	2.0	17.0
440354	46.0	121.0
440352	2.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	29.0	1.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	4.0	14.0
100873410	0.0	0.0
100873417	1.0	9.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	135.0	229.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	123.0	307.0
200734	3641.0	7945.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	17.0	17.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	1.0	2.0
100128665	0.0	2.0
128637	2894.0	7315.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	9.0
165530	44.0	103.0
85409	1202.0	859.0
106481385	1.0	0.0
106481386	2.0	1.0
85416	1.0	442.0
106481383	2.0	5.0
85417	46.0	53.0
106481384	0.0	1.0
103106903	1.0	0.0
85414	303.0	729.0
106481389	0.0	0.0
85415	1118.0	829.0
106481387	0.0	0.0
85413	7.0	24.0
106481388	1.0	3.0
645436	2.0	1.0
106481381	5.0	2.0
106481382	0.0	0.0
10	8.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	698.0	1978.0
12	54.0	94.0
13	588.0	1252.0
14	4402.0	13790.0
15	11.0	31.0
16	5819.0	18928.0
645455	16.0	16.0
18	743.0	706.0
19	1139.0	5699.0
128580	1.0	2.0
85407	376.0	58.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	846.0	3611.0
106481395	1.0	0.0
85403	2424.0	1858.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	1.0
106481393	0.0	0.0
20	2045.0	3537.0
106481390	0.0	0.0
21	78625.0	7198.0
106481391	0.0	0.0
22	701.0	1652.0
153571	1289.0	515.0
153572	2788.0	1025.0
23	4815.0	13354.0
24	238.0	286.0
25	5160.0	7495.0
26	48.0	33.0
27	1686.0	7715.0
28	826.0	149.0
29	8625.0	5974.0
153579	2512.0	206.0
728615	0.0	0.0
728614	0.0	0.0
200765	135.0	1143.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	7.0	20.0
102466518	0.0	1.0
102466516	5.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	420.0	9736.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1609.0	5944.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	262.0	356.0
106481366	0.0	0.0
30	2842.0	3032.0
106481360	0.0	0.0
31	5023.0	9231.0
32	1679.0	746.0
33	1601.0	441.0
34	1916.0	1823.0
35	1478.0	1508.0
153562	1204.0	2047.0
36	1528.0	1791.0
37	10309.0	28640.0
38	2645.0	3205.0
440307	12.0	19.0
39	1605.0	2943.0
165545	8.0	544.0
106481369	0.0	0.0
728606	3.0	16.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	4.0
106481370	0.0	0.0
41	79.0	1486.0
106481371	0.0	0.0
43	506.0	119.0
645486	0.0	0.0
47	5234.0	20753.0
48	2678.0	2252.0
49	31.0	25.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	3.0	3.0
