id	9ccbd5f1-d73c-4e77-b876-4cca362218b7	f3bc810a-edc7-4412-9e09-006c0bcf2550
285550	885.0	567.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	3.0	1.0
3640	4.0	12.0
3638	4080.0	2935.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1176.0	887.0
100873313	0.0	0.0
3632	1625.0	753.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1032.0	448.0
100873318	0.0	0.0
3635	1406.0	1408.0
100873317	0.0	0.0
3636	1790.0	1116.0
100128771	16.0	14.0
100873316	0.0	0.0
100873315	0.0	0.0
100128766	4.0	2.0
3651	0.0	12.0
1	6.0	6.0
2	164428.0	38476.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	1.0
3641	0.0	0.0
100873303	0.0	0.0
9	395.0	369.0
3642	2.0	4.0
100873302	0.0	0.0
3643	1015.0	2353.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	1.0	0.0
3645	0.0	9.0
100873307	0.0	0.0
3646	20610.0	12016.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	55.0	47.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2831.0	3158.0
100873331	0.0	0.0
3661	623.0	1182.0
100873330	0.0	0.0
285577	1.0	0.0
3662	157.0	383.0
100128756	0.0	0.0
1000	42.0	166.0
3652	440.0	276.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	282.0	53.0
3654	1195.0	2274.0
100873334	1.0	0.0
3655	3684.0	10978.0
100873333	0.0	1.0
3656	155.0	193.0
100873339	0.0	0.0
3658	2232.0	1525.0
100873338	0.0	0.0
3659	5144.0	5074.0
100873337	0.0	0.0
3670	0.0	6.0
100873321	0.0	0.0
3671	2260.0	17207.0
100873320	0.0	0.0
3672	5987.0	3450.0
285588	0.0	0.0
3673	652.0	3708.0
1011	0.0	0.0
1010	2.0	1.0
1008	3.0	1.0
1007	0.0	0.0
1006	21.0	117.0
1005	1.0	0.0
1004	707.0	507.0
1003	9838.0	2332.0
1002	14.0	28.0
1001	285.0	5086.0
3663	696.0	1148.0
100873325	0.0	0.0
3664	1468.0	7219.0
100873324	0.0	0.0
3665	690.0	1306.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	665.0	1050.0
100873329	0.0	0.0
285590	835.0	3917.0
100873328	0.0	0.0
3669	915.0	1094.0
100873327	0.0	0.0
1009	7067.0	16381.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	2.0	0.0
3680	1673.0	643.0
3681	9.0	19.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1259.0	872.0
100873353	0.0	0.0
3683	2901.0	2462.0
100873352	0.0	4.0
128710	325.0	401.0
3684	849.0	1465.0
100873351	0.0	3.0
285512	18.0	13.0
1022	886.0	1030.0
285513	1533.0	850.0
1021	1298.0	1580.0
1020	448.0	609.0
440299	0.0	0.0
1019	2579.0	2559.0
128709	0.0	0.0
1018	3.0	3.0
1017	918.0	936.0
1016	0.0	0.0
1015	9.0	2.0
1014	126.0	0.0
1013	28.0	15.0
1012	2505.0	1831.0
116730	9.0	9.0
3674	30.0	2.0
100873358	0.0	0.0
3675	9452.0	1613.0
100873357	0.0	0.0
3676	1838.0	459.0
100128731	6379.0	9589.0
100873356	0.0	0.0
3678	3264.0	5605.0
3679	157.0	329.0
100873359	0.0	0.0
728464	76.0	48.0
728463	8.0	1.0
100128725	0.0	1.0
3690	69.0	78.0
3691	834.0	15300.0
100873343	0.0	0.0
3692	3278.0	5087.0
3693	4799.0	13313.0
285521	820.0	443.0
100873342	0.0	0.0
3694	7161.0	361.0
100873341	0.0	0.0
3695	370.0	144.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	49.0	539.0
1032	232.0	326.0
285525	0.0	0.0
1031	749.0	518.0
285527	2174.0	1042.0
1030	1603.0	1898.0
728468	0.0	0.0
440288	85.0	97.0
1029	65.0	725.0
440295	18.0	23.0
1028	1197.0	704.0
1027	3994.0	1684.0
1026	2205.0	3491.0
1025	1582.0	3015.0
1024	457.0	426.0
3685	5133.0	6530.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	632.0	2374.0
100873345	0.0	0.0
3688	21985.0	10138.0
100873344	0.0	0.0
3689	5487.0	7548.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	5.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	29.0	13.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	62.0	65.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	23.0
1043	13415.0	3404.0
1041	0.0	2.0
1040	2009.0	636.0
1039	1153.0	1201.0
1038	2.0	10.0
1036	998.0	192.0
3696	477.0	1649.0
3697	8.0	4.0
100873379	0.0	0.0
3698	97.0	3.0
100873378	0.0	0.0
3699	186.0	112.0
100873377	0.0	0.0
728486	30.0	26.0
100873361	0.0	0.0
105373869	15.0	233.0
100873360	0.0	0.0
285540	105.0	59.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	1761.0	3348.0
285547	0.0	0.0
1053	14.0	4.0
285548	0.0	57.0
1052	1641.0	2376.0
1051	2265.0	2636.0
728489	1.0	3.0
1050	877.0	687.0
100128707	0.0	0.0
1048	157.0	1589.0
1047	64.0	112.0
1046	0.0	0.0
1045	1.0	0.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	12397.0	1041.0
1063	112.0	1920.0
1062	37.0	257.0
1061	3.0	1.0
1060	1000.0	834.0
440253	29.0	49.0
1059	2259.0	3969.0
1058	14.0	540.0
1057	0.0	0.0
85379	2255.0	3481.0
114112	398.0	147.0
1056	6.0	163.0
85377	653.0	2742.0
85378	419.0	406.0
128745	1.0	1.0
85376	5.0	13.0
440248	37.0	86.0
1075	27224.0	11498.0
1074	4.0	2.0
1073	4616.0	1142.0
1072	26616.0	36672.0
1071	109.0	71.0
440243	0.0	0.0
1070	1118.0	694.0
1069	3471.0	2383.0
1068	0.0	0.0
85369	1011.0	707.0
85366	8.0	5.0
85364	877.0	1001.0
85365	2133.0	1802.0
85363	1427.0	834.0
85360	586.0	796.0
1080	1384.0	49.0
85391	1.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	197.0	0.0
153733	405.0	449.0
1087	2.0	7.0
1086	0.0	0.0
440279	0.0	0.0
1085	0.0	0.0
1084	58.0	9.0
440278	43.0	59.0
1082	0.0	0.0
403294	0.0	0.0
440275	2347.0	1987.0
1081	0.0	5.0
85397	5.0	7.0
85395	106.0	106.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	55.0	28.0
1089	87.0	23.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
