id	f490e7cb-8d67-47af-85c0-5dd5c7139efd	a998a5b1-397d-4497-a58c-9b9e1c7f491e
285550	1048.0	447.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	5.0
3640	4.0	12.0
3638	6104.0	2822.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	2861.0	1488.0
100873313	0.0	0.0
3632	2484.0	2365.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	2062.0	1229.0
100873318	0.0	0.0
3635	2874.0	475.0
100873317	0.0	0.0
3636	6373.0	2476.0
100128771	40.0	22.0
100873316	15.0	3.0
100873315	0.0	0.0
100128766	2.0	3.0
3651	0.0	0.0
1	25.0	10.0
2	223771.0	12112.0
100873309	0.0	0.0
100873308	0.0	0.0
3	79.0	0.0
3641	0.0	0.0
100873303	0.0	1.0
9	585.0	156.0
3642	11.0	17.0
100873302	0.0	0.0
3643	3174.0	1324.0
100128764	1.0	2.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	0.0
100873307	0.0	0.0
3646	10850.0	10230.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	58.0	63.0
100873304	0.0	0.0
100873332	4.0	1.0
3660	3398.0	3398.0
100873331	0.0	0.0
3661	2232.0	1109.0
100873330	0.0	0.0
285577	5.0	0.0
3662	316.0	51.0
100128756	0.0	0.0
1000	135.0	17.0
3652	760.0	813.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	236.0	2.0
3654	3348.0	10207.0
100873334	0.0	0.0
3655	5134.0	22024.0
100873333	1.0	0.0
3656	741.0	2403.0
100873339	0.0	0.0
3658	3429.0	3272.0
100873338	0.0	0.0
3659	14496.0	1443.0
100873337	2.0	0.0
3670	0.0	0.0
100873321	0.0	0.0
3671	2004.0	1794.0
100873320	0.0	0.0
3672	12952.0	1172.0
285588	0.0	0.0
3673	4507.0	6186.0
1011	0.0	0.0
1010	1.0	0.0
1008	9.0	0.0
1007	0.0	0.0
1006	121.0	102.0
1005	10.0	0.0
1004	1108.0	149.0
1003	16028.0	1379.0
1002	58.0	82.0
1001	713.0	5818.0
3663	1659.0	3010.0
100873325	0.0	0.0
3664	4354.0	14628.0
100873324	1.0	0.0
3665	1310.0	206.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1399.0	700.0
100873329	0.0	0.0
285590	1213.0	3812.0
100873328	0.0	0.0
3669	1677.0	567.0
100873327	0.0	0.0
1009	5202.0	1546.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	1.0	30.0
728477	3.0	0.0
3680	2189.0	335.0
3681	10.0	9.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1401.0	438.0
100873353	0.0	0.0
3683	6863.0	327.0
100873352	2.0	4.0
128710	490.0	806.0
3684	4415.0	937.0
100873351	0.0	0.0
285512	306.0	101.0
1022	1036.0	1442.0
285513	4079.0	450.0
1021	2702.0	5567.0
1020	536.0	1855.0
440299	0.0	0.0
1019	1933.0	3548.0
128709	1.0	1.0
1018	35.0	21.0
1017	1501.0	1494.0
1016	0.0	1.0
1015	27.0	19.0
1014	18.0	52.0
1013	37.0	84.0
1012	1825.0	1914.0
116730	3.0	4.0
3674	888.0	36.0
100873358	0.0	0.0
3675	25230.0	4232.0
100873357	2.0	1.0
3676	2508.0	297.0
100128731	5048.0	9273.0
100873356	0.0	0.0
3678	8893.0	2940.0
3679	664.0	190.0
100873359	0.0	0.0
728464	57.0	334.0
728463	37.0	0.0
100128725	0.0	5.0
3690	656.0	138.0
3691	3441.0	25369.0
100873343	4.0	0.0
3692	4078.0	9725.0
3693	5513.0	6428.0
285521	895.0	1273.0
100873342	0.0	0.0
3694	11024.0	617.0
100873341	0.0	0.0
3695	531.0	125.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	59.0	974.0
1032	665.0	592.0
285525	0.0	0.0
1031	486.0	773.0
285527	4918.0	1426.0
1030	5078.0	4570.0
728468	0.0	0.0
440288	108.0	211.0
1029	83.0	1620.0
440295	196.0	173.0
1028	1128.0	375.0
1027	4271.0	1098.0
1026	9825.0	7665.0
1025	3712.0	2712.0
1024	567.0	884.0
3685	7461.0	12255.0
100873347	0.0	0.0
100873346	0.0	1.0
3687	6541.0	2125.0
100873345	2.0	0.0
3688	21230.0	7308.0
100873344	0.0	0.0
3689	19285.0	6028.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	1.0	2.0
100873371	3.0	0.0
100873370	0.0	1.0
728498	15.0	0.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	41.0	17.0
100873375	0.0	2.0
100128710	0.0	0.0
285533	178.0	41.0
100873374	2.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	9.0
1043	13327.0	849.0
1041	7.0	59.0
1040	3492.0	3165.0
1039	1850.0	827.0
1038	4.0	3.0
1036	912.0	11.0
3696	1477.0	6002.0
3697	2.0	0.0
100873379	0.0	0.0
3698	69.0	3.0
100873378	2.0	1.0
3699	203.0	11.0
100873377	0.0	0.0
728486	65.0	11.0
100873361	1.0	0.0
105373869	17.0	36.0
100873360	0.0	1.0
285540	224.0	30.0
100128705	3.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	2741.0	2240.0
285547	0.0	0.0
1053	20.0	4.0
285548	0.0	3.0
1052	5706.0	3301.0
1051	5094.0	2828.0
728489	13.0	2.0
1050	1055.0	1009.0
100128707	0.0	0.0
1048	919.0	2327.0
1047	200.0	31.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	0.0
1066	9176.0	247.0
1063	355.0	4585.0
1062	136.0	1948.0
1061	7.0	3.0
1060	1364.0	1275.0
440253	112.0	38.0
1059	4312.0	6470.0
1058	34.0	1254.0
1057	0.0	3.0
85379	5049.0	8766.0
114112	622.0	76.0
1056	42.0	45.0
85377	2288.0	9066.0
85378	2732.0	1783.0
128745	0.0	0.0
85376	22.0	55.0
440248	563.0	376.0
1075	23054.0	31088.0
1074	21.0	15.0
1073	4674.0	935.0
1072	42841.0	44968.0
1071	266.0	58.0
440243	0.0	0.0
1070	1089.0	768.0
1069	6732.0	2235.0
1068	0.0	0.0
85369	1815.0	2305.0
85366	4.0	24.0
85364	1394.0	1027.0
85365	2064.0	1725.0
85363	2061.0	305.0
85360	1140.0	407.0
1080	2656.0	17.0
85391	14.0	10.0
403296	0.0	0.0
403297	10.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	109.0	3.0
153733	539.0	316.0
1087	13.0	176.0
1086	0.0	0.0
440279	9.0	2.0
1085	0.0	0.0
1084	151.0	42.0
440278	75.0	132.0
1082	0.0	0.0
403294	0.0	0.0
440275	3162.0	3000.0
1081	2.0	0.0
85397	9.0	1.0
85395	223.0	322.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	0.0
440270	1793.0	379.0
1089	240.0	20.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	67.0	0.0
285598	452.0	1052.0
126133	1021.0	912.0
128790	0.0	0.0
126129	120.0	208.0
126123	5.0	0.0
442862	0.0	0.0
126119	720.0	402.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	82.0	0.0
442896	1.0	0.0
114132	241.0	9.0
442897	0.0	0.0
442898	2.0	0.0
114134	1129.0	143.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	3.0
100128788	40.0	22.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	1.0	3.0
442892	2.0	3.0
128756	0.0	0.0
100128782	159.0	62.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	0.0	3.0
403236	0.0	0.0
63982	57.0	1.0
102466616	0.0	0.0
126052	0.0	0.0
151009	37.0	58.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	4.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	924.0	3415.0
107131122	0.0	0.0
138050	6142.0	6718.0
403219	0.0	2.0
151011	6695.0	4578.0
645587	4.0	0.0
165679	16.0	433.0
126037	14.0	16.0
114049	3680.0	7932.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	1.0
106481482	0.0	0.0
106481483	1.0	0.0
85315	1872.0	486.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2001.0	1988.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	105.0	67.0
100033820	0.0	0.0
106481480	5.0	0.0
106481481	1.0	0.0
138065	24.0	0.0
645598	0.0	0.0
163007	7.0	3.0
114038	1.0	0.0
645591	48.0	9.0
106481495	0.0	0.0
114041	11.0	92.0
106481496	0.0	0.0
114042	4.0	1.0
106481493	0.0	0.0
114043	72.0	232.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	208.0	207.0
126017	383.0	354.0
106481497	7.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	1194.0	1367.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1104.0	427.0
106481459	0.0	0.0
26994	7870.0	7699.0
106481457	6.0	3.0
26995	1147.0	3306.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	6439.0
403272	2.0	0.0
102466659	0.0	0.0
26999	3409.0	208.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	1.0	0.0
106481466	0.0	0.0
26993	1864.0	2238.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	97.0	4.0
106481472	0.0	0.0
106481477	2.0	10.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4.0	10.0
106481470	7.0	0.0
403252	0.0	0.0
403253	0.0	2.0
403254	0.0	0.0
126070	1508.0	576.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	2.0
106481437	0.0	0.0
26974	69.0	7.0
153657	127.0	8.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1479.0	2750.0
165631	720.0	36.0
106481436	0.0	1.0
26978	17.0	20.0
126075	923.0	250.0
106481439	0.0	0.0
403250	0.0	0.0
126074	166.0	73.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1208.0	2140.0
106481444	14.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2922.0	1320.0
85354	0.0	0.0
85352	81.0	11.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	417.0	96.0
153643	1064.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	3088.0	3051.0
106481448	0.0	0.0
26986	41059.0	80791.0
126069	105.0	16.0
106481449	0.0	0.0
126068	482.0	92.0
106481446	0.0	0.0
26983	0.0	0.0
26984	881.0	714.0
106481447	0.0	0.0
106481451	4.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	34.0	54.0
106481455	0.0	0.0
85349	167.0	3.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	6.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	5.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	10.0	1.0
100873392	4.0	1.0
100873391	1.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	4055.0	2363.0
100873390	0.0	0.0
728556	34.0	95.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	117.0	90.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	289.0	178.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	4.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	252.0	28.0
100873384	0.0	0.0
285601	18.0	6.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	0.0	1.0
63910	406.0	295.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	470.0	283.0
222008	2.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2639.0	3173.0
63904	0.0	0.0
106481430	4.0	1.0
163071	29.0	429.0
